SOS_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
SOS31,1027,266,553,34,1877,729,152,305,37,1225,600,243,1202,56,2095,402,146,1818,29,2391,4422,725,3068,165,8383,2580,1015,5195,132,8925,15463,2102,5191,359,23120,7731,3581,4877,473,16660,9060,5886,4332,392,19669,8255,7083,2930,348,18621,4979,6820,1917,198,13920,5311,6994,1365,183,13851,9625,13696,1615,246,25185,5456,9354,601,120,15532,3328,5718,219,57,9327,1849,3745,304,32,5929,3281,6344,263,54,9934,6968,12087,3054,168,22269,2073,947,985,98,4103,93141,86907,39781,3182,223009
SOS32,242,42,73,10,370,170,31,83,8,293,150,71,290,13,526,76,41,331,9,449,1013,207,496,55,1766,575,255,765,37,1632,3089,501,773,78,4437,1567,712,684,81,3040,1771,1118,569,71,3522,1555,1242,391,44,3231,834,1102,265,33,2229,932,1022,163,22,2134,1581,1877,230,38,3717,862,1312,69,8,2254,453,795,20,7,1277,243,433,30,4,706,415,763,29,3,1206,1388,2104,546,34,4075,439,199,178,17,837,17341,13822,5990,559,37716
SOS33,1013,299,236,23,1572,660,151,145,15,971,504,193,392,26,1114,290,120,540,10,951,2823,469,919,61,4271,1604,616,1357,50,3627,7346,1317,1438,101,10196,4213,2028,1389,148,7781,5272,3453,1358,141,10218,4672,3856,939,92,9572,2605,3511,615,62,6798,3156,3711,471,46,7382,5185,6754,617,58,12618,3083,4890,241,23,8236,1734,3057,108,8,4916,991,2012,112,13,3123,2180,4118,144,28,6465,4102,7820,1297,66,13281,1407,712,328,51,2497,52841,49083,12641,1026,115588
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS40,1614,689,871,151,3328,853,263,469,114,1704,753,471,1446,181,2849,432,322,1936,47,2737,4684,1397,3226,302,9608,2848,1875,5651,331,10710,16009,3357,5931,536,25832,9788,5438,6077,700,22007,11852,8875,6159,785,27670,10597,10331,4523,641,26097,6669,10069,3295,392,20423,6963,9979,2571,342,19863,13823,19731,3140,546,37235,8306,14730,1217,241,24491,4625,9675,465,114,14881,2602,6041,420,62,9130,4915,12889,470,64,18344,7346,14671,4777,196,26990,1665,966,1009,89,3730,116353,131777,53650,5837,307614
SOS41,273,67,127,10,482,285,56,106,12,458,201,72,479,18,766,145,37,691,16,884,1837,271,1103,64,3272,1048,373,1813,68,3301,6609,776,1822,114,9319,3510,1322,1651,144,6623,4129,2364,1473,125,8091,3511,2637,1008,102,7264,1986,2625,650,55,5326,2167,2600,506,52,5322,3628,4865,539,84,9114,2008,3416,168,19,5618,1006,1977,77,12,3066,505,1156,76,7,1743,901,2007,63,8,2982,2463,4024,1278,46,7820,770,244,394,22,1431,36980,30888,14037,974,82876
SOS42,75,9,22,4,114,68,10,26,0,105,51,27,70,4,157,39,4,111,0,154,432,70,134,14,655,231,81,269,11,591,1277,154,235,18,1684,627,269,226,35,1158,782,450,181,12,1425,692,535,125,14,1367,365,445,96,9,911,423,443,62,3,929,630,737,57,15,1435,319,462,27,3,812,180,256,3,0,448,63,153,10,0,221,140,228,13,0,378,491,748,212,7,1461,167,54,57,10,286,7044,5144,1929,157,14271
SOS43,238,89,42,11,377,174,47,42,11,268,143,85,124,6,362,67,38,143,3,252,925,161,256,14,1357,532,240,361,19,1153,2431,431,376,21,3262,1577,782,378,41,2779,1928,1304,362,36,3630,1808,1521,251,47,3623,945,1305,193,16,2454,1250,1318,149,15,2734,1861,2399,180,23,4462,1070,1619,61,15,2767,558,1031,36,5,1630,346,580,33,0,952,750,1256,37,4,2044,1266,2510,405,9,4183,342,217,92,8,661,18206,16923,3519,312,38965
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
