SOS_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
SOS10,48755,44230,92984,151777,142316,294101,42648,42058,84704,25578,24112,49693,220003,208490,428493,93906,91699,185601,43858,42313,86169,30517,29308,59824,168278,163323,331598,8410,8776,17191,8048,13280,21330,15874,7991,23869,15151,24148,39301,500,499,1003,47997,54698,102690,83815,94086,177904,30458,32526,62986,9929,11065,20994,24719,36114,60838,619,749,1373,149550,174542,324089,9421,11833,21254,11255,19767,31014,278,425,705,20952,32022,52969,170796,171081,341876,826321,848386,1674704
SOS11,14076,13173,27250,42979,40342,83321,12395,12348,24743,5597,5282,10881,60967,57975,118946,28528,27690,56221,9850,10046,19899,5691,6040,11725,44071,43777,87845,1629,2136,3758,1077,2530,3605,5070,3732,8799,4412,8474,12889,146,162,302,12328,17025,29358,5185,8555,13741,2463,4287,6742,1074,1982,3056,4214,8885,13100,67,100,164,13001,23806,36805,829,1125,1954,1606,3628,5237,77,100,177,2513,4859,7369,61222,61567,122795,208190,222180,430371
SOS12,1343,1240,2577,4815,4590,9405,933,975,1904,589,544,1130,6336,6110,12448,3202,3175,6377,943,1016,1955,602,591,1192,4743,4777,9526,123,200,319,66,199,258,509,300,808,380,776,1160,16,15,37,1094,1493,2587,384,596,979,123,325,447,91,137,225,320,798,1114,6,11,16,918,1867,2786,58,99,157,161,326,485,3,13,17,220,440,657,6311,6267,12584,20969,22190,43159
SOS13,4868,4304,9171,15726,14714,30439,5472,5245,10719,3007,2861,5870,24209,22819,47029,10647,10299,20942,4665,4981,9651,3605,3543,7148,18916,18821,37734,465,588,1044,214,569,780,2427,1159,3583,1231,2518,3752,63,34,99,4398,4859,9256,2014,2970,4988,528,1107,1635,411,721,1131,1158,3011,4167,18,38,52,4140,7840,11983,396,361,755,472,1249,1723,33,30,56,901,1638,2534,29330,25275,54606,86749,85572,172315
SOS17,0,0,0,3,7,10,0,0,0,0,0,0,4,7,10,4,10,9,0,4,3,0,0,0,3,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,3,3,7,21,33,46,29,62,93
SOS19,32,19,49,85,106,191,8,10,21,14,15,36,107,131,243,63,32,97,5,10,16,10,19,25,75,55,134,15,20,43,17,30,44,29,15,44,31,53,78,5,0,9,97,120,217,110,123,228,64,76,139,10,10,17,31,42,71,0,4,7,209,254,461,26,38,60,37,33,65,0,0,4,60,69,129,2231,1127,3360,2819,1779,4593
SOS20,36641,33910,70548,117477,109023,226503,36691,35890,72583,19840,20569,40410,174011,165482,339492,74007,69335,143346,30295,31756,62050,28882,29691,58576,133188,130789,263971,10744,9839,20578,7281,10354,17628,10013,4734,14746,11067,14293,25357,368,302,672,39474,39513,78983,78687,89369,168053,27167,30171,57344,6322,7901,14229,18131,28267,46393,471,631,1100,130784,156340,287119,8460,10141,18599,10415,19245,29657,278,405,685,19145,29788,48936,137152,141494,278645,670394,697314,1367702
SOS21,8920,8227,17148,30052,27956,58010,10834,10895,21731,3611,3501,7112,44505,42356,86857,19756,18746,38507,8988,8974,17962,4482,4488,8970,33227,32210,65437,1656,1910,3566,762,1691,2457,3041,1910,4950,2444,3965,6406,89,86,166,7991,9560,17551,4810,7512,12321,1664,3215,4880,683,1260,1945,2522,5650,8180,45,75,128,9733,17721,27450,1113,1271,2379,1636,3330,4959,69,81,145,2809,4672,7489,40948,43792,84737,148142,158532,306674
SOS22,782,668,1455,3338,3030,6366,480,425,907,279,295,573,4094,3755,7847,1906,1973,3885,537,633,1167,373,358,734,2824,2967,5786,103,110,214,39,102,143,242,127,377,186,324,507,12,10,19,581,676,1256,208,371,585,79,191,270,37,77,121,175,471,652,0,7,7,512,1118,1628,85,92,172,112,270,381,8,10,17,196,371,570,4504,4466,8975,13496,14023,27523
SOS23,3010,2758,5772,11918,10932,22852,3844,3699,7542,1953,1974,3931,17712,16611,34322,7809,7521,15336,3813,3993,7809,2754,2909,5665,14373,14430,28807,504,526,1033,149,348,501,1467,635,2098,693,1367,2059,31,32,58,2849,2903,5753,1542,2548,4089,320,788,1103,240,432,679,662,1896,2562,8,34,45,2778,5704,8480,368,382,748,471,1115,1585,30,27,54,863,1525,2388,21553,17244,38796,63143,61172,124322
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,6
