SOS_CODE_2016,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
SOS10,7253,142439,12755,162451,9396,165872,15274,190536,24155,355106,35830,415091,33507,313022,27846,374373,41786,270825,24126,336739,39986,220890,20011,280884,24453,159493,17106,201050,11352,81849,12608,105800,3544,30448,6723,40722,195423,1739941,172280,2107645,7902,134973,11378,154257,11573,160800,13633,186005,36973,357298,32004,426273,53230,304976,24392,382594,66744,262817,21532,351096,64874,215902,19511,300284,35124,163380,18755,217264,13465,99103,16903,129473,2787,54758,13247,70794,292672,1753997,171358,2218034,15160,277411,24137,316706,20968,326670,28902,376543,61123,712402,67839,841359,86731,617995,52240,756967,108530,533648,45656,687831,104861,436786,39520,581173,59577,322870,35862,418310,24814,180950,29511,235279,6335,85207,19975,111515,488097,3493946,343644,4325678
SOS11,2002,36737,5324,44063,2143,33777,4296,40215,5662,65576,8537,79780,8037,63695,7854,79588,11018,67629,8259,86907,13025,70505,8641,92178,9279,63678,9360,82312,4654,33740,7558,45959,1314,11321,3698,16330,57136,446661,63523,567319,2407,35373,4687,42465,2981,33513,3402,39894,9854,67336,6446,83635,13788,64388,6076,84256,18616,68032,7233,93887,22154,69631,8209,99993,13307,65179,10123,88602,5523,40346,10498,56366,1029,21329,6871,29226,89655,465127,63539,618327,4405,72115,10011,86529,5119,67289,7704,80110,15516,132918,14977,163411,21826,128085,13930,163839,29634,135665,15492,180793,35181,140134,16857,192171,22587,128856,19480,170916,10178,74084,18054,102322,2347,32645,10570,45558,146793,911786,127071,1185649
SOS12,220,3689,662,4567,221,2827,326,3380,502,5205,646,6347,862,6351,723,7932,1393,7989,851,10233,1662,9038,1107,11809,1090,7661,1161,9916,455,3344,777,4576,100,892,264,1252,6506,46995,6515,60015,259,3514,565,4340,262,2600,273,3132,862,5334,609,6809,1414,6552,676,8638,2230,7632,845,10703,2688,8164,1024,11875,1409,6946,1042,9401,439,3165,827,4432,86,1293,344,1724,9643,45197,6206,61045,476,7202,1230,8907,485,5430,601,6513,1366,10538,1252,13157,2276,12901,1397,16573,3617,15619,1693,20935,4349,17209,2129,23683,2499,14612,2201,19314,892,6512,1603,9009,188,2182,609,2974,16152,92195,12723,121062
SOS13,837,15084,2810,18729,708,11088,1799,13601,1693,18770,3252,23718,3068,24364,3657,31084,5238,33358,4809,43405,6461,35635,5082,47179,3743,28168,4523,36434,1336,10609,2447,14394,293,2412,711,3412,23371,179488,29101,231960,886,13589,2548,17018,899,9457,1173,11532,2702,18130,2305,23136,5089,24342,3071,32498,8405,30711,4055,43171,9766,29623,4376,43769,4728,22205,3814,30752,1376,8304,2105,11785,218,2860,873,3961,34076,159225,24322,217622,1720,28672,5362,35753,1607,20551,2974,25135,4399,36903,5556,46857,8152,48701,6728,63585,13646,64065,8869,86576,16227,65258,9462,90948,8478,50371,8335,67180,2710,18916,4555,26179,514,5273,1587,7371,57445,338711,53422,449576
SOS17,0,5,0,3,0,3,0,9,0,8,0,11,0,8,4,18,3,18,0,25,5,14,4,22,0,38,5,48,0,9,9,16,0,3,0,3,12,105,33,157,0,7,0,7,3,0,0,4,3,13,5,24,0,12,3,14,0,19,9,31,11,33,9,53,6,43,14,60,0,11,12,24,0,3,0,7,28,137,54,220,0,12,0,12,0,4,0,9,3,23,7,32,3,21,8,34,6,39,7,50,13,45,18,74,10,73,22,108,0,25,20,42,0,9,0,10,40,247,91,374
SOS19,8,198,78,285,31,544,171,746,74,1032,507,1615,76,690,505,1269,98,588,466,1148,85,582,323,986,57,477,186,719,8,103,47,162,0,18,17,32,433,4229,2297,6958,17,164,54,232,31,450,135,615,72,734,292,1091,64,375,192,629,100,365,180,646,114,466,149,732,58,316,100,477,6,72,40,120,3,31,15,48,457,2981,1146,4590,26,358,130,517,58,1002,303,1358,138,1765,799,2703,134,1069,695,1900,193,956,647,1798,203,1046,468,1722,121,797,282,1196,14,176,89,282,3,47,25,78,888,7214,3448,11545
SOS20,5225,116072,10521,131821,7709,145349,12568,165623,19953,304856,28355,353161,27072,257304,21643,306022,34471,221492,18879,274841,32026,172493,15303,219820,19164,123412,13690,156263,9858,65561,11051,86471,2985,24747,5524,33259,158468,1431291,137533,1727287,6064,112289,9717,128075,9710,141361,11369,162436,30380,307288,26550,364222,43592,251545,19537,314671,56689,216172,17771,290627,53099,168905,15815,237818,28931,130797,15920,175652,11760,80941,14764,107472,2288,44048,10252,56588,242526,1453343,141690,1837560,11292,228366,20244,259900,17422,286706,23932,328057,50329,612146,54904,717381,70670,508852,41176,620699,91166,437661,36646,565475,85126,341400,31124,457642,48092,254217,29608,331909,21626,146502,25813,193940,5272,68794,15774,89845,400988,2884638,279223,3564851
SOS21,1394,27802,3643,32838,1638,26836,2761,31234,4303,51186,5220,60709,6142,48887,4940,59972,7915,50319,5520,63752,8931,48889,5705,63525,6103,41523,6250,53877,3093,21235,5101,29427,870,7595,2354,10823,40389,324269,41499,406154,1649,25811,3362,30827,2275,25728,2448,30455,7551,52705,4867,65121,10654,49623,4672,64952,14058,50543,5152,69755,15639,48832,5871,70339,8947,43480,7068,59492,3521,25875,7015,36406,698,14575,4292,19567,64981,337179,44750,446912,3038,53619,7007,63665,3908,52564,5213,61683,11852,103890,10084,125830,16793,98511,9612,124918,21973,100854,10677,133503,24567,97725,11574,133862,15046,85007,13311,113365,6612,47112,12115,65842,1574,22169,6648,30387,105369,661449,86246,853064
SOS22,139,2279,402,2826,102,1762,199,2060,308,3621,395,4325,542,4270,463,5280,853,5326,686,6869,1086,6170,787,8048,766,5336,903,6999,294,2246,531,3069,61,680,236,972,4153,31687,4602,40448,164,2039,352,2552,140,1610,162,1913,604,3563,396,4555,933,4300,501,5736,1470,5086,605,7166,1748,5527,719,7991,971,4671,846,6484,315,2234,612,3165,60,1084,337,1475,6410,30116,4524,41044,304,4321,757,5379,247,3370,358,3976,915,7180,793,8880,1480,8577,959,11016,2331,10411,1292,14036,2831,11698,1507,16033,1737,10006,1748,13490,607,4482,1144,6229,117,1763,568,2449,10557,61803,9132,81486
SOS23,550,11595,2040,14188,495,8728,1147,10371,1211,14055,2645,17911,2279,18567,3048,23893,3970,25744,3559,33275,4958,27140,3610,35706,2872,21195,3334,27407,967,7694,1742,10409,218,1766,512,2499,17522,136485,21640,175653,584,10518,1757,12860,663,7359,792,8809,1940,13934,1462,17334,3810,18328,1962,24097,6558,23802,2795,33153,7659,22720,3001,33382,3641,16594,2708,22945,911,6067,1489,8465,157,2063,543,2766,25919,121389,16506,163808,1132,22113,3796,27043,1157,16079,1937,19177,3145,27990,4106,35251,6089,36897,5006,47992,10527,49543,6352,66424,12614,49863,6613,69088,6516,37792,6044,50347,1883,13756,3232,18869,373,3836,1057,5266,43437,257869,38145,339459
