SOS_CODE_2016,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
SOS27,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,3,5,5,0,11,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,18,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,3,5,5,0,11,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,21,3,25
SOS29,8,124,42,180,20,301,122,447,48,695,306,1052,47,419,352,813,43,335,251,628,43,279,141,460,30,192,62,283,3,49,23,72,0,9,0,9,243,2405,1296,3942,7,131,41,178,22,323,107,453,57,538,201,795,54,272,152,479,40,216,93,347,52,227,78,352,26,141,36,204,4,29,9,49,0,19,11,28,265,1887,725,2883,18,254,84,357,41,627,229,898,101,1239,505,1848,101,691,500,1295,87,547,337,975,92,503,215,816,58,332,95,482,7,81,36,121,0,22,11,38,505,4294,2019,6825
SOS30,4228,92717,8884,105828,5069,104420,10219,119713,12939,203061,20592,236588,18323,184107,17227,219655,22158,168829,16216,207203,22067,135002,13203,170272,14170,101640,11515,127322,6571,46842,8205,61621,1873,15222,4536,21640,107395,1051841,110597,1269829,4930,89987,7887,102797,6593,104139,9127,119862,20559,206820,18527,245900,30429,186221,14911,231564,37490,168876,14473,220836,37191,134136,13006,184335,21327,104064,12399,137788,7442,55365,11326,74134,1373,28312,9115,38799,167330,1077923,110765,1356018,9154,182705,16774,208634,11667,208557,19349,239568,33493,409875,39118,482484,48747,370329,32133,451215,59644,337704,30691,428041,59256,269140,26209,354606,35495,205706,23909,265108,14013,102211,19529,135751,3253,43539,13652,60437,274723,2129762,221359,2625846
SOS31,1238,22707,3044,26987,1239,20980,2803,25026,3277,43288,6226,52787,4627,41420,5730,51776,5795,43235,5807,54832,6348,40392,5399,52136,4615,33530,5010,43155,2274,16683,3622,22580,520,4931,1530,6985,29934,267177,39162,336271,1349,21403,2863,25611,1643,20665,2296,24610,5742,44653,4764,55156,7986,41344,4274,53602,9893,42305,4683,56880,10654,38330,4668,53652,6534,32815,5132,44485,2525,18407,4459,25389,430,8795,2440,11661,46750,268711,35582,351044,2587,44108,5904,52606,2884,41648,5098,49633,9013,87940,10993,107945,12607,82761,10002,105374,15693,85542,10486,111716,16998,78722,10072,105789,11153,66343,10142,87643,4796,35094,8079,47969,952,13726,3972,18647,76684,535884,74746,687318
SOS32,200,3378,633,4213,174,2793,489,3458,490,5397,933,6826,790,6375,1012,8177,1090,8060,1158,10303,1238,8624,1145,11000,984,7373,1286,9644,355,2875,663,3900,65,675,217,956,5393,45545,7525,58466,229,3097,593,3922,281,2733,392,3399,884,5667,667,7224,1277,6468,695,8436,1797,7569,909,10279,2185,7689,978,10853,1278,6217,1030,8532,346,2504,670,3516,61,855,221,1134,8340,42806,6149,57294,428,6474,1231,8132,453,5525,884,6856,1375,11072,1600,14049,2069,12844,1701,16612,2886,15627,2066,20584,3422,16313,2119,21853,2261,13591,2320,18174,706,5386,1328,7421,127,1525,429,2085,13727,88354,13675,115759
SOS33,589,11309,2047,13950,523,8543,1471,10530,1283,15830,3250,20361,2277,20851,3444,26572,3703,27404,4109,35217,4297,27511,3901,35710,2629,21245,3463,27336,929,7720,1724,10373,205,1519,453,2170,16441,141917,23862,182219,647,10279,1626,12551,604,7587,940,9128,2147,15492,1911,19550,3979,20348,2525,26852,6256,25000,3220,34470,6764,22660,3096,32520,3371,16301,2724,22396,883,5669,1357,7908,121,1540,469,2140,24767,124867,17870,167514,1235,21588,3678,26495,1125,16127,2408,19656,3431,31321,5157,39910,6263,41197,5967,53426,9953,52403,7329,69689,11059,50170,7001,68226,6001,37541,6194,49736,1809,13384,3083,18283,328,3058,925,4307,41210,266790,41734,349730
SOS37,0,0,3,3,0,3,0,3,0,4,0,4,0,9,0,7,0,11,3,10,3,7,0,7,0,13,4,13,0,5,3,7,0,0,0,0,4,46,12,65,0,4,0,5,0,5,0,4,0,4,0,6,0,4,3,3,0,7,0,7,4,13,4,19,0,9,7,16,0,5,0,7,0,0,3,0,10,52,18,81,0,7,3,11,0,3,3,11,0,10,0,11,0,8,3,14,0,17,3,24,9,19,4,30,0,21,10,33,0,12,3,16,0,0,3,4,14,99,30,144
SOS39,10,155,42,212,31,404,122,559,49,887,349,1288,40,587,339,964,68,617,290,975,89,797,269,1147,74,847,202,1120,9,164,50,225,0,14,3,19,373,4473,1660,6509,11,160,35,203,23,427,121,576,40,741,221,1005,50,324,139,514,79,461,154,688,135,896,196,1224,86,593,116,798,8,101,41,153,0,16,6,18,440,3701,1044,5179,17,308,80,408,57,830,241,1133,91,1627,570,2293,87,914,477,1485,147,1078,440,1663,221,1686,466,2373,155,1437,321,1916,23,258,95,381,0,24,16,44,807,8179,2705,11693
SOS40,1562,31838,2526,35928,2116,37075,2525,41723,5197,71214,5482,81894,7233,63274,4772,75281,9865,61029,4787,75689,10462,52068,4086,66615,6455,40038,3844,50334,3040,21279,3130,27452,1085,8632,1665,11384,47018,386449,32830,466302,1722,30670,2239,34631,2635,35659,2233,40535,8232,70761,4787,83779,11348,60630,3861,75838,15466,58908,4016,78384,17185,51548,4138,72874,9433,43006,4506,56946,3504,26785,4442,34727,741,16426,3149,20318,70266,394386,33379,498030,3279,62512,4758,70554,4757,72732,4764,82252,13427,141970,10276,165670,18584,123903,8632,151122,25328,119940,8804,154069,27650,103616,8226,139495,15887,83042,8349,107279,6546,48061,7577,62177,1824,25059,4822,31706,117284,780838,66205,964327
SOS41,399,8022,992,9410,439,7348,739,8526,1154,14262,1614,17027,1672,14063,1540,17270,2345,16137,1613,20091,2709,15687,1620,20016,2089,13878,1753,17721,1027,7444,1438,9911,269,2618,721,3606,12101,99460,12027,123591,498,7528,866,8897,615,6967,588,8171,1980,14197,1154,17335,2859,14132,1115,18108,4001,15649,1389,21044,4579,14939,1560,21080,2936,14551,1946,19438,1099,8650,1883,11631,210,4676,1149,6035,18785,101299,11659,131734,903,15553,1858,18310,1061,14309,1327,16700,3131,28459,2770,34361,4534,28193,2650,35374,6342,31787,2998,41134,7288,30626,3187,41101,5023,28438,3699,37156,2121,16093,3328,21546,476,7296,1870,9636,30885,200761,23681,255330
SOS42,71,1206,205,1476,72,1094,94,1251,203,2212,205,2619,279,2307,230,2815,422,3008,311,3739,549,3393,355,4299,401,2928,393,3722,176,1340,268,1781,51,414,119,575,2216,17896,2177,22281,90,1162,161,1412,94,953,93,1141,312,2134,210,2661,467,2228,222,2917,692,2768,262,3719,909,2886,311,4108,493,2604,362,3456,190,1302,294,1789,33,716,237,982,3279,16757,2147,22179,157,2364,366,2891,163,2045,187,2392,521,4343,418,5278,739,4535,451,5731,1112,5775,571,7452,1455,6276,668,8402,897,5532,751,7180,368,2640,560,3567,79,1132,352,1559,5495,34646,4318,44462
SOS43,206,3779,623,4608,164,3002,387,3554,417,5142,825,6383,786,6798,951,8533,1429,9728,1161,12316,1744,10082,1174,12995,978,7398,995,9364,314,2469,476,3263,72,560,120,754,6099,48965,6712,61775,211,3436,501,4147,213,2382,228,2823,627,4781,448,5851,1183,6504,592,8278,2129,8459,844,11439,2559,8022,942,11525,1209,5626,768,7601,284,1964,398,2649,44,626,127,796,8463,41802,4849,55110,422,7212,1123,8754,377,5383,615,6381,1043,9928,1270,12234,1969,13301,1544,16817,3562,18183,2003,23752,4305,18105,2114,24519,2186,13022,1762,16965,591,4437,878,5909,111,1192,250,1555,14562,90762,11559,116882
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SOS49,4,70,18,95,13,115,39,161,26,254,73,349,35,164,88,280,31,147,108,282,23,160,54,239,18,118,36,168,4,31,3,43,3,10,0,13,143,1066,421,1627,4,55,19,80,11,74,20,99,24,149,36,209,16,83,38,140,30,110,51,192,21,121,28,164,17,64,17,97,3,10,3,21,0,8,0,7,127,676,215,1016,9,130,36,173,17,187,61,266,47,403,110,556,48,244,126,421,60,260,159,474,48,278,80,403,28,183,50,271,4,40,9,59,3,13,3,22,265,1740,638,2648
SOS50,2208,52201,4505,58919,2780,57880,5263,65921,7282,127895,13672,148852,9592,110590,10608,130795,12221,100738,9331,122291,12313,78788,7434,98533,7670,56700,6196,70572,3710,27263,4748,35729,1106,8693,2551,12346,58884,620752,64310,743945,2583,49752,4111,56441,3525,54997,4590,63114,11489,127118,11312,149926,15641,108611,8416,132670,20365,97097,7748,125204,21247,77212,6935,105395,11681,56979,6768,75422,4364,32734,6610,43707,818,15870,4885,21571,91708,620364,61372,773447,4794,101954,8613,115359,6303,112876,9857,129031,18776,255017,24987,298774,25238,219207,19020,263462,32586,197834,17084,247498,33560,156001,14367,203928,19351,113671,12966,145991,8075,59997,11361,79433,1921,24564,7429,33920,150594,1241117,125679,1517390
SOS51,421,9375,1473,11274,422,8449,1205,10078,1243,20235,3343,24811,1762,19946,3053,24761,2104,19608,2928,24641,2135,16579,2461,21181,1383,11630,1907,14920,652,5281,1296,7227,179,1661,542,2384,10308,112753,18210,141275,541,8685,1328,10550,566,8042,1035,9641,2169,21122,2659,25948,2806,19877,2322,25005,3577,18338,2339,24259,3678,15390,2104,21179,2012,11067,1846,14930,807,5926,1645,8381,133,2796,874,3803,16292,111240,16152,143683,961,18061,2804,21827,989,16485,2240,19714,3404,41355,5999,50764,4562,39823,5371,49760,5686,37947,5263,48895,5814,31969,4569,42357,3399,22689,3757,29846,1463,11210,2943,15608,316,4457,1418,6189,26597,223999,34362,284961
SOS52,98,1429,357,1880,135,1287,214,1632,304,3037,546,3888,348,3016,549,3914,444,3544,623,4612,455,3641,609,4709,329,2796,487,3608,120,1156,343,1612,34,300,110,445,2258,20208,3830,26298,124,1270,301,1697,171,1269,212,1649,482,3144,536,4162,549,2869,461,3873,740,3335,487,4562,799,3190,492,4486,393,2314,430,3135,145,1133,370,1654,26,390,150,561,3423,18926,3445,25786,223,2702,658,3579,300,2552,429,3277,781,6185,1075,8045,889,5887,1010,7790,1181,6883,1114,9179,1257,6829,1107,9195,723,5109,918,6744,262,2292,712,3265,64,692,256,1011,5683,39131,7275,52084
SOS53,181,3975,800,4957,192,3412,1057,4662,541,8699,3261,12506,822,9648,2859,13329,1262,12086,2500,15848,1428,10748,1777,13957,808,7320,1152,9278,261,2445,528,3230,60,472,125,659,5562,58801,14062,78428,194,3320,610,4125,210,2532,381,3124,713,5988,949,7644,1113,7533,1018,9668,1934,9292,1244,12472,2189,8283,1112,11581,944,5362,859,7171,253,1818,385,2457,38,473,118,633,7585,44612,6679,58873,377,7293,1411,9078,408,5946,1434,7782,1255,14691,4207,20155,1928,17179,3879,22994,3196,21379,3747,28322,3614,19033,2892,25541,1751,12687,2009,16447,507,4263,921,5691,101,945,241,1288,13144,103417,20738,137303
SOS57,0,0,0,0,0,16,0,17,0,94,26,124,4,98,20,120,3,72,16,94,0,36,5,43,0,4,0,8,0,3,0,3,0,3,0,3,17,320,72,408,0,0,0,0,0,4,0,3,0,6,3,6,0,3,0,3,0,3,3,8,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,23,8,26,0,0,0,0,0,15,3,20,0,96,29,127,4,103,20,127,4,80,19,105,0,41,5,43,0,4,0,8,0,3,0,3,0,3,0,3,13,338,77,434
SOS59,3,58,22,84,11,183,63,254,23,531,219,773,25,365,215,606,35,355,247,638,45,365,130,540,9,286,85,375,4,41,9,58,0,9,3,12,154,2188,990,3336,0,43,19,65,10,172,62,242,21,363,149,534,23,178,104,305,19,204,100,325,37,314,80,442,17,189,54,254,3,21,13,37,0,7,6,11,135,1491,597,2220,0,103,48,151,22,356,129,503,48,891,370,1306,45,541,316,910,51,561,350,957,81,683,212,977,30,468,137,633,11,64,27,98,0,13,11,23,294,3679,1583,5559
SOS60,216,4904,416,5540,283,5244,474,6000,686,9983,997,11661,930,8794,798,10524,1383,8872,836,11089,1545,8361,845,10747,997,6419,760,8176,475,3373,570,4416,173,1235,247,1652,6691,57181,5942,69810,293,4620,428,5343,373,5170,383,5926,1120,10209,748,12079,1560,9265,681,11514,2280,8953,697,11935,2595,8582,825,12000,1515,7029,872,9417,546,4258,830,5643,112,2392,497,2999,10391,60498,5960,76850,513,9531,845,10883,658,10414,854,11926,1800,20196,1747,23740,2490,18065,1478,22036,3668,17827,1532,23022,4140,16946,1665,22751,2516,13453,1631,17594,1021,7633,1407,10056,284,3621,746,4651,17083,117679,11903,146664
