SOS_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
SOS49,4,5,3,0,0,0,3,5,0,23,0,6,3,8,6,3,3,13,0,40,11,3,67,11,9,9,18,33,3,157,0,0,0,0,0,4,0,3,0,7,0,0,3,3,0,0,0,7,0,12,0,0,0,0,0,0,3,4,0,16,4,0,3,0,0,0,8,11,4,31,35,96,77,32,34,20,36,109,7,444
SOS50,6450,11125,5268,5755,6381,2592,1529,1885,503,41486,7989,9022,8228,11659,9634,4538,2360,3134,706,57268,15482,8481,74113,21778,17495,9895,13113,13438,2775,176568,805,529,1033,1798,2268,1835,749,1568,134,10719,1757,1457,1895,3706,4120,1902,1297,1657,236,18018,970,1809,1015,944,1292,612,451,760,169,8016,1274,2106,1993,2151,2117,1520,1358,1899,1477,15894,75198,185192,105779,66119,70184,34257,25469,32406,8849,603457
SOS51,956,1656,719,988,867,321,271,334,58,6173,1288,1353,1211,2219,1398,598,396,548,100,9114,3607,1851,19631,4928,3913,2234,4537,3785,743,45226,244,163,289,488,655,570,274,587,40,3316,389,267,403,759,722,410,410,515,49,3924,116,165,128,155,141,70,118,168,20,1093,323,312,512,503,420,421,555,694,366,4102,10461,21864,24158,12053,10146,5373,7034,7711,1597,100406
SOS52,189,226,81,161,115,30,39,51,10,904,162,157,145,279,202,66,63,76,15,1159,639,294,2574,740,514,225,759,674,112,6534,39,27,35,86,98,59,29,102,3,480,69,47,69,111,141,44,54,90,7,637,32,16,24,20,18,5,14,40,6,176,88,63,128,111,76,70,125,185,75,917,1819,2667,3188,1769,1406,594,1140,1338,260,14184
SOS53,1013,813,392,399,443,147,180,211,40,3625,914,543,552,613,582,216,260,279,61,4013,3083,757,9219,1538,1390,642,2445,2203,349,21627,199,66,116,160,227,139,115,253,15,1289,450,105,200,296,313,133,201,213,20,1938,115,84,51,55,64,31,40,81,10,536,537,152,222,209,235,108,262,306,134,2167,9440,9078,11346,3858,4328,1698,3760,4091,751,48353
SOS57,3,20,9,0,3,0,0,5,0,37,0,11,0,0,0,0,3,0,0,18,3,13,63,0,0,0,9,35,3,124,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,3,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,13,78,73,0,4,0,21,55,9,250
SOS59,3,18,9,0,3,3,4,9,3,49,3,15,11,16,8,0,9,22,0,84,22,13,233,38,32,17,75,69,11,508,0,3,0,3,3,3,8,7,0,34,0,0,3,9,6,3,12,12,0,49,0,5,0,0,0,3,6,4,0,22,3,7,4,0,0,0,7,10,4,41,73,214,279,110,77,41,139,193,42,1169
SOS60,477,789,266,448,498,134,41,71,49,2760,724,763,468,987,922,328,94,138,71,4498,1648,787,5606,2646,2172,1063,754,1079,235,15985,68,60,90,191,222,245,38,211,11,1143,139,138,101,406,356,162,61,146,36,1552,55,147,50,57,98,26,27,43,7,517,131,166,172,219,154,130,100,184,116,1367,6536,17418,7569,6749,6722,2774,1293,2311,787,52156
SOS61,393,688,251,460,368,106,44,105,31,2446,628,762,459,1209,863,303,102,195,63,4580,2286,840,7436,3279,2250,1432,1553,1834,289,21195,97,50,128,320,311,322,91,320,23,1659,164,98,132,535,383,221,113,230,32,1904,43,93,28,67,81,36,28,50,13,441,130,146,216,272,183,209,203,334,167,1864,5386,12214,9095,7155,5424,2964,2240,3363,730,48573
SOS62,69,130,47,62,67,25,4,25,4,438,118,98,71,156,106,52,12,44,16,672,389,131,1193,383,283,154,284,320,59,3201,14,12,26,33,43,33,11,56,3,225,43,22,24,87,52,33,24,55,4,332,5,13,8,10,11,12,0,14,0,81,47,33,58,45,18,39,41,84,34,402,998,1797,1494,921,765,394,401,636,137,7548
