SOS_CODE_2016,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
SOS61,1179,3246,5214,4316,2978,3173,2362,1121,352,23937,640,767,1442,1199,854,669,422,201,57,6255,863,1607,3182,3884,6455,5344,3472,1424,264,26492,88,128,259,321,850,1591,2215,973,191,6615,58,76,156,166,319,645,1094,1165,681,4366,11,26,39,53,91,69,47,47,17,411,360,453,778,737,988,1058,1280,923,387,6973,3209,6301,11073,10676,12539,12555,10889,5854,1952,75049,1276,3662,6529,5785,4227,3619,2271,1217,480,29080,621,739,1466,1383,1288,1010,554,256,110,7423,666,1143,2679,3493,6439,5959,4396,2059,556,27397,89,97,166,261,696,1644,2551,1192,331,7022,31,48,110,144,188,510,856,1315,1305,4503,3,26,63,87,96,48,45,44,34,435,345,387,759,747,964,1173,1516,1306,777,7975,3043,6087,11768,11900,13901,13971,12200,7388,3588,83836,2459,6913,11743,10098,7204,6796,4631,2341,825,53017,1263,1503,2908,2585,2145,1674,976,456,166,13677,1528,2749,5857,7377,12895,11309,7869,3485,820,53890,176,219,432,583,1539,3236,4766,2166,524,13641
SOS62,138,298,546,616,511,733,582,254,50,3726,110,79,192,169,158,172,102,32,9,1029,125,214,499,607,1031,1022,664,220,34,4421,24,13,28,66,141,314,436,142,31,1192,3,3,13,17,36,114,224,182,74,671,0,0,3,3,0,6,6,5,4,34,63,43,89,125,204,253,270,182,69,1290,467,650,1366,1603,2090,2608,2281,1021,276,12363,157,343,795,910,703,803,525,223,70,4523,75,94,221,214,195,198,117,36,4,1156,78,134,307,493,963,1002,722,255,49,3999,6,7,19,33,111,290,394,150,29,1035,3,4,13,15,15,83,131,158,127,546,0,0,0,3,4,10,4,0,6,28,60,59,108,118,185,224,264,213,86,1316,373,639,1466,1793,2177,2611,2155,1032,369,12607,292,642,1338,1531,1210,1534,1105,484,122,8255,186,173,411,385,362,372,220,66,14,2185,206,348,809,1102,1994,2019,1382,479,87,8420,33,23,45,101,256,604,829,289,57,2224
SOS63,453,1027,1639,2212,2055,2684,1901,553,89,12620,310,277,567,583,558,531,302,86,15,3225,468,731,1397,2192,4025,3562,1909,516,58,14847,51,38,98,187,622,1031,1199,394,40,3654,14,13,44,52,153,412,625,435,165,1917,7,7,10,18,17,20,38,21,3,134,199,164,334,443,655,851,703,373,93,3825,1502,2263,4090,5692,8084,9090,6668,2366,466,40222,528,1092,2510,3138,2979,2959,1606,416,98,15329,267,232,500,672,767,683,302,86,21,3523,260,371,891,1587,3328,3088,1742,473,72,11812,38,22,64,99,319,772,917,298,53,2578,9,8,27,28,65,199,294,257,148,1033,3,4,0,3,13,14,9,12,3,69,191,137,319,430,586,717,619,318,69,3377,1295,1871,4305,5962,8070,8431,5478,1856,456,37717,983,2122,4147,5356,5034,5641,3503,967,188,27951,578,511,1065,1252,1326,1213,602,167,37,6751,721,1098,2289,3780,7351,6657,3647,984,126,26656,87,58,162,290,947,1799,2110,684,90,6227
SOS67,0,0,10,4,3,0,0,0,0,18,0,0,3,0,3,0,0,0,0,8,0,0,3,4,6,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,6,15,5,10,8,4,0,0,49,0,3,5,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,4,3,0,0,18,0,4,11,4,3,6,0,0,0,25,0,0,4,0,3,0,3,0,0,10,0,0,3,4,9,10,3,0,0,22,0,0,0,0,0,0,0,0,0,0
SOS69,7,19,51,24,13,11,19,0,0,141,3,8,3,5,7,3,3,0,0,32,10,17,21,25,23,13,17,0,0,125,3,0,3,6,8,12,3,0,0,32,0,0,0,5,8,4,3,0,0,19,0,0,0,0,0,0,0,0,0,0,7,19,38,28,20,8,4,3,0,130,27,56,120,93,77,52,48,8,0,475,8,13,40,30,20,29,9,3,0,149,5,3,3,4,6,0,0,0,0,27,0,3,10,19,15,18,11,3,0,79,0,5,0,4,4,3,5,0,0,18,0,3,0,0,3,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,4,12,7,17,6,11,0,0,57,23,29,69,54,59,56,38,5,0,343,16,31,94,48,25,41,23,3,0,296,6,11,5,5,16,3,7,0,0,59,7,20,31,38,41,30,28,4,0,203,4,7,3,11,6,14,8,0,0,50
SOS70,748,2725,7602,5704,3484,2392,1293,339,73,24352,249,526,1258,993,1277,795,246,66,8,5418,230,550,1446,1291,1767,1407,638,185,38,7548,64,76,214,236,283,296,185,80,16,1458,23,19,95,138,187,263,375,195,46,1341,3,21,42,40,36,52,44,35,7,281,326,745,2189,1591,1296,920,517,175,62,7817,1643,4666,12849,9995,8327,6123,3291,1071,245,48213,722,2659,8276,5994,3641,2285,1016,291,52,24932,156,320,761,758,1085,729,234,71,16,4132,167,369,949,905,1352,1174,663,214,50,5849,50,56,182,165,239,263,179,79,20,1236,20,24,103,141,192,308,319,215,87,1387,0,8,33,42,48,83,56,40,21,326,266,484,1408,920,777,700,396,184,82,5216,1377,3913,11716,8927,7333,5534,2860,1095,323,43075,1469,5381,15875,11694,7129,4676,2309,628,121,49279,407,850,2018,1754,2360,1524,481,142,19,9551,402,922,2397,2201,3123,2583,1300,396,82,13399,115,131,401,404,524,558,371,156,39,2697
SOS71,199,585,1781,1429,1079,801,309,81,9,6259,143,235,464,381,465,318,75,19,3,2106,145,302,654,567,710,544,230,62,12,3224,84,93,213,171,193,139,90,26,3,1026,89,95,206,209,226,204,181,60,16,1289,15,18,52,42,68,47,32,17,10,303,226,245,674,545,491,400,222,81,19,2892,904,1577,4042,3347,3224,2453,1136,344,74,17105,240,709,2290,1751,1331,930,242,73,16,7579,124,216,478,360,442,305,92,20,3,2036,126,251,589,533,693,498,204,74,27,2990,60,79,190,175,174,132,88,33,4,932,65,102,198,179,225,214,157,73,25,1242,9,13,35,28,41,41,37,37,21,254,192,228,698,537,507,394,189,79,40,2857,812,1593,4475,3560,3406,2515,1004,389,136,17888,434,1292,4067,3178,2406,1733,548,152,27,13835,266,456,938,735,905,621,169,40,6,4139,271,554,1242,1101,1404,1037,430,139,37,6215,151,178,407,349,362,274,177,62,11,1956
SOS72,100,264,601,463,330,286,107,24,3,2170,76,121,276,195,171,91,24,5,0,956,153,222,424,358,343,234,75,8,4,1822,107,125,238,164,162,72,43,13,0,920,142,155,295,237,209,186,97,36,6,1369,16,19,36,40,48,43,56,34,13,307,163,167,310,239,308,194,85,28,7,1502,747,1079,2182,1695,1576,1111,493,140,27,9052,93,288,759,520,459,287,79,17,4,2512,97,183,310,204,182,104,22,3,4,1110,141,211,413,355,340,222,58,8,4,1755,86,124,243,213,140,83,38,12,0,948,108,132,264,247,255,199,127,34,12,1376,13,14,28,22,48,64,65,47,7,309,107,177,304,258,272,182,90,24,4,1431,648,1133,2330,1810,1697,1141,484,147,40,9440,193,557,1359,986,788,569,186,38,4,4683,165,298,584,402,354,198,51,12,4,2070,299,435,840,707,684,455,131,24,5,3583,189,252,486,374,304,159,84,20,0,1867
SOS73,174,441,805,767,619,497,286,64,13,3651,110,167,301,332,413,258,84,18,0,1675,133,224,551,580,851,632,282,58,8,3313,55,65,141,149,195,147,113,31,3,896,58,63,140,164,165,198,164,61,17,1028,5,5,15,19,38,42,40,24,9,194,276,425,682,541,550,417,251,50,3,3193,797,1385,2641,2556,2826,2185,1215,306,45,13954,174,433,1054,1072,793,471,235,45,9,4280,83,117,217,252,376,224,53,8,0,1338,68,152,336,353,554,467,215,42,11,2187,42,42,95,95,119,100,52,23,3,562,38,55,135,142,157,161,140,48,8,875,0,9,23,12,42,45,46,35,7,225,234,221,386,343,375,312,147,46,13,2072,636,1027,2239,2271,2406,1776,889,242,45,11535,345,873,1858,1834,1409,961,516,112,18,7931,191,281,517,585,787,478,141,27,0,3010,195,377,885,939,1400,1094,496,95,17,5494,97,103,234,245,312,247,166,55,4,1464
SOS77,0,0,19,11,10,3,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,4,23,16,11,3,0,0,0,61,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,3,0,10,0,0,24,11,10,3,0,0,0,42,0,0,0,0,3,0,0,0,0,6,0,0,3,0,0,0,0,0,0,5,0,3,0,6,0,0,0,0,0,8
SOS79,10,36,76,55,40,48,33,7,0,302,0,10,13,17,28,20,15,0,0,96,4,19,30,40,64,59,45,3,0,255,0,0,0,15,19,22,20,6,0,81,0,0,9,8,23,13,26,0,0,80,0,0,0,0,9,3,3,0,0,12,3,38,89,75,84,60,35,12,0,397,17,98,219,215,257,227,174,20,0,1233,6,43,110,59,43,48,38,0,0,348,0,0,8,15,11,25,3,4,0,71,4,7,13,21,42,59,32,3,0,172,0,0,8,8,12,19,6,0,0,60,0,0,3,12,17,9,6,0,0,44,0,0,5,0,3,0,0,0,0,7,0,35,92,63,74,45,24,0,0,335,14,85,239,180,203,212,105,10,0,1046,14,80,189,117,82,101,68,4,0,655,3,10,27,28,38,48,22,3,0,172,5,22,40,58,103,121,78,3,0,433,0,4,11,25,35,38,28,6,0,144
SOS80,4083,12881,25982,23152,17240,13230,8412,3219,1046,109236,316,543,1141,1029,1226,863,555,207,75,5947,487,1057,2336,2229,4039,3353,2231,1024,314,17063,125,184,273,319,459,584,782,386,133,3245,35,59,135,180,246,479,737,678,282,2831,9,36,96,89,111,80,74,77,30,613,507,1008,2323,1783,1540,1203,1088,825,426,10708,5565,15758,32287,28774,24859,19787,13880,6413,2311,149642,4295,13131,28450,24462,18544,12975,7585,2893,987,113310,302,400,884,889,1171,1034,676,341,141,5834,380,775,1803,1923,4011,4614,3894,1934,711,20055,108,170,243,290,432,774,1037,620,339,4004,37,63,126,182,293,614,973,934,613,3822,3,25,81,82,104,132,127,157,74,775,515,920,1973,1489,1316,1331,1166,1011,965,10673,5638,15471,33549,29315,25866,21474,15446,7890,3832,158478,8378,26004,54429,47613,35784,26204,15997,6106,2037,222551,620,939,2024,1917,2395,1891,1225,550,219,11779,862,1831,4137,4146,8057,7969,6122,2963,1031,37117,235,355,519,601,885,1357,1822,1010,469,7251
SOS82,3,6,3,17,16,10,11,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,8,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,3,10,5,13,23,16,16,14,3,103,9,5,6,15,16,14,14,0,0,71,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,9,4,3,0,23,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,6,5,9,19,26,25,12,6,0,106,10,8,8,33,33,25,22,0,0,137,0,0,0,0,0,0,0,0,0,4,0,0,3,4,11,13,10,8,0,47,0,0,0,0,0,0,0,4,0,4
SOS83,6,19,35,49,25,22,15,3,0,175,3,0,5,3,10,0,0,0,0,19,0,0,7,5,20,13,5,3,0,58,0,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,10,4,11,9,0,0,0,34,17,25,50,65,64,50,18,6,0,302,8,15,41,48,35,25,5,0,0,179,0,0,0,3,5,5,0,0,0,15,0,0,9,12,7,7,11,0,0,42,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,3,7,3,3,3,0,33,12,20,61,65,55,39,21,6,3,274,12,34,79,99,65,42,24,6,0,358,3,0,3,9,15,4,0,0,0,29,3,0,17,14,23,27,13,3,0,100,3,0,0,3,5,5,3,0,0,19
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,24,30,19,16,12,7,0,0,120,0,0,4,3,0,0,0,0,0,10,3,4,7,19,12,14,6,0,0,63,0,0,9,3,3,0,0,0,0,17,0,0,0,3,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,3,3,6,8,22,16,10,6,0,0,75,12,36,63,67,43,38,15,5,0,293,8,28,32,22,14,18,7,0,3,138,0,0,0,0,0,4,0,0,0,10,3,3,0,9,0,5,0,0,0,18,0,0,0,0,5,3,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,9,3,9,6,3,0,0,0,29,17,42,44,40,26,34,9,4,3,210,12,54,68,46,26,35,12,0,3,257,4,3,6,3,0,4,0,0,0,19,10,5,11,21,13,15,6,0,0,82,0,0,7,3,4,4,0,0,0,22
SOS91,6,22,65,62,61,38,19,3,0,268,0,5,10,11,13,9,0,0,0,47,3,0,12,21,37,30,14,0,0,116,0,0,0,0,4,7,0,0,0,17,0,0,0,0,6,27,37,13,0,83,0,0,0,0,3,0,3,5,0,15,11,12,28,15,30,28,27,3,0,150,15,41,114,112,145,141,106,24,0,699,3,25,65,63,39,31,8,0,0,239,0,0,8,12,11,6,0,0,0,33,0,3,9,14,30,17,3,3,0,82,0,0,0,0,3,7,0,0,0,10,0,0,0,0,11,24,10,7,0,47,0,0,3,0,3,9,4,3,0,22,5,3,24,10,30,25,6,0,0,97,10,36,103,106,124,115,38,9,3,539,12,51,131,123,100,65,20,7,0,513,0,5,18,27,19,14,3,0,0,82,3,4,19,34,66,48,19,4,0,199,4,0,0,3,12,9,0,0,0,27
SOS92,16,29,55,53,31,31,13,12,0,242,0,6,5,8,8,3,5,0,0,38,3,4,3,26,37,29,24,3,0,130,0,0,0,0,10,7,8,3,3,36,0,0,0,3,3,3,0,3,0,15,0,0,0,0,7,13,18,7,0,48,0,4,10,9,16,13,6,5,0,71,20,39,77,99,116,104,88,34,10,578,14,19,71,62,47,39,19,5,3,275,0,0,6,13,6,8,3,0,0,38,3,3,9,16,35,26,27,9,3,123,0,0,0,0,0,3,8,0,0,16,0,0,0,0,5,5,3,0,3,16,0,0,0,0,3,24,15,9,0,58,8,3,9,7,12,15,12,10,0,73,22,26,93,100,107,126,85,40,12,593,25,42,123,118,77,70,32,20,5,521,0,6,17,17,21,8,10,3,0,82,4,3,9,38,69,60,50,10,5,250,0,0,0,0,6,9,17,8,3,51
SOS93,3,7,19,39,26,42,21,6,9,165,3,0,0,3,6,4,4,0,0,28,4,5,9,19,34,35,19,8,0,132,0,0,0,0,10,8,5,5,3,32,0,0,0,0,4,0,4,5,0,13,0,0,0,0,0,0,0,0,0,3,0,42,104,66,40,21,12,4,3,298,16,54,132,131,115,112,66,37,14,673,5,7,34,59,38,43,34,6,8,233,0,0,3,7,8,3,7,4,0,31,0,0,9,5,38,34,29,20,4,131,0,0,5,3,5,3,3,7,6,21,0,0,0,0,0,7,3,3,0,12,0,0,0,0,0,0,0,0,0,0,7,0,3,9,11,14,12,10,4,70,13,9,47,81,98,101,88,46,13,496,11,17,44,97,66,85,62,17,8,399,3,0,5,5,15,9,12,3,0,57,4,5,11,31,69,69,40,27,7,260,0,0,9,8,10,11,7,9,7,59
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
SOS99,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,4,3,3,6,0,0,21,0,4,0,3,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,5,4,4,6,0,0,30,0,3,0,4,7,0,3,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,11,0,0,0,0,0,0,3,0,0,3
