SOS_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
SOS10,1049729,3237979,100280,222971,161367,434611,261652,657584,107520,219450,159546,341394,215479,470786,2027,4404,484573,1036028,1559,2427,2180,3462,326,704,7003,17611,11070,24209,7681,16918,1814697,4972725,152228,..,1966923,4972725
SOS11,453262,1147865,39437,65480,13823,26250,53259,91722,27704,43626,2800,4531,2562,4195,124,227,33194,52574,2693,4122,2923,4477,240,450,2188,5019,8047,14063,3683,7235,551443,1313461,84187,..,635633,1313461
SOS12,50470,127348,1050,1918,413,822,1461,2740,899,1435,79,140,16,28,15,30,1014,1639,348,587,558,925,34,70,257,518,1192,2103,620,1286,54761,135106,13500,..,68263,135106
SOS13,176355,476282,975,2158,108,278,1079,2433,487,931,33,49,17,19,69,141,605,1143,1022,1773,1035,1852,708,1506,511,1396,3279,6526,2096,5125,183411,491504,34834,..,218240,491504
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOS20,1027846,3002480,161688,345483,105322,271116,267012,616596,89253,169848,49250,86088,93238,174074,333,667,232072,430675,594,872,1522,2086,115,184,3903,9150,6133,12295,4581,10011,1537642,4072054,162919,..,1700564,4072054
SOS21,345566,867490,29555,48682,3342,6919,32896,55596,12615,18689,352,538,89,127,25,52,13088,19407,796,1130,740,1070,43,94,865,1905,2442,4192,1617,3263,395606,949940,67793,..,463403,949940
SOS22,35767,84311,466,762,71,162,535,927,406,586,18,38,43,111,7,10,465,749,311,442,121,193,33,65,244,522,710,1220,278,598,37758,87799,16276,..,54030,87799
SOS23,137775,361981,361,830,119,272,480,1104,330,565,5,10,66,112,21,35,419,721,536,840,807,1269,174,354,289,679,1802,3131,1224,2877,141696,369815,31639,..,173336,369815
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOS29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOS30,820621,2373593,58286,104943,91194,205994,149479,310933,57536,100193,50765,93056,59636,113006,247,470,168176,306726,3126,4744,2534,3757,156,310,1048,2757,6868,11562,4782,9353,1149922,3012173,114983,..,1264903,3012173
SOS31,263259,695366,16232,27206,7589,13806,23826,41013,14569,23781,1132,1870,1300,2240,70,125,17065,28012,2838,4565,1009,1584,270,607,699,1610,4818,8366,1621,3285,310591,776045,47408,..,358004,776045
SOS32,47695,121445,900,1794,121,277,1022,2072,1028,1633,40,65,19,31,13,19,1096,1742,1000,1730,167,257,167,314,216,479,1556,2773,702,1510,52068,129548,10541,..,62608,129548
SOS33,138072,371771,556,1286,105,247,658,1535,360,655,4,14,16,24,60,115,437,817,1966,3385,581,1019,763,1552,266,717,3577,6674,1503,3731,144249,384524,22643,..,166894,384524
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOS39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOS40,324804,858752,59934,112865,20770,46635,80704,159501,28344,48243,3960,6942,5622,9849,86,170,38014,65204,313,504,223,337,40,71,487,1146,1057,2057,1254,2753,445836,1088266,43601,..,489436,1088266
SOS41,103488,251509,12677,22581,496,1023,13174,23611,3630,5120,57,84,29,45,6,15,3716,5265,397,586,201,316,39,82,150,312,780,1287,548,1137,121711,282802,24114,..,145825,282802
SOS42,19643,46220,445,638,15,27,457,667,199,287,0,3,0,0,3,7,203,293,161,238,45,74,37,55,158,360,402,733,175,341,20886,48252,8117,..,29000,48252
SOS43,48863,125653,163,290,5,18,174,308,37,86,21,33,3,8,3,3,64,127,334,535,220,355,121,214,105,232,784,1337,478,1097,50362,128520,16406,..,66766,128520
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOS50,510058,1424397,81162,161101,28687,62517,109846,223620,17094,28781,11413,19374,16833,29384,49,82,45387,77619,907,1296,560,863,50,92,476,1204,1986,3452,1495,3297,668779,1732380,83166,..,751943,1732380
SOS51,108296,285761,10109,17704,1622,3476,11726,21179,2958,4830,162,278,132,235,12,29,3266,5371,1303,2156,651,1010,112,221,316,715,2388,4113,664,1393,126344,317815,27923,..,154265,317815
SOS52,20815,52967,734,1343,33,57,767,1398,277,422,14,25,0,6,3,4,305,464,311,542,21,29,41,87,134,312,506,973,227,524,22615,56326,7608,..,30231,56326
SOS53,46657,124023,198,358,19,44,216,407,105,190,3,9,0,3,12,26,121,225,764,1327,172,286,364,854,141,342,1441,2814,598,1340,49039,128803,14179,..,63214,128803
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOS60,56890,141430,2814,4548,2021,3847,4831,8392,5603,9197,927,1517,623,970,62,120,7225,11809,31,53,57,98,14,13,141,345,240,509,178,370,69360,162505,6448,..,75814,162505
SOS61,69279,165845,5028,7289,1153,2240,6181,9527,3380,5075,155,211,193,242,95,146,3814,5670,140,210,147,220,25,54,195,417,508,899,228,467,80004,182415,10478,..,90476,182415
SOS62,11661,26766,243,362,3,15,248,380,151,216,0,4,0,3,4,10,164,231,45,74,22,26,6,8,75,173,144,281,77,145,12287,27806,4535,..,16818,27806
SOS63,35178,87697,118,238,8,17,123,254,61,105,0,0,0,0,0,8,63,113,116,206,80,137,66,118,46,104,309,566,253,574,35932,89209,10673,..,46602,89209
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOS70,22004,68630,2621,5579,2018,4681,4633,10260,3797,8077,1755,3682,4450,9544,11,32,10017,21333,409,811,88,164,24,55,131,325,660,1353,188,384,37506,101959,4990,..,42494,101959
SOS71,8899,31554,2050,4978,673,1445,2728,6424,572,980,122,205,61,89,5,12,757,1285,198,326,18,26,46,89,311,773,574,1216,134,234,13088,40710,2387,..,15481,40710
SOS72,4425,20516,408,1269,13,18,423,1284,548,1066,14,20,0,0,9,10,569,1103,153,315,32,55,53,176,25,57,269,598,53,100,5742,23606,1132,..,6875,23606
SOS73,7767,25050,67,186,0,0,66,188,23,41,0,0,0,0,3,4,23,52,404,807,62,106,185,482,21,57,671,1456,193,600,8721,27339,2206,..,10927,27339
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOS79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOS80,95222,269340,13861,27753,11409,26420,25270,54169,4597,8056,7314,13208,9303,16159,191,330,21404,37754,26,39,104,167,9,11,45,139,184,356,271,519,142353,362142,12539,..,154896,362142
SOS82,87,246,12,15,0,0,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,256,12,..,109,256
SOS83,206,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,3,9,0,7,214,639,40,..,252,639
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOS89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOS91,194,573,50,137,29,77,85,214,42,82,59,172,5,13,0,0,108,263,0,0,0,0,0,0,3,5,3,5,10,13,399,1068,85,..,485,1068
SOS92,478,1266,0,3,0,0,0,3,6,9,0,0,0,0,3,3,10,12,0,0,0,0,3,4,11,15,12,15,8,12,510,1317,163,..,668,1317
SOS93,450,1089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,454,1091,132,..,585,1091
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
