SOS_CODE_2016,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
SOS27,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4,29
SOS29,86,46,36,81,64,39,101,38,32,73,43,37,84,237,188,425,47,56,105,43,24,61,45,31,76,45,20,63,52,34,87,219,169,390,37,25,65,40,31,68,32,31,68,36,34,66,34,24,50,170,141,311,24,25,51,22,10,35,26,14,40,17,8,23,19,8,31,112,62,174,15,8,15,7,4,16,7,11,15,15,8,24,8,7,9,48,32,78,32,16,45,5,24,26,3,3,8,0,3,3,0,0,0,4331,3238,7565
SOS30,40550,18676,20054,38733,18135,19649,37781,17464,19153,36615,17090,18366,35463,90971,98168,189143,16806,17994,34797,16126,17455,33583,15407,17147,32553,15528,17103,32634,15431,16462,31893,79298,86168,165469,15044,16269,31311,14725,16067,30797,14416,15391,29806,14200,15186,29386,14976,16111,31082,73352,79032,152384,12461,13134,25596,11650,12714,24364,10938,11957,22890,9491,10609,20097,9432,10347,19776,53965,58755,112722,8694,9526,18224,8033,9094,17122,7576,8555,16135,6927,7936,14870,6329,7718,14043,37560,42834,80391,24059,31303,55362,14602,23321,37928,5720,11876,17592,1207,3208,4420,109,391,504,1591077,1660962,3252041
SOS31,11554,5571,5621,11197,5411,5465,10877,5369,5642,11013,5127,5197,10323,27105,27853,54962,5035,5422,10459,4983,5217,10206,4919,5152,10075,5032,4992,10025,5053,5008,10064,25030,25793,50820,4849,4968,9823,4717,4967,9685,4757,4861,9621,4751,4841,9588,4958,5045,10000,24040,24683,48722,4190,4241,8427,4229,4342,8569,3894,3979,7877,3377,3584,6958,3430,3657,7090,19116,19803,38922,3074,3393,6471,2969,3125,6094,2653,3092,5743,2424,2647,5071,2416,2610,5027,13540,14866,28405,9045,10523,19570,4863,7208,12073,1724,3441,5160,355,899,1249,43,124,163,426903,437270,864172
SOS32,2283,1113,1127,2235,1091,1118,2206,1151,1055,2208,1125,1118,2244,5575,5597,11175,1093,1081,2173,1084,1065,2146,1130,1029,2162,1059,1072,2130,1057,1005,2066,5428,5252,10680,1149,1037,2188,1102,995,2098,1073,975,2042,1036,910,1947,1133,1019,2149,5492,4931,10425,919,851,1776,901,784,1684,850,701,1554,757,638,1388,723,622,1342,4144,3599,7746,644,502,1146,595,491,1092,526,449,977,429,454,883,380,322,705,2568,2219,4794,1331,1296,2626,706,736,1443,196,329,528,35,61,95,9,11,18,72766,70783,143553
SOS33,7589,3707,3542,7247,3706,3428,7137,3601,3346,6944,3563,3338,6899,18572,17248,35820,3615,3167,6775,3468,3121,6592,3312,3104,6410,3373,2981,6351,3376,2901,6283,17139,15269,32410,3371,2835,6199,3204,2877,6073,3182,2566,5742,3057,2554,5610,3248,2506,5758,16063,13326,29388,2615,2092,4711,2529,2064,4595,2209,1882,4093,1993,1522,3512,1930,1502,3434,11275,9071,20343,1710,1265,2978,1621,1202,2828,1332,1015,2349,1254,878,2134,1060,850,1911,6976,5217,12195,3396,2692,6089,1601,1476,3079,460,513,970,105,132,231,7,19,27,224138,206625,430761
SOS37,0,4,4,8,0,3,3,0,0,3,0,0,0,5,14,19,0,0,3,0,0,0,0,0,0,0,3,8,0,0,0,8,3,12,0,0,0,0,8,8,0,0,3,4,0,4,3,3,5,5,12,19,3,0,3,3,6,7,0,0,0,0,0,0,0,0,0,11,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,6,5,0,5,0,0,4,0,0,0,0,0,0,0,0,0,66,87,150
SOS39,189,112,104,220,101,112,213,101,128,231,90,135,225,489,592,1080,133,143,270,141,126,272,142,130,271,134,119,251,111,119,226,660,639,1294,135,119,253,127,119,239,169,113,287,138,96,233,147,98,242,716,539,1253,126,69,196,88,57,146,86,51,138,56,49,103,48,29,83,403,254,661,57,22,77,39,31,69,35,33,67,20,17,40,29,15,46,177,118,295,53,34,82,11,8,24,4,8,17,0,3,3,0,0,0,6937,5572,12510
SOS40,15390,7270,7747,15013,7073,7760,14829,6875,7425,14300,6710,7428,14134,35431,38242,73667,6475,7186,13659,6496,6907,13399,6154,6943,13093,6067,6937,13003,5998,6670,12674,31187,34637,65823,5862,6684,12547,5927,6477,12409,5609,6306,11923,5656,6253,11911,6024,6661,12692,29088,32384,61475,4878,5498,10373,4501,5209,9707,4237,4947,9185,3900,4597,8500,3732,4308,8041,21248,24555,45805,3397,4098,7492,3259,4083,7343,3232,3964,7201,3041,3742,6788,2943,3523,6460,15871,19413,35282,11577,15316,26900,7583,11925,19512,3125,6556,9683,617,1648,2258,63,195,257,569694,595939,1165632
SOS41,4432,2021,2199,4224,2084,2151,4238,2115,2065,4178,1909,2091,4000,10298,10777,21076,1996,2091,4088,1905,1998,3900,1943,2039,3980,1976,2086,4061,1895,2095,3994,9715,10305,20025,1952,2151,4101,1908,2091,4005,1953,2050,4003,1871,2051,3914,2125,2329,4449,9805,10667,20478,1724,1941,3660,1679,1910,3592,1558,1755,3315,1490,1578,3069,1462,1588,3053,7910,8770,16683,1372,1470,2841,1224,1384,2604,1219,1378,2594,1103,1276,2382,1017,1207,2223,5929,6720,12648,3978,4912,8892,2493,3646,6137,915,1815,2722,182,524,708,23,53,72,152477,159441,311919
SOS42,898,420,398,822,401,440,840,412,398,818,426,416,835,2134,2074,4207,456,406,861,427,398,828,416,426,839,418,391,815,440,412,856,2162,2037,4198,434,420,860,422,392,816,438,380,820,383,382,764,446,366,810,2126,1947,4071,329,304,638,374,331,706,349,300,652,284,288,577,256,276,540,1601,1503,3103,225,223,447,237,202,442,210,215,423,203,181,391,179,192,373,1053,1015,2069,726,772,1497,398,574,974,146,308,453,30,89,112,7,9,20,27010,26655,53667
SOS43,2699,1347,1279,2628,1295,1200,2495,1291,1152,2440,1328,1152,2482,6679,6064,12739,1329,1189,2520,1308,1102,2412,1197,1092,2289,1280,1083,2359,1206,989,2200,6316,5464,11780,1138,1023,2157,1131,938,2070,1141,906,2047,1048,790,1837,1054,917,1969,5517,4568,10084,885,704,1594,864,681,1547,775,623,1397,672,521,1195,647,500,1144,3852,3035,6884,524,428,947,468,388,855,420,333,755,360,309,668,360,259,623,2125,1723,3844,1135,930,2060,543,516,1056,169,219,396,42,57,101,3,3,3,75073,67492,142568
SOS47,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3
SOS49,38,31,23,60,25,13,38,19,17,31,21,15,37,122,81,207,25,16,41,31,18,46,17,14,38,19,25,41,23,10,37,114,82,198,32,27,56,16,15,34,19,10,27,13,10,23,22,9,36,108,68,183,9,6,21,13,6,22,10,3,17,15,7,17,9,5,16,59,27,85,10,3,10,3,0,3,11,3,15,6,0,6,0,3,5,27,8,37,9,11,23,10,4,16,3,3,6,0,0,3,0,0,0,1734,1129,2863
SOS50,22877,10918,11512,22430,10409,11047,21460,10174,10752,20927,9860,10595,20459,52500,55658,108153,9919,10411,20329,9266,10276,19536,9092,9971,19067,8879,9804,18682,8883,9268,18151,46035,49730,95772,8618,9039,17658,8218,8809,17024,7905,8679,16588,8108,8437,16552,8287,8864,17153,41134,43837,84970,6558,6926,13483,6142,6569,12712,6113,6530,12635,5278,5787,11067,5347,5775,11119,29441,31584,61021,4726,5525,10251,4568,5185,9757,4336,4985,9324,4058,4841,8902,3713,4465,8175,21406,25003,46409,14318,18705,33025,8520,13063,21584,3162,6586,9746,639,1792,2424,31,126,158,927190,947382,1874578
SOS51,4914,2239,2337,4580,2387,2304,4693,2211,2272,4483,2200,2061,4260,11483,11457,22935,2159,2110,4267,1910,1981,3894,1941,1908,3846,1847,1865,3713,1837,1864,3698,9694,9722,19419,1935,1873,3809,1701,1807,3507,1736,1702,3436,1700,1623,3322,1758,1700,3455,8826,8706,17530,1364,1343,2700,1271,1306,2580,1272,1215,2486,1041,1161,2206,1144,1199,2337,6089,6227,12314,963,1004,1964,941,1073,2016,906,982,1889,833,889,1726,763,888,1654,4407,4835,9242,2824,3543,6364,1666,2315,3984,619,1125,1746,100,327,422,0,33,33,181308,181632,362942
SOS52,1026,453,479,939,469,447,917,474,447,925,477,453,924,2428,2300,4729,509,486,990,434,421,858,442,410,854,425,425,853,465,445,906,2280,2187,4466,466,404,875,432,373,802,417,347,764,414,351,771,414,353,767,2145,1831,3975,304,299,605,317,241,564,280,292,574,280,234,513,274,239,518,1461,1304,2768,248,197,450,220,235,453,210,208,411,189,193,381,145,151,298,1010,983,1991,604,671,1273,323,352,676,104,163,268,19,46,62,4,0,5,33052,32279,65334
SOS53,2991,1523,1270,2797,1457,1220,2678,1408,1124,2536,1387,1159,2546,7400,6142,13544,1432,1230,2664,1346,1098,2446,1278,1076,2351,1309,1032,2341,1183,1007,2195,6555,5441,11995,1180,966,2145,1091,893,1984,1072,765,1833,1072,809,1884,1112,877,1991,5526,4312,9839,883,676,1561,776,624,1401,787,590,1376,649,500,1145,660,467,1124,3752,2858,6613,536,413,944,489,347,836,419,333,754,392,277,671,346,240,585,2181,1610,3792,1050,848,1894,495,447,938,126,143,273,35,42,73,3,3,6,92918,72257,165175
SOS57,7,6,0,5,4,0,4,7,0,7,0,0,5,27,0,27,4,0,3,5,0,5,3,0,3,0,0,0,3,3,3,17,3,15,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,408,26,434
SOS59,128,48,44,88,53,31,85,55,46,105,62,38,103,287,216,500,60,53,109,42,49,89,54,46,103,49,44,92,51,36,84,256,218,474,60,25,88,70,57,124,51,37,95,46,26,72,40,28,63,273,176,442,26,23,51,23,21,41,30,18,42,22,16,37,9,8,18,108,83,191,19,6,23,12,5,17,9,6,14,3,3,9,6,3,5,43,24,72,9,15,22,7,8,8,3,6,4,0,3,3,0,0,0,3532,2415,5950
SOS60,2507,1147,1243,2394,1079,1279,2360,1132,1173,2307,1095,1245,2335,5607,6292,11896,1099,1182,2280,989,1115,2101,949,1132,2082,1107,1136,2240,1001,1149,2147,5134,5711,10852,975,1096,2070,968,1059,2028,867,980,1852,907,1012,1918,1016,1133,2152,4732,5285,10021,748,925,1670,730,846,1577,703,877,1576,632,760,1390,632,720,1355,3442,4132,7573,611,716,1327,577,641,1214,537,616,1150,496,601,1096,435,602,1043,2659,3179,5839,1761,2465,4222,1140,1775,2912,427,972,1400,90,217,309,3,29,33,85960,92047,178009
