SOS_CODE_2016,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
SOS79,38,23,31,51,20,31,51,24,16,40,22,10,25,110,100,215,19,26,48,19,21,42,21,23,45,29,26,54,22,16,46,118,107,223,29,10,43,21,24,47,23,6,36,12,21,32,29,4,32,119,67,189,16,15,28,12,6,22,11,6,14,8,0,8,13,8,17,56,30,86,6,9,8,5,0,5,4,3,8,8,0,8,0,0,5,24,8,30,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1332,1157,2489
SOS80,4757,2232,2354,4583,2102,2302,4407,2088,2262,4350,1996,2151,4149,10747,11503,22252,1943,2153,4101,1786,2030,3817,1816,1902,3720,1804,1968,3770,1706,1935,3642,9053,9991,19049,1642,1870,3508,1677,1756,3437,1598,1785,3382,1582,1786,3365,1668,1855,3526,8173,9052,17222,1405,1464,2868,1180,1354,2536,1099,1309,2403,1011,1162,2170,1022,1129,2154,5722,6413,12136,847,1065,1913,856,948,1800,792,893,1688,745,872,1617,643,841,1488,3886,4616,8500,2534,3286,5819,1552,2246,3796,621,1253,1882,135,287,422,13,39,54,194879,200914,395790
SOS82,0,3,4,7,3,0,3,3,0,3,0,0,0,10,5,12,0,4,6,0,0,0,3,7,5,3,4,7,0,4,4,8,14,27,3,0,3,5,0,7,0,0,3,0,0,3,3,0,0,11,6,21,3,0,3,0,3,3,3,0,3,0,3,3,0,3,3,4,9,15,4,0,8,0,0,0,0,0,5,0,0,0,0,0,3,7,9,10,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,135,140,271
SOS83,16,4,3,6,0,6,6,6,6,14,3,4,9,24,27,53,0,3,4,6,3,12,8,0,4,5,0,5,3,0,4,25,12,40,6,3,5,0,4,3,0,3,7,3,3,5,3,0,3,13,11,24,0,0,0,0,0,0,3,3,5,0,0,0,0,3,3,4,10,12,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,6,4,8,4,0,7,0,3,3,0,0,0,0,0,0,0,0,0,422,368,793
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,3,7,5,10,3,0,6,0,4,3,7,8,12,20,22,41,3,0,3,4,3,7,4,7,13,4,4,12,3,0,3,26,15,36,3,0,3,3,3,3,3,0,3,3,0,3,0,0,4,13,5,18,0,3,3,0,0,0,5,0,5,0,0,0,0,0,0,4,7,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,7,0,3,3,0,0,0,0,0,0,0,0,0,312,228,538
SOS91,34,8,9,14,7,8,21,17,13,33,18,16,31,68,66,128,22,15,31,15,9,25,8,7,13,21,10,29,11,10,27,79,49,130,22,14,35,25,3,34,16,4,17,11,0,15,13,3,15,80,23,105,3,3,8,5,3,5,6,4,8,8,0,5,3,3,5,24,14,39,7,3,15,3,3,3,3,0,3,0,0,0,0,0,0,17,10,25,3,3,7,0,3,3,0,0,0,0,0,0,0,0,0,888,710,1599
SOS92,23,22,14,35,7,10,21,10,14,23,11,8,23,60,66,125,7,10,18,4,8,12,16,17,31,7,10,20,9,8,16,40,60,104,12,11,15,7,18,22,12,18,27,12,7,15,11,8,15,48,55,98,10,12,24,5,8,14,11,4,16,10,5,11,3,4,9,37,32,73,4,0,5,0,4,11,4,11,11,4,3,4,3,6,9,22,21,45,17,17,30,8,5,13,0,0,3,0,3,3,0,0,0,735,752,1495
SOS93,16,12,11,31,13,17,34,14,10,20,6,10,18,64,55,120,11,10,24,12,8,22,8,8,19,3,13,17,11,14,24,47,50,94,15,6,17,10,16,24,3,11,12,3,9,7,9,7,17,37,45,81,3,11,11,3,11,15,3,9,11,6,15,18,3,3,8,27,42,63,11,8,15,4,3,7,12,7,13,3,6,14,5,3,7,27,23,55,11,22,25,8,10,17,3,6,11,0,0,3,0,0,0,810,624,1429
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,6,7,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,4,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,28,55
