SOS_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SOS10,7809,9480,13535,18016,49234,81511,45119,101301,3156,329148,21203,45684,54128,55634,119291,168951,67917,108335,5948,647096,6501,15593,21051,21961,63144,79643,34531,45774,5474,293671,8724,47266,44266,40463,41030,29399,14776,15972,4357,246245,11337,34848,43699,41807,97088,74461,26185,26441,3685,359554,7083,53973,36634,27887,35136,30863,13086,18698,3387,226759,3563,8980,10549,11620,35077,28028,14902,23832,3097,139639,5368,36662,31794,23097,36447,28402,11047,13772,4379,190964,1648,3387,2988,2733,7367,7792,2367,4572,14370,47221,73244,255866,258632,243214,483814,529055,229939,358687,47853,2480298
SOS11,1790,2392,2632,4147,9539,11892,7966,19565,644,60569,4498,7982,10716,12588,18865,19979,9686,15316,915,100554,2483,4727,4880,6948,20668,21551,11401,15508,1482,89640,3392,12807,11789,15368,13398,7285,4126,4658,1345,74171,2805,7926,9133,11299,19339,10589,4548,4265,631,70529,2385,16073,9100,9236,9722,5625,3443,4234,937,60762,1665,2604,2755,3311,8487,7272,6011,10892,865,43864,2604,15762,9465,9982,12541,10442,4226,5182,1651,71857,536,714,484,590,1332,1134,479,940,3134,9351,22164,70997,60952,73459,113896,95776,51889,80551,11605,581287
SOS12,251,334,352,485,924,1331,819,2530,79,7107,451,850,1152,1395,1686,1855,850,1473,78,9781,290,594,662,876,2059,2314,1093,1690,175,9755,375,1334,1224,1457,1177,677,387,499,135,7253,277,961,1045,1218,1752,1038,450,400,65,7208,220,1468,801,827,768,483,288,406,99,5356,208,321,332,345,909,846,647,1247,104,4956,316,1696,920,970,1177,999,463,648,184,7379,61,101,52,71,123,142,36,121,384,1097,2434,7669,6544,7635,10572,9687,5029,9018,1298,59891
SOS13,1603,3147,3095,4170,4655,9717,5132,26307,1162,58990,1945,3777,5093,5343,6086,7382,3282,6684,435,40029,1046,2265,2324,2861,6719,8415,3981,7355,702,35665,1082,4294,3683,4190,3406,2139,1188,1734,423,22141,1130,4424,4569,5037,6449,4435,1685,2280,386,30410,688,5011,2713,2517,2339,1942,962,1817,309,18298,751,1077,1196,1317,2651,3234,2150,5192,460,18031,1083,5426,3334,3246,3737,4195,1789,3561,724,27101,293,389,287,317,484,591,208,674,1489,4727,9613,29799,26294,29007,36538,42067,20374,55610,6089,255400
SOS17,0,0,0,0,0,0,0,0,0,3,3,0,3,0,6,0,0,4,0,22,10,0,0,0,6,3,0,3,0,18,9,3,4,0,3,0,0,0,0,16,6,0,0,3,3,3,0,0,0,21,5,3,0,3,3,4,0,0,0,17,7,0,0,0,4,4,0,0,0,10,6,3,0,0,0,0,0,0,3,18,0,0,0,0,0,0,3,0,3,5,43,4,9,10,22,12,4,7,4,130
SOS19,15,12,23,11,38,75,22,80,3,274,44,57,61,52,113,159,52,95,6,649,18,38,36,44,92,115,42,68,24,480,9,60,70,78,54,50,38,60,10,430,12,28,25,29,76,43,20,29,4,261,17,24,32,30,39,39,15,14,12,224,8,20,25,32,73,51,37,80,12,339,23,60,98,91,90,96,46,45,36,582,5,3,6,5,9,10,9,3,47,103,148,298,377,371,584,638,279,475,158,3331
SOS20,6562,8645,11541,16991,41188,63711,37788,80287,2605,269316,17891,40165,46344,55181,94794,127003,56698,79941,4610,522619,5757,14048,16823,19957,58347,69578,29288,34858,4489,253145,8098,46045,36855,36976,31841,23125,11376,12675,3721,210713,9153,30074,34871,35749,73007,56556,21169,18923,2888,282404,6058,56824,30656,24127,28658,23813,11372,15661,3005,200164,2889,6893,8442,9977,29443,23793,12268,15749,2452,111906,4439,35654,25923,20154,32713,23086,9047,10278,3642,164935,1378,2772,2119,2214,5259,5442,1715,3158,11139,35204,62221,241120,213588,221314,395255,416098,190724,271528,38557,2050402
SOS21,1575,2033,2109,3396,7233,9871,6866,14707,531,48314,3733,6072,8929,10977,14043,14705,7796,10594,623,77464,2190,3738,3649,5123,15589,18694,8634,10535,1121,69259,3044,10743,9052,11041,8422,6003,2996,3304,924,55525,2350,6357,7472,8488,13468,8925,3708,3230,528,54519,1913,14052,6944,6496,6663,4348,2562,3024,735,46733,1202,1658,1725,2150,6225,6018,4299,6797,623,30696,2200,12403,6552,7169,9567,7482,3938,3759,1142,54207,482,588,397,512,931,980,384,677,2458,7409,18685,57636,46817,55363,82136,77020,41177,56617,8683,444140
SOS22,199,261,262,396,575,996,586,1818,75,5174,365,571,814,956,946,975,601,821,57,6098,255,484,450,593,1396,1771,769,1088,114,6917,328,908,863,928,614,481,228,339,113,4803,213,640,710,705,940,638,250,278,42,4414,154,1035,559,499,489,326,202,247,54,3563,155,150,169,228,605,624,401,783,69,3185,261,1221,644,670,825,859,403,470,122,5471,59,58,43,47,84,74,33,62,237,698,1990,5330,4508,5019,6477,6743,3472,5908,880,40321
SOS23,1620,2841,2582,3584,3490,7590,4067,20192,980,46932,1536,2865,4153,4585,4155,5023,2566,4391,359,29621,985,1896,1870,2433,5325,7591,3112,5318,592,29124,1061,3673,3174,3316,2223,1964,1038,1227,358,18031,956,3359,3512,3627,4097,3222,1229,1425,271,21702,574,4555,2109,1910,1763,1376,794,1194,268,14545,632,764,833,1015,2109,2538,1585,3455,287,13209,996,4875,2664,2638,3278,3385,1552,2565,557,22505,264,282,192,252,347,453,149,428,1184,3548,8622,25102,21079,23359,26795,33143,16075,40191,4861,199216
