SOS_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,6,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,3,5,10,0,0,0,25
SOS29,63,20,20,14,0,0,238,0,36,18,19,14,3,0,0,91,121,360,126,75,68,33,4,3,792,61,119,74,59,51,22,9,0,404,107,219,155,124,108,52,11,0,777,18,14,12,5,3,3,0,0,60,7,24,18,14,16,9,5,0,101,138,255,188,152,125,61,12,0,932,3,8,10,0,3,8,0,0,42,309,513,497,343,235,114,29,13,2076,650,1413,971,670,526,263,61,19,4580
SOS30,32130,24276,16568,8504,2433,514,116293,1442,10569,12904,12435,9374,4310,1167,196,52396,34150,115437,98133,67128,44798,25619,8811,2482,396566,20970,48787,53662,52148,38116,22129,8311,2422,246537,55615,97602,87072,83108,64368,39295,16936,4946,448937,10387,6052,4666,3755,2946,1668,456,121,30043,4890,7425,8988,9243,8739,6498,2655,920,49363,70888,111074,100725,96107,76051,47460,20051,5991,528341,1586,3223,3252,3351,3262,3083,1802,690,20239,34997,39789,33772,33372,30193,28204,22476,15795,238593,165760,359031,334571,288816,218353,139307,65039,28087,1598962
SOS31,2507,2279,1915,1141,307,56,10198,234,1463,1925,1969,1752,864,244,25,8480,3419,14843,13514,9923,7902,4821,1750,439,56613,2252,7816,9928,10951,9181,5683,2149,545,48505,15386,30547,27374,26430,22309,13774,5819,1278,142912,3520,2276,1644,1308,941,546,124,28,10385,1241,1935,2345,2395,2269,1715,745,182,12828,20145,34759,31362,30136,25521,16026,6690,1487,166121,286,573,566,647,693,792,445,142,4145,10940,11538,10694,11512,11628,11494,9097,4878,81787,37408,72867,70494,67412,58594,40818,20686,7569,375853
SOS32,315,358,375,239,56,7,1511,23,150,255,325,334,181,54,3,1323,377,1485,1848,1536,1534,995,309,50,8132,300,913,1488,1978,1917,1103,319,51,8072,2012,3976,4231,4702,4574,2983,933,150,23559,488,390,300,283,203,125,23,0,1818,184,261,386,459,488,338,108,31,2253,2683,4629,4916,5444,5266,3446,1062,183,27629,45,52,109,122,146,136,81,16,702,2209,1756,1941,2378,2456,2595,1402,453,15194,5649,9126,10869,12145,12038,8701,3273,760,62566
SOS33,1204,1607,1434,928,194,36,5970,66,430,849,1240,1229,518,92,13,4424,1309,5060,7170,6487,5685,3230,887,135,29967,1037,2962,5174,7006,6057,3386,931,155,26711,6554,11470,13630,15506,13736,7708,2150,350,71096,1327,826,725,796,628,298,52,11,4654,522,734,1184,1644,1542,1057,292,47,7022,8404,13024,15533,17943,15899,9058,2487,411,82765,124,190,238,412,445,423,180,32,2036,5929,5306,6312,8019,8011,6768,3200,844,44387,16894,27514,36475,42701,38769,24312,7967,1624,196263
SOS37,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,5,0,3,0,0,3,3,0,0,12,4,3,3,6,0,0,4,0,18,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,8,6,3,0,4,0,26,0,0,0,0,0,0,0,0,3,4,0,0,0,4,9,0,3,23,10,11,12,8,15,15,6,3,71
SOS39,41,38,38,25,3,0,266,7,23,12,19,36,19,0,0,118,200,451,125,104,130,115,21,3,1147,88,128,95,109,218,128,18,0,779,151,340,256,316,418,356,61,8,1898,27,17,16,13,24,16,0,0,113,19,42,19,24,60,37,4,0,202,197,398,300,349,497,411,64,9,2221,16,24,9,18,19,20,7,0,113,331,585,474,448,481,334,102,17,2765,839,1709,1058,1085,1426,1050,215,24,7409
SOS40,11850,7969,5999,3548,1162,284,43965,376,3393,4432,4249,4087,2168,514,111,19334,11534,42293,34095,22566,17936,10843,3778,1448,144499,4330,15005,16581,17827,15291,9616,3509,1346,83514,15895,32126,26920,28644,23102,14789,7614,2601,151690,3315,3107,2309,1783,1329,671,205,63,12779,1374,2420,3204,3489,3396,2645,1166,511,18204,20592,37654,32429,33922,27825,18098,8982,3175,182680,578,1283,1232,1279,1267,1267,768,379,8044,9266,10409,9102,9720,9598,9842,8687,6201,72828,47305,122567,109726,97530,82005,55387,27403,12941,554855
SOS41,1027,973,814,572,160,32,4379,54,448,674,763,922,507,118,14,3498,1131,4890,4990,3800,3418,2437,812,253,21730,602,2391,3375,4263,4061,2849,1011,314,18872,4975,9725,8629,9185,7773,5348,2480,736,48847,1036,1113,801,581,440,283,74,22,4355,430,722,911,1020,1007,900,365,108,5467,6437,11565,10349,10790,9218,6529,2920,865,58673,107,212,249,257,316,330,217,101,1787,3160,2918,2873,3445,3753,4234,3693,2320,26395,11555,23162,23535,24300,22495,17469,8922,3894,135334
SOS42,94,105,142,58,25,3,510,8,59,84,125,171,81,16,0,541,154,675,665,512,575,390,127,28,3121,104,376,494,706,773,491,140,47,3136,664,1578,1540,1742,1654,1073,374,94,8705,158,145,126,99,71,45,15,5,658,51,115,155,172,223,153,45,18,935,878,1837,1821,2008,1944,1271,429,108,10297,6,23,35,43,43,56,27,12,254,568,492,509,684,798,879,576,384,4890,1716,3536,3706,4191,4439,3224,1343,598,22754
SOS43,391,478,555,340,85,10,2082,18,145,278,472,543,242,34,9,1735,513,1856,2475,2133,2175,1300,307,53,10818,289,920,1639,2425,2444,1389,279,53,9433,1953,3432,4025,5012,4383,2346,709,129,21991,365,377,335,304,260,132,25,3,1805,185,234,494,611,560,368,96,17,2567,2496,4041,4858,5932,5202,2850,830,157,26367,22,69,99,146,162,166,42,18,722,1734,1328,1692,2315,2545,2007,851,258,12725,5090,8567,11428,13905,13626,8298,2427,555,63886
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOS49,14,7,15,4,0,0,59,0,8,3,6,7,0,0,0,24,31,92,38,20,19,16,0,0,219,14,27,22,40,16,23,3,0,145,34,97,50,70,79,57,11,5,402,11,6,4,4,0,0,0,0,25,3,9,3,12,15,3,0,0,47,50,115,57,88,91,66,11,5,482,6,9,0,3,3,5,0,0,27,84,122,129,152,93,54,15,6,651,185,393,264,317,247,159,30,10,1595
SOS50,19973,14014,9144,4816,1446,324,69560,785,6935,8054,7615,5710,2365,610,139,32213,20464,77507,61717,42177,28030,15437,5687,1589,252609,9899,29479,29923,28835,22809,13911,5688,1641,142184,27415,56446,46233,45852,35111,21032,9960,2648,244708,5504,3775,2840,2323,1726,968,298,107,17541,2199,4341,5644,6066,5332,3943,1769,604,29899,35123,64568,54717,54242,42166,25943,12027,3362,292146,955,2497,2342,2290,2119,1955,1017,403,13579,17714,25381,20096,18885,17248,15829,13731,9296,138176,85882,225270,196818,168056,127221,80253,40223,16749,940467
SOS51,1230,907,745,393,97,16,4400,101,814,1088,889,753,308,61,7,4028,1138,6941,6791,4641,3478,1867,710,178,25737,997,4004,4698,4611,3899,2159,849,227,21437,6456,14015,12628,11380,8496,4475,1728,425,59593,1739,1171,845,633,452,213,64,8,5127,537,951,1242,1202,1099,729,270,85,6123,8729,16134,14714,13216,10050,5418,2063,518,70844,122,311,320,306,301,299,169,64,1885,4954,6215,5708,5822,5283,4447,3299,1774,37505,16067,35406,34544,30394,24505,14887,7257,2772,165831
SOS52,104,120,95,58,11,3,481,15,100,121,111,119,45,13,3,529,168,875,729,613,487,325,116,29,3342,132,447,546,658,685,425,159,34,3095,795,1881,1666,1910,1690,955,342,72,9324,248,187,127,107,100,40,12,3,824,81,135,187,211,227,147,44,8,1049,1129,2205,1985,2229,2023,1143,396,86,11196,9,52,53,42,70,53,37,3,315,1123,1197,1128,1236,1307,1094,695,281,8070,2573,4967,4673,5017,4790,3149,1435,432,27032
SOS53,418,473,450,319,77,14,2095,15,237,362,473,460,188,31,0,1762,526,2487,3035,2752,2271,1305,352,50,12781,368,1206,1872,2653,2544,1483,364,66,10551,2361,5354,5453,6267,4912,2396,627,112,27478,507,362,323,321,231,101,18,7,1866,172,329,547,638,630,426,107,23,2870,3043,6042,6317,7225,5777,2922,747,137,32210,51,84,116,176,177,154,60,13,831,2839,4301,4025,4015,3302,2350,1040,241,22119,6849,14682,16148,17771,14982,8722,2682,522,82357
SOS57,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,10,8,5,0,0,3,0,31,0,13,20,17,9,0,0,0,55,0,41,39,32,11,0,0,0,134,0,3,3,0,0,0,0,0,5,0,4,3,3,0,0,0,0,13,6,49,46,34,10,0,0,0,145,0,0,0,0,0,0,0,0,0,7,29,20,24,9,0,0,0,87,11,106,100,83,31,4,3,0,338
SOS59,24,17,15,12,0,0,117,0,15,5,6,16,6,3,0,48,58,227,89,47,63,35,10,0,522,20,73,35,51,77,42,3,0,308,78,227,166,169,202,103,17,3,969,20,16,13,9,12,5,0,0,65,7,29,11,15,29,19,0,0,114,108,273,191,197,236,123,14,3,1147,10,9,5,3,5,7,4,0,43,177,385,315,357,222,142,26,5,1633,374,1033,673,680,633,368,58,13,3820
SOS60,1744,1513,1227,761,244,84,7537,78,663,779,917,750,417,104,26,3727,1451,5443,4790,3632,3433,2072,760,319,21909,452,1597,2060,2366,2167,1666,809,288,11414,2404,4892,4024,4036,3551,1999,1116,361,22382,582,514,314,227,202,130,34,21,2022,208,349,433,490,569,391,219,106,2760,3193,5752,4767,4747,4314,2518,1373,491,27160,69,140,113,160,190,209,172,56,1114,1705,1787,1603,1757,1917,2001,1630,930,13332,7041,17268,15859,15106,14002,9637,5088,2194,86205
SOS61,678,699,621,438,103,20,3185,43,340,396,486,478,275,72,18,2118,803,3277,3122,2615,2459,1517,525,191,14500,425,1506,2015,2492,2302,1603,760,220,11320,3312,6377,5344,5628,5010,3163,1503,397,30728,919,723,492,398,261,147,43,15,3001,302,448,555,642,658,486,249,85,3419,4536,7548,6381,6666,5930,3795,1794,498,37142,64,121,131,150,174,212,159,64,1070,2135,1733,1641,2166,2517,3117,2490,1243,17050,8034,15113,14367,15275,14474,10957,5905,2256,86376
SOS62,116,122,172,101,35,5,624,7,48,58,85,101,41,19,0,356,87,366,477,398,477,353,107,26,2294,46,200,296,381,486,391,140,22,1969,364,808,811,936,959,625,236,53,4796,85,78,55,67,62,34,4,4,393,46,68,96,99,146,101,43,7,600,494,955,966,1105,1163,762,285,63,5792,0,16,25,29,32,44,23,11,181,339,228,293,415,517,598,417,180,2996,972,1878,2230,2542,2945,2291,1034,311,14207
SOS63,380,453,525,396,69,10,2030,12,113,237,336,383,203,25,7,1318,204,1185,1678,1759,1906,1110,262,44,8146,142,583,1174,1635,1740,1099,297,39,6722,1298,2526,3026,3718,3408,1680,494,84,16231,282,269,206,204,186,66,19,4,1236,134,183,284,404,447,278,85,13,1829,1718,2972,3515,4329,4041,2018,598,109,19301,13,47,56,88,109,125,52,7,489,1149,751,994,1449,1784,1531,775,164,8607,3248,5830,8041,10055,10493,6481,2080,375,46603
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,3,0,0,0,4,0,0,10,4,11,3,3,7,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,0,7,0,0,0,22,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,9,6,19,6,5,5,7,0,0,44
SOS69,5,7,5,3,0,0,31,0,4,3,0,0,0,0,0,6,3,31,16,5,15,8,0,0,77,0,11,13,12,9,7,0,0,59,21,22,17,17,22,9,3,0,120,5,3,3,0,0,0,0,0,16,0,4,0,4,4,3,0,0,13,29,33,23,25,25,13,3,0,152,0,0,0,0,3,0,0,0,4,33,46,36,35,18,15,3,0,190,67,127,93,80,78,50,10,0,517
SOS70,1248,851,669,275,47,3,4426,38,547,597,494,389,124,28,0,2209,847,5220,3566,2160,1436,650,160,36,14080,420,1946,1968,1820,1196,493,144,18,7997,1956,5371,3690,3032,1975,853,260,51,17185,387,324,219,159,93,27,10,0,1214,163,355,348,313,233,144,38,13,1607,2503,6049,4252,3503,2300,1028,307,66,20003,63,157,147,104,101,51,33,9,667,2179,3779,2674,2217,1709,972,408,153,14089,6111,18972,14451,11144,7798,3582,1127,283,63473
SOS71,307,265,211,78,17,0,1201,9,180,203,204,137,35,7,0,778,153,1245,968,713,559,177,50,11,3881,70,533,548,616,468,139,41,7,2413,497,1249,1024,1057,765,278,76,18,4959,150,137,115,105,54,17,3,3,584,59,144,143,113,96,37,11,4,598,707,1533,1279,1274,918,334,85,25,6147,19,45,43,55,39,16,9,0,225,1207,1609,1233,1132,859,436,168,65,6726,2183,5458,4578,4272,3194,1217,382,99,21379
SOS72,66,54,59,16,3,0,276,4,32,47,38,42,3,0,0,177,53,331,230,185,190,61,7,3,1054,39,144,146,178,143,45,12,0,703,204,444,408,431,314,106,11,5,1925,90,159,95,96,41,10,0,0,487,48,98,90,84,36,16,3,0,375,339,706,594,605,399,128,13,5,2784,6,21,7,10,11,11,4,3,67,1006,873,686,693,410,214,72,15,3960,1445,2181,1770,1761,1251,484,112,21,9023
SOS73,75,99,79,46,4,0,345,0,59,74,83,70,24,3,0,314,78,400,424,348,273,121,28,7,1681,58,255,384,465,291,126,30,0,1615,542,1122,1128,1218,768,338,77,7,5187,122,108,86,66,50,19,0,3,447,47,78,95,116,97,55,12,0,495,707,1304,1310,1400,914,407,82,10,6135,9,25,20,24,15,18,3,5,109,1339,1160,975,960,784,437,109,20,5780,2199,3247,3259,3370,2434,1175,258,33,15978
SOS77,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,8,4,0,0,0,0,17,3,6,0,0,0,0,0,0,8,0,7,4,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,10,8,3,0,0,0,0,17,0,0,0,0,0,0,0,0,3,0,3,3,3,3,0,0,0,15,3,27,21,7,3,0,3,0,60
SOS79,11,9,4,6,0,0,52,0,13,4,6,6,3,0,0,34,18,58,39,19,28,17,0,0,184,13,19,26,30,23,17,0,0,121,20,52,45,51,76,53,9,0,322,9,3,3,4,5,3,0,0,29,14,11,6,3,9,3,0,0,45,49,65,55,59,90,58,6,0,392,3,3,0,9,8,3,0,0,24,82,196,161,193,114,73,14,0,831,162,376,295,324,284,173,22,0,1635
SOS80,9736,7111,5047,2827,910,234,34722,239,2809,2997,2956,2614,1441,280,39,13378,6207,21164,16032,11199,8642,5481,2121,651,71496,1749,6044,6545,6137,4626,2945,1194,394,29628,4198,8616,7072,6170,4501,2690,1331,423,35006,871,643,493,381,295,186,79,36,2984,371,548,856,1032,1100,949,379,153,5391,5441,9809,8421,7582,5894,3828,1788,615,43377,183,408,379,406,400,417,228,105,2535,3450,4563,3557,3140,2809,2528,2032,1507,23595,17658,53262,47664,38532,30038,19478,8556,3554,218735
SOS82,0,10,0,3,0,0,15,0,0,3,0,7,4,0,0,11,0,6,7,8,5,6,0,0,31,3,0,0,3,4,3,3,0,23,0,0,7,10,7,7,8,0,40,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,9,10,6,7,8,0,43,0,0,0,0,0,3,0,0,6,4,0,0,3,0,0,3,0,9,11,8,23,35,29,24,17,0,137
SOS83,13,14,10,3,0,0,46,0,0,4,0,4,3,0,0,11,3,24,28,16,4,5,0,0,81,0,15,22,26,8,0,0,0,76,17,37,23,23,17,5,3,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,17,38,25,23,19,5,3,0,138,0,0,0,0,0,0,0,0,3,20,15,11,13,12,4,5,0,81,37,96,115,95,62,27,7,3,435
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
