SOS_CODE_2016,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,M_GradDip_and_GradCert_75_84,M_GradDip_and_GradCert_85ov,M_GradDip_and_GradCert_Total,M_BachDeg_15_24,M_BachDeg_25_34,M_BachDeg_35_44,M_BachDeg_45_54,M_BachDeg_55_64,M_BachDeg_65_74,M_BachDeg_75_84,M_BachDeg_85ov,M_BachDeg_Total,M_AdvDip_and_Dip_15_24,M_AdvDip_and_Dip_25_34,M_AdvDip_and_Dip_35_44,M_AdvDip_and_Dip_45_54,M_AdvDip_and_Dip_55_64,M_AdvDip_and_Dip_65_74,M_AdvDip_and_Dip_75_84,M_AdvDip_and_Dip_85ov,M_AdvDip_and_Dip_Total,M_Cert_III_IV_15_24,M_Cert_III_IV_25_34,M_Cert_III_IV_35_44,M_Cert_III_IV_45_54,M_Cert_III_IV_55_64,M_Cert_III_IV_65_74,M_Cert_III_IV_75_84,M_Cert_III_IV_85ov,M_Cert_III_IV_Total,M_Cert_I_II_15_24,M_Cert_I_II_25_34,M_Cert_I_II_35_44,M_Cert_I_II_45_54,M_Cert_I_II_55_64,M_Cert_I_II_65_74,M_Cert_I_II_75_84,M_Cert_I_II_85ov,M_Cert_I_II_Total,M_Cert_Levl_nfd_15_24,M_Cert_Levl_nfd_25_34,M_Cert_Levl_nfd_35_44,M_Cert_Levl_nfd_45_54,M_Cert_Levl_nfd_55_64,M_Cert_Levl_nfd_65_74,M_Cert_Levl_nfd_75_84,M_Cert_Levl_nfd_85ov,M_Cert_Levl_nfd_Total,M_Cert_Lev_Tot_15_24,M_Cert_Lev_Tot_25_34,M_Cert_Lev_Tot_35_44,M_Cert_Lev_Tot_45_54,M_Cert_Lev_Tot_55_64,M_Cert_Lev_Tot_65_74,M_Cert_Lev_Tot_75_84,M_Cert_Lev_Tot_85ov,M_Cert_Lev_Tot_Total,M_Lev_Edu_IDes_15_24,M_Lev_Edu_IDes_25_34,M_Lev_Edu_IDes_35_44,M_Lev_Edu_IDes_45_54,M_Lev_Edu_IDes_55_64,M_Lev_Edu_IDes_65_74,M_Lev_Edu_IDes_75_84,M_Lev_Edu_IDes_85ov,M_Lev_Edu_IDes_Total,M_Lev_Edu_NS_15_24,M_Lev_Edu_NS_25_34,M_Lev_Edu_NS_35_44,M_Lev_Edu_NS_45_54,M_Lev_Edu_NS_55_64,M_Lev_Edu_NS_65_74,M_Lev_Edu_NS_75_84,M_Lev_Edu_NS_85ov,M_Lev_Edu_NS_Total,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Total,F_PGrad_Deg_15_24,F_PGrad_Deg_25_34,F_PGrad_Deg_35_44,F_PGrad_Deg_45_54,F_PGrad_Deg_55_64,F_PGrad_Deg_65_74,F_PGrad_Deg_75_84,F_PGrad_Deg_85ov,F_PGrad_Deg_Total,F_GradDip_and_GradCert_15_24,F_GradDip_and_GradCert_25_34,F_GradDip_and_GradCert_35_44,F_GradDip_and_GradCert_45_54,F_GradDip_and_GradCert_55_64,F_GradDip_and_GradCert_65_74,F_GradDip_and_GradCert_75_84,F_GradDip_and_GradCert_85ov,F_GradDip_and_GradCert_Total,F_BachDeg_15_24,F_BachDeg_25_34,F_BachDeg_35_44,F_BachDeg_45_54,F_BachDeg_55_64,F_BachDeg_65_74,F_BachDeg_75_84,F_BachDeg_85ov,F_BachDeg_Total,F_AdvDip_and_Dip_15_24,F_AdvDip_and_Dip_25_34,F_AdvDip_and_Dip_35_44,F_AdvDip_and_Dip_45_54,F_AdvDip_and_Dip_55_64,F_AdvDip_and_Dip_65_74,F_AdvDip_and_Dip_75_84,F_AdvDip_and_Dip_85ov,F_AdvDip_and_Dip_Total,F_Cert_III_IV_15_24,F_Cert_III_IV_25_34,F_Cert_III_IV_35_44,F_Cert_III_IV_45_54,F_Cert_III_IV_55_64,F_Cert_III_IV_65_74,F_Cert_III_IV_75_84,F_Cert_III_IV_85ov,F_Cert_III_IV_Total,F_Cert_I_II_15_24,F_Cert_I_II_25_34,F_Cert_I_II_35_44,F_Cert_I_II_45_54,F_Cert_I_II_55_64,F_Cert_I_II_65_74,F_Cert_I_II_75_84,F_Cert_I_II_85ov,F_Cert_I_II_Total,F_Cert_Levl_nfd_15_24,F_Cert_Levl_nfd_25_34,F_Cert_Levl_nfd_35_44,F_Cert_Levl_nfd_45_54,F_Cert_Levl_nfd_55_64,F_Cert_Levl_nfd_65_74,F_Cert_Levl_nfd_75_84,F_Cert_Levl_nfd_85ov,F_Cert_Levl_nfd_Total,F_Cert_Lev_Tot_15_24,F_Cert_Lev_Tot_25_34,F_Cert_Lev_Tot_35_44,F_Cert_Lev_Tot_45_54,F_Cert_Lev_Tot_55_64,F_Cert_Lev_Tot_65_74,F_Cert_Lev_Tot_75_84,F_Cert_Lev_Tot_85ov,F_Cert_Lev_Tot_Total,F_Lev_Edu_IDes_15_24,F_Lev_Edu_IDes_25_34,F_Lev_Edu_IDes_35_44,F_Lev_Edu_IDes_45_54,F_Lev_Edu_IDes_55_64,F_Lev_Edu_IDes_65_74,F_Lev_Edu_IDes_75_84,F_Lev_Edu_IDes_85ov,F_Lev_Edu_IDes_Total,F_Lev_Edu_NS_15_24,F_Lev_Edu_NS_25_34,F_Lev_Edu_NS_35_44,F_Lev_Edu_NS_45_54,F_Lev_Edu_NS_55_64,F_Lev_Edu_NS_65_74,F_Lev_Edu_NS_75_84,F_Lev_Edu_NS_85ov,F_Lev_Edu_NS_Total,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Total,P_PGrad_Deg_15_24,P_PGrad_Deg_25_34
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,3,5,10,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,5,63,27,14,17,4,0,0,133,0,10,14,5,4,0,0,0,30,33,162,60,39,31,18,3,0,344,24,61,36,30,30,13,9,0,190,52,141,110,90,81,45,11,0,540,10,6,5,3,0,0,0,0,25,7,11,12,7,3,6,0,0,45,71,157,128,105,85,56,13,0,602,0,3,6,3,0,3,0,0,20,167,320,352,254,151,75,19,3,1335,297,769,620,444,313,166,39,3,2654,9,51,30,9,3,9,0,0,106,0,26,4,12,11,3,0,0,60,91,204,63,40,39,21,3,0,449,42,61,40,33,23,15,0,0,219,55,70,44,36,30,7,0,0,242,12,8,6,3,3,0,0,0,36,3,16,10,6,12,3,0,0,52,70,100,59,44,41,12,3,0,327,3,5,5,0,0,3,0,0,16,142,200,148,89,85,45,16,10,742,348,640,356,230,211,95,23,16,1920,11,115
SOS30,671,12970,15708,12645,9079,5349,1805,364,58593,416,3365,4389,4602,3628,1762,484,81,18723,13455,46566,40173,29311,20555,12896,4516,1187,168660,7993,19084,21951,21889,16773,10496,3870,1074,103131,29835,61782,56288,54367,44893,31482,15039,4229,297912,4831,2443,1687,1138,772,493,204,33,11596,2000,3124,3462,3226,3134,2660,1266,379,19250,36663,67351,61439,58731,48800,34632,16509,4632,328759,791,1668,1667,1471,1328,1277,807,283,9293,18334,21044,18089,17306,14727,12942,9252,4980,116672,78325,172048,163417,145961,114880,79349,37240,12602,803823,1047,17186,16421,11630,7492,3152,625,149,57698,1023,7204,8521,7834,5744,2549,689,114,33678,20696,68868,57962,37817,24248,12718,4291,1297,227905,12978,29702,31706,30257,21343,11637,4442,1343,143411,25777,35815,30785,28741,19476,7818,1903,720,151022,5558,3608,2975,2609,2176,1174,249,90,18443,2888,4303,5529,6021,5605,3834,1388,544,30117,34224,43727,39285,37374,27252,12824,3541,1356,199585,797,1556,1579,1873,1931,1808,993,410,10944,16665,18738,15685,16069,15462,15261,13228,10816,121917,87432,186976,171156,142854,103477,59959,27804,15486,795140,1720,30154
SOS31,37,732,1103,1067,978,671,216,35,4826,53,379,558,647,679,373,104,16,2801,927,4749,4627,3649,3134,2060,719,162,20028,648,2497,3770,4363,3842,2638,974,232,18958,8575,19491,18009,17685,16062,11377,5278,1136,97616,1548,826,575,413,271,187,48,6,3873,506,758,858,868,879,736,406,91,5106,10628,21075,19443,18968,17219,12304,5731,1232,106599,142,283,311,323,319,358,220,59,2015,5784,6487,6082,6303,6040,5526,4034,1720,41975,18217,36193,35887,35324,32204,23920,11990,3457,197201,87,1145,1403,1213,939,471,93,21,5374,176,1087,1369,1326,1078,491,143,8,5679,2485,10091,8885,6275,4767,2764,1038,281,36581,1604,5322,6161,6584,5347,3046,1180,313,29548,6806,11060,9362,8740,6253,2394,537,141,45295,1971,1450,1068,898,667,352,82,22,6516,742,1179,1491,1527,1385,977,338,90,7718,9520,13691,11920,11169,8300,3723,958,254,59530,152,290,255,327,372,435,222,83,2131,5160,5056,4612,5206,5588,5976,5062,3159,39808,19189,36674,34607,32091,26389,16898,8699,4113,178654,121,1872
SOS32,0,51,113,136,158,144,41,4,650,6,25,84,107,110,82,22,0,438,99,395,600,521,558,406,140,19,2740,85,277,513,751,759,505,142,22,3058,1114,2492,2800,3153,3362,2541,861,138,16459,210,134,108,102,69,56,10,3,686,68,106,132,182,203,158,62,10,916,1388,2727,3041,3438,3630,2755,926,151,18056,21,24,57,51,66,65,41,11,336,1175,1040,1130,1313,1305,1376,684,210,8233,2780,4539,5540,6319,6587,5334,2002,416,33520,11,102,198,228,220,94,18,0,857,15,122,173,214,225,96,28,0,887,280,1088,1248,1016,974,596,167,29,5392,215,635,976,1221,1159,598,177,31,5014,901,1488,1425,1552,1214,445,69,9,7104,275,252,196,182,138,73,12,0,1138,117,154,251,275,287,177,51,17,1332,1296,1897,1875,2012,1641,694,130,27,9572,20,27,50,63,78,74,37,9,365,1033,716,810,1072,1155,1223,718,245,6960,2872,4589,5329,5828,5445,3370,1275,343,29051,10,155
SOS33,9,202,444,691,686,601,143,27,2797,11,88,211,353,426,205,41,0,1336,413,1412,2221,2300,2226,1439,415,67,10491,280,913,1958,2649,2491,1547,421,68,10328,3835,7602,9304,10927,10416,6526,1989,305,50902,589,295,240,270,187,104,15,4,1698,187,293,429,674,658,531,167,21,2956,4609,8189,9972,11870,11255,7161,2179,331,55566,63,102,135,186,214,191,94,13,995,3394,3334,3611,4418,4360,3718,1747,413,25000,8780,14236,18556,22469,21657,14854,5036,922,106510,16,343,758,915,754,327,51,12,3181,52,335,635,886,800,312,49,11,3089,897,3649,4953,4185,3459,1794,473,71,19472,755,2053,3219,4355,3569,1838,517,92,16387,2718,3868,4325,4580,3317,1184,160,46,20190,738,528,480,523,440,192,38,10,2954,332,437,758,970,887,525,118,26,4061,3795,4839,5565,6069,4644,1901,315,75,27200,56,91,106,225,232,230,83,18,1043,2536,1972,2698,3595,3656,3050,1446,430,19380,8110,13280,17924,20231,17111,9453,2932,708,89753,23,544
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,3,6,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,0,4,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,9,3,3,8,3,3,10,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,3,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,16,5,6,3,8,9,3,4,3,41,0,0
SOS39,5,54,23,20,23,17,4,0,143,3,12,4,4,14,6,0,0,48,66,172,46,49,47,56,8,0,448,30,48,49,45,80,61,8,0,327,91,244,189,212,292,299,53,3,1395,11,11,12,4,5,3,0,0,48,14,16,11,5,27,21,3,0,95,114,271,207,226,324,320,58,3,1534,8,7,11,8,9,8,3,0,55,165,357,337,292,269,194,52,9,1669,391,925,669,647,771,673,135,14,4223,7,54,18,23,18,10,0,0,123,3,10,9,10,21,12,0,0,71,126,283,80,55,79,58,9,3,701,64,72,48,64,133,64,7,0,452,62,94,71,100,120,58,3,0,508,13,8,10,8,19,11,0,0,67,9,24,14,14,30,19,3,0,112,82,127,86,124,175,84,7,0,683,12,14,4,6,9,13,3,0,58,164,230,136,153,214,145,46,9,1099,452,785,391,435,655,377,77,11,3183,10,106
SOS40,243,5401,5906,4182,3287,2142,843,223,22223,101,1125,1542,1619,1554,877,222,46,7082,4635,17310,14528,9950,8231,5513,1844,705,62722,1805,6607,7245,7623,6519,4689,1689,564,36738,8522,19432,16816,18569,16069,11729,6626,2180,99939,1539,1300,869,611,431,254,86,27,5120,585,997,1181,1321,1372,1189,571,199,7414,10639,21734,18868,20502,17879,13172,7281,2403,112467,291,674,654,600,583,539,344,147,3838,4799,5548,4933,5085,4681,4205,3404,2028,34693,22509,58398,53671,49561,42737,31141,15624,6118,279761,386,7127,5948,3784,2709,1409,318,60,21741,278,2266,2886,2634,2534,1293,292,61,12249,6906,24980,19560,12611,9700,5329,1935,744,81776,2521,8401,9343,10204,8776,4928,1817,778,46773,7381,12695,10105,10069,7031,3056,993,423,51758,1785,1808,1438,1176,893,413,117,31,7659,792,1419,2031,2171,2026,1454,595,310,10796,9950,15919,13569,13416,9951,4932,1702,770,70215,282,616,575,683,677,723,421,231,4205,4466,4862,4166,4637,4916,5637,5283,4177,38134,24793,64173,56054,47967,39266,24246,11778,6823,275092,630,12527
SOS41,20,265,437,502,395,344,117,21,2102,4,107,207,237,331,217,53,5,1171,332,1562,1840,1523,1392,1095,340,100,8183,164,802,1244,1610,1611,1291,488,131,7341,2682,5907,5318,5869,5419,4212,2199,641,32248,469,418,278,192,132,104,31,9,1624,154,313,335,373,398,445,192,48,2251,3306,6636,5927,6433,5947,4762,2417,695,36121,64,107,131,138,171,157,99,42,903,1690,1687,1656,1845,1903,1937,1549,818,13083,5580,11174,11434,12286,11762,9801,5055,1812,68909,42,480,588,474,416,232,38,6,2282,46,335,466,528,588,286,66,6,2329,801,3327,3154,2274,2026,1345,473,149,13553,439,1590,2132,2655,2447,1559,522,179,11532,2292,3824,3314,3317,2352,1128,285,95,16606,566,686,528,398,312,178,40,20,2731,277,408,581,649,607,458,173,67,3215,3131,4926,4421,4362,3271,1764,499,176,22549,46,104,117,117,142,176,121,57,880,1470,1230,1214,1601,1851,2301,2150,1503,13311,5980,11988,12098,12012,10741,7665,3864,2083,66431,61,745
SOS42,0,20,41,51,67,41,17,3,234,3,16,21,51,67,27,6,0,189,42,200,209,169,203,163,40,12,1033,22,120,168,228,289,220,60,17,1135,405,992,978,1135,1182,869,335,77,5970,67,51,33,35,28,18,3,0,235,20,48,57,59,104,81,23,5,412,495,1099,1067,1234,1314,961,360,88,6622,0,7,14,24,18,30,7,9,115,294,261,271,358,408,457,274,124,2451,866,1717,1790,2107,2368,1904,769,249,11778,9,55,52,55,76,22,10,0,274,6,48,57,79,103,51,12,0,351,106,472,458,348,370,227,91,19,2090,75,256,325,477,479,266,79,28,1997,256,580,561,601,470,209,39,13,2731,93,91,91,60,39,29,9,3,424,35,64,100,111,114,70,17,6,520,375,737,755,777,626,304,70,26,3677,3,10,21,24,30,26,14,4,144,268,231,235,326,389,423,303,264,2440,856,1815,1913,2082,2074,1321,571,345,10974,6,74
SOS43,5,62,142,198,286,217,59,11,977,0,31,68,124,190,91,13,6,530,173,572,765,798,857,616,144,28,3954,101,301,631,892,944,630,132,27,3659,1191,2252,2682,3364,3223,1962,636,108,15412,158,156,109,104,94,55,10,4,686,76,107,187,281,262,178,51,10,1145,1427,2516,2975,3747,3582,2191,695,123,17247,10,36,62,78,90,80,20,9,387,979,858,1037,1335,1383,1084,434,111,7230,2694,4374,5681,7173,7319,4924,1499,310,33980,11,150,253,277,273,121,25,3,1103,15,115,205,345,355,148,23,4,1206,339,1285,1710,1336,1324,683,162,25,6861,189,620,1006,1534,1500,764,144,23,5777,763,1180,1342,1648,1162,388,76,19,6575,203,220,228,204,169,77,13,3,1120,101,132,312,333,299,190,41,8,1425,1071,1525,1879,2192,1623,653,133,33,9119,10,29,38,70,75,82,26,11,332,756,470,656,981,1163,916,412,144,5499,2391,4193,5744,6732,6310,3375,925,236,29900,17,209
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,9,8,5,10,0,0,0,38,0,4,0,3,0,3,0,0,7,17,46,11,11,12,6,0,0,99,11,9,11,14,4,13,3,0,65,23,75,38,51,52,55,12,5,305,7,9,4,0,0,0,0,0,16,0,7,4,3,4,0,0,0,22,29,88,50,50,59,54,12,5,345,3,4,0,3,3,3,0,0,16,54,77,90,106,69,33,4,4,428,114,236,165,190,151,111,20,11,994,0,14,6,0,3,0,0,0,26,0,3,3,0,3,0,0,0,17,10,48,21,15,9,7,0,0,111,4,19,14,24,11,7,0,0,82,13,25,11,23,23,9,0,0,102,6,0,0,4,0,0,0,0,11,3,3,0,13,9,3,0,0,28,23,28,14,34,33,9,0,0,137,0,5,0,0,4,0,0,0,14,36,44,41,48,28,19,6,0,219,72,153,92,129,92,47,10,4,604,0,23
SOS50,372,8343,10239,7732,5359,3169,1061,239,36523,212,2220,2764,2849,2195,1067,251,55,11610,8279,32021,26589,19274,13545,7842,2702,790,111043,4110,13184,13060,12271,9986,6914,2800,730,63043,15647,36816,30887,31722,25931,17158,8743,2182,169100,2591,1500,943,685,446,250,64,27,6499,881,1729,1897,1999,1749,1409,750,199,10609,19120,40044,33731,34407,28128,18821,9550,2410,186211,463,1217,1220,1055,853,786,394,139,6131,9217,13783,10983,9942,8230,6903,5265,2813,67131,41773,110807,98589,87531,68287,45496,22027,7179,481685,577,10559,9728,6281,3780,1645,384,79,33037,573,4714,5293,4767,3514,1303,363,84,20608,12181,45487,35126,22894,14479,7597,2991,801,141561,5790,16298,16867,16563,12824,6997,2889,912,79135,11769,19627,15345,14126,9174,3871,1220,468,75605,2919,2277,1892,1636,1277,720,232,80,11039,1317,2615,3745,4067,3590,2529,1021,406,19288,16000,24522,20981,19836,14047,7122,2477,951,105935,492,1279,1124,1239,1268,1164,623,266,7456,8495,11594,9115,8941,9018,8933,8467,6478,71044,44109,114457,98232,80524,58930,34761,18196,9571,458776,952,18901
SOS51,11,385,589,468,381,244,71,15,2150,23,197,315,302,264,120,31,3,1239,349,2286,2386,1792,1465,790,257,74,9389,304,1386,1844,1909,1584,953,372,87,8437,3757,9209,8578,7915,6321,3652,1522,350,41315,724,383,244,223,143,58,21,0,1793,196,364,447,416,387,324,134,40,2310,4678,9961,9276,8552,6845,4032,1679,393,45414,64,133,169,139,127,137,61,30,850,2588,3431,3187,3139,2702,2077,1385,634,19143,8004,17770,17756,16295,13361,8355,3857,1232,86627,20,597,646,441,365,152,25,3,2245,85,620,772,593,490,188,37,4,2782,791,4659,4407,2851,2015,1071,453,104,16344,691,2626,2854,2703,2317,1204,478,142,12998,2695,4802,4044,3457,2176,823,202,77,18282,1015,789,600,417,314,152,41,9,3339,343,585,792,793,713,411,138,45,3812,4057,6174,5438,4665,3199,1390,383,123,25434,59,177,152,160,179,161,108,30,1030,2371,2788,2516,2684,2584,2373,1917,1137,18368,8064,17638,16785,14093,11144,6531,3400,1545,79210,30,984
SOS52,0,23,42,50,45,31,14,0,207,3,33,30,37,48,17,7,0,184,39,275,248,218,186,111,39,8,1132,41,159,214,246,275,198,59,6,1199,462,1206,1146,1338,1263,792,299,66,6575,79,59,37,34,36,15,9,0,273,33,60,62,77,89,79,22,9,428,575,1318,1245,1449,1391,890,332,71,7273,5,10,17,27,27,30,11,0,131,607,621,599,673,698,557,333,112,4194,1270,2445,2399,2705,2668,1825,794,210,14319,0,62,63,70,51,24,4,0,274,6,66,88,78,74,25,3,0,343,126,596,484,395,305,220,75,16,2216,90,286,331,411,410,230,105,25,1892,330,678,528,574,427,162,45,10,2750,172,129,92,70,62,23,3,3,551,47,82,124,135,137,72,23,3,623,554,885,739,778,633,253,66,15,3922,8,35,33,13,44,26,22,3,186,514,578,533,564,607,536,369,166,3869,1301,2515,2271,2315,2116,1320,642,225,12717,0,83
SOS53,3,153,183,217,216,210,65,13,1067,3,52,94,114,130,79,11,0,482,192,1008,1102,1099,971,636,172,23,5204,134,512,823,1112,1054,709,177,33,4557,1656,3957,4028,4712,3834,2021,554,92,20856,243,168,114,91,68,29,8,0,723,69,125,232,244,259,207,62,10,1207,1963,4256,4367,5048,4155,2260,626,104,22790,32,49,64,92,89,68,33,4,429,1828,3311,2918,2624,1901,1258,577,114,14529,4152,9348,9548,10303,8519,5226,1658,289,49052,14,173,238,251,227,108,17,0,1031,7,182,272,356,330,112,24,0,1282,329,1475,1936,1658,1300,670,182,25,7581,230,695,1048,1543,1487,772,184,35,5987,707,1393,1425,1554,1083,372,67,16,6622,268,187,212,231,162,68,12,0,1145,105,204,316,391,375,216,44,9,1660,1083,1788,1955,2172,1622,665,123,29,9420,16,31,49,89,94,88,29,13,407,1012,992,1106,1395,1401,1090,467,128,7596,2699,5337,6605,7465,6459,3494,1016,228,33301,17,327
SOS57,0,6,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,6,8,6,0,0,3,0,31,0,13,20,16,9,0,0,0,52,0,41,40,32,10,0,0,0,130,0,3,3,0,0,0,0,0,3,0,4,3,3,0,0,0,0,13,0,49,47,34,10,0,0,0,139,0,0,0,0,0,0,0,0,0,3,28,20,21,9,0,0,0,78,7,100,95,77,33,4,3,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,8,3,5,0,3,0,0,0,0,22,0,4
SOS59,0,27,13,11,3,8,0,0,62,0,8,3,0,3,3,0,0,16,22,91,39,12,32,15,3,0,225,8,27,23,28,29,24,0,0,151,49,179,137,137,146,89,15,3,748,10,10,5,3,3,0,0,0,28,3,15,4,13,6,9,0,0,51,63,196,147,151,158,96,17,3,829,6,4,5,0,3,5,0,0,26,89,230,214,251,137,79,15,3,1021,188,588,450,459,369,233,35,4,2331,3,26,11,9,4,0,0,0,54,0,6,5,4,17,0,0,0,32,35,136,50,30,25,18,3,0,302,7,46,13,24,45,22,3,0,155,30,52,25,32,54,17,0,0,217,5,4,4,3,7,4,0,0,37,9,14,5,3,17,9,0,0,63,42,76,40,44,78,31,3,0,317,0,3,0,3,4,0,3,0,16,89,157,107,110,82,56,13,3,613,184,440,223,218,263,136,25,7,1493,8,53
SOS60,24,765,781,736,629,439,167,64,3607,29,205,257,343,278,162,49,6,1337,553,2348,2007,1560,1471,977,349,159,9426,182,699,871,1009,947,785,360,118,4964,1296,2926,2489,2609,2466,1625,960,300,14669,236,195,114,60,79,46,17,9,744,74,131,145,170,198,151,86,33,990,1611,3257,2747,2839,2743,1821,1067,335,16413,42,72,55,74,71,77,63,20,479,902,1013,869,914,932,852,658,292,6417,3329,8357,7583,7470,7074,5119,2710,997,42641,70,1115,957,775,600,323,73,22,3933,54,449,523,571,472,251,55,17,2392,899,3098,2788,2078,1966,1088,407,160,12478,271,899,1192,1358,1223,885,447,174,6455,1106,1959,1541,1428,1080,370,157,63,7707,347,319,200,166,124,83,25,15,1276,131,222,289,316,364,238,132,78,1767,1584,2496,2028,1915,1573,698,308,151,10753,30,67,61,89,116,132,107,33,633,805,775,730,848,989,1144,978,637,6916,3710,8913,8279,7637,6932,4525,2376,1198,43561,98,1881
SOS61,10,258,301,332,299,246,74,18,1545,12,105,118,181,186,117,23,8,741,286,1168,1172,978,945,635,222,77,5484,162,547,770,965,965,670,280,83,4437,1835,3823,3232,3607,3497,2564,1367,347,20267,351,252,158,104,70,39,19,4,999,102,140,192,188,203,193,119,31,1159,2286,4220,3580,3899,3766,2791,1500,388,22429,30,59,63,68,66,83,66,21,455,1101,892,828,1104,1166,1359,970,408,7833,3883,7250,6835,7526,7395,5908,3136,1004,42929,28,336,371,365,315,187,30,7,1638,29,238,282,307,294,163,52,11,1375,517,2105,1951,1636,1515,882,301,113,9017,260,958,1248,1524,1331,935,482,142,6883,1480,2554,2110,2023,1514,600,132,47,10457,569,468,331,295,187,108,28,14,1995,198,311,362,460,457,296,131,50,2261,2247,3328,2806,2772,2162,1002,292,108,14719,39,65,66,77,111,126,92,39,622,1032,835,810,1063,1354,1759,1521,833,9212,4149,7863,7535,7751,7083,5046,2773,1254,43455,34,593
SOS62,0,23,51,58,75,62,28,3,304,0,16,24,22,29,15,8,0,122,29,123,159,157,198,162,46,13,892,12,64,106,163,195,177,58,16,795,215,517,518,636,699,520,211,45,3375,39,21,16,23,24,11,5,0,136,8,19,38,35,61,38,21,4,226,267,555,567,692,781,572,232,55,3730,0,3,10,12,24,17,14,4,94,174,117,153,220,263,292,188,66,1471,482,901,1073,1332,1572,1311,577,156,7407,6,40,68,63,102,32,7,3,320,7,31,35,61,68,22,8,0,234,57,248,318,235,282,191,62,16,1403,30,136,188,221,290,215,76,8,1173,145,299,291,295,260,104,27,5,1423,47,52,40,52,41,22,3,0,256,34,47,61,68,88,60,22,4,379,222,397,396,411,380,186,49,8,2060,0,9,13,14,10,28,15,8,88,162,112,142,203,252,312,235,112,1525,490,975,1155,1210,1373,987,454,151,6802,5,64
