SOS_CODE_2016,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,5,0,5,0,0,0,3,0,3,0,0,0,4,0,4,0,0,0,5,0,5,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,24,3,0,3,28,4,29
SOS29,16,6,25,175,138,312,24,13,39,215,163,379,0,8,8,72,87,157,15,11,24,88,105,195,7,7,9,69,73,145,13,16,25,88,88,176,15,13,28,141,146,288,20,16,39,180,178,357,10,6,23,371,385,753,65,62,121,447,453,898,21,4,22,439,386,821,85,60,143,542,450,994,20,13,28,411,279,691,76,51,134,513,345,856,25,6,32,352,205,555,64,42,108,441,253,693,16,17,38,296,176,471,58,30,95,372,229,601,16,6,23,286,144,427,51,25,73,349,170,524,11,5,20,223,146,364,47,25,66,277,177,451,12,4,12,196,158,355,35,27,58,237,188,425,4,3,12,188,137,324,33,26,55,219,169,390,0,6,6,316,238,556,47,36,80,365,279,643,160,117,279,3534,2688,6219,638,434,1069,4331,3238,7565
SOS30,5369,5188,10563,95629,90458,186086,5688,5467,11160,106692,101115,207804,5479,5307,10788,100076,95028,195099,5487,5200,10691,111040,105539,216580,5164,4950,10114,93518,88583,182107,4829,4762,9585,103511,98301,201806,4955,4763,9718,95549,92763,188316,5328,5271,10597,105828,102797,208634,4248,4317,8563,107618,107995,215608,7846,7555,15394,119713,119862,239568,3267,3514,6784,106967,110948,217909,8069,8010,16086,118305,122469,240774,2735,2932,5672,107676,113169,220842,7869,7331,15203,118280,123433,241707,2306,2640,4950,99349,105175,204526,6777,6155,12928,108431,113972,222401,2382,2697,5080,102095,108763,210859,6750,6131,12873,111224,117590,228817,2130,2512,4644,98754,106255,205010,6804,6126,12930,107687,114896,222585,1822,2106,3929,91425,98044,189473,6267,5792,12058,99515,105942,205454,1420,1688,3109,83834,91043,174876,5718,5444,11156,90971,98168,189143,1039,1249,2287,73291,79824,153114,4964,5096,10066,79298,86168,165469,1445,2056,3502,195353,231840,427192,13780,16829,30605,210578,250720,461295,43771,45920,89689,1451133,1519884,2971018,96171,95163,191337,1591077,1660962,3252041
SOS31,3859,3751,7609,23374,22398,45772,2008,1939,3947,29242,28087,57329,4080,3863,7936,25552,24150,49702,2030,1997,4024,31656,30005,61664,3781,3644,7428,24114,22723,46836,1830,1763,3592,29730,28132,57860,3214,3271,6488,22083,20660,42746,1693,1685,3377,26987,25611,52606,2545,2459,5008,20412,20234,40642,2071,1915,3980,25026,24610,49633,1960,2069,4027,21687,23032,44721,2488,2096,4584,26133,27198,53335,1702,1936,3634,22510,24051,46561,2446,1971,4420,26652,27955,54608,1529,1696,3225,21285,22479,43767,2221,1683,3902,25039,25857,50894,1547,1811,3355,22858,24068,46920,2332,1865,4203,26739,27743,54480,1483,1795,3279,23483,24711,48196,2415,1954,4365,27382,28455,55843,1341,1511,2849,23700,24946,48648,2413,1964,4373,27450,28420,55872,1110,1264,2372,23643,24663,48303,2361,1927,4286,27105,27853,54962,765,916,1683,22257,23072,45327,2002,1812,3812,25030,25793,50820,1240,1601,2845,65839,73590,139429,5644,6343,11993,72726,81533,154262,30156,31579,61734,362796,374780,737571,33951,30917,64870,426903,437270,864172
SOS32,1182,1111,2290,3005,2772,5781,278,246,530,4466,4134,8599,1205,1168,2372,3583,3429,7013,309,321,629,5090,4927,10016,981,1016,2000,3453,3120,6571,316,293,604,4745,4434,9173,872,850,1720,3046,2790,5834,296,289,580,4213,3922,8132,798,852,1648,2392,2292,4686,266,258,525,3458,3399,6856,684,736,1419,2356,2429,4782,276,261,534,3308,3423,6739,520,597,1113,2709,2933,5635,288,270,561,3515,3797,7312,565,561,1124,2854,3033,5886,314,259,572,3734,3855,7584,530,568,1100,3559,3700,7265,349,316,668,4444,4588,9025,568,560,1128,3962,4053,8018,416,355,771,4952,4967,9920,496,519,1010,4401,4417,8815,455,382,834,5352,5310,10660,388,449,841,4737,4772,9515,452,375,821,5575,5597,11175,328,348,676,4672,4539,9212,425,368,794,5428,5252,10680,465,536,999,12834,11563,24399,1195,1078,2273,14494,13180,27675,9579,9871,19445,57555,55849,113404,5627,5067,10699,72766,70783,143553
SOS33,717,639,1354,9786,9406,19192,951,893,1838,11453,10936,22385,918,831,1748,12763,11807,24571,1189,1074,2264,14868,13716,28585,959,825,1783,13412,12500,25915,1224,1129,2359,15597,14459,30055,819,618,1443,12064,10956,23026,1062,970,2032,13950,12551,26495,722,451,1172,8857,7854,16709,951,822,1781,10530,9128,19656,570,342,912,8094,7773,15873,993,774,1767,9657,8893,18550,495,326,819,9106,9470,18579,1108,856,1966,10706,10656,21362,435,358,796,10222,10523,20748,1099,958,2051,11753,11840,23596,518,418,941,12905,13365,26271,1387,1226,2619,14815,15013,29830,459,443,898,15002,15058,30058,1583,1341,2919,17042,16837,33872,466,382,849,16010,15811,31816,1708,1439,3147,18178,17636,35812,371,339,708,16466,15509,31980,1729,1402,3133,18572,17248,35820,291,277,570,15329,13765,29090,1517,1232,2747,17139,15269,32410,434,382,816,35913,29271,65188,3541,2789,6323,39883,32442,72327,8176,6628,14806,195933,183082,379010,20028,16911,36945,224138,206625,430761
SOS37,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,3,4,0,0,0,3,5,11,0,0,0,3,0,3,0,0,3,3,4,11,0,0,0,3,4,5,0,0,0,3,4,5,0,0,0,3,3,7,0,0,0,3,3,7,0,0,0,7,0,7,0,0,0,6,0,6,0,0,0,4,7,9,0,0,0,4,3,12,0,0,0,5,5,6,0,0,0,5,5,6,0,0,0,5,3,13,0,0,0,5,3,14,0,0,0,5,8,15,0,3,3,5,14,19,0,0,0,8,3,7,0,0,0,8,3,12,0,0,0,22,26,50,0,5,5,21,28,56,0,5,3,63,71,131,6,9,15,66,87,150
SOS39,27,19,43,128,120,249,24,20,48,182,160,339,12,14,30,113,109,222,23,19,41,150,144,289,6,16,23,77,74,152,18,8,22,104,96,197,24,28,50,154,149,308,28,24,45,212,203,408,31,39,70,444,439,883,90,94,180,559,576,1133,59,24,82,538,504,1041,125,99,221,714,627,1349,40,22,65,438,298,739,91,52,146,573,374,948,51,28,83,352,198,547,77,33,107,479,261,738,73,36,102,334,192,523,85,32,118,487,256,742,57,23,84,329,234,561,68,41,107,455,298,752,49,24,72,382,318,702,84,49,137,518,393,914,19,18,34,398,487,884,77,83,164,489,592,1080,25,11,30,537,551,1089,102,77,176,660,639,1294,24,13,33,1164,827,1990,179,131,317,1365,971,2332,488,310,799,5388,4498,9886,1061,771,1827,6937,5572,12510
SOS40,1029,931,1964,32984,30986,63973,1555,1454,3012,35571,33371,68946,1013,983,1996,32617,31279,63894,1411,1351,2760,35044,33604,68651,912,899,1816,30569,28875,59446,1297,1154,2449,32782,30930,63709,960,935,1901,33609,32295,65904,1358,1403,2759,35928,34631,70554,781,806,1582,39076,37932,77006,1864,1800,3661,41723,40535,82252,696,709,1406,37844,38725,76571,1973,1939,3904,40507,41372,81877,534,557,1090,38819,39973,78793,2032,1875,3911,41381,42406,83793,399,468,864,35591,36025,71621,1805,1586,3392,37794,38082,75877,429,512,943,35329,35770,71096,1734,1475,3208,37486,37760,75245,387,483,869,36138,37349,73490,1847,1611,3457,38371,39443,77815,341,419,760,35190,36882,72068,1789,1639,3424,37314,38944,76253,291,372,658,33400,36187,69586,1741,1686,3426,35431,38242,73667,237,260,500,29419,32850,62271,1531,1532,3058,31187,34637,65823,306,403,708,83961,105035,188998,4905,6551,11460,89172,111994,201163,8323,8732,17051,534544,560167,1094707,26833,27046,53877,569694,595939,1165632
SOS41,647,584,1234,7976,7797,15773,476,461,936,9105,8840,17948,679,624,1301,8826,8510,17339,526,504,1034,10031,9643,19671,612,611,1219,8620,8142,16761,522,472,992,9749,9223,18974,519,507,1031,8439,7936,16372,449,456,910,9410,8897,18310,412,445,865,7658,7254,14914,456,464,922,8526,8171,16700,383,376,759,7589,7643,15233,501,462,966,8477,8481,16960,326,345,668,7731,8030,15758,505,479,979,8555,8849,17402,234,244,480,7368,7831,15199,473,413,887,8075,8495,16570,256,310,564,8409,8806,17212,535,498,1031,9196,9609,18805,289,313,604,9076,9728,18806,606,569,1175,9969,10614,20585,262,272,532,9235,9602,18829,630,562,1185,10122,10429,20555,185,221,407,9426,9884,19314,686,672,1361,10298,10777,21076,140,185,327,8982,9556,18537,591,568,1158,9715,10305,20025,247,306,551,28912,34264,63174,2075,2532,4611,31236,37103,68339,5200,5346,10544,138235,144989,283225,9041,9112,18156,152477,159441,311919
SOS42,140,139,281,1232,1235,2470,109,104,213,1479,1483,2959,150,142,288,1426,1304,2728,101,86,183,1671,1531,3202,133,126,264,1353,1247,2598,89,87,180,1582,1461,3039,130,124,257,1241,1208,2454,97,81,184,1476,1412,2891,133,144,273,1039,933,1979,77,69,143,1251,1141,2392,111,109,215,1111,1115,2227,72,77,151,1294,1296,2591,101,95,190,1136,1189,2322,91,85,169,1325,1360,2684,86,95,186,1160,1171,2335,83,98,180,1332,1370,2697,79,91,171,1302,1374,2672,102,78,180,1484,1547,3031,81,110,198,1567,1521,3089,123,96,218,1772,1726,3507,67,71,134,1770,1803,3580,121,115,239,1964,1990,3951,44,64,106,1967,1882,3857,127,120,250,2134,2074,4207,35,46,84,1958,1857,3817,164,134,297,2162,2037,4198,48,75,119,5574,5672,11244,456,481,935,6083,6225,12310,1345,1426,2769,23854,23524,47374,1816,1702,3519,27010,26655,53667
SOS43,163,137,305,3325,3064,6383,227,215,447,3715,3420,7135,174,192,370,4187,3769,7958,289,260,546,4650,4223,8876,179,179,356,4468,4263,8730,285,299,582,4936,4737,9673,187,159,342,4127,3736,7864,298,249,547,4608,4147,8754,146,112,258,3138,2539,5677,279,165,442,3554,2823,6381,106,115,229,2687,2300,4987,239,170,410,3040,2588,5630,134,113,247,2973,2957,5930,230,201,436,3340,3265,6608,107,103,211,3389,3359,6744,284,209,492,3776,3677,7453,131,102,229,4331,4232,8562,297,271,574,4756,4604,9364,114,114,229,5395,5075,10477,409,361,771,5922,5554,11482,126,116,247,5811,5392,11204,450,370,823,6391,5881,12270,122,87,214,6111,5543,11654,445,432,881,6679,6064,12739,81,62,142,5772,5001,10776,467,402,869,6316,5464,11780,109,81,190,12288,10180,22471,984,783,1768,13384,11049,24424,1889,1679,3565,68008,61411,129412,5182,4399,9587,75073,67492,142568
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,6,0,3
SOS49,7,4,13,36,33,70,3,3,6,50,43,91,0,3,3,26,27,50,7,3,9,35,37,67,0,3,9,22,24,46,3,3,10,29,34,60,15,10,21,75,62,131,7,5,11,95,80,173,12,22,31,135,70,210,17,10,22,161,99,266,15,6,22,157,95,248,13,14,33,187,118,304,18,11,30,128,71,202,17,4,22,164,93,259,15,11,25,107,64,172,16,7,24,136,80,221,18,15,31,110,42,158,15,7,21,141,61,205,8,10,25,105,60,169,23,25,49,142,96,238,12,4,17,109,77,184,22,8,30,143,91,235,6,4,11,95,68,166,20,8,24,122,81,207,8,0,8,90,69,166,20,10,36,114,82,198,5,4,5,196,117,308,27,10,38,220,129,351,141,114,249,1400,886,2279,202,130,328,1734,1129,2863
SOS50,1763,1687,3451,57948,55194,113140,3278,3003,6282,62987,59884,122879,1728,1715,3440,58107,55112,113219,2867,2675,5539,62698,59499,122195,1687,1636,3324,53347,50543,103887,2524,2371,4896,57556,54558,112109,1646,1525,3174,54593,52415,107009,2675,2496,5173,58919,56441,115359,1464,1402,2866,60586,57980,118569,3865,3728,7595,65921,63114,129031,1269,1170,2437,66069,67733,133805,5393,4780,10166,72724,73681,146407,974,982,1963,69830,70716,140551,5315,4539,9859,76125,76240,152369,742,809,1549,61543,62613,124151,4294,3451,7750,66578,66868,133446,725,835,1554,59560,61649,121212,3934,3323,7253,64217,65802,130014,707,830,1534,58970,60912,119874,3926,3176,7103,63597,64915,128516,599,681,1276,54502,56569,111070,3597,3047,6635,58692,60288,118987,487,577,1066,48804,52162,100965,3207,2918,6126,52500,55658,108153,336,443,781,42884,46609,89495,2813,2680,5499,46035,49730,95772,452,655,1107,110857,131208,242065,7335,8833,16165,118645,140697,259343,14578,14941,29517,857595,881417,1739016,55016,51020,106035,927190,947382,1874578
SOS51,1548,1424,2974,10974,10309,21287,1101,1008,2107,13624,12741,26367,1598,1535,3135,11285,10625,21904,1060,992,2049,13942,13154,27091,1445,1454,2903,10085,9735,19822,939,862,1799,12471,12051,24525,1239,1181,2416,9224,8599,17827,815,771,1583,11274,10550,21827,1027,1003,2039,8205,7799,16006,846,837,1675,10078,9641,19714,925,917,1841,9746,10332,20081,1236,1106,2339,11901,12349,24252,788,896,1688,10773,11537,22311,1346,1159,2505,12907,13594,26506,690,797,1485,10311,10668,20977,1143,992,2131,12140,12455,24592,686,759,1447,10709,10812,21523,1227,974,2202,12621,12551,25170,647,804,1453,10660,10745,21402,1190,1028,2221,12508,12569,25072,603,696,1303,10340,10013,20348,1191,981,2172,12134,11685,23822,473,563,1041,9867,9901,19770,1144,990,2131,11483,11457,22935,362,397,756,8447,8595,17043,889,733,1621,9694,9722,19419,477,685,1163,21790,23915,45710,2262,2505,4761,24532,27111,51637,12514,13116,25631,152410,153590,306003,16381,14930,31310,181308,181632,362942
SOS52,649,613,1267,1408,1312,2721,187,166,351,2237,2099,4339,656,599,1252,1549,1469,3016,192,181,374,2404,2245,4643,580,615,1197,1387,1389,2772,152,146,301,2116,2148,4268,520,502,1020,1205,1084,2287,153,114,274,1880,1697,3579,444,473,913,1043,1034,2075,144,146,290,1632,1649,3277,412,509,926,1295,1350,2645,208,205,413,1920,2055,3977,377,460,840,1379,1457,2836,207,181,392,1964,2105,4069,308,366,674,1350,1377,2724,192,170,365,1855,1907,3764,356,330,690,1493,1442,2934,211,195,406,2059,1966,4029,283,354,638,1769,1716,3481,216,174,383,2265,2237,4505,250,331,577,1843,1801,3644,253,198,442,2345,2326,4670,220,242,460,1948,1863,3814,263,194,456,2428,2300,4729,157,227,383,1901,1739,3639,227,219,442,2280,2187,4466,251,308,556,4852,4493,9338,569,557,1121,5666,5354,11019,5457,5925,11379,24418,23526,47940,3185,2831,6016,33052,32279,65334
SOS53,364,322,693,3542,3140,6685,311,307,616,4221,3769,7989,415,395,808,4363,4132,8496,387,380,766,5165,4912,10077,460,404,869,4242,3913,8153,399,384,788,5105,4699,9811,433,351,784,4104,3426,7533,416,350,762,4957,4125,9078,516,278,791,3606,2526,6138,535,320,856,4662,3124,7782,568,316,880,4472,2827,7298,947,398,1351,5989,3536,9521,496,273,765,5061,3440,8503,970,395,1367,6520,4109,10634,446,241,688,5039,3715,8760,894,384,1280,6379,4349,10725,406,238,638,5661,4618,10274,887,462,1350,6953,5318,12266,315,265,577,6591,5288,11879,944,514,1455,7844,6072,13917,213,189,408,6889,5666,12551,904,548,1451,8005,6401,14408,176,173,355,6416,5459,11879,803,506,1311,7400,6142,13544,132,121,244,5791,4857,10653,633,464,1096,6555,5441,11995,185,162,346,11767,9172,20937,1219,925,2139,13168,10260,23430,5128,3731,8862,77545,62187,139733,10247,6338,16582,92918,72257,165175
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,18,7,3,5,17,3,20,3,0,3,30,3,34,10,0,7,43,4,47,0,0,0,57,4,64,19,0,14,74,3,78,0,0,0,47,3,51,10,0,10,63,3,60,0,0,0,55,4,59,6,0,6,59,4,65,0,0,0,44,4,47,7,3,12,54,7,60,0,0,0,40,0,37,3,0,3,43,0,44,0,0,0,19,0,26,5,0,3,27,0,27,0,0,0,15,3,16,0,0,0,17,3,15,0,0,0,6,0,6,0,0,0,9,0,9,10,0,10,328,18,351,65,7,76,408,26,434
SOS59,8,18,27,55,48,104,12,18,30,81,79,161,6,9,16,56,51,109,7,8,17,66,72,134,9,14,20,36,29,61,9,6,11,54,46,102,13,14,29,60,53,113,11,5,12,84,65,151,20,27,44,197,179,379,35,38,79,254,242,503,27,25,61,293,236,528,68,48,112,391,309,698,37,18,60,285,163,446,62,44,105,382,230,607,31,21,47,234,117,347,37,21,57,294,155,449,53,32,85,215,100,318,38,16,50,313,147,458,41,35,72,227,94,320,45,16,56,314,137,453,37,18,52,239,135,376,45,31,77,324,185,505,24,9,31,223,173,394,37,38,75,287,216,500,18,8,23,200,185,391,29,25,57,256,218,474,11,9,15,368,253,618,66,46,115,444,309,747,341,247,587,2691,1806,4497,502,363,867,3532,2415,5950
SOS60,379,331,711,4656,4394,9046,273,255,531,5313,4974,10290,400,384,784,4926,4658,9582,284,266,550,5615,5306,10914,353,360,709,4615,4319,8936,251,241,495,5220,4919,10135,342,319,661,4933,4741,9676,269,282,550,5540,5343,10883,328,299,619,5378,5323,10702,292,308,601,6000,5926,11926,255,295,554,5288,5454,10743,361,316,680,5909,6067,11979,219,249,468,5206,5439,10650,325,319,642,5750,6005,11756,160,186,350,4738,5138,9877,274,276,549,5171,5606,10778,158,173,330,4897,5442,10336,298,295,593,5348,5908,11257,180,191,368,5109,5474,10580,329,285,619,5620,5950,11563,134,168,308,5020,5502,10525,321,308,629,5473,5982,11455,138,139,281,5147,5799,10946,324,349,664,5607,6292,11896,91,97,186,4718,5323,10042,327,288,616,5134,5711,10852,156,180,339,13080,16599,29676,1015,1279,2293,14252,18060,32305,3298,3376,6678,77719,83608,161329,4938,5062,10003,85960,92047,178009
SOS61,538,574,1115,5033,4886,9915,310,333,641,5880,5786,11670,637,611,1244,5457,5148,10606,345,345,683,6436,6102,12536,558,571,1129,5088,4955,10037,280,301,580,5930,5824,11750,564,510,1079,5548,5308,10860,301,315,618,6413,6137,12550,428,439,865,5504,5326,10832,385,336,720,6309,6103,12410,324,354,679,4883,5202,10090,346,331,681,5556,5894,11450,254,380,633,4953,5181,10133,317,320,641,5527,5889,11414,240,282,523,4544,5100,9647,288,300,590,5074,5681,10755,242,314,550,5042,5597,10640,322,307,631,5606,6221,11827,264,323,584,5537,6222,11757,385,341,731,6188,6879,13069,213,275,495,5748,6351,12102,389,397,785,6353,7029,13379,219,241,453,5876,6440,12319,399,443,840,6488,7124,13614,165,188,353,5502,6254,11756,400,414,812,6070,6855,12925,306,357,658,17004,21025,38036,1399,1810,3208,18715,23188,41907,4948,5413,10364,85717,93001,178718,5876,6291,12163,96538,104702,201247
SOS62,77,96,174,687,618,1305,41,52,93,804,769,1573,108,106,210,809,767,1579,63,53,117,978,931,1909,89,86,170,735,705,1439,61,59,127,880,857,1739,91,64,159,725,657,1375,58,61,119,868,777,1651,50,60,114,556,528,1086,42,52,95,652,642,1294,43,65,110,572,586,1158,36,44,80,654,689,1347,43,58,97,637,665,1298,39,45,85,716,773,1486,23,56,83,636,695,1330,43,41,88,708,796,1500,37,53,94,800,880,1684,54,62,123,898,999,1900,46,55,102,901,911,1814,75,67,135,1020,1034,2051,39,42,83,949,1030,1979,86,70,159,1074,1144,2219,47,51,99,1181,1211,2392,104,81,182,1331,1339,2673,44,32,75,1137,1137,2278,97,100,198,1279,1270,2548,80,63,142,3205,3211,6416,289,288,576,3573,3557,7134,826,883,1707,13538,13606,27141,1079,1083,2168,15443,15573,31013
SOS63,231,198,434,2127,2023,4155,158,152,308,2518,2381,4898,280,264,540,2681,2545,5226,190,175,363,3155,2984,6135,298,250,550,2914,2647,5562,245,223,471,3453,3120,6578,258,224,482,2628,2412,5042,214,191,403,3108,2826,5929,163,148,309,1934,1586,3517,169,139,305,2266,1868,4134,124,104,232,1630,1664,3292,142,145,291,1902,1913,3815,136,120,253,1897,2120,4019,158,149,306,2192,2392,4579,112,138,248,2246,2386,4633,162,173,339,2521,2700,5220,130,123,256,2821,2937,5753,227,205,434,3177,3267,6438,151,171,328,3366,3567,6932,259,233,495,3780,3971,7753,145,150,292,3875,3690,7564,297,257,548,4308,4097,8410,123,170,294,4138,4053,8188,347,300,648,4608,4522,9131,144,97,244,4017,3545,7558,319,272,591,4486,3912,8395,173,140,306,8625,7053,15675,712,603,1319,9507,7796,17298,2470,2298,4771,44899,42223,87119,3600,3218,6818,50967,47741,98715
