SOS_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
SOS52,12734,6227,7367,7175,8388,8307,6039,2970,931,60133,49,55,36,17,31,29,27,9,10,259,25,36,47,50,43,143,190,47,0,572,56,21,61,68,68,178,241,44,0,742,12,22,54,45,63,124,136,19,0,471,8,8,23,27,36,91,115,12,6,325,484,668,1109,895,1023,1242,1058,358,84,6922,5,3,10,10,9,36,25,0,0,100,0,8,21,12,5,9,6,0,0,57,0,0,6,0,0,4,15,0,0,28,0,0,0,0,0,0,0,0,0,0,595,757,1323,1108,1247,1833,1777,491,87,9223,642,810,1355,1116,1281,1860,1806,500,97,9478,13382,7038,8723,8290,9667,10169,7844,3469,1027,69609
SOS53,27095,15440,18718,21626,26321,23239,14923,5264,1208,153835,49,100,128,75,61,51,46,13,4,535,70,138,496,405,425,509,504,72,5,2619,164,74,364,377,411,663,732,115,7,2899,50,138,684,696,778,637,423,49,0,3462,17,30,147,183,231,276,251,41,5,1176,873,2344,7408,6084,6097,4640,2419,608,116,30600,16,7,63,67,103,90,99,7,0,454,7,9,35,43,35,29,20,10,0,195,4,0,8,18,13,35,40,10,0,130,0,0,0,0,0,0,0,0,0,0,1207,2741,9202,7865,8089,6880,4484,914,143,41530,1257,2846,9333,7941,8156,6934,4527,924,143,42070,28353,18288,28046,29564,34471,30171,19453,6192,1355,195899
SOS57,0,18,123,119,96,47,8,3,3,418,0,0,0,4,0,0,0,0,0,7,0,9,55,86,110,57,40,9,4,370,5,13,69,62,50,52,29,22,0,308,14,24,70,116,99,113,29,10,0,473,0,0,19,22,15,19,15,5,0,97,40,105,526,458,427,240,57,0,0,1864,0,3,3,17,24,18,3,0,0,70,0,15,10,12,5,11,5,0,0,53,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,60,173,755,774,737,512,176,48,7,3245,60,173,755,781,734,512,176,48,7,3245,60,193,876,903,837,560,185,49,5,3668
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS60,30456,21407,22362,21027,21896,21081,15917,9269,4414,167818,38,62,44,32,49,42,57,46,28,406,49,37,125,114,110,129,90,24,5,681,42,92,204,165,201,125,76,26,3,931,38,55,102,74,129,149,55,13,3,611,10,13,34,33,27,31,41,0,0,184,5,5,27,22,43,22,31,3,0,157,688,1139,971,632,616,632,436,233,153,5488,0,5,4,0,3,3,3,0,0,27,0,15,16,19,20,15,11,0,0,99,0,0,0,0,0,0,0,0,0,0,828,1359,1479,1054,1152,1104,742,300,162,8177,872,1419,1524,1087,1199,1144,796,350,189,8582,31320,22826,23886,22107,23098,22230,16709,9621,4602,176398
SOS61,34950,23291,21390,21480,25022,24430,20629,12234,5203,188634,62,77,59,45,53,85,74,62,41,558,22,40,60,51,86,77,42,17,0,403,31,75,145,92,149,149,73,20,5,736,73,77,78,54,82,98,49,10,3,530,8,11,10,14,25,29,14,9,0,124,7,20,39,19,40,47,23,14,0,215,736,1395,951,639,768,728,518,314,183,6235,0,4,10,0,3,5,0,0,0,32,0,3,8,6,8,13,0,0,0,33,0,0,0,0,0,0,0,0,0,0,880,1632,1303,881,1164,1149,722,377,194,8305,946,1705,1359,930,1220,1232,797,445,237,8867,35896,24993,22756,22410,26240,25663,21425,12681,5440,197498
SOS62,5051,2690,2643,3235,3994,4733,3911,1881,610,28747,23,19,7,12,13,13,9,11,7,111,13,5,16,13,15,25,27,7,0,116,10,13,19,13,19,16,28,3,0,120,13,8,25,16,16,21,20,5,0,126,3,0,10,3,8,12,8,0,0,47,4,0,11,9,7,19,6,0,0,54,106,175,175,112,154,198,102,40,22,1088,0,0,0,0,0,0,5,0,0,5,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,155,204,253,161,218,297,192,58,26,1562,180,221,261,171,228,312,206,66,32,1672,5229,2913,2901,3407,4230,5039,4114,1948,640,30422
SOS63,17086,9203,7782,11016,15167,15988,10883,3899,869,91884,23,35,28,16,37,66,39,25,5,286,11,15,45,46,71,75,55,19,3,328,38,32,68,45,34,73,62,7,3,364,20,33,57,43,70,66,54,8,0,358,3,7,4,7,9,18,13,0,0,60,6,12,23,3,12,26,17,8,0,99,342,509,453,304,334,412,291,94,42,2772,0,0,5,0,0,0,3,0,0,10,0,0,9,0,6,6,3,0,0,31,0,0,0,0,0,0,0,0,0,0,421,602,663,446,537,671,493,128,52,4021,445,644,696,469,578,736,533,152,58,4304,17530,9844,8477,11481,15741,16726,11418,4050,922,96190
SOS67,0,10,23,7,12,9,7,0,0,65,0,0,0,0,0,0,0,0,0,3,3,4,22,3,12,19,14,4,0,77,5,13,24,30,32,36,20,0,0,158,0,0,10,0,8,4,3,0,0,28,0,3,3,3,5,3,0,0,0,18,0,0,3,3,3,3,0,0,0,11,24,17,31,53,56,68,52,6,0,314,0,0,3,0,0,0,4,0,0,8,0,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,38,42,106,99,109,131,90,15,0,624,38,42,106,96,112,131,90,15,0,626,38,45,130,107,118,144,97,15,0,691
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,23021,13943,23117,17974,14751,10842,5754,2074,553,112017,33,31,46,27,23,20,13,3,0,197,60,127,398,307,369,525,527,170,25,2517,138,94,273,265,353,659,633,230,40,2679,80,138,509,461,545,501,338,93,15,2680,65,71,201,186,212,301,357,126,24,1543,50,93,296,317,378,402,327,125,8,1998,11,9,19,21,38,97,67,15,6,283,428,508,816,650,631,453,263,58,17,3825,5,27,51,61,63,62,25,14,0,297,0,0,0,0,0,0,0,3,0,3,828,1051,2570,2263,2587,3002,2535,838,144,15817,860,1081,2614,2289,2607,3021,2552,843,144,16017,23885,15029,25729,20258,17357,13862,8303,2916,696,128031
SOS71,10841,5932,7888,6445,6135,4532,1948,698,202,44611,47,34,24,26,17,13,4,0,0,166,33,30,86,69,144,256,301,56,7,984,104,43,108,79,125,281,288,98,15,1148,43,63,81,86,132,208,202,77,3,887,53,50,111,64,111,192,171,43,0,797,14,20,29,26,47,95,86,7,0,320,3,3,18,6,15,39,39,7,0,129,357,310,474,387,430,381,124,20,3,2491,0,14,23,12,9,18,21,6,0,101,0,0,0,0,0,0,0,0,0,0,607,530,931,724,1012,1463,1227,316,38,6860,660,559,954,755,1029,1479,1235,318,38,7031,11498,6493,8842,7197,7164,6010,3183,1015,236,51640
SOS72,6659,4024,4229,3265,2981,2065,917,273,63,24482,68,35,34,14,19,13,3,0,3,193,32,22,67,85,125,234,237,26,3,830,35,21,69,54,86,217,212,33,0,734,43,49,126,107,141,208,146,21,0,841,33,12,19,33,42,108,139,16,0,405,19,15,35,33,40,87,106,15,0,353,7,0,6,5,16,39,20,4,0,96,182,209,251,206,197,163,60,12,0,1271,3,0,8,6,9,18,10,0,0,54,0,0,0,0,0,3,0,0,0,3,348,327,580,523,654,1074,930,130,9,4581,414,368,620,539,677,1089,936,136,9,4775,7076,4393,4850,3802,3656,3152,1845,412,71,29259
SOS73,7071,4416,4596,4566,4956,3658,1969,514,85,31824,21,44,29,18,22,12,14,0,0,160,80,101,161,131,171,407,436,57,8,1548,138,56,120,136,177,444,487,102,6,1677,49,115,197,186,251,385,337,57,8,1579,21,35,84,71,104,262,266,69,9,919,26,38,127,125,120,225,211,24,0,907,16,10,3,16,32,82,66,14,0,252,210,245,401,274,305,357,166,35,6,1994,8,3,11,7,7,23,16,3,0,85,0,0,0,0,0,0,0,0,0,0,552,610,1106,943,1174,2177,1991,373,39,8962,572,653,1135,963,1195,2194,2006,373,39,9129,7642,5065,5729,5523,6148,5846,3976,880,124,40944
SOS77,3,5,30,19,9,3,0,3,0,70,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,6,15,8,0,44,0,0,3,3,4,4,3,3,0,24,0,0,5,8,7,7,13,0,0,35,0,0,0,0,0,3,0,0,0,5,0,3,13,7,12,10,0,0,0,43,0,0,0,0,0,0,4,0,0,7,0,3,3,7,10,6,3,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,27,23,31,46,38,13,0,185,0,11,27,23,31,46,38,13,0,185,3,20,54,47,39,46,38,10,0,252
SOS79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS80,72551,52989,62420,55705,48407,38463,26703,13177,5764,376175,71,97,88,76,69,107,121,61,25,713,261,984,956,901,1081,1137,651,257,76,6298,64,220,380,351,395,348,186,37,17,1996,119,191,248,234,328,248,139,32,10,1537,10,57,78,85,127,120,71,12,9,569,68,55,87,92,95,89,47,13,3,554,5,19,16,42,33,44,42,7,0,211,6,17,21,26,22,15,3,0,0,109,876,1295,1515,847,602,497,353,313,203,6492,0,0,0,3,3,4,0,0,0,16,1407,2840,3307,2585,2679,2494,1488,670,311,17772,1477,2936,3398,2660,2748,2596,1606,727,337,18479,74032,55921,65815,58366,51158,41063,28309,13901,6103,394661
SOS82,56,27,7,30,43,34,29,19,3,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,3,0,0,0,0,6,54,27,14,31,48,34,32,19,3,264
SOS83,173,93,100,131,116,82,33,14,3,736,0,0,0,0,0,0,0,0,0,0,0,5,9,0,8,4,0,0,0,30,0,0,4,0,3,3,3,0,0,19,0,0,0,3,5,3,0,0,0,10,0,0,4,0,0,3,0,0,0,8,0,3,0,3,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,3,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,8,13,24,12,16,19,3,0,0,95,8,13,24,12,16,19,3,0,0,95,179,105,118,141,135,94,38,16,3,827
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,3,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,3,0,3,0,0,0,0,12,0,9,3,0,3,0,0,0,0,12,0,9,3,0,3,0,0,0,0,12
SOS89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,300,137,187,197,245,226,133,29,3,1467,0,0,0,0,0,0,0,0,0,4,3,3,8,10,12,5,0,0,0,34,0,0,0,0,7,3,0,0,0,17,0,0,4,8,16,5,0,0,0,32,0,0,3,0,3,11,0,0,0,16,5,0,13,14,17,16,10,0,0,68,0,0,0,0,0,0,0,0,0,3,0,0,5,0,3,0,0,0,0,13,0,0,5,0,0,4,0,0,0,13,0,0,17,12,17,8,0,0,0,51,4,10,61,42,71,48,14,0,0,245,4,10,61,42,72,48,14,0,0,248,308,141,248,237,322,270,153,29,3,1714
SOS92,267,137,157,196,202,217,160,65,20,1420,0,0,0,0,3,3,0,3,0,13,0,19,34,25,21,42,52,19,0,213,0,5,12,6,0,3,12,3,3,34,0,7,9,3,7,24,18,3,0,78,3,0,0,0,0,3,3,0,0,15,0,9,13,13,16,14,18,0,0,86,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,9,3,3,7,3,0,0,29,0,3,0,0,0,3,0,0,0,12,4,48,78,57,56,91,102,29,4,469,3,51,78,59,56,94,107,31,4,484,274,183,238,254,260,308,266,93,25,1902
SOS93,217,121,180,205,209,190,139,71,27,1365,0,0,0,0,0,0,3,0,0,3,6,3,9,3,14,14,17,7,0,68,0,0,3,0,0,7,3,4,0,21,0,3,3,0,3,15,15,3,0,44,3,0,7,0,0,3,0,3,0,16,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,3,0,0,0,0,3,0,5,4,19,15,6,26,9,17,51,39,19,7,190,15,5,26,9,17,52,47,18,7,190,234,125,206,212,220,243,184,95,32,1556
SOS97,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,14,0,0,3,3,6,0,0,0,0,14,0,0,9,5,3,0,0,0,0,19
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
