SOS_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
SOS37,5,16,11,14,19,22,26,12,4,135,0,0,0,0,0,0,0,0,0,0,14,12,8,13,33,44,83,47,4,257,8,7,24,16,36,40,18,9,3,154,76,108,143,161,204,194,210,57,10,1170,6,8,0,6,12,18,13,6,0,68,7,5,4,10,7,24,27,12,0,92,8,4,8,7,10,9,0,3,0,55,3,9,17,9,0,3,0,0,0,40,0,0,0,6,0,0,10,0,0,11,0,0,0,0,0,0,0,0,0,0,120,151,209,217,298,333,355,140,18,1842,120,151,209,217,298,333,355,140,18,1842,128,164,213,237,318,356,379,154,20,1974
SOS39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS40,196744,145931,156939,144949,147561,132441,100357,58879,30103,1113909,295,297,291,226,283,289,281,259,159,2390,90,181,386,379,420,426,299,97,28,2309,112,265,474,435,517,394,259,82,25,2575,82,140,246,227,312,310,159,40,11,1527,3612,5381,5526,3540,3403,3090,2612,1718,1219,30101,42,67,172,176,218,174,104,16,4,985,19,20,21,31,43,52,54,13,4,261,49,101,96,93,99,98,51,11,3,611,17,37,41,48,52,42,53,7,3,304,0,0,3,0,0,0,0,0,0,5,4018,6191,6974,4931,5074,4593,3593,1986,1298,38670,4311,6491,7266,5158,5356,4880,3876,2246,1463,41059,201058,152428,164204,150106,152921,137324,104229,61127,31567,1154966
SOS41,54830,32784,32036,33470,38649,37853,33358,20058,9172,292211,124,107,79,75,92,114,126,72,42,833,27,38,53,79,93,185,208,40,4,719,52,96,150,121,186,311,344,82,16,1357,30,46,51,56,109,148,134,38,0,610,1167,1894,1925,1387,1613,1763,1258,551,314,11875,35,26,69,39,67,137,119,27,9,531,9,3,9,11,16,37,55,5,3,145,5,16,11,6,12,33,22,0,0,118,8,3,7,8,10,7,22,0,0,55,0,0,0,0,0,0,0,0,0,0,1335,2121,2264,1711,2114,2622,2163,738,346,15418,1455,2235,2341,1790,2205,2739,2282,809,390,16253,56291,35017,34385,35260,40856,40592,35643,20871,9563,308463
SOS42,8941,4855,4922,5389,6967,7599,6342,3282,1449,49743,11,17,10,13,20,17,24,14,17,155,16,10,14,12,26,70,80,7,6,238,7,14,30,15,57,99,82,19,3,335,14,8,12,15,15,44,52,8,0,172,235,355,424,338,489,609,472,179,68,3172,0,0,3,9,15,40,45,0,0,122,0,0,8,0,0,14,20,5,0,51,3,8,5,7,15,7,3,0,0,51,0,0,6,0,0,11,3,0,0,15,0,0,0,0,0,0,0,0,0,0,276,400,504,407,621,894,762,219,79,4159,285,419,517,414,647,915,788,237,99,4312,9222,5273,5435,5806,7609,8515,7128,3521,1550,54054
SOS43,24928,14027,11355,15894,22344,22553,15416,5496,1436,133453,80,63,47,41,60,63,52,26,12,443,30,41,55,77,72,123,135,14,8,562,37,52,102,64,100,207,180,25,6,774,24,25,71,85,84,103,77,23,0,490,475,847,1026,852,970,1115,778,274,103,6437,10,11,47,41,58,85,57,15,3,319,3,3,15,12,21,19,23,3,0,99,10,7,16,7,13,18,5,0,0,82,4,5,5,7,7,12,21,0,0,56,0,0,0,0,0,0,0,0,0,0,596,996,1344,1136,1317,1684,1284,351,122,8829,676,1051,1390,1179,1381,1741,1344,379,126,9268,25606,15079,12745,17073,23725,24296,16758,5867,1564,142721
SOS47,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,13,13,14,3,62,0,5,7,0,0,3,10,10,0,32,0,0,0,0,0,3,10,4,0,19,0,11,20,3,7,7,3,4,0,56,0,0,0,0,4,3,3,0,0,7,0,0,0,0,0,0,0,3,0,7,5,4,3,3,0,6,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,37,9,23,33,44,36,3,211,8,21,37,9,23,33,44,36,3,211,8,21,33,15,22,33,44,36,3,219
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,350660,233674,279635,249773,234480,192211,137152,75403,32212,1785210,199,247,264,211,183,220,262,216,91,1889,135,187,490,547,574,619,405,134,34,3116,103,174,516,476,534,596,436,168,22,3034,77,151,310,293,446,480,305,71,9,2149,32,66,159,165,221,231,172,61,21,1122,5536,8182,8926,5609,5012,4643,3684,2449,1412,45445,16,24,23,40,79,122,124,43,3,475,20,32,61,50,65,62,31,8,0,323,7,23,36,36,52,33,36,7,9,231,11,3,11,8,16,27,8,3,0,93,5943,8842,10534,7211,7000,6806,5195,2930,1511,55983,6141,9096,10799,7422,7188,7031,5461,3149,1598,57877,356806,242770,290428,257189,241669,199243,142616,78549,33814,1843084
SOS51,75648,38689,46715,46196,44924,38141,26601,14377,5809,337096,95,73,87,76,68,82,83,52,29,651,96,73,227,231,370,701,774,131,10,2615,192,115,294,327,457,921,1115,186,17,3615,56,60,252,268,375,582,559,83,10,2247,31,32,104,94,206,366,517,92,8,1445,1903,2621,4425,3396,3827,4250,3637,1407,364,25826,16,7,45,39,56,169,158,23,0,506,14,19,37,26,31,34,14,0,0,176,12,7,3,15,12,57,45,4,0,160,0,0,0,0,0,0,3,0,0,3,2311,2935,5384,4395,5332,7091,6818,1925,406,36602,2409,3007,5473,4471,5404,7172,6901,1974,434,37256,78055,41694,52187,50664,50328,45312,33510,16349,6240,374345
