SOS_CODE_2016,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
SOS10,135822,995,174,36,7,8,40,17167,154257,154514,8796,3359,700,126,37,66,18416,186005,142579,26739,15216,4700,1204,286,163,19184,210068,89948,47706,42605,14069,4157,1152,613,15939,216200,45493,36140,63099,25466,7826,2324,1403,12182,193934,32623,28556,69560,32060,10159,3057,1998,10654,188658,28373,26965,66617,32464,10513,3233,2110,10172,180449,25483,24612,62381,32122,10805,3282,2183,9780,170638,22129,23006,56542,31841,11488,3578,2258,9497,160336,17619,19026,48834,29437,10989,3393,2232,8414,139949,13373,13769,44720,27475,10443,3273,2212,8141,123395,9087,8716,32551,22001,9254,3065,2323,6866,93869,6152,5815,21835,17545,8805,3509,3147,6227,73041,4557,4490,14511,12703,7278,3311,3561,6020,56429,6044,6559,16755,13166,7784,3743,4722,12039,70794,733797,281891,558762,295783,110825,37251,29032,170682,2218034
SOS11,36270,846,117,30,9,3,13,5167,42465,28125,4929,2424,612,107,31,23,3658,39894,19541,7980,7103,2721,780,253,126,3265,41769,10347,8069,11693,5856,1989,647,360,2917,41866,6121,5678,13118,7812,3097,1019,691,2567,40113,5348,5302,15001,9595,3873,1229,930,2866,44144,5736,5287,15722,10079,3964,1327,882,3113,46112,5920,5127,16119,10651,4413,1355,848,3338,47771,6084,4929,17025,12215,5052,1449,803,3558,51120,5269,4458,16239,12227,4931,1345,765,3647,48880,4704,3946,16743,11796,5029,1535,899,3865,48521,3586,2913,12343,10081,4903,1656,1066,3538,40089,2538,1803,7686,7930,4898,2032,1547,3505,31945,1785,1478,4948,5443,3862,1915,1720,3274,24424,2136,2044,5711,5562,4012,1906,2020,5831,29226,143509,64778,161988,112620,50936,17697,12693,54107,618327
SOS12,3646,52,10,3,4,0,4,626,4340,2173,396,196,59,5,3,3,301,3132,1476,641,602,238,68,13,10,296,3338,789,625,976,533,168,67,28,281,3469,531,516,1281,795,316,86,74,264,3871,555,529,1601,1065,416,141,114,347,4770,609,548,1728,1220,433,155,114,370,5175,697,651,1783,1220,506,165,120,374,5526,682,603,1998,1432,621,178,119,448,6077,631,546,1862,1440,607,194,90,431,5795,500,449,1773,1355,628,191,96,424,5421,326,299,1230,1031,504,165,104,307,3975,218,120,609,668,450,189,149,288,2692,114,95,319,398,282,156,144,224,1736,121,123,319,340,276,153,154,242,1724,13077,6190,16290,11804,5285,1855,1310,5229,61045
SOS13,14098,132,8,3,0,0,5,2766,17018,8753,942,444,84,15,3,10,1282,11532,5391,1838,1598,636,158,49,18,1067,10761,2989,2034,3446,1915,626,163,88,1122,12381,1880,1511,4568,3242,1205,322,197,1182,14104,1890,1694,6227,4484,1698,510,291,1596,18394,2366,1969,6938,4812,1996,554,330,1819,20780,2645,2080,7194,5317,2191,640,379,1946,22387,2610,2032,7051,5680,2517,724,355,2090,23051,2178,1673,6440,5127,2385,675,331,1909,20713,1561,1335,5837,4716,2245,677,300,1726,18403,956,810,3504,3244,1680,547,336,1267,12347,545,424,1717,1842,1254,464,407,846,7497,275,213,855,964,727,357,367,535,4284,245,287,730,796,580,297,369,658,3961,48379,18975,56568,42865,19260,5975,3786,21807,217622
SOS17,8,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,12,3,0,5,0,0,0,0,3,14,3,0,3,0,0,0,0,0,3,0,0,8,0,0,0,0,0,12,0,0,4,0,0,0,0,0,7,3,3,3,4,3,0,0,5,22,0,6,8,5,0,0,0,3,23,3,6,5,0,3,3,0,3,26,0,3,13,11,0,3,0,8,36,3,0,5,9,3,0,0,4,28,0,0,6,3,0,0,0,5,14,0,0,0,0,3,0,0,3,10,0,0,3,3,0,0,0,0,7,39,21,65,35,21,6,0,37,220
SOS19,167,12,3,0,0,0,0,50,232,424,27,17,0,0,0,0,150,615,397,28,29,16,3,0,3,159,635,199,48,40,23,13,4,3,124,457,111,36,42,30,10,3,7,97,338,95,39,31,25,10,9,8,86,290,89,30,49,36,10,8,3,90,310,67,40,70,35,14,8,5,94,338,56,26,95,55,26,14,3,65,341,63,27,106,78,34,4,3,73,391,36,24,98,56,31,8,7,65,326,17,8,41,23,20,6,3,30,154,13,3,14,23,3,3,0,23,78,4,8,4,11,3,0,3,11,38,3,0,15,6,3,4,7,13,48,1744,350,650,414,184,65,57,1134,4590
SOS20,112438,558,99,15,5,7,31,14925,128075,137694,6261,2140,435,85,20,46,15762,162436,127794,22230,10662,3036,778,190,116,16117,180931,80866,41685,33991,9514,2644,800,462,13325,183288,40601,30137,52810,18661,4956,1428,1022,9692,159303,29008,24075,57943,25048,6904,2022,1504,8850,155371,25432,22115,58462,26715,7706,2173,1579,8648,152833,21170,19147,51647,26321,7993,2097,1486,7935,137798,17797,16489,46482,26180,8707,2320,1550,7606,127127,13810,13767,40474,23714,8329,2334,1459,6806,110694,10074,10147,37537,23076,8400,2489,1576,6738,100030,6381,6248,26664,18699,7782,2548,1846,5459,75620,4445,4488,18189,14900,7757,2929,2605,5066,60386,3251,3497,12538,11003,6298,2732,2925,4844,47084,4441,5246,13694,11405,6672,3254,3703,8160,56588,635197,226105,463332,238719,85020,27351,21902,139938,1837560
SOS21,26399,386,56,11,9,3,8,3957,30827,22855,2991,1395,292,55,17,23,2823,30455,16991,5880,4643,1650,459,93,53,2479,32244,9126,6646,9129,3936,1256,351,199,2245,32872,5215,4695,10458,5917,1980,616,440,2004,31326,4506,4129,11636,7269,2544,819,562,2159,33619,4403,3935,12163,7543,2890,868,640,2235,34686,4326,3502,12023,8196,3117,939,583,2374,35069,4090,3277,11768,8826,3641,1029,581,2500,35719,3465,2812,11710,8812,3675,1013,512,2627,34626,2816,2346,11164,8727,3917,1187,647,2715,33517,1950,1548,7341,6889,3586,1349,928,2393,25974,1398,995,4374,5123,3512,1529,1348,2217,20495,944,814,2840,3507,2802,1413,1495,2104,15918,1344,1239,3713,3856,2894,1509,1754,3270,19567,109827,45196,114407,80553,36342,12732,9766,38093,446912
SOS22,2133,25,6,3,0,0,0,392,2552,1429,202,77,28,5,0,0,173,1913,1065,381,357,112,30,0,3,205,2150,593,465,692,336,102,22,13,180,2404,434,349,886,528,214,43,31,215,2715,446,334,1021,636,228,70,50,236,3019,493,359,1112,774,310,93,47,270,3462,533,369,1196,843,331,93,60,275,3705,511,373,1288,948,389,129,66,326,4033,441,328,1338,948,392,106,72,325,3951,346,260,1227,952,402,147,75,359,3764,221,184,769,655,397,134,100,263,2724,157,100,400,478,315,144,116,207,1914,86,51,206,269,241,120,128,148,1250,91,100,272,272,213,109,133,287,1475,8979,3886,10852,7778,3571,1210,895,3868,41044
SOS23,10927,45,10,4,5,0,0,1864,12860,7091,549,213,61,11,0,4,887,8809,4370,1325,1041,378,94,21,10,679,7927,2481,1709,2577,1340,377,85,51,783,9407,1599,1283,3531,2217,808,185,95,794,10508,1744,1352,4657,3211,1196,315,161,969,13589,1935,1527,5506,3898,1433,368,223,1226,16115,2114,1460,5585,4136,1669,474,270,1334,17036,2043,1368,5481,4458,1860,517,271,1385,17379,1626,1245,5082,4179,1803,520,283,1264,16001,1196,939,4393,3646,1686,530,281,1191,13857,653,517,2569,2377,1332,479,296,866,9088,325,266,1092,1394,911,440,372,574,5374,179,153,622,688,578,291,251,327,3092,163,169,544,580,490,226,295,310,2766,38442,13902,42892,32578,14236,4442,2863,14454,163808
