SOS_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,3,4,0,3,0,6,0,0,11,21,0,5,0,0,0,36,10,3,27,87,0,3,4,0,0,130,0,0,0,5,3,0,0,0,0,9,3,3,4,11,3,3,0,0,0,17,3,6,5,9,5,0,3,0,0,27,0,0,5,15,0,0,0,0,0,27,0,0,17,18,6,4,8,0,0,58,0,0,0,9,0,0,0,0,0,11,0,0,13,18,3,0,0,0,0,37,0,0,0,5,0,0,0,0,0,8,0,0,12,27,0,0,0,0,0,42,0,0,0,0,0,0,0,3,0,7,0,0,0,3,3,0,0,0,0,8,0,0,0,3,0,0,0,0,0,4,0,0,10,4,0,0,0,0,0,12,0,3,0,8,0,3,12,0,0,29,3,7,24,101,34,31,15,0,0,219,0,0,0,7,0,0,3,0,0,7,0,0,0,9,0,0,0,0,0,11
SOS30,5,57,73,266,244,458,819,790,287,2992,93,424,2218,3596,1235,1593,605,231,43,10042,833,2827,5121,27296,3628,2096,1427,684,267,44177,91,418,869,2484,765,596,529,315,140,6218,67,579,613,3518,693,404,235,85,37,6226,131,408,313,1181,388,198,59,31,10,2719,93,689,446,3890,1308,952,990,576,278,9220,30,170,339,1442,763,1264,2225,2089,1022,9336,162,836,1403,5505,1977,695,436,145,77,11244,250,1104,2918,9533,1956,707,286,118,14,16895,8,37,36,356,324,253,202,78,22,1317,171,619,2316,4680,2226,1827,1054,404,95,13381,0,11,16,87,124,360,631,289,79,1607,3,47,90,354,226,264,201,89,36,1302,10,130,434,1305,371,275,172,74,29,2804,34,281,1097,2961,126,62,14,7,0,4579,27,186,269,1226,1035,1571,2897,1614,656,9474,1734,14554,20805,56447,28589,22330,12907,4781,1477,163628,8,104,123,768,589,541,737,370,99,3337,122,520,588,2324,379,203,92,28,3,4260
SOS31,0,4,7,19,10,43,48,61,14,206,0,13,98,197,60,50,23,12,6,449,89,342,268,2654,314,182,149,87,36,4113,11,54,57,245,83,70,79,54,40,696,0,13,7,127,21,17,19,6,3,212,0,10,9,55,22,9,4,0,0,106,12,107,70,449,185,146,190,125,50,1330,4,22,61,210,75,221,530,714,399,2237,11,50,117,400,71,33,26,8,6,710,12,43,235,787,31,15,11,3,0,1143,0,7,0,19,12,13,5,3,3,60,6,38,57,361,200,165,68,26,8,939,0,0,6,14,22,84,231,100,47,505,3,7,8,41,28,31,32,13,4,164,0,8,40,204,37,17,18,12,7,341,3,29,47,312,21,10,0,0,0,422,0,22,32,176,219,457,873,495,176,2449,169,1501,1938,6859,4573,4291,2973,999,234,23544,0,16,9,86,85,81,142,94,8,522,19,37,19,202,26,14,10,3,0,339
SOS32,0,0,0,0,3,3,10,3,0,19,0,0,0,15,5,12,3,4,0,42,3,7,6,116,20,24,18,16,0,210,0,3,0,27,13,7,30,13,5,102,0,0,0,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,4,3,51,29,27,41,22,4,176,4,0,8,30,18,36,101,87,57,337,4,11,16,66,15,4,4,0,0,109,0,4,0,9,3,3,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,3,6,22,30,26,13,10,0,106,0,0,0,0,3,19,36,20,5,80,0,0,0,0,0,0,3,7,0,22,0,0,0,6,0,0,0,0,0,6,0,3,0,13,3,3,0,0,0,22,3,3,10,37,42,92,225,68,8,489,10,161,181,763,737,832,644,146,27,3498,0,0,0,0,9,25,24,17,0,80,0,0,5,15,0,0,3,0,0,28
SOS33,0,3,7,4,13,15,25,12,3,72,0,16,52,49,34,32,12,4,0,202,9,24,38,246,79,65,80,31,13,583,3,19,18,76,31,48,64,32,9,288,0,3,0,18,14,8,7,0,0,49,0,0,0,5,6,0,0,3,0,12,4,25,34,170,100,76,103,46,13,580,0,4,14,65,66,158,341,265,112,1023,3,3,60,131,53,24,18,8,0,299,3,24,51,131,6,15,0,0,0,224,0,0,0,3,13,8,6,0,0,36,4,5,26,100,90,109,46,12,3,396,0,0,0,4,26,74,135,53,13,303,0,0,3,8,12,14,24,0,0,61,0,0,0,3,3,3,3,0,0,18,0,3,3,32,3,3,0,0,0,43,3,29,34,159,197,344,574,184,43,1563,24,348,511,2405,2455,2434,1354,362,62,9956,0,6,8,43,51,50,68,26,4,255,4,0,0,18,7,7,0,0,0,42
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,0,0,0,0,3,3,0,0,7,0,0,5,15,0,0,0,0,0,17,3,0,9,38,3,0,5,0,0,62,0,0,5,7,4,0,8,0,0,24,0,0,0,3,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,10,0,0,27,19,4,3,3,0,0,45,0,0,23,29,3,0,4,0,0,60,0,0,8,23,0,0,3,0,0,28,0,0,5,33,3,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,3,3,7,3,4,0,0,0,26,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,4,9,0,0,0,0,0,7,0,0,10,18,8,12,34,3,3,88,3,8,33,146,89,153,133,11,0,567,0,0,3,8,0,0,3,0,0,18,0,0,0,9,0,0,0,0,0,10
SOS40,0,57,92,277,460,1300,2188,2601,826,7802,38,104,1215,1162,240,386,191,63,6,3400,602,2538,2456,16322,1931,943,704,363,167,26034,69,167,223,928,171,129,125,72,28,1910,61,465,615,2158,502,309,168,83,35,4398,25,134,243,613,252,124,46,12,3,1450,17,172,106,683,355,408,395,349,142,2628,24,66,148,592,1007,2663,4729,5187,2248,16675,31,93,219,646,197,67,60,19,9,1336,49,400,674,1722,457,121,31,15,0,3467,17,39,92,366,261,308,215,106,50,1461,97,428,1602,2726,838,709,636,184,57,7282,0,0,4,44,72,273,481,249,94,1215,0,3,12,80,21,24,16,13,7,185,3,147,270,676,132,56,27,20,3,1332,53,403,695,1560,52,30,11,5,0,2814,10,61,83,290,297,875,1524,725,342,4203,89,527,754,2865,1697,1589,910,327,109,8866,3,35,39,194,281,337,434,223,70,1615,172,650,483,1596,212,74,29,22,0,3240
SOS41,0,3,3,22,25,66,150,158,47,479,0,6,15,59,9,16,0,6,0,120,27,104,61,652,97,67,64,37,21,1129,0,8,9,69,13,15,17,13,3,149,0,6,6,44,17,5,4,0,0,87,0,0,0,13,4,3,0,0,0,20,3,11,15,75,58,62,85,74,20,404,0,9,15,36,60,144,324,361,152,1102,0,19,5,66,24,8,8,0,0,136,0,11,34,90,8,3,4,0,0,153,0,0,0,17,14,9,5,0,0,44,3,20,22,132,65,49,23,11,0,322,0,0,0,0,10,41,49,23,6,130,0,5,0,6,3,7,3,0,0,24,0,14,39,119,31,19,11,7,0,234,0,4,3,22,3,0,0,0,0,28,0,18,15,64,83,308,626,259,101,1466,23,155,205,727,538,466,278,102,25,2502,0,6,9,24,50,78,96,59,13,338,4,40,15,94,15,9,0,0,0,177
