SOS_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
SOS42,0,0,0,0,3,8,11,3,0,22,0,0,5,9,0,0,0,0,0,18,6,6,5,54,5,10,10,3,6,100,0,0,0,6,0,8,3,0,0,13,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,12,3,17,13,5,14,10,3,75,0,0,9,6,9,22,29,23,13,107,0,0,0,3,0,6,0,0,0,9,0,3,3,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,3,4,0,24,0,0,0,0,3,7,6,3,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,5,0,11,12,63,86,50,9,230,7,4,22,110,91,85,79,21,5,426,0,0,0,3,4,14,10,4,0,36,0,3,0,7,0,0,0,0,0,6
SOS43,0,0,5,6,25,82,122,110,29,377,0,10,8,11,4,4,0,3,0,32,3,12,17,115,39,58,38,9,3,300,0,9,4,31,9,7,4,4,0,63,0,0,4,16,0,3,3,3,0,27,0,0,0,0,0,0,0,0,0,8,0,11,0,44,29,41,27,22,0,172,0,0,13,18,39,150,195,194,43,640,0,4,3,13,13,3,0,0,0,41,0,12,10,15,0,0,0,0,0,38,0,3,0,8,9,5,9,3,0,34,0,8,10,34,23,19,13,0,0,107,0,0,0,3,0,17,18,7,4,53,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,8,0,0,0,7,0,0,0,0,0,13,0,0,6,36,56,191,288,71,20,681,3,53,67,293,255,253,132,31,6,1086,0,0,3,6,21,28,27,6,3,96,0,0,0,0,0,0,0,0,0,3
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,12,0,0,13,18,0,0,0,0,0,31,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,15,0,0,6,8,0,3,3,0,0,16,0,0,0,3,0,0,0,0,0,3,0,0,3,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,3,0,0,14,0,0,3,14,11,19,11,3,0,59,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,12
SOS50,4,52,28,154,157,302,540,665,253,2160,63,261,971,2616,658,713,321,147,35,5793,855,3071,4781,24950,4585,3255,2895,1454,587,46436,142,727,1533,4912,1351,894,592,241,86,10487,58,399,507,3025,736,447,253,101,44,5584,71,308,450,1516,605,251,89,26,8,3319,127,1130,813,8229,1738,1520,1301,750,252,15845,46,232,367,2148,1291,2390,4529,4121,1917,17033,89,298,324,2087,625,245,165,65,21,3926,96,385,796,3965,624,283,84,33,7,6270,9,44,64,337,199,182,118,46,7,1015,226,1394,3874,10191,4013,4090,2832,1151,266,28042,0,6,14,60,79,199,253,127,25,763,31,236,503,1849,600,547,372,176,72,4392,20,240,740,2595,1508,1406,911,575,238,8235,33,118,490,1685,104,33,10,0,0,2478,28,210,200,925,697,958,2155,1175,576,6922,724,5269,6669,22152,10931,8537,3589,1040,240,59147,19,130,169,1015,603,526,627,331,105,3524,190,599,755,2867,340,221,113,31,11,5124
SOS51,0,0,3,6,12,25,25,21,4,90,0,6,30,115,33,25,5,0,0,218,59,171,123,1318,207,134,106,86,23,2221,30,67,59,319,87,38,14,14,4,633,0,10,7,95,12,9,3,4,0,128,0,6,3,38,15,8,3,8,0,80,9,117,71,611,142,150,123,62,22,1317,3,15,34,172,63,121,349,345,174,1284,8,23,17,154,31,7,4,0,0,252,10,14,91,317,15,8,3,0,0,458,0,0,0,18,20,11,6,4,0,57,3,30,46,261,113,123,50,25,3,648,0,0,0,4,11,23,22,12,0,71,0,4,7,63,30,28,8,9,3,158,0,13,51,152,61,37,11,16,4,352,0,15,3,91,4,0,3,0,0,125,0,26,28,150,118,180,451,159,90,1201,134,1104,1248,4568,2485,2156,809,222,50,12778,0,6,18,99,74,69,85,46,9,403,13,36,16,152,17,10,5,4,4,252
SOS52,0,0,0,5,3,7,5,3,0,21,0,0,3,17,3,0,0,0,0,25,3,15,4,102,20,27,26,13,0,206,0,12,8,27,13,7,7,3,0,76,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,12,89,17,18,29,19,0,180,0,0,5,17,3,15,47,39,22,150,0,0,3,11,6,0,0,0,0,24,0,8,5,12,3,0,0,0,0,25,0,0,0,0,0,0,3,0,0,4,0,3,4,25,11,15,7,6,0,71,0,0,0,0,4,6,3,0,0,12,0,0,0,0,3,0,3,0,0,11,0,0,0,0,9,0,5,3,0,21,0,0,0,3,0,0,0,0,0,3,0,0,5,27,27,51,114,34,11,266,12,80,113,551,462,422,153,44,4,1849,0,0,0,15,9,12,13,3,0,53,0,0,0,8,0,0,0,0,0,6
SOS53,0,0,0,4,0,9,10,13,3,40,0,3,15,36,9,15,0,0,0,76,0,3,6,222,89,71,60,29,3,480,3,5,9,90,36,20,12,7,4,187,0,0,6,71,11,5,0,0,0,92,0,0,5,14,4,0,0,0,0,31,0,6,21,348,68,64,91,26,3,638,0,4,13,53,51,132,248,140,59,701,0,8,3,44,11,8,4,0,0,73,0,3,15,51,16,9,0,0,0,94,0,0,0,10,3,7,3,0,0,21,3,4,11,124,78,62,18,13,4,328,0,0,0,0,4,15,27,6,0,53,0,0,0,19,12,4,7,0,0,41,0,0,9,20,18,26,13,10,0,89,0,0,0,11,0,0,0,0,0,13,0,8,14,93,84,144,273,76,22,713,26,134,300,1892,1252,1033,408,83,14,5145,0,4,7,35,37,41,36,12,4,175,0,3,3,27,9,0,6,0,0,47
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,7,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,14,0,0,0,23,3,0,3,0,0,31,3,0,0,5,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,30,7,4,0,0,4,49,0,0,6,23,0,0,7,0,0,33,0,0,5,10,0,0,0,0,0,18,0,0,0,13,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,12,19,9,0,0,0,0,33,0,0,0,0,0,0,3,0,0,4,0,0,3,3,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,13,0,0,34,0,3,23,90,50,72,31,6,0,267,0,0,0,3,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,6
SOS60,0,4,12,24,33,61,99,111,29,373,0,13,62,111,31,38,28,4,0,280,20,73,167,718,99,49,54,28,13,1224,0,7,21,51,22,9,23,14,4,147,7,54,72,117,16,18,9,0,0,305,3,18,6,35,3,5,0,0,0,69,3,22,8,78,46,48,28,42,11,283,0,6,7,37,30,67,109,142,77,470,3,27,31,117,32,17,12,3,5,246,8,24,62,173,50,33,8,3,0,357,0,0,0,16,6,10,14,0,0,49,7,14,285,252,71,69,48,21,6,770,0,0,0,4,3,14,8,7,0,32,0,0,3,4,3,3,7,0,0,18,0,4,21,49,17,21,3,3,0,124,19,106,185,172,6,3,0,0,4,498,0,4,10,49,41,96,216,134,53,595,19,82,101,461,301,291,176,71,17,1527,0,0,0,8,13,23,33,16,7,108,6,43,27,145,8,4,0,5,0,234
SOS61,0,0,4,4,5,13,23,14,0,67,3,8,26,55,19,23,5,0,0,139,10,35,60,349,71,44,28,21,3,630,4,12,10,52,17,9,13,6,8,122,34,119,30,36,11,3,3,0,0,247,5,0,0,19,3,0,3,0,0,31,0,10,12,42,22,29,47,33,4,210,0,0,5,15,13,34,64,84,38,250,0,7,11,41,10,7,9,0,3,84,0,21,44,82,15,7,3,0,0,176,0,0,3,5,7,3,0,0,0,19,17,18,262,139,37,38,22,9,0,538,0,0,0,0,0,13,12,9,3,36,0,0,3,14,5,4,3,0,0,24,0,31,27,78,17,3,3,0,0,162,18,105,136,45,6,3,0,0,0,314,0,3,16,51,53,142,371,215,79,925,11,82,120,455,351,379,257,98,30,1784,0,4,0,15,18,14,46,24,4,129,10,23,13,46,10,0,0,0,0,98
SOS62,0,0,0,0,0,5,0,3,0,10,0,0,0,0,3,9,0,0,0,10,0,3,4,15,7,5,6,7,0,48,0,3,0,12,3,0,0,4,0,22,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,6,8,3,3,31,0,0,0,4,4,5,8,3,0,26,3,0,0,5,4,3,0,0,0,13,0,0,0,5,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,9,0,0,0,28,0,0,0,0,3,3,3,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,28,62,33,10,148,0,13,7,85,60,87,80,13,4,354,0,0,0,3,3,3,16,0,3,25,0,0,0,0,0,0,0,0,0,0
SOS63,0,0,0,3,3,12,12,8,0,33,0,0,3,6,3,8,3,3,0,32,0,4,4,7,11,19,19,5,4,78,0,0,3,9,10,7,13,3,3,47,0,0,0,4,3,0,3,0,0,9,0,0,0,0,0,0,0,0,0,3,0,7,3,28,28,35,31,12,3,150,0,3,0,5,4,21,27,20,3,92,3,4,6,28,11,5,3,0,0,62,3,4,4,36,5,3,0,0,0,51,0,0,0,3,3,0,0,0,0,6,0,0,5,17,18,24,9,0,0,71,0,0,0,0,5,11,16,6,0,37,0,0,0,3,3,3,3,0,0,12,0,0,0,4,3,0,3,0,0,5,0,0,0,3,0,0,0,0,0,3,0,9,15,50,61,111,200,71,13,521,11,51,77,311,290,319,175,55,6,1289,0,0,3,4,9,13,24,12,3,68,0,0,3,3,3,3,0,0,0,14
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,7,4,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,16,101,117,311,144,211,203,107,20,1214,0,3,20,83,34,52,19,8,3,220,83,225,235,1680,215,133,55,20,10,2658,23,66,120,432,154,71,60,8,0,932,7,12,6,100,12,3,0,0,0,129,0,0,0,11,0,0,0,0,0,13,13,41,40,636,34,34,27,11,5,832,0,12,19,91,31,49,67,56,12,345,31,49,13,192,66,15,6,4,0,387,6,19,37,210,27,6,0,0,0,312,0,0,6,21,6,0,0,0,0,44,8,34,32,217,94,93,59,44,0,581,0,0,0,5,3,4,4,3,0,19,0,4,3,27,11,7,0,3,0,49,3,5,15,98,30,12,0,5,0,173,10,49,197,694,23,14,3,0,0,995,0,8,3,58,33,41,63,16,3,228,31,133,199,906,536,494,196,50,9,2557,3,3,5,54,19,12,17,4,5,115,11,29,34,187,27,17,3,0,0,308
SOS71,0,0,0,9,0,4,3,3,0,27,0,0,4,31,3,5,0,0,0,50,22,83,33,543,81,43,5,7,0,808,0,7,3,31,9,3,0,0,0,58,0,0,3,9,7,0,0,0,0,17,0,0,3,10,4,0,0,0,0,19,0,3,0,53,10,8,15,3,0,107,0,0,0,20,7,11,21,14,7,86,0,0,3,25,9,3,0,0,0,40,0,0,12,40,3,0,0,0,0,58,0,0,0,0,4,0,0,0,0,3,0,0,3,27,10,18,0,0,0,57,0,0,0,0,0,3,0,0,0,9,0,0,5,6,0,3,0,0,0,10,0,0,0,17,3,0,0,0,0,23,0,9,5,75,7,0,0,0,0,90,0,0,0,28,12,27,16,6,8,89,38,128,131,410,218,222,58,12,0,1224,0,5,0,3,9,3,4,0,0,25,0,4,3,29,3,3,0,0,0,41
SOS72,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,3,0,0,53,4,0,3,0,0,71,3,3,5,11,6,0,6,0,0,28,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,4,5,0,0,21,0,0,3,17,3,3,5,0,0,32,0,0,0,16,0,0,0,0,0,21,0,0,8,14,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0,0,32,0,0,0,6,3,3,3,0,0,13,3,10,18,96,54,66,27,3,0,274,0,0,0,0,3,0,0,0,0,9,0,0,0,0,3,0,0,0,0,3
SOS73,0,0,0,3,3,7,5,0,0,19,0,0,0,3,3,0,3,0,0,8,0,0,4,24,8,6,6,5,0,55,0,10,7,33,7,8,3,3,0,69,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,13,11,4,9,3,0,49,0,0,4,8,11,9,8,3,0,39,0,0,3,6,0,0,0,0,0,14,3,3,5,5,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,4,12,18,5,3,0,0,45,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,6,0,0,5,14,10,11,23,4,0,70,0,15,29,138,110,135,71,10,0,514,0,3,3,8,4,3,3,3,0,21,0,0,0,0,0,0,0,0,0,0
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,3,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,11,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,3,3,0,0,7,3,0,16,0,0,0,18,12,14,17,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS80,3,12,27,66,76,154,299,269,67,978,21,66,305,626,233,278,101,32,13,1681,218,713,805,6671,906,567,321,151,48,10396,33,129,142,642,140,90,68,31,16,1298,4,54,51,477,110,83,41,12,6,841,10,49,64,240,84,51,30,4,3,536,9,89,30,287,121,106,106,77,17,844,4,18,39,194,201,349,540,406,191,1939,22,78,114,317,122,62,40,19,10,791,20,149,404,1309,232,106,36,18,3,2283,3,16,16,127,90,64,56,19,11,399,23,99,347,854,437,355,210,87,19,2430,0,3,5,30,16,59,113,42,13,283,6,20,27,143,49,31,21,3,0,288,0,13,48,260,113,70,56,29,9,610,11,54,99,521,40,23,9,0,0,761,13,27,34,124,89,186,331,157,75,1041,52,342,540,1592,893,722,388,136,54,4715,0,8,8,58,67,84,61,39,10,331,76,203,256,1171,181,67,28,6,3,1993
SOS82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,4,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
SOS91,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,3,0,0,0,8,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,5,108,64,77,71,15,0,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,4,3,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
