SOS_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
SOS77,0,0,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,10,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,36,5,0,0,0,4,11,51,0,0,17,4,70
SOS79,10,69,38,738,53,912,0,0,0,60,5,62,11,0,3,4,0,16,4,0,0,0,0,4,21,3,0,3,0,30,186,46,34,317,10,592,9,0,0,0,0,10,18,0,3,4,0,24,39,3,3,50,0,96,0,0,0,0,0,3,0,0,0,0,0,4,9,0,0,0,0,8,32,15,3,101,4,157,6,5,0,10,3,28,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,6,9,0,0,0,0,10,20,4,0,0,0,23,7,0,0,4,0,10,3,0,0,0,0,3,49,15,6,94,3,166,0,0,0,0,0,0,5,0,0,0,0,5,9,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,0,3,0,16,84,12,3,29,0,133,5,0,0,103,593,705,438,107,60,1208,673,2489
SOS80,3008,15389,12553,94545,1193,126681,12,72,36,928,16,1059,20039,450,906,894,141,22429,2884,449,225,1023,42,4617,2714,1053,715,1951,42,6474,23182,13879,10673,82469,1248,131456,4245,95,485,96,39,4952,1254,230,197,868,18,2575,4812,1669,1225,9708,153,17564,2453,525,276,1491,26,4776,911,238,164,417,17,1747,13804,258,254,159,59,14541,5346,3900,2918,38760,470,51401,5126,1618,795,5279,125,12946,2559,38,117,47,16,2780,764,223,92,278,26,1384,750,106,58,164,11,1085,630,227,162,613,12,1636,563,159,118,109,17,978,1308,592,461,262,19,2643,2431,422,353,953,21,4181,1099,125,135,275,20,1658,6399,3793,2932,26541,318,39991,1253,203,73,178,9,1709,1167,159,130,65,3,1521,1948,250,149,391,37,2771,2330,108,113,62,6,2622,384,45,21,38,6,495,4530,83,193,89,40,4932,1050,362,235,1382,20,3056,36776,3935,3720,4865,393,49687,1204,149,105,1456,20284,23203,132997,29005,23028,187063,23707,395790
SOS82,3,13,3,101,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,4,21,15,11,76,0,117,0,0,0,0,0,0,0,0,0,0,0,3,5,7,4,11,0,21,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,37,0,47,3,3,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,9,3,4,12,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,13,0,0,0,0,8,12,45,19,17,184,9,271
SOS83,4,25,28,278,3,331,0,0,0,0,0,0,0,3,9,4,0,13,0,0,0,0,0,0,6,0,0,5,0,14,44,24,29,205,3,299,0,0,0,0,0,3,4,0,0,0,0,3,13,3,3,11,0,31,0,0,0,3,0,4,0,0,0,0,0,0,10,0,0,0,0,10,9,8,6,81,0,107,4,0,0,9,0,16,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,16,5,12,69,0,101,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,5,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,8,32,5,7,12,0,53,0,0,3,9,76,89,114,41,55,491,86,793
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,11,24,16,99,3,157,0,0,0,7,0,7,24,3,0,0,0,26,0,0,0,0,0,4,3,0,0,0,0,5,21,26,5,97,8,161,4,0,0,3,0,8,0,0,0,0,0,0,6,0,3,14,0,21,0,0,0,0,0,4,3,0,0,0,0,3,10,0,0,0,0,10,9,5,4,34,0,56,3,0,0,9,0,9,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,0,0,0,0,7,4,0,0,0,0,5,3,0,0,0,0,7,3,3,8,23,0,39,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,6,38,0,3,5,3,54,3,0,0,3,97,104,147,43,27,220,110,538
SOS91,15,33,50,173,3,271,0,0,0,0,0,0,408,8,19,10,11,453,0,0,3,0,0,6,11,7,4,0,0,15,71,20,35,97,3,234,26,0,3,0,0,27,3,0,0,0,0,3,18,3,0,9,5,35,0,0,0,0,0,0,4,0,0,0,0,4,16,4,0,0,0,22,13,7,7,23,0,50,6,4,0,11,0,24,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,9,13,0,0,0,0,10,4,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,18,3,7,15,0,43,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,3,206,49,56,47,5,366,15,0,8,3,247,274,794,100,130,308,273,1599
SOS92,14,48,34,323,10,427,0,0,0,10,0,10,21,3,0,13,0,39,0,0,0,0,0,0,11,4,0,7,0,15,119,32,32,173,5,361,22,0,0,0,0,27,4,0,0,0,0,3,17,0,0,16,0,30,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,27,3,3,40,3,81,3,0,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,14,0,0,0,0,13,19,7,11,0,0,33,3,0,0,3,0,4,0,0,0,0,0,0,37,3,4,40,0,85,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,98,69,53,372,26,614,8,0,6,36,100,153,325,115,96,823,141,1495
SOS93,3,51,39,281,6,381,0,0,0,76,3,87,0,0,0,0,0,3,3,0,0,0,0,3,8,0,0,0,0,7,123,45,35,133,0,347,18,0,3,0,0,18,4,0,0,3,0,6,13,3,3,12,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,3,47,0,81,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,15,0,0,0,0,16,36,6,12,0,0,58,0,0,0,0,0,3,3,0,0,0,0,3,37,6,3,39,0,86,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,63,61,182,3,362,3,0,3,16,328,345,272,116,115,588,340,1429
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
SOS99,0,0,0,11,0,14,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,6,6,18,0,3,16,11,55
