SOS_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
SOS60,592,6050,3981,58581,1201,70405,0,26,13,487,4,529,3954,108,150,310,27,4556,308,82,24,163,7,591,1307,511,327,1000,27,3180,9958,6153,3961,56928,1378,78382,610,30,181,19,3,854,347,64,60,386,8,861,1676,562,344,4088,86,6760,815,182,85,515,24,1620,185,96,18,118,5,422,1480,83,60,97,4,1721,1906,1410,780,17156,318,21578,1150,498,155,1567,46,3413,353,14,23,15,3,418,93,41,9,31,0,170,22,11,5,6,0,40,78,44,14,82,4,221,150,50,40,69,7,326,385,231,151,131,7,905,979,264,103,580,14,1936,214,34,25,88,4,376,2430,1488,927,12055,202,17105,116,21,8,35,0,184,324,61,40,23,0,452,341,45,21,108,0,517,163,13,5,8,3,195,47,10,10,6,0,73,265,12,13,16,0,305,430,135,69,490,9,1131,7403,1279,782,1799,93,11362,264,57,53,1382,9491,11257,31881,11315,7162,115352,12294,178009
SOS61,534,5377,3898,79026,1769,90609,0,24,10,683,13,736,1441,51,85,378,21,1975,123,52,10,68,0,257,1773,580,427,1417,32,4225,9789,5083,3758,69918,1821,90368,652,14,203,41,9,921,199,39,34,318,8,596,1174,530,288,4533,96,6631,177,90,17,184,14,480,132,75,25,64,3,298,786,60,49,74,8,974,1647,962,621,17152,342,20726,636,389,101,1338,34,2497,170,4,18,16,3,209,50,15,3,28,0,101,14,0,0,9,0,22,94,42,12,96,0,243,180,96,62,67,5,411,405,190,168,115,6,881,374,140,62,292,11,876,153,22,5,62,4,248,2381,1210,846,13431,283,18153,47,6,4,7,3,74,265,44,28,19,0,348,183,26,20,122,4,356,144,12,6,8,0,173,32,15,3,6,0,53,138,12,6,0,3,166,416,92,65,417,17,1010,5004,811,643,1511,95,8061,232,71,59,2162,10859,13380,24471,9433,6750,146065,14529,201247
SOS62,115,858,601,12096,277,13946,0,4,0,104,0,109,72,9,14,43,0,141,19,5,0,4,4,28,295,76,46,164,11,593,2089,839,574,10210,299,14012,71,4,18,0,4,104,56,4,3,41,0,110,307,91,60,674,17,1158,23,10,4,24,0,62,31,7,0,8,0,46,59,8,7,12,0,82,305,162,94,2551,61,3169,98,56,22,194,3,377,3,0,0,0,0,6,6,0,3,3,0,21,3,0,0,0,0,3,9,4,4,8,0,25,27,9,9,9,0,52,71,23,19,20,0,142,64,25,8,41,0,140,26,7,4,15,0,48,497,197,146,2047,43,2934,4,0,0,3,0,9,55,4,0,8,0,62,25,6,0,19,0,53,0,0,0,3,0,5,9,0,5,0,0,11,7,0,3,0,0,10,113,29,11,70,3,226,560,157,108,276,14,1103,37,22,7,327,1840,2240,4032,1545,1028,21957,2454,31013
SOS63,299,2692,2129,39058,879,45067,0,9,3,271,6,283,233,25,40,130,5,435,40,22,0,33,0,99,1083,311,243,620,12,2266,6888,2551,1933,31734,867,43971,206,0,62,16,3,290,160,36,14,140,8,352,976,290,214,2255,65,3798,101,38,17,76,3,229,111,28,20,57,3,220,78,10,13,17,0,123,1148,502,385,7906,190,10128,289,172,52,521,21,1058,53,0,9,7,0,75,15,9,0,11,0,32,3,3,0,3,0,11,76,19,12,55,3,167,165,34,14,34,11,262,290,125,98,66,11,584,269,69,30,154,7,526,101,15,17,35,3,168,1527,569,443,6593,139,9272,20,9,0,3,0,31,170,9,17,17,0,222,90,10,10,59,0,168,20,4,0,3,0,30,10,3,3,0,0,11,15,0,10,0,0,22,294,56,35,241,3,632,1826,417,312,838,31,3423,115,50,34,1026,5808,7026,13209,4757,3616,69523,7603,98715
SOS67,0,4,0,13,0,20,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,6,9,5,0,16,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,4,3,24,11,3,36,4,68
SOS69,3,25,14,279,19,337,0,0,0,3,0,5,24,0,0,0,0,28,0,0,0,0,0,3,7,0,0,3,0,17,61,17,7,213,14,314,3,0,0,0,0,3,8,0,0,9,0,8,13,3,4,27,0,44,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,14,6,7,69,0,91,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,3,0,3,0,0,0,0,0,0,7,3,4,52,0,71,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,3,0,10,33,0,3,13,0,52,0,0,0,12,163,170,145,35,29,517,190,912
SOS70,1066,3665,3576,27790,631,36726,6,97,51,1693,55,1897,3943,219,264,735,50,5208,97,43,16,70,3,233,659,253,150,436,19,1516,7488,2932,2586,19593,432,33032,4944,63,401,122,63,5602,411,47,56,187,11,711,1169,413,349,3133,56,5131,2121,578,226,795,45,3764,155,30,18,45,3,256,3149,54,47,55,24,3320,2248,808,634,7569,117,11374,895,347,164,1301,44,2750,324,7,18,14,3,362,65,9,5,23,0,110,29,7,3,11,0,46,70,42,14,126,4,253,600,109,73,80,12,870,638,205,159,83,7,1087,253,60,37,200,8,555,147,18,30,62,0,248,1869,670,630,5712,82,8961,74,13,3,14,3,106,332,40,21,29,3,423,547,35,33,90,9,708,537,23,8,24,0,592,67,4,0,14,0,80,798,23,58,18,16,904,271,54,58,268,9,653,11654,834,1085,1402,193,15168,519,66,46,668,13238,14541,39560,6946,6271,50938,14733,118456
SOS71,219,1038,917,10505,276,12948,5,32,21,12431,200,12692,411,18,19,114,6,568,21,3,0,17,0,42,226,65,45,120,3,446,2282,836,703,6268,169,10255,814,16,81,27,24,957,116,20,4,60,4,205,512,124,98,1066,32,1835,46,28,9,46,0,132,24,8,3,26,0,57,1011,9,4,16,5,1049,632,209,161,2311,47,3360,250,83,37,317,7,706,64,3,3,3,0,68,14,6,0,10,0,39,8,0,0,8,0,18,16,14,0,29,0,58,425,52,43,29,7,553,222,61,58,20,3,360,94,21,13,40,3,168,42,3,0,22,0,67,644,228,177,1786,48,2879,12,3,0,0,0,14,100,23,8,9,0,141,89,4,6,18,3,121,123,3,3,5,0,131,6,0,0,0,0,8,102,0,3,0,0,109,72,16,7,65,0,162,2489,231,219,459,39,3437,119,23,24,462,5445,6075,9012,1846,1535,29299,6148,47847
SOS72,44,275,206,3125,90,3737,4,27,9,16223,219,16483,85,5,3,49,0,141,8,0,0,3,0,14,61,14,9,30,3,125,459,192,160,1735,57,2601,81,0,13,0,0,91,30,3,0,21,0,62,76,17,18,245,3,358,12,7,0,26,0,45,6,0,3,0,0,15,83,0,3,0,0,87,125,60,40,694,14,933,55,19,6,81,3,163,20,0,0,0,0,24,8,0,0,0,0,5,0,0,0,0,0,0,6,3,3,6,4,19,65,8,8,10,3,86,81,6,9,13,5,112,22,6,3,10,0,42,3,0,0,0,0,7,124,46,33,483,18,705,4,0,0,0,0,4,32,0,0,0,0,34,12,0,0,12,3,36,10,3,0,0,0,14,3,0,0,0,0,3,23,0,0,0,0,23,9,3,3,22,0,38,442,58,58,245,19,827,22,3,6,229,2177,2431,1610,463,340,21280,2571,26270
SOS73,124,836,748,9162,221,11098,0,20,11,6349,55,6434,153,11,26,104,6,299,17,5,3,7,0,39,184,52,41,106,3,398,1541,630,590,5542,176,8477,190,8,56,21,11,285,76,6,7,57,0,148,263,88,69,880,23,1318,39,18,16,65,3,144,29,0,3,6,0,39,44,3,3,7,4,63,345,143,147,1950,50,2634,141,72,28,259,10,505,16,0,3,3,0,21,3,0,0,3,0,6,0,4,0,0,0,8,18,13,3,17,0,56,72,16,24,10,0,125,123,47,45,32,0,250,46,9,10,33,0,104,17,3,12,16,0,53,398,183,129,1521,26,2263,7,0,0,0,3,7,31,7,4,12,6,60,30,0,0,15,0,56,4,5,0,6,0,16,9,0,0,0,0,8,273,0,8,0,3,284,45,9,14,49,0,122,708,126,132,305,24,1303,62,8,13,280,5274,5641,4006,1402,1262,21275,5767,33706
