SOS_CODE_2016,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
SOS10,172,26,32,106,15,207,3,142,84,2776,38,3609,55,29,10,53,3,100,6,153,38,754,15,1215,34,44,11,74,5,172,10,597,79,1277,24,2321,12,27,6,31,0,154,8,620,67,754,13,1690,53,183,13,96,7,552,27,1335,163,3198,50,5676,71,312,29,290,31,1712,51,2481,288,3150,55,8468,247,797,53,655,57,3655,84,3178,380,5001,106,14214,482,1332,83,1771,155,7806,155,4052,612,5255,120,21813,1263,2228,153,5126,410,12615,326,4258,767,6953,154,34251,3127,2474,247,9583,763,12823,390,3417,701,5883,142,39545,4067,1938,234,11297,907,13118,385,2548,593,4636,123,39846,6444,1760,276,12992,1192,12067,391,2111,530,4037,110,41909,20921,3209,639,28631,3338,22369,878,3406,894,6106,182,90568,21986,2283,615,27922,3342,8567,744,1948,408,3394,114,71329,19988,1433,491,19329,2809,4747,509,1263,270,2185,76,53105,15718,888,329,9420,2074,12272,245,1009,416,1258,57,43691,47468,2430,927,39388,5125,15006,791,2139
SOS11,34,5,6,24,4,23,0,19,10,264,16,412,14,9,3,12,3,23,0,28,4,86,6,186,14,18,5,20,8,31,0,59,5,175,4,334,8,10,0,4,0,16,0,56,10,92,3,193,25,50,11,40,0,71,6,220,25,656,10,1111,41,107,6,88,8,197,16,397,54,614,12,1548,95,199,16,225,13,583,27,660,80,1421,19,3344,176,392,32,669,70,1550,66,1036,155,1534,34,5718,462,830,81,2212,194,3108,126,1171,241,1999,60,10483,1133,875,115,4045,391,3227,154,889,193,1400,53,12479,1432,641,99,4574,391,2850,161,610,171,868,33,11818,1972,586,79,4641,477,2468,153,430,145,614,18,11583,5627,834,219,8760,949,3707,297,555,183,767,54,21941,5079,496,160,6535,780,1296,201,243,95,337,34,15252,3848,239,91,3578,540,598,135,116,30,162,18,9354,2582,88,57,1385,267,939,43,81,51,74,11,5577,4110,224,109,3225,397,889,104,121
SOS12,3,0,4,0,0,3,0,3,0,26,0,42,4,0,0,4,0,5,0,4,0,13,0,31,3,3,0,3,0,4,0,7,3,31,0,56,0,0,0,0,0,3,0,5,0,14,0,20,6,4,0,6,0,3,3,32,0,72,0,129,4,13,0,12,0,28,0,41,4,65,0,172,7,24,0,31,4,51,10,69,7,152,0,360,22,56,3,76,13,151,9,115,17,183,9,658,70,105,4,276,15,286,20,140,27,228,11,1180,121,94,16,433,20,308,19,110,11,176,11,1312,127,77,9,486,38,284,24,92,18,88,4,1247,211,67,11,477,53,259,23,46,17,61,5,1227,574,113,9,856,87,422,31,64,34,100,5,2295,531,48,30,665,57,134,24,31,6,34,4,1558,385,38,14,393,42,61,13,13,3,18,0,972,275,9,11,146,25,99,0,12,0,9,0,583,470,25,15,374,36,101,16,10
SOS13,75,4,5,35,0,19,8,7,4,109,10,281,30,3,3,25,4,21,0,13,0,54,0,157,25,18,0,29,5,30,0,42,10,83,6,237,19,4,4,11,0,22,0,33,3,43,5,131,66,24,3,73,8,50,8,60,12,233,8,545,64,42,4,111,19,122,16,160,21,223,10,784,123,112,9,150,16,273,7,223,36,453,19,1423,214,204,18,422,30,621,29,365,59,463,17,2436,430,287,43,1033,92,1024,57,379,73,639,34,4084,650,333,38,1619,139,1018,55,293,72,467,26,4711,598,291,43,1614,159,925,56,264,62,344,17,4367,897,225,44,1787,163,828,78,197,44,251,21,4528,2197,418,86,3384,339,1414,111,244,94,344,34,8678,2129,261,73,2789,277,599,106,124,37,176,18,6594,1766,154,42,1706,219,287,58,77,16,115,14,4457,1281,68,47,775,136,448,33,45,38,62,12,2946,3087,184,79,2356,258,692,76,109
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,161,39,38,136,20,246,12,136,74,2583,30,3467,46,34,12,57,3,107,6,211,44,745,5,1263,41,74,6,78,11,203,9,550,66,1207,18,2256,17,23,0,29,3,194,0,512,52,701,8,1542,70,171,18,171,15,481,21,1116,117,2932,34,5135,120,362,22,339,32,1535,45,2126,240,2526,48,7380,288,794,52,751,66,3505,93,2646,366,3922,100,12583,497,1301,95,1995,182,7434,160,3514,542,4345,123,20190,1319,2268,150,5563,417,12049,307,3781,664,5639,151,32315,2845,2391,234,9866,798,11952,456,2806,566,4668,139,36707,3606,1854,257,11727,973,11449,430,2217,425,3609,108,36656,5447,1671,298,13051,1153,10265,356,1691,410,3122,104,37568,16622,2931,568,27967,3060,18160,740,2526,687,4357,179,77793,16050,1895,472,25569,2888,6569,655,1419,346,2085,86,58029,13501,1130,328,16195,2210,3361,367,801,167,1242,47,39340,10216,562,235,7482,1429,8291,189,639,279,754,41,30108,27118,1706,555,29001,3253,10145,575,1294
SOS21,36,3,15,26,4,17,4,17,6,231,8,364,22,10,4,12,3,15,0,27,0,73,5,171,4,12,3,30,0,16,6,76,12,153,10,318,7,0,0,3,0,20,6,55,3,83,0,180,36,25,4,36,4,63,3,162,26,519,8,879,22,83,3,72,5,206,18,324,50,431,11,1219,86,151,11,175,23,528,25,490,64,963,10,2523,132,314,15,622,68,1501,51,755,137,1024,29,4650,336,565,63,1876,163,2744,111,875,201,1196,48,8173,734,634,81,3486,309,2789,160,644,178,848,32,9897,895,521,94,4077,353,2537,146,477,154,596,29,9869,1410,432,71,4230,397,2120,136,310,101,420,32,9652,3855,672,195,7705,890,2769,253,390,127,517,43,17407,3420,364,134,5477,681,1007,175,175,44,203,26,11703,2415,155,84,2789,408,432,94,79,32,95,6,6599,1533,63,46,1121,169,787,30,49,36,46,3,3892,2441,175,64,2572,270,802,97,125
SOS22,4,0,3,5,0,0,0,0,0,15,0,32,0,0,0,0,0,4,0,4,3,10,0,25,0,0,0,3,0,0,0,7,3,15,0,29,0,0,0,0,0,3,0,3,0,7,0,15,0,10,0,10,0,8,0,17,0,45,0,91,4,6,0,13,0,19,0,23,8,40,0,117,13,19,3,26,4,46,3,46,6,100,0,267,14,43,4,77,5,154,9,82,7,110,5,515,50,60,4,206,11,248,14,97,24,104,3,815,84,63,8,360,47,239,14,65,14,81,4,975,99,61,6,386,43,206,13,36,21,60,3,932,114,54,14,404,40,144,16,27,9,38,4,859,327,54,20,611,79,250,33,36,21,39,3,1468,292,33,12,441,62,82,13,21,12,17,9,981,201,11,5,207,27,36,5,6,0,7,3,520,119,7,0,76,15,51,3,4,5,3,0,285,153,4,7,180,30,46,13,14
SOS23,77,8,11,44,0,35,0,17,9,72,11,282,22,5,4,22,0,29,0,6,10,38,7,146,35,13,0,45,3,31,3,16,4,65,3,217,9,0,0,12,0,12,3,31,3,36,0,109,60,21,6,60,5,49,3,67,9,148,0,432,59,49,3,94,9,136,10,109,12,140,7,627,143,78,12,192,23,220,25,196,27,255,18,1180,189,177,23,414,45,490,23,253,51,333,10,2005,358,277,33,998,98,957,58,282,67,383,25,3529,501,274,51,1496,124,925,60,258,73,310,32,4093,502,194,38,1516,110,828,54,146,55,234,23,3692,668,210,46,1748,143,686,54,132,34,191,17,3927,1639,304,87,2970,305,1073,123,195,77,243,22,7040,1482,199,66,2247,234,426,64,99,34,99,13,4966,1123,114,44,1218,121,212,37,45,21,57,9,2997,746,47,20,559,78,361,14,29,22,32,5,1922,1543,124,63,1595,136,466,61,59
