SOS_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
SOS27,28,4,29,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,11,0,11,5,0,5,0,0,0,0,0,0,0,0,0,20,4,26,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,6,4,6,18,0,18,7,4,10,25,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,13,4,0,4,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,310,38,349
SOS29,4331,3238,7565,215,163,379,173,197,367,180,178,357,447,453,898,1052,795,1848,813,479,1295,628,347,975,460,352,816,283,204,482,72,49,121,9,28,38,0,0,0,4331,3238,7565,146,102,247,13,7,16,3,6,11,160,117,279,2581,1804,4389,1057,952,2011,2372,1835,4201,698,692,1393,2454,1897,4355,22,15,37,113,145,259,68,85,158,102,136,242,131,161,299,1345,1347,2698,379,247,627,475,301,776,257,143,404,155,82,238,43,42,85,0,0,0,0,0,0
SOS30,1591077,1660962,3252041,106692,101115,207804,214553,203836,418385,105828,102797,208634,119713,119862,239568,236588,245900,482484,219655,231564,451215,207203,220836,428041,170272,184335,354606,127322,137788,265108,61621,74134,135751,21640,38799,60437,1510144,1592751,3102894,80934,68220,149149,35629,37319,72950,4613,4852,9461,3530,3745,7280,43771,45920,89689,1082511,1120283,2202802,402136,433279,835416,1261038,1306768,2567809,226394,253380,479773,1288864,1348177,2637040,18792,17608,36397,197148,187893,385037,73777,76751,150529,39183,47104,86280,50750,81594,132342,701310,761107,1462419,100265,96541,196806,254255,274332,528586,55846,54171,110016,46742,54965,101706,6465,7581,14044,1453238,1531592,2984834,141254,145668,286920
SOS31,426903,437270,864172,29242,28087,57329,61383,58142,119522,26987,25611,52606,25026,24610,49633,52787,55156,107945,51776,53602,105374,54832,56880,111716,52136,53652,105789,43155,44485,87643,22580,25389,47969,6985,11661,18647,395865,415027,810892,31036,22242,53278,24608,25881,50487,2893,2975,5863,2661,2721,5383,30156,31579,61734,334755,342763,677516,54223,58960,113185,367642,379059,746705,23501,26453,49952,366069,378731,744802,4527,4401,8926,55228,52414,107642,15910,16072,31978,2970,4857,7822,6920,16054,22971,125371,145003,270371,29884,28913,58793,94934,96390,191327,22543,20197,42748,24085,23679,47767,1483,1288,2770,377085,395917,773001,61117,51847,112960
SOS32,72766,70783,143553,4466,4134,8599,9834,9359,19193,4213,3922,8132,3458,3399,6856,6826,7224,14049,8177,8436,16612,10303,10279,20584,11000,10853,21853,9644,8532,18174,3900,3516,7421,956,1134,2085,67108,66660,133767,5663,4131,9790,5978,6273,12257,2205,2164,4369,1394,1431,2826,9579,9871,19445,58526,56628,115156,7648,8133,15782,60825,59558,120382,5394,5900,11291,63761,62695,126455,672,677,1344,8720,8299,17015,2285,2369,4655,343,582,927,826,2171,2997,18494,22126,40623,4935,5030,9965,18023,16580,34607,4357,3310,7666,5203,4090,9291,289,210,497,64526,64644,129165,12201,9991,22194
SOS33,224138,206625,430761,11453,10936,22385,30466,28176,58642,13950,12551,26495,10530,9128,19656,20361,19550,39910,26572,26852,53426,35217,34470,69689,35710,32520,68226,27336,22396,49736,10373,7908,18283,2170,2140,4307,208517,195608,404124,15617,11015,26638,6872,5705,12569,763,525,1284,546,408,949,8176,6628,14806,178106,162798,340907,23716,24581,48299,194896,182027,376928,7368,7990,15356,193961,180907,374872,1841,1742,3579,27126,25178,52305,8424,8502,16923,1483,2213,3693,2369,6293,8662,62654,73602,136251,14700,13317,28023,55708,46441,102151,12540,8474,21013,13458,8298,21756,654,398,1047,195546,187537,383086,40524,25938,66458
SOS37,66,87,150,0,3,3,0,0,4,3,5,11,3,4,11,4,6,11,7,3,14,10,7,24,7,19,30,13,16,33,7,7,16,0,0,4,56,81,135,10,3,21,0,3,6,0,0,0,0,0,0,0,5,3,43,50,89,18,20,40,56,56,110,7,10,21,51,65,116,0,0,0,0,0,4,3,5,7,0,0,0,0,3,3,24,23,50,7,9,15,13,26,39,3,7,11,5,6,17,0,0,0,0,0,0,940,1037,1974
SOS39,6937,5572,12510,182,160,339,249,233,489,212,203,408,559,576,1133,1288,1005,2293,964,514,1485,975,688,1663,1147,1224,2373,1120,798,1916,225,153,381,19,18,44,0,0,0,6937,5572,12510,423,255,678,42,24,67,21,29,51,488,310,799,4186,3164,7348,1580,1575,3157,4759,3934,8697,636,657,1293,4444,3602,8050,15,12,25,179,179,353,58,76,131,73,96,169,124,177,295,2120,2089,4206,492,379,867,1468,1198,2664,448,281,729,325,186,510,50,24,70,0,0,0,0,0,0
SOS40,569694,595939,1165632,35571,33371,68946,67824,64538,132362,35928,34631,70554,41723,40535,82252,81894,83779,165670,75281,75838,151122,75689,78384,154069,66615,72874,139495,50334,56946,107279,27452,34727,62177,11384,20318,31706,541908,571998,1113909,27784,23941,51730,7850,8240,16095,282,287,572,185,204,390,8323,8732,17051,384718,398995,783717,154061,165180,319239,421402,439109,860512,119548,128670,248220,478771,501366,980140,6214,6069,12283,62933,59863,122800,27928,28074,56000,17325,19319,36648,20371,29682,50048,240246,261219,501466,79045,75093,154143,66810,71311,138118,22410,23712,46122,21435,27152,48583,4523,5860,10386,527508,553109,1080617,35688,38652,74347
SOS41,152477,159441,311919,9105,8840,17948,19781,18867,38644,9410,8897,18310,8526,8171,16700,17027,17335,34361,17270,18108,35374,20091,21044,41134,20016,21080,41101,17721,19438,37156,9911,11631,21546,3606,6035,9636,142141,150072,292211,10335,9372,19705,4966,5127,10097,137,127,268,86,87,174,5200,5346,10544,121402,126260,247657,20409,22095,42501,134611,141801,276416,7716,8083,15793,135212,142433,277642,1602,1553,3155,17903,17216,35117,6500,6478,12980,1390,2082,3465,2358,5153,7514,42329,51616,93942,26635,25755,52398,24750,24635,49385,8921,8597,17519,8426,8754,17186,638,468,1112,137305,144686,281994,13814,12659,26471
SOS42,27010,26655,53667,1479,1483,2959,3252,2992,6248,1476,1412,2891,1251,1141,2392,2619,2661,5278,2815,2917,5731,3739,3719,7452,4299,4108,8402,3722,3456,7180,1781,1789,3567,575,982,1559,24910,24837,49743,2100,1815,3917,1320,1403,2722,11,16,27,11,14,27,1345,1426,2769,22082,21686,43762,2825,2898,5724,23790,23434,47226,1450,1506,2953,24287,23974,48261,256,252,503,2942,2723,5665,942,1022,1959,194,260,451,322,782,1098,6498,8202,14694,4885,4419,9303,4910,4359,9272,1867,1504,3373,1817,1528,3341,90,69,158,24227,23901,48133,3198,2730,5921
SOS43,75073,67492,142568,3715,3420,7135,9589,8958,18551,4608,4147,8754,3554,2823,6381,6383,5851,12234,8533,8278,16817,12316,11439,23752,12995,11525,24519,9364,7601,16965,3263,2649,5909,754,796,1555,69940,63512,133453,5135,3978,9113,1828,1633,3459,36,31,73,20,14,37,1889,1679,3565,61228,54297,115517,7956,8072,16025,65665,59784,125443,3430,3367,6795,66791,60722,127514,677,616,1285,8757,8116,16874,3125,3109,6236,667,840,1509,800,1809,2604,20985,24484,45473,13631,11214,24843,12387,9359,21746,4361,2795,7159,3729,2373,6105,221,210,432,66308,61855,128165,9215,5349,14562
SOS47,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,4,0,0,4,0,4,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,107,219
SOS49,1734,1129,2863,50,43,91,56,68,129,95,80,173,161,99,266,349,209,556,280,140,421,282,192,474,239,164,403,168,97,271,43,21,59,13,7,22,0,0,0,1734,1129,2863,136,114,246,4,0,4,4,0,4,141,114,249,1137,748,1886,366,235,605,1167,769,1933,196,150,347,1152,788,1941,3,4,11,42,55,90,39,42,85,20,22,42,47,49,97,462,378,845,220,130,352,291,184,475,120,61,178,96,49,143,20,10,30,0,0,0,0,0,0
SOS50,927190,947382,1874578,62987,59884,122879,120253,114052,234304,58919,56441,115359,65921,63114,129031,148852,149926,298774,130795,132670,263462,122291,125204,247498,98533,105395,203928,70572,75422,145991,35729,43707,79433,12346,21571,33920,873711,911490,1785210,53475,35887,89371,13905,14304,28209,370,316,689,300,320,625,14578,14941,29517,528592,538537,1067126,336597,349118,685713,679918,691461,1371373,186987,199913,386895,722039,743490,1465527,12556,12182,24741,111225,105418,216640,44245,44504,88751,24159,24964,49123,29485,43752,73239,408966,438018,846982,71876,70145,142019,142846,142666,285512,31881,30892,62771,21386,25036,46417,4619,5549,10166,841275,875285,1716558,62446,64070,126522
SOS51,181308,181632,362942,13624,12741,26367,26417,25201,51620,11274,10550,21827,10078,9641,19714,24811,25948,50764,24761,25005,49760,24641,24259,48895,21181,21179,42357,14920,14930,29846,7227,8381,15608,2384,3803,6189,166397,170695,337096,14910,10937,25846,11890,12482,24376,297,269,563,331,361,685,12514,13116,25631,129040,128589,257625,33908,35851,69755,149231,150812,300035,14186,15367,29555,147270,149097,296365,2492,2323,4818,23262,22253,45512,6850,6782,13633,1073,1485,2563,2743,6370,9115,51223,61188,112408,17530,17590,35119,39580,35763,75344,8695,7294,15981,5588,4937,10520,674,610,1282,155242,161104,316340,32697,25316,58006
SOS52,33052,32279,65334,2237,2099,4339,4519,4394,8910,1880,1697,3579,1632,1649,3277,3888,4162,8045,3914,3873,7790,4612,4562,9179,4709,4486,9195,3608,3135,6744,1612,1654,3265,445,561,1011,30108,30028,60133,2948,2251,5201,5353,5819,11171,22,22,45,79,81,164,5457,5925,11379,24288,23709,48002,4949,5123,10075,26108,25369,51471,3377,3707,7088,27525,27072,54592,369,374,744,3828,3747,7575,959,920,1881,120,197,314,289,787,1078,7650,9158,16810,2940,3114,6053,8044,7027,15073,2056,1620,3676,1577,1285,2858,167,159,321,27938,28182,56117,7862,5630,13489
SOS53,92918,72257,165175,4221,3769,7989,10271,9613,19881,4957,4125,9078,4662,3124,7782,12506,7644,20155,13329,9668,22994,15848,12472,28322,13957,11581,25541,9278,7171,16447,3230,2457,5691,659,633,1288,86082,67751,153835,6836,4505,11344,4969,3641,8608,66,42,112,96,45,140,5128,3731,8862,64618,51782,116393,17154,13342,30491,73210,60822,134030,6192,4963,11161,73076,61249,134327,827,712,1535,9120,8517,17634,3047,2812,5858,503,668,1168,1001,1938,2941,28267,27058,55327,8389,6761,15145,20631,14151,34786,4256,2636,6894,2698,1587,4284,308,197,504,65795,62486,128285,51283,16333,67619
SOS57,408,26,434,0,0,0,0,0,0,0,0,0,17,3,20,124,6,127,120,3,127,94,8,105,43,7,43,8,0,8,3,0,3,3,0,3,397,27,418,8,5,15,3,0,3,0,0,0,0,0,0,10,0,10,177,16,193,164,9,168,288,14,309,51,3,53,250,20,272,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,199,14,215,45,0,44,84,5,84,13,0,13,8,0,8,0,0,0,0,0,0,3004,668,3668
SOS59,3532,2415,5950,81,79,161,120,120,237,84,65,151,254,242,503,773,534,1306,606,305,910,638,325,957,540,442,977,375,254,633,58,37,98,12,11,23,0,0,0,3532,2415,5950,324,237,563,6,6,11,7,3,12,341,247,587,2138,1378,3512,851,634,1484,2258,1559,3819,305,281,585,2133,1447,3584,9,9,17,93,88,186,26,23,53,28,37,67,71,72,145,1035,875,1909,312,183,488,715,434,1144,179,85,262,100,46,142,25,12,33,0,0,0,0,0,0
SOS60,85960,92047,178009,5313,4974,10290,10830,10219,21057,5540,5343,10883,6000,5926,11926,11661,12079,23740,10524,11514,22036,11089,11935,23022,10747,12000,22751,8176,9417,17594,4416,5643,10056,1652,2999,4651,80865,86957,167818,5093,5095,10187,2982,3070,6056,163,164,331,143,147,289,3298,3376,6678,67842,72495,140333,12623,13723,26346,73024,78481,151512,7449,8369,15815,74928,81057,155990,796,826,1623,10025,9441,19471,4183,4093,8273,2311,2411,4722,3137,4554,7688,33546,37210,70759,5595,6231,11828,17105,18747,35855,4547,4891,9443,2757,3352,6106,345,399,748,78030,83793,161820,7314,7266,14581
SOS61,96538,104702,201247,5880,5786,11670,12365,11921,24286,6413,6137,12550,6309,6103,12410,11077,11776,22857,10680,11904,22585,12540,13904,26447,12560,13979,26533,10897,12210,23111,5865,7390,13256,1954,3583,5538,90030,98607,188634,6510,6095,12608,4538,4971,9507,234,225,460,172,224,397,4948,5413,10364,79622,86289,165918,9882,10685,20571,86476,93809,180287,3965,4328,8289,86481,94072,180558,941,866,1807,11257,10859,22117,4370,4369,8737,1478,1653,3132,2151,3753,5908,24085,29218,53305,6929,8090,15021,27412,28309,55721,7560,7912,15474,4766,4918,9680,411,435,843,87316,94746,182064,7428,8003,15433
SOS62,15443,15573,31013,804,769,1573,1860,1784,3648,868,777,1651,652,642,1294,1369,1466,2831,1604,1793,3395,2091,2179,4268,2610,2612,5220,2280,2156,4435,1021,1032,2055,276,369,642,14280,14470,28747,1163,1100,2267,753,818,1571,41,38,87,30,22,51,826,883,1707,12422,12468,24887,1660,1704,3363,14017,14069,28089,334,398,736,13901,13984,27884,123,124,242,1661,1582,3246,563,545,1109,88,123,211,220,466,688,3743,4551,8292,1096,1239,2335,4532,4103,8632,1316,1159,2481,720,597,1312,34,28,57,13827,13935,27763,1369,1290,2659
SOS63,50967,47741,98715,2518,2381,4898,6605,6106,12713,3108,2826,5929,2266,1868,4134,4095,4305,8396,5693,5965,11659,8089,8066,16160,9090,8438,17527,6675,5483,12150,2371,1856,4225,466,456,926,47213,44671,91884,3755,3076,6826,2272,2111,4383,130,106,243,67,76,148,2470,2298,4771,41233,38406,79644,5425,5380,10798,46412,43386,89793,1100,1274,2372,45830,42873,88700,394,372,766,5961,5488,11444,2123,2048,4173,414,435,847,718,1608,2331,12682,15404,28093,3536,3863,7398,15264,12219,27482,4144,3006,7146,2128,1194,3321,134,69,201,45664,43389,89053,3810,3323,7131
SOS67,49,21,68,0,0,0,0,0,0,0,0,0,6,4,8,15,3,23,5,0,5,10,3,15,8,4,12,4,3,7,0,0,0,0,0,0,46,18,65,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,28,16,49,15,3,18,37,18,60,9,0,10,34,19,51,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,18,11,25,8,4,10,16,4,22,0,0,0,0,0,0,0,0,0,0,0,0,471,218,691
