SOS_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SOS10,1018,2187,7035,9800,17178,32142,42108,38210,21972,171648,295,1365,4989,5300,8118,10472,9631,10089,4850,55101,14708,25020,61336,47514,42957,39617,37844,32066,24515,325572,142550,375087,840069,755888,686840,580211,417647,234930,111383,4144594
SOS11,535,816,2085,2726,5072,11680,16598,15477,10145,65142,61,131,396,463,649,760,870,759,382,4467,5572,6910,14012,13377,15447,17360,19872,18147,11646,122350,39726,79941,163291,163731,180675,192087,170836,102246,45514,1138045
SOS12,58,60,166,248,662,1471,2053,1468,731,6927,8,12,24,25,38,60,100,80,29,377,604,526,1153,1334,1681,2151,2112,1511,611,11693,3893,6498,13143,16554,20919,23673,19302,8999,2970,115959
SOS13,167,161,535,857,1884,4486,6303,4176,1708,20271,24,20,69,87,137,292,344,289,132,1394,2896,2626,5192,6379,8698,9329,8059,4140,1503,48810,15625,25091,46838,63558,86545,90910,67155,26157,7362,429234
SOS17,0,0,0,0,3,5,13,3,0,27,0,0,0,0,0,0,0,0,0,4,0,0,4,7,8,9,27,9,0,67,11,9,32,34,50,76,108,42,10,373
SOS19,10,29,53,41,61,90,94,33,8,419,0,4,8,8,21,12,7,7,0,62,125,302,779,674,631,459,269,90,30,3369,441,1357,2698,1900,1798,1714,1194,282,78,11461
SOS20,1530,2472,7809,9811,14187,24275,45823,46244,24803,176953,353,1539,4884,5440,6985,7998,7977,9183,3916,48277,12501,20834,50157,37877,34789,31520,30458,26695,18156,262995,112121,326793,716487,619905,564728,457058,331483,193712,89730,3412022
SOS21,612,850,2110,2268,3395,6695,14266,14528,9553,54263,77,195,652,756,921,752,683,593,270,4892,3908,4678,9552,9278,10868,12168,13394,11787,7075,82707,26708,61508,125725,124849,133437,133810,113308,65780,30361,815477
SOS22,52,50,147,160,355,726,1562,1343,791,5186,7,6,17,20,31,36,42,33,12,210,367,329,776,974,1250,1631,1700,1075,617,8721,2145,3961,8873,11005,14033,16029,13479,6232,2449,78211
SOS23,178,202,506,628,1210,2605,5773,4088,1670,16854,24,26,95,99,127,135,218,246,81,1058,1842,1735,3963,4836,6392,6660,5798,2940,940,35112,10689,19114,35214,47971,66400,69068,50333,18866,5264,322915
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,11,5,0,0,0,25
SOS29,17,20,42,33,28,30,38,13,11,228,8,3,13,5,16,11,9,3,3,83,79,221,493,492,336,219,111,39,9,2000,278,897,1841,1288,975,816,482,121,38,6740
SOS30,727,1235,3670,4840,7405,11807,29471,25841,14539,99531,163,625,1998,2082,2566,2454,1805,1509,798,13993,11165,17542,36359,30136,29801,26299,24102,19548,14643,209584,108253,239029,482058,450916,427752,354377,264909,135615,60381,2523290
SOS31,277,431,1270,1708,2956,5535,15312,13466,6350,47297,48,104,310,307,425,439,494,434,199,2757,3552,4681,10528,9745,10572,10311,9986,8079,4639,72099,26433,49562,107861,105314,111644,105749,87599,47943,18643,660759
SOS32,61,55,180,292,664,1496,3567,2090,813,9222,15,3,26,38,61,83,125,103,47,494,736,830,1530,1659,2060,2160,2182,1203,439,12794,4269,6849,14036,16599,20573,21844,18164,7416,2083,111831
SOS33,72,116,440,666,1523,3194,8742,5235,1558,21551,20,32,73,87,179,195,235,159,61,1049,2117,2194,4857,5744,7257,7096,5762,2737,750,38510,13086,19630,39895,53407,69663,68209,49720,18276,4307,336180
SOS37,0,0,0,0,0,0,11,3,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,7,0,0,22,3,11,11,14,24,30,33,16,4,143
SOS39,5,13,31,28,49,88,229,59,8,512,4,5,10,14,19,11,13,0,4,70,71,242,556,449,431,467,311,92,15,2629,348,1131,2286,1485,1663,2373,1916,381,44,11623
