SOS_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOS80,333,792,1503,1298,1154,733,241,21,5,6081,301,625,1387,1201,965,562,212,47,25,5330,10698,20867,52482,47990,41658,24706,5791,590,78,204869
SOS82,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,6,14,7,12,29,38,24,10,0,0,130
SOS83,0,3,0,3,6,0,0,0,0,18,3,0,3,3,3,0,0,0,0,11,25,34,85,114,94,52,20,5,0,424
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0,0,5,0,6,3,0,0,4,0,0,0,11,10,39,57,41,28,26,3,0,0,202
SOS91,0,0,4,3,6,3,0,0,0,19,0,0,3,6,6,8,4,0,0,39,9,48,155,163,197,161,81,4,0,820
SOS92,0,0,3,4,6,8,0,0,0,21,0,5,3,10,10,12,10,0,0,47,39,50,124,169,164,150,63,10,0,756
SOS93,0,0,3,4,8,0,0,0,0,12,0,0,4,3,11,3,0,0,0,25,29,18,56,112,141,136,62,14,4,573
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,0,11
