SOS_CODE_2016,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,3,54,0,22,9,6,0,3,0,92,0,25,0,7,3,0,0,4,0,52,13,21,0,20,32,6,0,13,0,109,3,39,0,32,16,9,0,14,4,121,7,22,3,10,9,9,0,4,0,59,3,0,12,3,3,3,0,7,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,14,0,3,3,0,0,0,0,3,4,22,39,189,37,118,83,41,8,46,13,572,3,29,4,11,3,3,0,3,0,66,4,23,3,5,3,0,0,4,4,44,22,38,65,4,6,4,19,27,0,201,12,11,63,3,4,0,11,14,0,117,6,5,8,0,0,3,3,14,0,32,8,72,8,24,9,6,3,3,0,130,3,43,7,12,4,3,3,3,0,76,39,50,10,35,40,14,12,19,4,225,14,55,3,47,27,16,10,25,3,192,7,34,7,11,11,9,3,4,0,82
SOS30,3534,56608,2728,16630,6728,2838,314,1533,542,91452,4566,39395,554,11242,5263,1578,170,917,354,64029,21271,27148,2353,10750,49793,15248,1185,5078,1404,134233,7123,24012,1461,30803,14067,5166,529,3369,811,87341,2705,8740,1164,2586,3968,2941,195,839,230,23367,3686,1301,9240,8189,6283,5021,421,2929,359,37421,52,83,26,136,185,158,13,121,23,798,681,1357,294,742,1297,464,90,294,150,5374,661,1086,426,1629,1750,1297,191,1074,1470,9582,48574,175650,22911,85876,95270,37647,3782,18912,5783,494404,3887,14098,3115,1939,2641,1435,493,1167,328,29111,5088,15321,4102,1261,2827,1731,1058,1701,542,33629,19995,28660,66110,4795,7360,6339,12969,12857,1995,161073,10704,7130,37041,1638,3002,2289,3583,7903,863,74151,2099,2988,4244,881,1551,1017,1145,2668,226,16825,5795,78266,3897,21170,7508,3481,963,2447,862,124391,7133,51511,1357,12630,5981,2044,850,1506,540,83558,47655,52139,7603,15532,62064,25211,7513,10709,2746,231162,12534,38197,3734,42107,17714,7567,2573,6218,1399,132046,4595,14987,3636,3846,5194,4596,1006,2126,411,40395
SOS31,749,10203,655,4163,1289,560,112,444,96,18273,997,10686,143,3052,1104,304,76,279,76,16723,3111,3358,614,2095,9863,3169,355,1448,169,24186,1097,3168,322,8268,2143,996,157,1057,130,17335,260,811,150,305,416,281,39,187,16,2456,842,229,2598,1845,1273,1138,177,934,68,9109,20,17,5,39,14,33,5,46,10,181,98,174,48,143,227,79,31,79,22,902,198,269,138,604,449,456,62,544,346,3063,7990,30660,5792,21130,17779,7547,1313,5881,1006,99097,471,1401,606,305,328,140,111,201,40,3599,383,802,593,174,259,253,139,275,42,2916,4515,4387,26936,1041,1475,1385,6618,4120,630,51112,2094,520,7999,347,413,406,1837,2215,206,16027,838,1014,1080,315,440,338,649,1230,69,5978,1169,13545,886,5192,1408,632,316,630,140,23912,1635,13783,394,3385,1229,396,407,423,107,21759,6250,5465,1619,2811,11097,4391,1465,2389,316,35810,1600,4645,619,10602,2447,1224,530,1580,193,23440,383,1250,423,415,480,388,141,347,27,3860
SOS32,183,1412,109,670,208,92,21,85,21,2790,239,1587,23,545,203,55,12,47,14,2723,477,410,99,278,1512,437,35,215,41,3511,198,444,65,1177,368,143,25,155,20,2588,51,121,30,51,68,41,10,26,7,404,139,29,321,255,187,150,27,138,7,1252,3,5,0,8,3,3,0,10,0,27,24,27,8,30,30,9,4,11,0,153,46,68,37,168,91,78,19,105,61,674,1500,4328,883,3294,2851,1091,205,968,203,15321,72,216,89,64,73,22,23,30,5,596,33,94,46,23,40,21,8,28,3,306,745,542,3465,171,250,198,1167,778,119,7427,420,93,1393,77,76,63,295,366,47,2831,236,205,247,85,112,62,148,287,18,1402,252,1781,136,825,230,103,50,117,32,3522,372,2057,52,590,229,67,51,66,15,3492,878,673,221,376,1643,566,186,346,63,4956,279,628,118,1520,406,179,77,228,41,3467,86,190,87,79,81,52,31,56,12,662
SOS33,1020,5099,408,1804,944,302,56,294,64,9989,1120,4855,117,1534,801,138,49,176,48,8840,2099,1694,288,805,4809,1201,135,634,109,11785,854,1542,169,3183,1198,377,85,430,95,7939,215,472,88,185,290,153,20,114,25,1553,529,114,1052,796,676,431,88,441,52,4183,14,9,6,11,15,14,0,11,3,73,96,115,25,65,131,26,15,54,5,539,275,171,83,321,343,216,34,270,192,1904,7313,15161,2994,9097,10079,3195,665,3160,649,52314,526,887,313,144,238,76,42,146,27,2397,256,465,176,57,146,71,36,89,25,1328,4780,2111,12094,494,756,668,3687,2362,380,27331,1976,327,4298,137,247,181,919,1363,135,9593,2788,809,998,250,479,307,558,1347,76,7616,1270,6425,501,2144,987,338,134,380,87,12280,1533,5984,243,1658,869,172,185,254,70,10963,3976,2729,668,1043,5311,1657,585,1001,188,17163,1306,2216,337,3902,1331,463,235,641,118,10551,338,716,251,237,325,211,52,205,30,2358
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
SOS39,12,99,7,34,7,3,0,23,0,181,8,31,0,9,4,8,0,10,0,62,21,31,6,36,37,18,3,51,3,199,14,16,0,44,20,7,0,62,3,165,3,16,0,14,6,7,0,21,0,67,4,5,14,17,10,11,0,20,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,3,0,0,0,6,7,28,74,226,44,162,96,58,12,209,21,894,4,15,8,11,0,0,3,13,0,54,3,7,0,4,3,0,3,11,0,38,28,45,116,15,7,7,41,62,6,330,8,11,67,4,0,4,11,45,4,156,4,8,18,3,0,3,15,20,3,68,9,144,8,41,7,3,3,26,3,243,8,48,3,15,3,8,4,5,0,94,49,51,11,44,53,28,17,85,3,336,26,24,7,62,22,11,7,88,9,257,12,33,10,19,6,7,0,29,0,113
SOS40,1331,21794,1008,7517,2275,983,73,570,205,35761,1455,13246,159,2909,1310,445,29,300,107,19963,6643,8388,690,3555,15595,4472,202,1559,439,41541,2443,8763,571,12585,5176,1603,124,1220,370,32852,718,2605,363,684,1217,748,45,239,71,6689,1017,340,3501,2202,1698,1506,66,947,109,11382,13,29,14,53,37,43,0,40,12,245,234,490,80,360,461,160,14,126,55,1977,207,365,147,644,618,445,39,385,437,3286,15555,61566,8412,31792,30502,11472,817,6423,1958,168503,1554,5845,1386,838,1004,552,240,640,111,12163,1495,5224,1568,512,1028,505,425,658,147,11553,6654,9222,22117,1797,2830,2165,4478,4757,681,54701,2651,2057,9674,511,861,734,853,1844,212,19404,707,904,1740,340,483,367,346,874,83,5850,2003,29909,1419,9272,2547,1207,304,913,296,47876,2362,18181,387,3483,1570,608,244,500,167,27510,15696,17165,2387,5380,20237,7941,1918,3488,878,75085,4249,13880,1295,17422,6685,2343,819,2239,604,49535,1283,4776,1214,1134,1600,1240,319,699,132,12406
SOS41,361,4087,231,1989,558,229,31,173,51,7699,400,3862,36,857,294,91,19,77,23,5657,1226,1130,182,731,3416,1186,77,463,67,8475,457,1511,111,3933,906,393,41,430,67,7855,91,388,70,127,166,112,5,51,6,1023,267,79,976,599,361,415,26,313,30,3072,3,9,5,8,9,5,0,24,0,68,34,71,13,46,43,30,3,20,11,268,82,94,51,245,160,183,13,214,93,1137,3236,11893,2037,8745,6321,2859,285,2083,387,37845,289,771,184,96,146,61,42,166,17,1786,150,339,184,53,129,79,51,104,13,1094,1636,1270,7255,425,538,552,1824,1668,234,15408,683,195,2420,105,114,127,363,515,67,4584,518,454,593,141,197,173,221,586,36,2914,504,5271,318,2323,608,255,101,262,66,9702,647,5172,106,967,340,127,94,129,35,7616,2637,2158,476,972,3991,1813,441,860,159,13507,754,2232,251,5042,1061,511,152,638,106,10750,178,656,188,172,201,167,41,129,19,1739
SOS42,104,619,54,398,116,46,11,43,5,1393,88,649,13,136,63,15,3,9,3,970,177,116,30,101,520,143,15,72,16,1194,76,164,22,625,137,62,9,113,15,1221,27,43,9,22,15,6,0,10,0,136,46,8,169,76,69,58,9,46,0,479,0,0,0,0,0,3,0,4,0,9,13,11,3,5,9,0,0,5,3,47,22,25,18,56,34,24,6,33,21,249,620,1729,377,1458,1044,402,69,406,72,6174,39,87,33,12,25,8,6,19,3,225,24,30,15,11,21,7,5,20,0,133,363,168,1311,61,79,79,353,346,36,2803,151,30,402,18,24,10,65,100,16,816,181,97,110,26,42,44,69,152,5,720,135,745,69,452,124,56,19,51,7,1658,131,874,23,148,74,20,19,25,3,1320,373,220,65,131,580,216,63,128,23,1797,122,247,55,755,148,78,26,143,16,1597,45,67,35,29,27,16,8,22,0,241
SOS43,499,2028,168,831,348,123,16,123,27,4163,432,1785,30,346,209,46,4,59,21,2927,828,513,105,231,1612,386,27,181,31,3913,333,586,67,1358,383,142,23,187,30,3117,62,161,26,52,83,49,4,51,9,494,188,28,380,208,203,139,19,137,13,1319,3,3,0,4,9,3,0,8,3,37,34,37,11,28,49,15,4,15,5,193,117,79,32,119,108,83,23,88,46,691,2989,5681,1064,3327,3322,1102,169,1094,208,18953,276,458,106,49,83,24,24,90,8,1130,80,134,47,15,47,19,12,26,5,383,1661,643,3375,141,237,215,885,909,97,8158,543,104,1089,29,71,46,167,288,31,2361,2175,407,459,113,193,121,213,698,55,4424,609,2472,193,952,367,134,47,169,33,4966,603,2220,52,391,226,50,35,83,24,3690,1640,905,218,290,1789,590,146,326,57,5966,527,822,125,1648,442,177,46,286,47,4119,106,252,74,72,91,61,19,75,6,760
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,3,16,0,3,7,0,0,3,0,29,3,11,0,0,0,0,0,0,0,15,5,3,0,3,13,0,0,11,0,36,0,9,0,12,4,0,0,5,0,28,0,0,0,0,3,0,0,3,0,7,0,0,3,0,0,0,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,11,45,12,21,23,12,0,43,0,168,0,7,0,3,0,3,0,3,0,15,0,0,0,0,0,0,0,0,0,3,10,10,38,0,3,0,18,28,0,106,0,0,19,0,0,0,0,11,0,35,0,0,3,3,0,0,0,6,0,18,3,23,0,3,7,0,0,3,0,42,4,16,0,0,0,0,3,0,0,24,9,12,0,6,14,8,4,22,0,68,0,7,4,9,6,3,0,14,0,46,0,6,0,0,3,0,0,3,0,21
SOS50,2131,32173,1763,9442,3814,1574,288,870,336,52394,2509,22467,465,8193,3012,1128,152,638,252,38827,10643,15881,1444,5775,25961,7536,583,2697,735,71244,3940,13689,1147,14953,7314,2492,291,1890,494,46201,1329,4292,775,1406,2134,1545,131,478,106,12199,1889,628,5372,4186,3455,2646,302,1465,185,20130,26,33,25,96,79,74,11,84,7,444,371,750,157,472,637,266,69,198,90,3009,357,631,262,968,982,731,130,581,806,5452,26023,101922,15407,47951,51559,20304,2520,10704,3304,279688,3151,11760,2811,1661,2029,1236,586,1004,269,24504,2741,8079,2535,819,1765,972,773,1073,301,19050,14902,22116,50549,3341,5360,3826,9923,8142,1574,119733,4503,3950,20043,897,1671,1094,2185,3534,535,38422,1381,2167,2350,516,873,583,748,1285,115,10010,3677,43216,2622,11632,4250,1942,819,1394,530,70086,4134,29044,946,8915,3415,1363,624,993,355,49802,25927,32240,4400,8536,32507,12315,3743,5349,1529,126550,7025,21530,2427,20056,9217,3548,1439,3262,841,69348,2257,7443,2263,2085,2745,2372,641,1196,188,21179
SOS51,424,4573,304,1701,690,300,84,252,51,8377,554,4470,97,1840,562,222,46,193,41,8032,1387,1323,294,992,4216,1381,183,649,90,10526,546,1481,170,3020,974,417,98,477,64,7248,128,346,105,208,256,178,28,106,11,1360,375,101,1085,819,637,458,104,393,34,4010,9,12,8,14,12,23,0,26,0,108,40,93,32,80,92,38,25,33,13,438,115,127,94,263,249,228,51,219,158,1502,3950,13477,2891,9290,8284,3580,819,2783,489,45551,296,936,406,182,212,108,95,162,16,2408,137,244,241,81,146,135,83,161,17,1250,2154,2303,13792,554,708,539,2939,1967,411,25369,863,291,3857,197,213,180,868,864,127,7460,575,584,675,176,259,214,403,569,42,3496,643,6041,438,1958,756,329,222,350,86,10811,905,5863,237,1969,623,257,244,276,62,10442,2758,2311,815,1256,4693,1847,627,986,165,15466,832,2182,330,3874,1094,520,259,704,101,9886,224,554,261,281,296,235,81,197,21,2147
SOS52,85,493,49,236,99,51,12,56,17,1095,135,729,15,261,86,25,8,27,3,1285,211,114,35,131,589,145,32,88,10,1353,85,163,34,416,154,48,13,73,13,996,11,40,3,33,35,16,5,21,0,170,59,12,128,96,79,38,18,62,0,496,0,0,0,7,0,0,0,4,0,18,7,11,0,11,13,10,3,3,0,61,14,23,26,59,39,43,7,60,38,311,702,1694,382,1305,1189,402,128,493,86,6391,54,106,41,25,21,7,16,27,0,293,25,27,33,15,16,10,9,20,3,149,388,228,1842,73,104,65,481,369,70,3621,117,33,400,29,26,13,126,108,11,871,177,127,170,48,55,43,81,137,9,847,118,633,75,285,107,57,38,68,17,1399,186,927,42,281,90,26,39,42,8,1643,426,187,96,162,631,189,79,135,18,1925,120,233,56,567,172,55,28,91,15,1349,14,59,22,39,33,20,19,29,6,251
SOS53,538,1625,184,548,377,115,61,139,33,3608,654,1833,58,655,324,81,41,115,24,3775,858,541,123,258,1616,365,86,234,44,4124,342,516,86,863,396,132,60,196,36,2629,112,155,43,67,116,56,18,60,3,623,188,51,308,239,268,138,58,135,20,1408,4,3,3,3,5,0,0,3,0,26,34,33,14,29,40,13,12,9,3,187,145,62,44,123,126,57,19,85,66,717,3426,5411,1233,2942,3629,1104,454,1247,251,19690,340,566,179,75,104,55,57,97,19,1492,78,134,82,23,58,14,42,52,3,481,2058,1338,7137,226,321,209,1585,1158,204,14229,516,120,1451,54,82,41,395,468,50,3176,1751,395,409,102,181,123,300,550,43,3863,687,2087,249,663,393,121,125,205,49,4574,834,2236,123,713,346,94,139,143,40,4671,1658,964,339,356,1784,532,317,382,78,6390,548,725,166,1078,436,162,132,290,51,3589,162,247,117,90,129,77,57,104,4,995
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,0,13,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,64,50,0,3,0,9,29,6,155,0,0,4,0,0,0,3,12,0,22,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,12,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,3
SOS59,3,34,3,18,4,0,3,17,0,80,0,18,0,8,3,0,4,3,0,41,7,13,4,15,18,8,8,16,0,94,3,4,6,21,8,3,4,14,0,64,3,5,3,0,3,0,0,3,0,25,3,0,13,10,3,4,5,13,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,11,24,109,37,74,50,25,19,76,13,427,6,20,6,3,0,0,0,6,5,44,0,7,0,0,0,0,0,0,0,14,15,46,137,5,10,10,53,44,11,328,3,3,57,3,0,0,17,27,0,106,0,3,11,4,0,0,7,9,7,45,5,61,4,17,11,0,6,16,3,119,0,32,3,10,3,0,4,3,0,57,21,16,8,17,30,9,15,18,0,150,3,11,6,31,13,3,8,32,0,107,4,10,10,7,4,3,3,12,0,47
SOS60,174,3274,129,720,287,107,12,46,25,4761,259,2210,41,516,223,64,4,14,20,3357,925,1128,89,502,2436,623,28,191,99,6007,476,1641,130,2013,826,261,27,144,75,5593,126,485,57,185,187,120,11,29,14,1201,175,48,532,395,281,194,6,158,24,1807,3,5,0,4,9,4,0,10,0,35,50,101,15,52,80,25,4,9,8,350,42,73,19,119,102,68,5,81,52,553,2473,9921,1262,4721,4767,1595,117,812,338,26012,272,1294,224,159,189,76,22,85,27,2355,224,735,289,71,146,96,40,67,34,1699,668,1149,2601,287,403,265,446,464,85,6360,606,321,1782,92,144,112,142,234,54,3492,236,274,249,88,90,46,45,143,12,1184,275,4499,164,922,317,127,31,72,29,6437,416,3006,76,623,274,87,26,34,27,4568,2149,2306,281,710,3158,980,195,370,167,10316,851,2596,251,2748,1097,353,82,230,132,8334,239,844,188,263,256,181,38,78,14,2104
SOS61,149,2837,134,928,240,113,8,71,18,4503,240,2188,16,688,191,73,7,38,15,3470,687,706,108,452,2481,734,32,256,59,5530,263,933,125,2537,494,223,20,244,57,4904,68,219,56,102,101,82,7,34,5,671,195,67,715,528,263,294,17,231,11,2316,0,3,0,4,3,4,3,6,5,29,27,62,16,37,43,20,8,18,8,227,37,53,47,148,110,116,5,134,71,714,1823,7427,1446,5543,4115,1787,154,1225,278,23794,133,418,150,49,85,21,15,42,11,940,110,288,197,39,82,57,37,76,11,895,852,781,3965,260,360,311,934,849,134,8453,870,197,1883,97,117,136,268,321,57,3944,238,221,326,66,76,82,125,270,26,1435,215,3830,176,1129,277,131,36,100,29,5924,396,2969,53,769,221,98,36,58,28,4627,1477,1419,285,601,2913,1089,264,451,116,8601,418,1362,210,3091,604,287,79,336,69,6463,122,401,128,148,137,129,35,73,10,1177
SOS62,23,379,16,113,34,17,0,16,4,594,35,315,4,82,21,12,0,11,0,484,108,91,20,50,327,102,4,41,7,750,55,117,16,321,90,33,0,47,19,700,16,50,5,17,17,12,3,0,3,133,27,8,108,70,46,32,0,46,0,340,0,0,0,0,0,0,0,0,0,3,14,11,0,7,3,0,0,3,0,38,8,13,11,26,12,21,0,26,11,147,320,1081,224,713,609,256,28,212,51,3488,25,96,24,9,21,3,0,4,0,198,14,29,17,4,9,7,0,10,3,91,152,151,660,38,54,33,203,181,31,1506,160,33,302,12,14,11,42,56,11,644,71,51,80,18,18,9,27,67,7,355,41,493,29,132,40,20,8,21,4,781,59,446,19,89,29,16,0,16,4,681,243,170,48,63,375,138,31,60,12,1144,90,192,29,386,106,38,10,57,27,925,18,78,14,29,28,25,3,10,3,199
SOS63,206,1439,99,456,170,77,6,56,16,2531,194,1076,27,333,127,28,3,39,14,1832,463,342,60,178,1110,304,23,139,31,2645,243,439,88,1012,289,115,10,143,29,2363,65,137,36,50,67,32,4,23,7,422,95,22,325,190,179,112,10,101,13,1054,3,3,0,5,4,4,0,6,4,27,22,40,5,18,23,12,6,7,3,129,62,51,26,97,88,67,10,84,35,528,1639,3874,855,2439,2247,799,103,756,165,12871,185,352,86,40,72,12,5,50,7,820,51,122,60,25,57,12,13,23,5,371,846,461,2455,143,210,135,571,519,86,5432,593,73,970,43,66,38,122,237,34,2179,927,267,289,73,88,74,137,361,28,2251,259,1822,115,538,190,80,23,77,24,3136,273,1407,52,373,141,31,18,65,21,2382,946,634,158,244,1253,399,71,207,50,3971,369,649,122,1211,326,132,34,186,40,3076,105,241,90,84,81,42,7,46,8,701
