SOS_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
SOS37,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,3,0,9,0,0,0,0,3,0,0,0,0,8,0,3,3,0,0,3,0,0,0,11,5,4,3,0,3,0,0,3,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,9,0,7,7,0,6,4,60
SOS39,11,0,16,20,8,25,3,30,0,103,25,25,39,86,22,39,21,207,7,480,67,164,133,137,59,44,70,310,27,1010,37,84,79,34,37,21,64,88,21,470,49,82,69,41,47,28,70,110,17,509,68,71,53,27,51,25,47,75,8,430,15,12,0,3,0,8,19,4,9,76,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,264,446,392,349,226,182,300,825,97,3087
SOS40,324,470,1992,4426,1045,9987,577,5723,321,24876,2198,5919,7772,10182,5190,9640,1962,6801,695,50353,11041,31830,18464,15308,15162,9520,6001,10592,1834,119757,15155,30435,14464,12229,16253,7330,6071,9176,1785,112893,16413,25067,14179,12440,19137,8118,7310,10057,1702,114423,10366,19119,9344,8694,14729,5641,5461,7333,1061,81748,2469,4760,1918,1532,3157,1424,1074,1669,391,18407,326,481,173,95,229,186,63,144,165,1871,42,50,11,19,26,18,12,13,71,261,58326,118145,68309,64919,74931,51853,28543,51514,8022,524576
SOS41,86,87,903,1144,275,2726,203,2042,101,7566,471,1009,2374,1781,849,1858,646,2181,136,11297,2026,4592,4628,2879,2495,2115,1950,3357,348,24396,3252,4996,3853,3112,3274,1989,2099,3083,403,26053,4056,4732,3907,3867,4135,2467,2600,3840,460,30070,3027,4013,2874,2815,3133,1756,2097,3081,354,23138,1007,950,515,470,695,405,514,722,155,5435,217,78,58,29,63,51,47,84,68,700,32,16,7,5,11,6,6,7,30,123,14175,20479,19121,16109,14922,13357,10162,18400,2045,128771
SOS42,22,21,160,192,42,290,18,321,20,1089,81,129,398,257,95,194,92,354,11,1612,416,564,753,474,373,251,290,558,43,3724,623,643,677,460,494,288,372,557,50,4160,860,711,753,636,653,353,571,774,93,5406,806,680,606,509,538,320,492,683,67,4702,293,163,127,86,114,90,132,179,31,1215,76,19,15,5,19,10,14,26,29,202,5,0,3,0,7,3,0,6,10,35,3182,2936,3497,2612,2330,1809,1981,3453,348,22141
SOS43,109,58,553,513,138,922,98,1054,75,3514,353,339,1031,650,322,552,229,1024,57,4552,1762,1336,1544,735,889,523,664,1301,121,8883,3405,2087,1685,1038,1552,676,896,1426,161,12929,4916,2508,2228,1586,2220,1058,1392,2112,242,18276,4678,2425,1687,1200,1697,774,1179,1792,230,15667,2447,608,310,183,439,171,249,476,118,4995,571,53,35,15,41,20,31,76,65,898,95,13,15,7,8,0,8,14,9,164,18338,9423,9099,5934,7297,4688,4748,9277,1082,69883
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
SOS49,0,0,0,0,0,9,7,13,0,23,0,9,5,3,4,3,4,49,3,88,14,35,38,15,17,13,20,82,3,242,13,23,26,6,10,0,17,23,3,125,15,22,24,14,12,12,13,26,0,131,12,16,8,11,11,7,14,23,3,102,4,0,4,0,4,4,5,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,54,103,112,53,57,49,85,212,11,734
SOS50,569,989,5021,7949,2058,17002,1219,8917,631,44345,3738,10463,15452,15377,9383,15324,4179,10451,1296,85651,20171,57400,40028,23119,27289,14732,13519,17742,3402,217399,27018,52673,30719,18062,26141,11116,12449,13989,3272,195435,28139,42727,26319,17606,29430,12064,13626,14078,3111,187098,17143,27989,16222,11896,21267,8656,9918,10686,1778,125554,4076,7169,3363,2313,5099,2549,2227,2846,656,30293,492,725,243,172,431,295,147,382,194,3079,62,65,29,18,39,24,12,36,54,339,101408,200198,137393,96505,121136,81754,57296,79117,14396,889202
SOS51,114,118,1517,1284,454,3458,209,1958,138,9251,520,1109,3529,1720,1330,1692,879,2005,205,12984,2716,5970,8229,3581,3726,2393,3390,4199,559,34771,3976,6244,7170,3928,4224,2254,3880,3752,597,36024,4254,5499,5922,3882,4700,2546,4412,3949,629,35788,3193,3872,3633,2742,3366,1773,3212,2949,421,25165,906,856,620,498,693,413,698,753,158,5600,163,96,52,33,64,42,42,107,51,648,23,14,9,5,9,3,10,13,15,91,15866,23772,30684,17680,18576,14575,16719,19682,2768,160316
