SOS_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SOS10,1295838,1357446,2653284,144203,148697,292903,568713,588546,1157260,12553,12517,25067,19809,20479,40289,4197,4234,8425,5759,5571,11331,1405,1479,2887,1641,1518,3156,5876,6015,11889,85,56,141,620027,640413,1260444,204664,213399,418060,13810,12608,26417,982713,1015121,1997828,160236,158816,319052,2438786,2531373,4970162
SOS11,349033,369235,718263,81683,91307,172985,124745,138320,263060,8081,8926,17011,12056,12864,24919,1589,1680,3270,2185,2337,4522,875,984,1859,1134,1216,2351,3297,3590,6891,38,26,65,154014,169936,323948,12028,13454,25480,4179,4128,8308,251900,278826,530723,59718,59016,118742,660653,707083,1367734
SOS12,41503,41112,82611,5831,6049,11882,12799,13481,26281,598,675,1271,1253,1339,2600,124,123,243,231,223,456,65,77,138,121,131,251,413,418,830,3,5,10,15616,16463,32085,657,790,1449,429,399,830,22539,23704,46250,5889,5776,11665,69928,70596,140522
SOS13,165818,153730,319547,17458,16984,34445,45320,45431,90751,2113,2119,4235,4456,4354,8810,431,422,855,753,681,1426,242,198,440,441,383,828,1953,1973,3920,4,4,13,55712,55564,111279,2412,2776,5190,1179,1090,2270,76765,76410,153176,27868,23728,51596,270453,253871,524323
SOS17,105,139,245,0,0,0,25,45,72,3,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,34,48,80,12,12,18,3,0,3,43,61,104,19,34,51,168,237,401
SOS19,1027,548,1571,204,112,317,2027,1557,3584,158,168,325,297,255,549,47,42,84,81,57,142,28,19,44,16,19,38,47,36,82,0,0,0,2699,2145,4844,723,702,1430,104,66,170,3734,3027,6765,2403,1214,3613,7164,4788,11952
SOS20,1055264,1114056,2169318,95523,99510,195028,20572,21821,42397,462979,479426,942407,16015,17102,33114,6712,6924,13633,8096,8270,16367,3440,3819,7259,1904,1945,3845,3296,3473,6764,75,26,105,523086,542803,1065894,177086,188780,365865,10600,9673,20277,806295,840767,1647066,127644,131530,259171,1989204,2086351,4075557
SOS21,257675,273294,530976,55730,62029,117759,6458,7158,13621,92184,103027,195213,4536,4746,9287,2084,2305,4393,1984,2101,4090,855,999,1856,896,934,1827,442,483,919,6,5,9,109451,121758,231205,9560,10425,19985,2610,2325,4933,177348,196542,373892,39144,41607,80751,474167,511444,985609
SOS22,27911,27731,55637,3711,3926,7636,496,540,1039,8673,8802,17472,430,431,853,187,197,384,171,172,344,77,74,150,87,77,166,43,37,79,0,0,0,10161,10339,20499,441,589,1033,191,178,372,14499,15034,29536,4278,4166,8442,46688,46927,93618
SOS23,129532,120272,249801,12399,12269,24666,2104,2102,4209,32630,33377,66013,1602,1480,3086,656,683,1342,747,720,1465,265,249,510,379,378,757,134,120,256,0,3,3,38521,39113,77636,2079,2228,4313,639,582,1215,53635,54198,107831,20110,15663,35773,203276,190129,393405
SOS27,12,0,7,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,0,13,0,0,0,0,0,0,16,0,13,3,0,3,28,4,29
SOS29,534,315,849,155,88,242,121,100,227,1182,1019,2207,121,122,237,30,29,65,49,49,99,20,21,40,21,18,40,7,12,17,0,0,0,1557,1366,2915,459,487,945,62,48,110,2233,1988,4223,1355,772,2128,4117,3073,7193
SOS30,690310,722872,1413180,79917,85481,165399,39018,41129,80149,17454,18149,35598,416393,443444,859832,5698,5800,11503,6965,7052,14012,3045,3464,6511,4531,4387,8918,3456,3597,7061,59,53,110,496619,527072,1023696,94255,103653,197901,14473,13259,27728,685267,729465,1414729,108812,107514,216324,1484384,1559854,3044234
SOS31,192410,194654,387062,40550,43375,83926,8008,8307,16307,3677,3942,7618,95124,103090,198211,1315,1299,2613,2029,2069,4095,807,889,1698,1537,1527,3062,381,391,766,17,14,23,112889,121513,234405,10073,11524,21599,3294,3253,6549,166799,179672,346473,38445,34856,73304,397660,409184,806843
SOS32,38574,37282,75860,5461,5673,11132,1215,1221,2436,496,504,1003,13380,13866,27244,186,178,361,327,310,630,103,99,202,270,278,548,69,72,143,4,4,6,16046,16537,32575,754,933,1688,581,526,1106,22830,23666,46498,6892,5700,12595,68303,66650,134950
SOS33,125643,114648,240287,12817,12509,25324,3040,2930,5967,1171,1169,2338,40893,40616,81506,440,416,859,830,777,1613,212,215,429,713,674,1387,147,136,287,0,6,6,47451,46939,94386,2560,2942,5503,1234,1038,2273,64059,63429,127491,22984,17615,40599,212690,195688,408373
SOS37,33,49,84,0,0,0,4,0,3,0,0,0,12,12,22,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,31,9,5,14,0,0,0,25,21,45,4,17,24,66,81,150
SOS39,1044,637,1684,262,153,423,425,419,841,254,247,499,1987,1703,3689,85,88,165,146,127,276,57,58,117,42,40,82,24,23,48,0,0,0,3015,2704,5724,628,764,1394,103,52,159,4011,3681,7693,1703,1097,2804,6759,5414,12175
SOS40,303918,319385,623304,24331,26108,50436,4680,4568,9248,4297,4451,8745,3308,3403,6713,120981,129854,250833,1657,1591,3248,477,562,1042,1639,1663,3299,658,620,1279,14,5,28,137717,146717,284437,32969,34864,67835,3234,3019,6249,198247,210705,408954,31951,32471,64426,534127,562567,1096689
SOS41,81317,84167,165483,17582,19626,37212,1132,1185,2319,1490,1529,3020,1285,1307,2594,23860,26442,50296,758,754,1514,202,210,411,644,699,1343,75,92,168,4,5,12,29451,32219,61668,2684,2756,5441,856,748,1606,50575,55351,105923,11482,11085,22567,143373,150603,293976
SOS42,15844,15248,31094,2348,2458,4809,152,142,297,181,183,367,180,180,363,4126,4227,8352,149,147,293,36,38,74,157,175,336,8,10,22,0,0,3,4995,5107,10105,250,293,542,115,104,220,7707,7966,15672,1982,1960,3942,25534,25172,50709
SOS43,47486,42714,90198,4335,3834,8161,403,388,788,555,538,1092,446,365,817,10096,9953,20054,333,307,640,66,67,130,296,297,592,33,26,62,0,0,0,12226,11945,24174,625,677,1307,252,203,456,17437,16657,34095,6443,4700,11140,71362,64073,135430
SOS47,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,3,0,0,0,6,0,3
SOS49,251,122,372,66,31,100,38,28,70,39,38,74,61,68,130,534,373,907,30,26,58,3,11,13,13,16,32,3,3,6,0,0,0,721,568,1288,151,111,263,23,10,30,958,720,1680,480,243,722,1688,1083,2774
SOS50,426457,442394,868845,47556,48998,96555,7468,7270,14743,7005,7005,14008,6786,6678,13466,2609,2511,5123,218559,225977,444536,1143,1186,2331,1607,1528,3138,760,791,1549,122,95,217,246069,253043,499110,76101,79160,155262,5778,5059,10838,375498,386260,761763,62249,58839,121089,864202,887499,1751701
SOS51,75075,74536,149609,21417,22365,43779,1754,1619,3372,1600,1641,3239,2348,2306,4652,859,803,1664,36629,39208,75841,459,469,926,671,631,1304,100,85,180,33,32,56,44449,46787,91238,6977,7627,14596,1182,1178,2356,74017,77948,151968,18594,16406,35001,167686,168892,336575
SOS52,16564,16078,32645,2916,3021,5943,151,163,317,180,175,353,238,232,473,107,93,197,5796,5823,11622,47,52,100,101,119,226,13,15,21,3,3,7,6633,6675,13309,795,937,1731,373,318,691,10724,10954,21673,3527,3149,6677,30812,30186,60998
SOS53,45759,39447,85209,4624,4452,9076,854,361,1215,626,309,935,1456,602,2057,348,159,509,17987,14435,32422,161,87,249,277,219,496,37,20,53,8,3,12,21757,16196,37951,2207,1501,3708,549,404,952,29136,22560,51693,13804,6483,20282,88697,68485,157188
SOS57,143,9,147,4,0,4,5,0,12,0,0,3,13,0,11,4,3,5,99,6,100,3,0,3,0,0,0,0,0,0,0,0,0,129,12,140,56,3,63,0,0,0,187,18,206,73,8,80,408,26,434
SOS59,493,234,725,99,64,166,138,128,265,99,102,201,209,192,399,50,55,102,915,594,1516,25,20,48,31,24,60,10,10,15,3,0,3,1484,1123,2609,309,278,593,45,32,77,1945,1495,3440,1023,611,1631,3452,2339,5795
SOS60,44218,47982,92197,4546,5001,9550,1055,1153,2213,1232,1432,2666,1067,1217,2287,268,280,542,519,549,1069,17647,19255,36896,158,147,309,160,177,342,4,5,9,22106,24217,46325,3283,3579,6871,543,496,1038,30483,33290,63778,5941,5797,11738,80641,87073,167713
SOS61,51356,55057,106416,7134,8160,15292,1124,1181,2309,1192,1252,2441,1422,1611,3032,314,354,669,792,827,1615,17694,20134,37824,143,165,314,75,75,154,6,3,8,22760,25611,48370,1957,1950,3903,510,482,991,32353,36204,68557,6945,7659,14603,90657,98920,189575
SOS62,8790,8651,17448,1355,1433,2788,240,273,508,274,262,537,331,345,681,81,72,153,195,160,358,1883,2047,3927,36,32,66,16,14,27,3,0,3,3051,3202,6252,140,193,331,52,54,113,4599,4875,9477,1247,1271,2518,14641,14803,29440
SOS63,31741,28903,60642,2964,2895,5859,759,753,1512,647,617,1262,946,917,1864,223,216,442,554,597,1148,5926,6121,12044,135,129,265,46,37,87,4,7,10,9246,9391,18632,479,578,1057,188,164,349,12875,13020,25897,3839,3440,7280,48455,45362,93813
SOS67,21,13,37,0,0,0,3,0,3,5,0,4,0,3,4,0,0,0,0,0,3,3,4,7,0,0,0,0,0,0,0,0,0,16,10,24,7,0,7,0,0,0,25,8,29,3,0,5,49,21,68
SOS69,89,45,133,37,17,46,12,18,38,11,12,20,22,23,48,3,5,6,24,14,38,133,134,264,0,0,3,4,0,4,0,0,0,208,210,418,30,27,57,7,3,15,284,258,541,127,74,200,499,376,870
SOS70,19890,18876,38767,1596,1562,3153,2231,1815,4048,1955,1759,3715,3385,2725,6111,1198,1081,2281,1741,1473,3216,250,214,463,10789,10665,21459,278,215,489,13,0,16,21839,19952,41786,5122,5288,10412,648,485,1131,29206,27285,56487,8396,5840,14238,57490,52001,109487
SOS71,10974,11009,21984,1448,1430,2874,476,530,1009,552,588,1139,771,756,1522,453,444,904,254,260,515,65,75,143,2458,2613,5075,51,47,100,0,0,3,5090,5312,10406,1217,1373,2592,275,289,570,8031,8409,16439,2868,2686,5552,21877,22106,43982
SOS72,8222,8534,16750,425,441,861,191,186,377,172,202,375,351,321,672,121,106,228,138,145,277,29,30,64,727,762,1489,13,11,17,0,0,3,1747,1754,3505,182,217,400,189,200,389,2549,2616,5162,1066,933,2002,11832,12084,23909
SOS73,8694,7826,16518,654,597,1256,426,345,769,283,240,517,668,490,1159,204,203,408,334,259,588,21,33,47,2087,1807,3894,29,23,51,0,0,0,4042,3396,7442,264,272,532,135,142,278,5096,4407,9504,3237,2086,5327,17026,14316,31346
SOS77,39,5,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,4,8,0,0,0,4,4,8,14,3,19,61,14,70
SOS79,231,159,395,48,34,79,98,92,188,78,91,176,126,124,242,48,31,82,60,69,135,5,8,16,121,106,223,0,11,13,0,0,0,541,528,1074,71,95,166,9,3,13,666,657,1326,389,307,691,1286,1118,2406
SOS80,88046,93266,181308,4831,4874,9704,13346,14103,27451,3321,3351,6674,3554,3518,7074,1113,1110,2231,1067,1064,2129,383,418,803,622,641,1264,38171,38442,76617,26,32,52,61609,62676,124286,14067,15172,29237,1163,980,2137,81664,83699,165364,11315,11090,22408,181034,188047,369085
SOS82,89,93,180,0,0,0,3,4,8,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,23,28,50,0,0,0,24,35,61,4,3,8,0,0,0,37,41,77,4,6,15,126,135,268
SOS83,192,162,356,8,6,11,21,11,32,3,6,7,6,11,15,0,0,0,0,0,3,0,0,0,0,0,0,95,103,200,3,0,3,134,133,271,6,7,12,0,0,0,149,147,294,36,34,72,375,349,723
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,35,29,64,14,10,25,33,30,64,7,10,18,6,11,22,3,0,4,6,3,4,0,0,0,4,3,6,71,51,125,0,0,0,134,116,243,29,27,61,7,4,8,180,155,336,90,38,130,306,223,528
SOS91,425,352,781,58,66,121,17,11,29,6,7,15,19,7,31,12,8,18,69,53,124,3,3,8,3,0,3,13,14,27,0,0,0,151,102,258,29,38,73,3,7,8,243,214,452,155,102,259,826,673,1497
SOS92,417,455,874,43,40,82,53,33,79,9,3,11,29,14,47,0,3,7,27,24,53,0,0,0,3,0,9,13,11,17,0,0,4,134,93,223,35,35,72,0,3,4,205,179,384,79,68,145,699,699,1397
SOS93,362,382,747,32,47,82,32,34,64,3,5,5,14,17,35,0,4,4,0,8,10,0,0,0,3,3,6,3,0,0,0,0,0,60,64,126,22,26,46,8,10,17,125,148,272,289,61,351,771,595,1368
SOS97,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,4,0,0,0,3,0,6
