SOS_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
SOS41,63,473,498,74,144,343,1594,58,1334,97,151,59,29,1729,797,2412,718,262,412,60,4664,2650,1688,1482,302,512,68,6699,1843,548,1266,94,225,33,4011,4515,355,1571,84,281,48,6856,4338,137,1403,41,155,25,6091,1715,34,415,29,46,16,2249,246,11,67,5,9,0,349,61,10,15,3,8,0,97,22,3,8,0,7,0,42,7,3,3,0,0,0,17,4,4,0,0,3,0,12,18,12,18,5,5,5,60,229,419,239,116,114,77,1185,16566,7440,7798,1161,1978,697,35647
SOS42,7,103,141,25,137,133,552,3,263,34,36,21,8,367,94,148,227,57,94,6,623,241,80,440,40,86,9,894,193,20,309,11,16,8,558,324,8,266,3,17,10,630,209,0,164,6,5,0,383,78,5,34,0,0,3,122,25,4,11,0,0,0,40,4,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,5,16,43,74,15,36,11,197,1191,679,1717,192,429,193,4402
SOS43,5,61,810,62,645,678,2262,8,107,125,50,53,4,334,81,46,667,40,245,7,1092,269,21,628,30,171,13,1126,172,0,397,0,69,3,654,344,3,376,0,62,12,798,388,0,310,0,20,8,721,224,0,152,0,12,0,392,49,0,38,0,4,0,87,21,0,20,0,3,0,46,6,0,8,0,0,0,20,5,0,3,0,0,0,6,3,0,0,0,0,0,4,3,0,8,0,0,0,7,36,31,219,20,198,13,512,1613,263,3753,207,1492,731,8063
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,231,1101,2959,165,225,1607,6284,41,1330,176,198,48,30,1808,295,7798,1330,490,229,96,10230,701,3817,2063,923,344,77,7917,1055,1459,1971,214,203,42,4945,4529,1328,3526,179,789,65,10407,19117,1084,9786,189,1040,139,31354,40464,471,16815,159,1500,215,59613,18829,81,6970,43,513,78,26521,6474,29,2128,17,122,12,8772,2719,21,865,6,42,16,3666,1455,13,438,3,25,6,1948,776,13,195,3,22,5,1004,1300,12,464,4,48,5,1843,1259,1064,1684,241,367,242,4860,99238,19604,51353,2832,5505,2640,181172
SOS51,158,520,560,57,2796,584,4661,28,480,50,96,291,12,951,169,2413,399,178,1184,37,4391,659,1838,648,310,797,48,4300,785,744,840,63,585,25,3042,2202,859,1450,74,698,28,5303,5456,541,2571,76,632,41,9315,6095,191,2105,32,354,44,8825,1776,52,457,7,139,17,2440,609,29,135,0,47,0,821,301,19,70,3,51,3,445,192,10,50,3,21,3,279,82,0,24,0,14,0,123,181,8,62,0,47,3,301,462,527,325,58,640,57,2063,19144,8218,9739,963,8290,906,47262
SOS52,14,586,170,98,709,211,1790,3,272,23,69,90,10,471,44,611,228,119,200,10,1203,130,332,344,54,147,13,1024,122,135,272,11,84,9,632,215,119,304,23,100,11,777,260,87,261,13,55,5,670,194,21,174,0,27,7,425,56,6,44,0,9,0,122,17,4,13,0,0,0,42,10,3,8,0,0,0,19,15,0,10,0,0,0,22,9,0,4,0,0,0,16,5,0,16,0,11,0,29,31,199,59,28,170,11,496,1130,2374,1930,414,1602,284,7730
SOS53,11,347,807,171,929,951,3216,3,95,76,26,64,3,267,46,150,433,53,212,5,894,112,62,461,35,249,10,922,99,20,367,13,83,3,582,142,21,406,13,79,7,673,265,18,427,4,60,4,772,374,10,342,0,43,9,781,183,3,140,0,15,3,345,105,0,69,0,5,0,179,43,0,21,0,0,0,67,21,0,13,0,5,3,39,3,0,18,0,4,0,23,13,0,24,0,6,0,34,41,100,260,17,313,12,736,1440,834,3855,330,2073,1005,9539
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
