SOS_CODE_2016,F_400_499_15_19_yrs,F_400_499_20_24_yrs,F_400_499_25_34_yrs,F_400_499_35_44_yrs,F_400_499_45_54_yrs,F_400_499_55_64_yrs,F_400_499_65_74_yrs,F_400_499_75_84_yrs,F_400_499_85ov,F_400_499_Tot,F_500_649_15_19_yrs,F_500_649_20_24_yrs,F_500_649_25_34_yrs,F_500_649_35_44_yrs,F_500_649_45_54_yrs,F_500_649_55_64_yrs,F_500_649_65_74_yrs,F_500_649_75_84_yrs,F_500_649_85ov,F_500_649_Tot,F_650_799_15_19_yrs,F_650_799_20_24_yrs,F_650_799_25_34_yrs,F_650_799_35_44_yrs,F_650_799_45_54_yrs,F_650_799_55_64_yrs,F_650_799_65_74_yrs,F_650_799_75_84_yrs,F_650_799_85ov,F_650_799_Tot,F_800_999_15_19_yrs,F_800_999_20_24_yrs,F_800_999_25_34_yrs,F_800_999_35_44_yrs,F_800_999_45_54_yrs,F_800_999_55_64_yrs,F_800_999_65_74_yrs,F_800_999_75_84_yrs,F_800_999_85ov,F_800_999_Tot,F_1000_1249_15_19_yrs,F_1000_1249_20_24_yrs,F_1000_1249_25_34_yrs,F_1000_1249_35_44_yrs,F_1000_1249_45_54_yrs,F_1000_1249_55_64_yrs,F_1000_1249_65_74_yrs,F_1000_1249_75_84_yrs,F_1000_1249_85ov,F_1000_1249_Tot,F_1250_1499_15_19_yrs,F_1250_1499_20_24_yrs,F_1250_1499_25_34_yrs,F_1250_1499_35_44_yrs,F_1250_1499_45_54_yrs,F_1250_1499_55_64_yrs,F_1250_1499_65_74_yrs,F_1250_1499_75_84_yrs,F_1250_1499_85ov,F_1250_1499_Tot,F_1500_1749_15_19_yrs,F_1500_1749_20_24_yrs,F_1500_1749_25_34_yrs,F_1500_1749_35_44_yrs,F_1500_1749_45_54_yrs,F_1500_1749_55_64_yrs,F_1500_1749_65_74_yrs,F_1500_1749_75_84_yrs,F_1500_1749_85ov,F_1500_1749_Tot,F_1750_1999_15_19_yrs,F_1750_1999_20_24_yrs,F_1750_1999_25_34_yrs,F_1750_1999_35_44_yrs,F_1750_1999_45_54_yrs,F_1750_1999_55_64_yrs,F_1750_1999_65_74_yrs,F_1750_1999_75_84_yrs,F_1750_1999_85ov,F_1750_1999_Tot,F_2000_2999_15_19_yrs,F_2000_2999_20_24_yrs,F_2000_2999_25_34_yrs,F_2000_2999_35_44_yrs,F_2000_2999_45_54_yrs,F_2000_2999_55_64_yrs,F_2000_2999_65_74_yrs,F_2000_2999_75_84_yrs,F_2000_2999_85ov,F_2000_2999_Tot,F_3000_more_15_19_yrs,F_3000_more_20_24_yrs,F_3000_more_25_34_yrs,F_3000_more_35_44_yrs,F_3000_more_45_54_yrs,F_3000_more_55_64_yrs,F_3000_more_65_74_yrs,F_3000_more_75_84_yrs,F_3000_more_85ov,F_3000_more_Tot,F_PI_NS_15_19_yrs,F_PI_NS_ns_20_24_yrs,F_PI_NS_ns_25_34_yrs,F_PI_NS_ns_35_44_yrs,F_PI_NS_ns_45_54_yrs,F_PI_NS_ns_55_64_yrs,F_PI_NS_ns_65_74_yrs,F_PI_NS_ns_75_84_yrs,F_PI_NS_ns_85_yrs_ovr,F_PI_NS_ns_Tot,F_Tot_15_19_yrs,F_Tot_20_24_yrs,F_Tot_25_34_yrs,F_Tot_35_44_yrs,F_Tot_45_54_yrs,F_Tot_55_64_yrs,F_Tot_65_74_yrs,F_Tot_75_84_yrs,F_Tot_85ov,F_Tot_Tot,P_Neg_Nil_income_15_19_yrs,P_Neg_Nil_income_20_24_yrs,P_Neg_Nil_income_25_34_yrs,P_Neg_Nil_income_35_44_yrs,P_Neg_Nil_income_45_54_yrs,P_Neg_Nil_income_55_64_yrs,P_Neg_Nil_income_65_74_yrs,P_Neg_Nil_income_75_84_yrs,P_Negtve_Nil_incme_85_yrs_ovr,P_Neg_Nil_income_Tot,P_1_149_15_19_yrs,P_1_149_20_24_yrs,P_1_149_25_34_yrs,P_1_149_35_44_yrs,P_1_149_45_54_yrs,P_1_149_55_64_yrs,P_1_149_65_74_yrs,P_1_149_75_84_yrs,P_1_149_85ov,P_1_149_Tot,P_150_299_15_19_yrs,P_150_299_20_24_yrs,P_150_299_25_34_yrs,P_150_299_35_44_yrs,P_150_299_45_54_yrs,P_150_299_55_64_yrs,P_150_299_65_74_yrs,P_150_299_75_84_yrs,P_150_299_85ov,P_150_299_Tot,P_300_399_15_19_yrs,P_300_399_20_24_yrs,P_300_399_25_34_yrs,P_300_399_35_44_yrs,P_300_399_45_54_yrs,P_300_399_55_64_yrs,P_300_399_65_74_yrs,P_300_399_75_84_yrs,P_300_399_85ov,P_300_399_Tot,P_400_499_15_19_yrs,P_400_499_20_24_yrs,P_400_499_25_34_yrs,P_400_499_35_44_yrs,P_400_499_45_54_yrs,P_400_499_55_64_yrs,P_400_499_65_74_yrs,P_400_499_75_84_yrs,P_400_499_85ov,P_400_499_Tot,P_500_649_15_19_yrs,P_500_649_20_24_yrs,P_500_649_25_34_yrs,P_500_649_35_44_yrs,P_500_649_45_54_yrs,P_500_649_55_64_yrs,P_500_649_65_74_yrs,P_500_649_75_84_yrs,P_500_649_85ov,P_500_649_Tot,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot
SOS57,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,0,3,6,3,8,7,0,0,0,26,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,3,3,0,0,0,0,13
SOS59,3,18,32,18,33,32,41,5,0,181,3,27,33,12,15,38,27,0,0,162,3,25,48,8,22,26,8,3,0,142,3,18,42,13,16,23,0,0,0,113,0,12,40,20,9,14,9,0,0,100,0,3,14,3,6,6,0,0,0,42,0,3,15,14,8,9,0,0,0,48,0,4,12,5,4,5,0,0,0,36,0,0,14,12,8,5,0,0,0,43,0,3,3,3,0,5,0,0,0,15,12,50,116,42,62,71,53,7,4,421,65,242,534,305,325,442,254,37,11,2220,54,70,132,76,71,109,26,7,0,545,18,25,36,33,42,48,12,3,0,212,31,75,137,184,187,131,62,6,0,820,8,29,65,80,97,109,145,28,6,554,8,30,64,42,65,68,115,15,3,407,3,45,61,32,35,63,70,3,0,310,3,46,104,28,41,57,25,3,0,302,4,23,95,46,45,51,21,6,0,293
SOS60,228,597,926,842,959,1206,1911,1550,857,9082,140,770,1394,1248,1101,1161,1226,666,432,8126,68,636,1352,1236,1094,1026,728,386,181,6699,32,532,1370,1235,1209,1066,530,214,117,6306,15,349,1410,1213,1454,1111,332,134,79,6099,0,128,973,902,960,681,150,48,29,3871,0,33,630,759,823,567,112,43,16,2985,0,14,309,518,577,378,74,30,19,1912,0,10,209,489,658,391,77,35,25,1892,6,19,54,201,227,151,65,46,23,800,431,389,759,678,705,824,818,681,560,5846,5343,5926,12079,11514,11935,12000,9417,5643,2999,76850,4518,1180,1270,747,743,1216,520,198,60,10452,2733,921,508,418,398,662,442,141,44,6269,1281,1901,1587,1141,1107,1597,1435,751,283,11084,422,1056,1371,1156,1281,1942,3263,2199,717,13408,439,1073,1514,1315,1559,1899,3002,2302,1186,14292,318,1371,2254,1754,1632,1820,2109,1165,618,13044,163,1319,2421,1957,1790,1782,1452,775,336,11986,76,1120,2985,2322,2259,2130,1227,501,225,12839
SOS61,276,680,1094,1153,1360,1625,2761,2227,1237,12421,234,876,1568,1568,1616,1423,1383,745,504,9910,80,881,1506,1424,1648,1140,770,374,177,8007,29,495,1236,1206,1427,1040,431,210,98,6164,7,302,1112,1051,1273,990,258,131,57,5178,8,122,623,625,759,547,123,27,14,2852,0,35,429,464,670,472,63,26,18,2178,0,3,205,323,378,275,50,16,6,1264,0,7,141,229,321,218,47,18,4,987,9,17,50,114,127,114,65,39,21,558,569,442,803,759,887,1070,1224,1048,677,7480,6137,6103,11776,11904,13904,13979,12210,7390,3583,86997,4941,848,862,796,1001,1621,588,188,91,10934,2853,672,526,511,576,798,490,181,47,6664,1534,1855,1903,1707,1861,2658,2219,1033,271,15038,592,1066,1491,1535,1989,3048,5954,3641,1000,20305,574,1181,1605,1671,2133,2613,4511,3363,1704,19357,494,1583,2236,2190,2261,2282,2592,1332,697,15668,221,1813,2688,2338,2659,2147,1577,775,325,14541,81,1237,3012,2490,2883,2390,1027,435,157,13711
SOS62,33,71,122,186,218,304,435,290,125,1789,30,93,200,230,235,247,242,92,30,1404,8,101,191,193,238,192,135,56,9,1131,3,53,135,169,246,182,80,32,12,917,0,36,128,134,176,162,40,15,7,699,0,6,72,90,109,103,30,4,0,413,0,7,46,63,94,69,17,5,4,306,0,0,33,48,61,60,10,6,0,210,0,4,15,43,46,41,17,7,3,170,0,3,8,13,15,13,12,10,3,80,107,61,96,122,164,206,213,160,73,1203,777,642,1466,1793,2179,2612,2156,1032,369,13020,688,68,129,140,185,376,127,31,16,1751,321,76,68,103,97,189,97,19,7,970,137,144,212,232,289,537,482,181,36,2249,66,97,170,238,354,619,1081,553,135,3317,75,111,188,273,350,531,829,493,182,3038,72,154,275,304,340,433,470,192,62,2313,33,199,328,321,399,400,294,129,21,2128,16,144,332,374,466,444,222,56,21,2071
SOS63,92,210,385,499,714,818,926,459,132,4234,86,285,481,733,845,784,576,178,56,4017,37,271,542,643,811,655,363,98,26,3443,10,175,463,574,797,580,201,70,12,2884,5,85,410,503,689,576,156,47,11,2489,3,29,234,349,440,340,84,21,0,1494,0,10,131,275,400,292,55,7,4,1176,0,3,62,136,228,180,21,4,0,636,0,4,52,141,234,160,38,8,0,631,0,9,12,71,108,87,45,3,8,340,344,157,315,444,562,688,569,240,58,3392,2826,1868,4305,5965,8066,8438,5483,1856,456,39262,2410,232,353,481,795,1276,413,107,16,6086,1264,258,224,358,481,712,369,78,13,3752,519,485,667,820,1119,1747,1279,410,81,7122,279,299,523,707,1161,1895,2843,1100,200,9007,250,376,593,753,1204,1521,1929,883,224,7746,225,560,718,1042,1293,1470,1262,419,116,7095,128,609,973,1087,1489,1381,851,279,48,6837,50,500,1101,1221,1722,1439,619,178,38,6860
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,4,3,0,0,18,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3
SOS69,0,0,4,9,7,10,10,0,0,41,3,3,8,5,0,3,3,0,0,29,0,3,3,3,4,3,0,0,0,13,0,0,5,0,3,0,0,0,0,11,0,0,3,4,3,3,0,0,0,14,0,0,3,4,0,3,0,0,0,13,0,0,4,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,6,10,8,15,9,7,0,0,52,33,29,69,54,59,56,38,5,0,350,20,9,12,12,4,12,0,0,0,68,4,3,4,3,4,6,3,0,0,36,23,23,24,23,29,15,9,0,0,156,0,7,13,19,14,18,18,0,0,102,7,8,9,20,20,13,21,4,0,94,3,7,11,14,9,10,6,0,0,52,0,6,15,6,12,3,0,0,0,49,0,3,12,4,9,3,3,0,0,44
SOS70,112,255,461,344,248,284,396,231,77,2407,113,324,707,501,384,333,242,129,42,2780,123,489,903,602,507,349,205,69,16,3255,82,581,1145,780,655,424,197,38,12,3908,36,509,1500,954,825,558,172,41,11,4607,4,230,1250,777,688,434,103,11,3,3509,3,98,987,796,612,385,75,10,0,2962,4,38,530,597,561,331,52,9,0,2132,0,13,535,772,721,446,64,11,3,2576,3,13,117,263,260,190,39,15,0,892,429,526,1459,962,795,690,383,164,72,5490,3058,3926,11727,8939,7340,5533,2864,1098,323,44816,2441,626,1393,969,619,723,369,92,25,7258,1113,207,296,251,163,155,152,50,10,2397,580,420,578,437,390,411,457,195,29,3490,260,386,619,458,410,510,795,405,90,3924,225,440,709,505,403,479,713,382,119,3978,261,577,1061,686,577,535,492,225,67,4478,235,853,1428,916,754,621,416,129,30,5392,206,1195,2155,1457,1186,830,415,92,18,7560
SOS71,45,71,156,156,130,147,124,75,39,949,47,84,246,229,180,139,75,39,10,1049,53,136,295,176,182,146,69,18,4,1075,36,161,398,250,247,168,51,10,0,1321,14,161,446,317,370,253,55,9,6,1625,4,63,350,266,287,183,36,3,0,1184,3,22,276,263,267,160,22,0,0,1011,0,12,128,177,220,175,20,0,0,733,0,5,139,196,214,147,19,3,0,727,3,0,19,57,62,34,12,0,0,189,310,231,717,523,516,376,175,67,37,2942,1493,1609,4479,3568,3412,2518,1004,389,136,18607,1066,198,328,230,194,216,98,33,10,2371,574,284,472,326,263,131,45,20,3,2118,396,638,1122,848,665,410,233,92,18,4416,87,156,360,320,270,264,279,127,30,1896,85,111,261,256,214,235,245,138,60,1606,105,173,389,352,285,224,171,58,16,1766,109,262,493,303,301,250,136,44,8,1903,69,334,699,441,454,322,121,27,3,2467
SOS72,23,67,125,112,110,67,61,23,11,610,11,58,172,121,97,61,31,7,3,553,14,56,119,107,78,40,18,3,0,436,4,38,106,76,81,36,9,3,0,358,6,24,118,73,95,62,10,0,0,379,0,10,81,59,66,53,10,4,0,282,0,6,73,51,52,45,4,0,0,235,0,6,25,30,47,57,7,0,0,170,0,0,34,52,58,56,8,0,0,217,0,3,10,12,23,6,3,0,0,56,315,247,426,349,328,194,85,19,9,1969,977,1147,2351,1824,1709,1146,491,147,40,9815,594,108,125,92,78,97,32,14,0,1151,222,225,393,244,199,113,43,18,8,1463,382,744,1212,834,632,401,202,72,16,4493,48,117,300,234,258,186,164,59,13,1383,40,113,209,185,167,109,120,47,7,1007,24,105,274,226,167,103,49,15,5,974,24,116,222,180,147,93,39,4,0,833,12,79,209,132,157,90,33,4,0,720
SOS73,22,34,102,94,109,100,111,45,6,619,42,64,137,148,125,118,79,27,5,738,36,107,152,145,177,117,57,10,3,799,30,101,188,186,171,126,46,11,0,855,11,86,227,178,247,143,42,3,0,933,0,31,138,161,205,107,22,7,0,673,0,12,100,145,190,90,13,5,0,555,0,8,61,95,118,67,13,0,0,366,0,3,70,159,153,86,14,0,0,496,0,5,15,39,44,25,11,0,0,146,305,246,410,354,374,287,137,34,10,2153,1055,1032,2248,2273,2410,1779,889,242,45,11958,705,113,202,162,185,245,125,25,3,1764,276,112,190,150,128,103,63,18,4,1039,234,321,552,454,413,373,217,78,18,2666,89,95,175,192,200,230,305,102,19,1412,56,70,142,149,172,209,264,86,15,1158,110,138,205,217,212,218,160,56,5,1323,77,211,238,219,286,226,128,29,5,1418,75,238,340,305,315,264,111,21,4,1669
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,3,0,0,0,0,3,0,9,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,5,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
SOS79,0,8,18,25,26,27,17,0,0,120,0,7,12,11,4,16,15,0,0,68,8,10,21,9,9,12,10,0,0,76,0,7,18,8,4,11,3,0,0,45,0,3,8,7,4,4,0,0,0,33,0,0,6,3,3,5,0,0,0,29,0,0,6,6,6,8,0,0,0,25,0,0,3,6,3,0,0,0,0,9,0,0,3,4,0,3,0,0,0,14,0,0,0,0,3,0,0,0,0,9,0,23,72,37,46,38,18,3,0,247,17,85,239,180,203,212,105,10,0,1043,3,18,24,17,31,48,6,0,0,144,0,0,10,13,8,13,5,0,0,56,3,23,35,53,56,48,23,4,0,246,0,10,42,63,62,66,64,11,0,311,0,9,24,42,52,45,51,5,0,230,7,17,19,18,14,24,34,3,0,132,8,28,36,13,19,28,13,0,0,145,0,17,35,14,18,24,11,0,0,130
SOS80,398,1238,1342,1084,964,1255,1999,1413,688,10384,431,1413,2017,1485,1221,1395,1761,884,399,10999,270,1422,2207,1747,1432,1480,1485,678,276,10992,166,1486,2809,2103,1898,1724,1244,484,207,12126,77,1660,4132,2691,2388,2015,1089,367,178,14591,16,814,4839,2911,2472,1815,650,202,92,13819,9,232,3890,3202,2934,1840,512,146,61,12819,3,57,1968,2380,1996,1190,294,81,42,8009,8,40,2304,4387,4238,2116,433,99,52,13678,14,22,298,1169,1446,761,210,109,45,4076,734,1032,2159,1604,1425,1300,1134,944,1010,11345,12080,15502,33573,29342,25880,21502,15462,7902,3836,165069,10164,4308,3727,2458,1767,2310,1195,409,166,26512,5972,1869,1047,925,749,916,874,340,108,12802,2653,3358,2048,1583,1309,1729,2017,1174,321,16183,955,2348,1840,1503,1399,1878,3104,2206,670,15906,831,2416,2305,1743,1569,1893,2997,2040,924,16731,987,2871,3387,2240,1848,2071,2748,1460,592,18199,629,2988,4046,2813,2264,2379,2538,1247,449,19354,394,3213,5794,3806,3277,3163,2570,1161,414,23795
SOS82,3,0,0,0,0,0,0,0,0,10,0,0,3,6,0,3,3,0,0,13,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,3,0,0,0,8,0,0,5,3,3,3,0,0,0,10,0,0,0,0,0,4,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,3,0,0,0,4,0,0,0,7,3,0,0,0,0,12,0,0,0,0,6,0,0,0,0,7,18,5,9,19,26,25,12,6,0,116,3,0,0,0,0,0,3,0,0,12,3,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,4,5,0,19,0,3,0,0,0,0,3,3,0,11,3,3,0,0,0,0,3,6,0,17,0,0,3,6,0,4,11,3,3,22,0,0,0,0,0,5,3,0,0,8,0,0,3,0,7,3,3,0,0,18
SOS83,0,0,3,3,0,3,0,0,0,11,0,0,3,3,0,7,4,0,0,21,0,0,7,6,0,4,5,0,0,19,0,4,0,5,6,0,0,0,0,20,0,0,7,5,7,0,0,0,0,28,0,0,3,7,8,0,0,0,0,23,0,0,8,4,3,3,0,0,0,19,0,0,8,3,9,4,3,0,0,21,0,0,3,12,3,5,0,0,0,21,0,0,0,3,3,0,0,0,0,9,10,3,5,6,8,3,0,4,0,42,31,20,61,65,55,39,21,6,3,295,20,3,7,4,6,8,3,0,0,55,12,3,0,0,0,0,0,0,0,24,4,8,7,0,0,3,3,0,0,21,0,7,4,0,6,3,0,3,0,22,0,0,3,4,0,7,4,4,0,18,7,3,12,3,4,6,3,0,0,35,0,5,3,7,7,4,7,0,0,36,0,12,5,15,7,4,3,0,0,46
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,3,0,3,0,0,0,0,0,19,0,3,4,4,0,0,3,0,0,14,0,7,5,0,0,3,0,0,0,15,0,0,5,4,0,3,0,0,0,11,0,3,0,5,0,3,0,0,0,14,0,0,0,0,0,3,0,0,0,11,0,0,3,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,6,0,0,3,0,6,3,0,0,0,6,0,0,0,0,0,0,0,0,0,3,3,8,6,5,3,6,0,0,0,28,20,42,44,40,26,34,9,4,3,209,15,13,14,6,8,3,4,0,0,57,0,3,3,3,3,0,0,0,0,19,14,5,13,23,9,9,0,0,0,67,0,10,5,8,18,6,3,0,0,42,0,7,11,3,4,3,10,0,0,40,0,4,8,4,0,6,6,0,0,26,3,9,5,3,3,3,0,0,0,28,0,6,9,8,4,3,0,0,0,31
SOS91,0,0,4,5,3,3,5,3,3,19,0,0,3,5,7,8,4,0,0,26,0,4,5,10,10,5,0,0,0,34,0,10,12,5,8,6,0,0,0,39,0,7,6,16,12,13,0,0,0,59,0,0,7,7,4,13,0,0,0,39,0,0,4,8,14,5,3,0,0,30,0,0,7,11,6,4,0,0,0,26,0,3,7,6,6,8,0,0,0,27,0,0,3,4,0,0,0,0,0,3,3,3,25,13,26,18,6,0,0,96,34,36,103,106,126,113,38,9,3,562,35,9,14,14,16,17,12,0,0,115,3,3,4,9,0,5,4,0,0,29,0,0,5,5,7,4,7,11,0,44,0,0,3,0,12,7,9,10,0,35,0,4,7,5,4,6,12,7,4,44,3,0,8,3,11,9,4,3,0,36,7,3,9,13,10,10,0,0,0,49,0,16,19,9,17,15,12,0,0,89
SOS92,4,3,4,7,13,7,10,8,3,62,0,0,15,16,14,15,5,3,0,70,0,8,15,15,15,10,7,0,0,65,0,3,6,15,10,9,8,0,0,46,0,0,6,7,6,7,0,0,0,28,0,0,0,4,8,3,0,0,0,15,0,0,3,5,3,0,0,0,0,15,0,0,0,3,4,3,0,0,0,7,0,0,4,4,4,3,0,0,0,16,0,0,0,0,0,0,0,0,0,4,6,3,6,6,7,11,6,6,0,64,43,26,93,103,110,126,84,40,12,623,24,4,18,4,11,25,18,0,0,102,14,0,7,7,10,8,5,0,0,49,11,4,10,12,16,21,25,11,0,99,3,3,9,10,10,19,39,19,3,111,3,6,8,4,19,14,12,18,6,89,5,8,17,22,26,29,20,6,0,138,0,13,22,27,30,24,13,9,3,143,0,8,13,39,17,18,8,0,0,109
SOS93,3,0,6,5,11,12,15,7,4,70,0,4,8,18,8,9,8,0,3,65,0,0,8,11,13,11,7,3,0,55,0,0,0,15,11,5,4,0,0,40,0,0,0,4,7,4,3,0,0,27,0,0,0,3,0,0,0,3,0,14,0,0,0,0,4,3,0,0,0,12,0,0,0,0,3,4,3,0,0,13,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,0,5,8,14,18,13,5,5,78,28,9,47,80,98,101,88,46,13,519,18,0,0,6,4,12,5,4,0,50,18,0,0,3,3,8,5,0,3,38,8,3,5,6,11,15,10,11,3,64,0,0,5,6,13,16,27,23,3,100,0,0,9,10,20,23,27,16,12,110,0,10,10,26,20,22,17,3,3,110,0,3,18,19,23,19,14,8,0,103,0,0,8,25,21,20,10,0,0,84
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,4,0,5,4,4,6,0,0,30,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
