SOS_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SOS10,329148,647096,293671,246245,359554,226759,139639,190964,47221,2480298
SOS11,60569,100554,89640,74171,70529,60762,43864,71857,9351,581287
SOS12,7107,9781,9755,7253,7208,5356,4956,7379,1097,59891
SOS13,58990,40029,35665,22141,30410,18298,18031,27101,4727,255400
SOS17,3,22,18,16,21,17,10,18,5,130
SOS19,274,649,480,430,261,224,339,582,103,3331
SOS20,269316,522619,253145,210713,282404,200164,111906,164935,35204,2050402
SOS21,48314,77464,69259,55525,54519,46733,30696,54207,7409,444140
SOS22,5174,6098,6917,4803,4414,3563,3185,5471,698,40321
SOS23,46932,29621,29124,18031,21702,14545,13209,22505,3548,199216
SOS27,0,4,7,0,0,0,0,3,0,23
SOS29,178,405,297,277,182,134,200,307,57,2033
SOS30,178281,338183,206483,177623,219985,154833,88667,144232,24644,1532936
SOS31,33621,52316,60235,40791,41923,34425,34648,46513,5437,349905
SOS32,6291,7429,8819,6378,6465,4504,5894,8194,1016,54996
SOS33,40056,25528,29500,16818,22704,13842,18124,25493,3401,195465
SOS37,13,8,9,0,7,7,0,6,4,60
SOS39,264,446,392,349,226,182,300,825,97,3087
SOS40,58326,118145,68309,64919,74931,51853,28543,51514,8022,524576
SOS41,14175,20479,19121,16109,14922,13357,10162,18400,2045,128771
SOS42,3182,2936,3497,2612,2330,1809,1981,3453,348,22141
SOS43,18338,9423,9099,5934,7297,4688,4748,9277,1082,69883
SOS47,0,3,0,0,0,0,0,0,0,3
SOS49,54,103,112,53,57,49,85,212,11,734
SOS50,101408,200198,137393,96505,121136,81754,57296,79117,14396,889202
SOS51,15866,23772,30684,17680,18576,14575,16719,19682,2768,160316
SOS52,3170,3032,4393,2815,2696,1637,3170,3497,552,24959
SOS53,18792,9915,14491,5729,7882,4282,8905,9821,1342,81157
SOS57,11,78,87,3,10,0,35,100,9,334
SOS59,104,235,349,162,114,90,276,386,58,1773
SOS60,8793,18803,9756,10163,11729,7678,3250,7017,1331,78514
SOS61,8070,13235,11749,10587,10056,9109,6163,10476,1367,80808
SOS62,1531,1937,1946,1409,1402,1094,1022,1811,241,12383
SOS63,8058,6737,6743,4563,4983,3505,3347,5814,832,44577
SOS67,3,14,9,9,0,0,3,15,0,47
SOS69,17,49,38,33,27,14,20,54,3,247
SOS70,7519,12530,10275,8042,8922,4605,3443,5337,1275,61953
SOS71,2192,4614,2360,3272,2566,1278,853,1665,583,19395
SOS72,775,1448,823,1356,693,375,433,797,324,7025
SOS73,1996,1952,2615,1426,1880,735,1084,1713,340,13740
SOS77,0,4,8,0,0,0,0,13,0,28
SOS79,41,108,104,84,34,32,63,104,15,574
SOS80,32635,62555,19538,21586,34551,13914,4673,10307,5112,204869
SOS82,25,22,12,15,20,11,6,4,0,130
SOS83,94,86,72,50,62,21,14,23,8,424
SOS87,0,0,0,0,0,0,0,0,0,0
SOS89,21,57,14,34,28,12,8,20,6,202
SOS91,100,85,145,120,103,13,101,132,19,820
SOS92,142,87,113,104,64,58,37,119,16,756
SOS93,92,67,112,76,83,59,25,48,12,573
SOS97,0,3,0,0,0,0,0,4,0,6
SOS99,0,3,0,4,0,0,3,0,0,11
