SOS_CODE_2016,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,0,0,0,10,0,11,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,18,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,3,0,0,3,0,0,0,0,10,0,11,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,8,0,8,121,41,180,16,11,0,27,301,122,447,108,29,0,138,603,306,1052,138,11,0,155,313,344,813,56,17,0,78,312,241,628,13,25,0,38,287,132,460,3,19,0,19,206,53,283,0,0,0,0,56,20,72,0,0,0,0,9,0,9,334,130,3,467,2212,1259,3942,13,9,0,18,120,37,178,32,17,0,47,297,107,453,120,41,4,161,439,189,795,116,18,9,150,184,151,479,32,16,4,51,211,88,347,0,38,0,39,241,76,352,0,27,0,27,143,29,204,0,3,0,3,34,8,49,0,0,0,0,18,13,28,309,163,11,491,1687,705,2883,13,14,0,28,246,86,357,48,30,0,72,599,224,898,229,69,4,298,1046,502,1848,257,37,9,304,500,492,1295,87,33,4,126,522,328,975,10,63,0,74,528,212,816,4,47,0,51,349,88,482,0,3,0,3,92,28,121,0,0,0,0
SOS30,508,4999,64,5572,91896,8362,105828,4554,3928,167,8656,101276,9781,119713,58136,6593,1574,66299,150566,19722,236588,108864,4809,2982,116650,86813,16186,219655,61558,6696,1658,69915,121944,15337,207203,10101,15041,281,25422,132173,12675,170272,1758,16702,118,18575,97908,10836,127322,255,3384,21,3657,50455,7504,61621,60,186,3,241,17259,4132,21640,245788,62338,6868,314994,850309,104535,1269829,1096,8416,122,9637,85638,7522,102797,10186,7478,603,18269,92884,8703,119862,89080,11276,4510,104862,123551,17491,245900,133381,8267,6975,148619,69086,13850,231564,58378,16739,2671,77790,129403,13640,220836,4505,37133,431,42069,129953,12314,184335,1066,27234,176,28474,97771,11539,137788,257,4140,29,4425,59390,10316,74134,90,270,4,370,29884,8552,38799,298040,120958,15523,434521,817562,103935,1356018,1601,13417,192,15213,177536,15883,208634,14746,11403,775,26927,194165,18484,239568,147214,17864,6080,171160,274113,37209,482484,242244,13078,9957,265274,155903,30035,451215,119940,23440,4327,147707,251344,28982,428041,14603,52172,714,67489,262131,24993,354606,2824,43932,297,47055,195679,22373,265108,508,7526,44,8076,109850,17824,135751,151,457,8,613
SOS31,220,1366,16,1600,22469,2923,26987,2053,1062,70,3183,19243,2592,25026,17501,1698,556,19755,27087,5941,52787,24989,1410,817,27216,19123,5438,51776,12803,2222,406,15429,33885,5521,54832,2170,4305,89,6568,40453,5114,52136,383,3274,33,3681,34837,4636,43155,88,662,6,756,18610,3218,22580,23,37,0,59,5544,1381,6985,60227,16040,1990,78252,221257,36770,336271,564,2442,39,3041,19899,2670,25611,4578,1863,242,6678,15766,2166,24610,26516,2594,1607,30714,19958,4485,55156,30625,2102,1807,34531,15144,3923,53602,11981,5639,634,18261,34214,4407,56880,979,9736,108,10827,38418,4401,53652,234,5126,35,5398,34410,4669,44485,82,871,13,965,20400,4025,25389,22,79,0,101,9317,2248,11661,75584,30443,4483,110516,207536,32995,351044,784,3806,53,4644,42361,5595,52606,6627,2928,308,9863,35013,4760,49633,44019,4291,2163,50466,47051,10427,107945,55615,3507,2620,61744,34269,9362,105374,24784,7865,1041,33686,68101,9920,111716,3154,14043,195,17390,78874,9518,105789,618,8401,71,9081,69255,9303,87643,169,1530,19,1718,39010,7249,47969,47,117,0,165
SOS32,38,215,4,254,3324,631,4213,352,136,9,497,2496,459,3458,2345,259,73,2675,3290,853,6826,3739,234,130,4098,3138,937,8177,2194,459,63,2717,6496,1086,10303,419,859,15,1288,8647,1060,11000,98,600,9,708,7758,1179,9644,15,105,0,120,3198,579,3900,3,5,0,3,760,184,956,9195,2870,302,12365,39118,6976,58466,118,327,6,455,2910,556,3922,753,287,40,1082,1966,351,3399,3613,378,220,4209,2415,601,7224,4637,386,264,5289,2509,631,8436,1970,1037,112,3120,6323,836,10279,224,1795,17,2031,7934,884,10853,46,909,7,959,6612,954,8532,16,135,0,150,2770,601,3516,6,8,0,17,925,193,1134,11385,5261,670,17317,34366,5608,57294,154,544,14,706,6239,1192,8132,1103,420,50,1579,4466,816,6856,5962,639,293,6890,5707,1455,14049,8373,620,391,9386,5653,1571,16612,4170,1502,177,5844,12819,1921,20584,637,2657,30,3325,16577,1953,21853,141,1511,14,1662,14374,2134,18174,32,240,0,269,5968,1177,7421,8,14,0,23
SOS33,73,537,7,617,11352,1975,13950,516,374,18,905,8239,1384,10530,6436,539,156,7138,10111,3111,20361,13178,598,338,14110,9183,3276,26572,8795,1237,220,10253,21076,3888,35217,1615,2844,51,4510,27468,3736,35710,295,2202,12,2511,21568,3260,27336,48,396,0,448,8354,1574,10373,16,26,0,41,1729,405,2170,30984,8748,808,40539,119081,22602,182219,151,1012,17,1178,9790,1587,12551,1143,659,52,1854,6410,860,9128,9716,873,517,11112,6679,1763,19550,15963,901,771,17637,6868,2353,26852,7623,3198,355,11174,20270,3026,34470,627,6076,56,6756,22804,2954,32520,144,3258,8,3417,16465,2521,22396,41,440,3,479,6221,1204,7908,21,32,0,54,1663,425,2140,35435,16451,1774,53661,97159,16689,167514,224,1551,21,1797,21142,3557,26495,1661,1029,65,2760,14648,2248,19656,16159,1417,676,18251,16790,4870,39910,29148,1492,1111,31752,16047,5624,53426,16422,4436,575,21432,41341,6912,69689,2249,8921,106,11268,50269,6693,68226,443,5461,21,5923,38030,5778,49736,88,838,9,926,14575,2777,18283,35,59,0,97
SOS37,3,0,0,3,0,0,3,0,0,0,0,3,0,3,0,0,0,0,4,0,4,6,3,0,4,0,0,7,0,0,0,0,7,0,10,0,0,0,0,5,0,7,0,3,0,3,12,0,13,0,0,0,0,4,0,7,0,0,0,0,0,0,0,9,9,0,16,44,11,65,0,0,0,0,4,0,5,3,0,0,3,0,0,4,0,0,0,3,3,0,6,0,0,0,0,3,3,3,3,0,0,0,6,0,7,0,3,0,6,9,4,19,0,0,0,0,13,5,16,0,0,0,0,7,0,7,0,0,0,0,0,3,0,5,4,0,17,50,12,81,0,0,0,0,4,0,11,3,0,0,3,3,3,11,3,0,0,0,5,0,11,3,3,0,9,6,4,14,3,3,0,8,17,0,24,0,5,0,5,22,4,30,0,3,0,3,22,8,33,0,0,0,0,13,0,16,0,0,0,0
SOS39,3,9,0,12,149,47,212,25,19,0,44,400,121,559,128,36,3,165,781,344,1288,166,26,6,200,439,329,964,83,17,0,99,592,279,975,16,53,0,68,817,262,1147,7,43,0,49,876,194,1120,0,6,0,6,178,42,225,0,0,0,0,11,3,19,425,210,12,646,4243,1622,6509,3,8,0,18,148,35,203,28,19,3,43,406,120,576,111,33,0,148,632,221,1005,138,21,6,160,222,134,514,44,24,0,72,474,149,688,8,103,0,117,919,196,1224,0,42,0,47,638,118,798,0,4,0,4,108,40,153,0,0,0,0,11,5,18,335,265,9,604,3561,1014,5179,5,19,0,25,300,83,408,49,36,3,90,808,234,1133,241,73,3,313,1414,565,2293,301,44,7,359,662,457,1485,124,44,0,168,1067,426,1663,24,165,0,186,1737,457,2373,6,84,0,91,1510,313,1916,0,9,0,9,284,81,381,0,0,0,0
SOS40,161,1460,13,1638,31932,2353,35928,1141,1293,60,2497,36854,2373,41723,18752,2315,458,21524,55256,5114,81894,37560,1577,993,40139,30711,4435,75281,21593,2230,525,24348,46832,4507,75689,3727,6251,92,10069,52645,3902,66615,601,8707,39,9345,37452,3533,50334,131,1993,15,2137,22452,2864,27452,34,123,4,157,9715,1516,11384,83699,25952,2204,111858,323842,30600,466302,334,2613,38,2983,29569,2079,34631,2712,2461,136,5315,33127,2093,40535,29930,3985,1374,35290,44061,4430,83779,44499,2611,2309,49417,22882,3536,75838,19897,5787,869,26550,48073,3758,78384,1809,15837,170,17815,51207,3856,72874,467,13705,69,14246,38619,4082,56946,136,2291,14,2446,28354,3930,34727,55,153,5,218,17248,2856,20318,99831,49449,4989,154268,313140,30618,498030,499,4076,48,4620,61500,4432,70554,3854,3756,196,7810,69977,4467,82252,48678,6300,1838,56816,99318,9548,165670,82061,4190,3304,89556,53595,7974,151122,41492,8017,1394,50899,94907,8264,154069,5540,22089,264,27886,103849,7753,139495,1073,22412,110,23588,76070,7614,107279,265,4285,32,4584,50799,6796,62177,84,281,10,376
SOS41,61,424,3,491,7997,922,9410,551,361,21,932,6897,698,8526,5637,569,174,6377,9142,1515,17027,8723,487,337,9546,6313,1407,17270,5072,853,171,6090,12490,1507,20091,820,1990,20,2828,15669,1524,20016,157,2023,12,2191,13960,1571,17721,31,368,0,399,8206,1305,9911,31,25,0,52,2922,629,3606,21073,7099,737,28909,83600,11082,123591,121,867,9,999,7079,823,8897,1208,720,62,1993,5643,532,8171,8253,946,583,9778,6504,1050,17335,10701,781,703,12187,4919,1001,18108,4625,2167,234,7027,12756,1265,21044,365,4519,38,4923,14676,1475,21080,101,3064,9,3172,14514,1754,19438,33,431,4,466,9488,1687,11631,20,37,3,56,4921,1052,6035,25425,13529,1644,40594,80500,10647,131734,182,1290,14,1489,15074,1745,18310,1759,1083,82,2922,12540,1235,16700,13884,1515,754,16151,15646,2566,34361,19429,1270,1038,21737,11233,2412,35374,9691,3015,406,13116,25242,2771,41134,1187,6509,53,7756,30347,3002,41101,254,5084,23,5364,28469,3330,37156,58,800,4,859,17694,2989,21546,49,55,4,105
SOS42,9,82,0,91,1194,192,1476,98,63,10,175,999,82,1251,918,108,24,1044,1389,192,2619,1448,91,74,1609,993,214,2815,841,178,23,1041,2408,293,3739,147,406,0,561,3393,340,4299,24,328,3,362,2985,382,3722,6,49,0,61,1485,235,1781,3,0,0,3,465,108,575,3498,1305,139,4940,15301,2037,22281,25,153,4,178,1083,156,1412,166,100,15,282,767,92,1141,1352,141,95,1592,873,187,2661,1679,143,115,1933,785,193,2917,695,422,43,1161,2315,244,3719,76,814,13,900,2904,300,4108,22,458,4,480,2651,324,3456,4,60,3,70,1463,255,1789,5,3,0,14,759,210,982,4024,2290,304,6613,13602,1966,22179,31,231,4,273,2272,345,2891,268,162,23,451,1768,177,2392,2269,246,120,2638,2263,382,5278,3120,228,194,3544,1778,403,5731,1539,600,63,2197,4720,536,7452,220,1225,14,1466,6295,648,8402,43,782,6,837,5633,704,7180,10,115,3,129,2948,494,3567,12,9,3,19
SOS43,28,226,0,251,3761,598,4608,135,125,7,262,2928,367,3554,2014,198,45,2261,3349,771,6383,4590,202,126,4917,2698,924,8533,3259,477,91,3827,7370,1121,12316,613,1151,24,1795,10086,1117,12995,113,1048,7,1171,7269,922,9364,7,160,0,173,2675,413,3263,15,3,0,25,617,117,754,10779,3596,304,14679,40741,6351,61775,37,378,0,424,3235,495,4147,271,255,7,537,2078,210,2823,2899,288,170,3357,2093,401,5851,5230,301,298,5830,1914,533,8278,2647,1083,133,3862,6794,778,11439,216,2542,23,2779,7856,890,11525,70,1409,5,1486,5427,693,7601,14,145,3,163,2132,354,2649,11,14,0,27,651,117,796,11400,6413,648,18457,32182,4472,55110,65,605,3,674,6993,1087,8754,404,384,18,798,5005,573,6381,4918,479,217,5618,5440,1179,12234,9821,502,422,10748,4611,1457,16817,5900,1561,222,7685,14165,1900,23752,828,3692,51,4569,17938,2011,24519,182,2465,12,2657,12696,1610,16965,23,309,3,329,4807,769,5909,30,15,3,52
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,3,0,3,70,19,95,7,0,0,12,112,34,161,62,15,0,70,204,71,349,53,8,3,64,128,81,280,18,5,0,27,155,103,282,8,10,0,17,165,58,239,0,11,0,11,122,36,168,0,3,0,3,33,3,43,0,0,0,0,10,0,13,151,60,7,210,1004,409,1627,4,9,0,17,50,14,80,20,11,0,30,56,13,99,37,6,0,48,127,36,209,38,15,3,54,49,35,140,16,19,0,30,112,49,192,0,8,0,15,127,25,164,0,14,0,16,68,17,97,0,0,0,0,17,0,21,0,0,0,0,7,0,7,111,83,5,201,615,202,1016,8,8,0,15,119,31,173,24,11,0,43,171,55,266,97,23,0,121,326,111,556,92,20,6,117,185,120,421,33,27,3,57,263,150,474,9,21,0,26,290,87,403,0,26,0,26,191,49,271,0,3,0,3,52,5,59,0,0,0,0
SOS50,263,2677,29,2968,51680,4266,58919,2029,2098,80,4201,56684,5027,65921,33026,3754,674,37450,98251,13150,148852,63950,2421,1443,67813,52870,10108,130795,36395,3468,785,40650,72689,8951,122291,5977,8331,160,14467,76923,7140,98533,980,10228,56,11271,53482,5825,70572,165,2288,13,2470,28893,4360,35729,35,124,3,159,9852,2336,12346,142818,35401,3234,181451,501332,61163,743945,518,4434,49,5008,47589,3847,56441,5015,4087,233,9330,49440,4345,63114,52953,6511,2531,61987,77167,10763,149926,77895,4502,4129,86536,38362,7777,132670,34418,9200,1457,45075,72830,7304,125204,2808,22555,263,25627,73095,6669,105395,677,16957,125,17760,51407,6256,75422,174,2849,15,3041,34564,6110,43707,47,152,7,202,16784,4578,21571,174507,71251,8810,254567,461235,57644,773447,782,7114,78,7975,99272,8108,115359,7042,6180,313,13539,106121,9372,129031,85977,10261,3206,99444,175420,23914,298774,141842,6924,5575,154346,91235,17889,263462,70814,12673,2244,85727,145518,16252,247498,8787,30888,425,40100,150019,13812,203928,1663,27186,176,29023,104889,12080,145991,339,5142,28,5508,63461,10468,79433,79,279,6,361
SOS51,89,594,9,685,9163,1422,11274,699,421,21,1141,7789,1147,10078,7398,718,221,8336,13281,3195,24811,11793,593,378,12761,9067,2930,24761,5953,850,166,6971,14854,2811,24641,918,1599,30,2547,16242,2383,21181,139,1257,9,1402,11758,1756,14920,32,209,0,245,5799,1186,7227,20,17,0,33,1857,494,2384,27045,6259,829,34135,89808,17327,141275,173,1047,14,1236,8040,1273,10550,1619,735,98,2456,6224,967,9641,11643,1179,761,13585,9874,2484,25948,14172,982,924,16077,6784,2143,25005,5220,2260,240,7722,14326,2212,24259,419,3988,42,4444,14742,1990,21179,94,2064,13,2170,11045,1710,14930,41,337,4,379,6488,1512,8381,12,22,0,32,2946,819,3803,33391,12617,2109,48116,80454,15115,143683,257,1644,20,1926,17203,2699,21827,2319,1158,121,3592,14008,2116,19714,19049,1901,982,21930,23155,5678,50764,25968,1570,1305,28843,15847,5075,49760,11170,3109,413,14697,29178,5018,48895,1338,5588,72,6997,30985,4379,42357,236,3321,20,3577,22800,3468,29846,71,547,3,627,12287,2701,15608,33,35,0,73
SOS52,15,124,0,143,1393,348,1880,164,90,12,268,1170,193,1632,1194,162,47,1405,1975,504,3888,1622,137,58,1815,1591,503,3914,943,234,31,1210,2839,562,4612,214,345,0,553,3563,586,4709,27,258,6,287,2864,453,3608,9,43,0,50,1270,298,1612,0,0,0,3,338,101,445,4190,1392,152,5732,17004,3559,26298,55,204,3,264,1150,280,1697,343,179,25,548,910,196,1649,1846,240,174,2259,1399,507,4162,1909,247,141,2302,1166,411,3873,816,541,52,1413,2691,461,4562,84,794,5,879,3129,473,4486,22,362,3,389,2346,404,3135,4,66,0,74,1255,321,1654,0,9,0,10,419,141,561,5082,2635,411,8130,14462,3195,25786,73,326,8,413,2541,629,3579,505,267,34,814,2079,385,3277,3041,401,223,3664,3370,1011,8045,3532,387,196,4118,2758,919,7790,1762,784,84,2621,5528,1025,9179,292,1132,11,1432,6699,1065,9195,50,615,8,669,5216,862,6744,9,100,3,117,2529,627,3265,7,9,0,15
SOS53,22,258,3,282,3902,771,4957,195,168,13,376,3260,1021,4662,2676,340,92,3105,6187,3214,12506,5492,301,178,5975,4561,2796,13329,3627,493,97,4217,9191,2439,15848,601,1013,22,1634,10626,1700,13957,100,752,3,851,7314,1113,9278,11,114,0,125,2624,481,3230,12,9,0,21,527,107,659,12736,3442,408,16582,48196,13650,78428,48,361,6,413,3124,586,4125,321,270,33,628,2134,367,3124,3198,431,239,3867,2881,903,7644,5539,396,345,6269,2458,940,9668,2779,1081,144,4006,7298,1166,12472,218,2299,20,2542,7984,1055,11581,52,1135,7,1191,5177,801,7171,16,137,0,150,1954,359,2457,6,4,0,13,510,106,633,12169,6110,797,19078,33518,6283,58873,66,616,10,691,7021,1362,9078,516,439,40,1004,5396,1393,7782,5878,765,325,6969,9070,4116,20155,11029,693,520,12245,7017,3728,22994,6401,1576,242,8225,16489,3606,28322,824,3314,42,4180,18612,2751,25541,145,1884,11,2037,12494,1915,16447,27,248,0,278,4571,843,5691,18,14,0,31
SOS57,0,0,0,0,0,0,0,0,0,0,0,16,3,17,13,0,0,16,80,26,124,25,0,0,28,77,18,120,9,0,0,9,70,17,94,0,0,0,0,29,5,43,0,0,0,0,4,0,8,0,0,0,0,3,0,3,0,0,0,0,3,0,3,51,3,0,59,277,70,408,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,3,3,6,0,0,0,0,3,0,3,0,0,0,0,3,3,8,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,8,26,0,0,0,0,0,0,0,0,0,0,0,15,3,20,12,0,0,17,87,29,127,25,0,0,28,80,18,127,9,0,0,16,75,15,105,0,0,0,0,37,5,43,0,0,0,0,4,0,8,0,0,0,0,3,0,3,0,0,0,0
SOS59,0,4,0,8,56,26,84,4,10,0,15,183,64,254,67,23,5,96,452,224,773,99,12,8,109,282,211,606,46,3,0,54,339,241,638,8,6,0,17,396,122,540,3,11,0,12,283,82,375,0,0,0,0,44,9,58,0,0,0,0,11,0,12,233,73,10,318,2046,972,3336,4,3,0,3,47,19,65,6,6,0,15,171,62,242,52,15,0,67,315,149,534,60,14,0,67,134,102,305,15,18,0,33,193,101,325,3,36,0,35,319,81,442,0,11,0,10,197,49,254,0,5,0,5,26,14,37,0,0,0,0,6,5,11,142,93,5,241,1398,581,2220,3,3,0,10,97,41,151,14,12,4,29,351,123,503,119,38,7,165,772,373,1306,154,23,7,178,415,313,910,66,24,0,87,528,345,957,13,40,0,52,717,200,977,3,22,0,25,476,133,633,0,5,0,3,70,23,98,0,0,0,0
SOS60,26,252,0,282,4860,396,5540,241,198,10,444,5109,445,6000,2871,371,82,3324,7391,946,11661,5212,244,166,5625,4152,747,10524,3160,369,105,3640,6647,804,11089,612,976,22,1608,8338,803,10747,88,1211,0,1303,6170,701,8176,12,288,0,304,3601,509,4416,6,20,0,24,1408,225,1652,12237,3929,386,16552,47674,5582,69810,75,442,3,519,4424,400,5343,585,390,36,1004,4561,361,5926,4336,641,272,5243,6141,696,12079,6435,473,437,7340,3540,626,11514,3026,933,159,4118,7174,645,11935,252,2536,21,2804,8421,773,12000,61,2014,8,2086,6536,793,9417,20,377,0,404,4492,747,5643,8,23,0,33,2519,449,2999,14791,7828,939,23560,47808,5482,76850,103,697,7,804,9284,793,10883,821,584,46,1456,9668,804,11926,7209,1009,352,8567,13535,1637,23740,11647,716,604,12968,7689,1378,22036,6190,1299,264,7755,13821,1449,23022,861,3504,46,4417,16756,1573,22751,152,3228,10,3386,12707,1497,17594,36,667,0,706,8097,1257,10056,13,40,0,60
SOS61,48,289,5,348,5529,542,6413,461,250,7,719,5147,449,6309,3726,370,141,4242,6063,773,11077,5442,280,164,5877,4082,716,10680,3008,514,71,3592,8053,893,12540,503,1111,19,1633,9968,955,12560,93,946,5,1045,8678,1180,10897,18,194,0,204,4857,795,5865,8,10,0,19,1608,331,1954,13311,3969,408,17683,53981,6629,78296,107,526,8,642,4954,545,6137,939,530,45,1519,4195,385,6103,5536,658,346,6542,4514,729,11776,6722,499,373,7595,3618,688,11904,2757,1357,105,4222,8836,847,13904,204,2706,24,2932,10032,1013,13979,71,1575,8,1655,9244,1310,12210,23,276,0,302,5910,1180,7390,8,23,0,28,2968,587,3583,16378,8143,918,25444,54273,7282,86997,157,815,10,986,10475,1083,12550,1401,776,58,2236,9341,831,12410,9269,1029,488,10778,10583,1500,22857,12166,776,537,13473,7705,1402,22585,5768,1872,178,7816,16891,1737,26447,712,3815,41,4572,19997,1970,26533,165,2525,17,2700,17923,2485,23111,33,469,5,507,10767,1980,13256,21,30,0,48
