SOS_CODE_2016,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
SOS10,666,6211,110,6985,143432,12035,162451,3756,5165,155,9073,167106,14361,190536,79125,8976,1366,89473,291558,34056,415091,179225,6061,3467,188752,159373,26245,374373,105236,7507,2011,114753,199348,22636,336739,20169,22551,510,43229,218928,18729,280884,3670,31827,247,35739,149324,15987,201050,697,8418,59,9171,85196,11433,105800,140,578,12,731,33831,6155,40722,392677,97300,7936,497918,1448098,161635,2107645,1162,10299,136,11595,132074,10586,154257,10014,9952,450,20414,152740,12846,186005,133612,16145,4482,154234,241898,30137,426273,220804,11392,8770,240969,119374,22254,382594,101691,20866,3783,126337,204747,20006,351096,10617,59056,882,70562,211600,18123,300284,2794,51894,399,55085,145052,17123,217264,719,9699,95,10511,103616,15349,129473,189,696,5,893,57641,12265,70794,481601,190005,19001,690599,1368743,158688,2218034,1827,16508,240,18576,275503,22623,316706,13773,15114,602,29491,319839,27206,376543,212739,25123,5848,243708,533462,64197,841359,400026,17452,12240,429723,278749,48499,756967,206923,28370,5798,241096,404101,42641,687831,30783,81612,1394,113795,430528,36849,581173,6460,83725,646,90828,294370,33111,418310,1415,18108,152,19683,188814,26785,235279,329,1277,13,1627
SOS11,297,2054,23,2377,36626,5056,44063,2758,1662,72,4494,31649,4073,40215,26090,2654,780,29526,42156,8099,79780,39512,2005,1291,42815,29442,7327,79588,21606,3792,667,26068,53137,7700,86907,4163,8680,160,13001,71069,8108,92178,708,8100,38,8849,64830,8629,82312,135,1676,14,1824,37269,6863,45959,55,93,0,149,12831,3354,16330,95329,30722,3046,129098,379007,59220,567319,793,3847,54,4694,33375,4400,42465,6271,3170,305,9746,27005,3148,39894,39503,4345,2557,46401,31285,5947,83635,49045,3376,2901,55326,23353,5572,84256,20991,9522,1084,31595,55553,6740,93887,1962,20197,175,22338,70035,7626,99993,545,12938,77,13554,65936,9114,88602,173,2081,10,2265,44587,9518,56366,77,189,3,267,22631,6326,29226,119359,59664,7161,186188,373758,58381,618327,1086,5902,75,7069,70000,9459,86529,9027,4830,377,14235,58651,7221,80110,65595,6996,3337,75932,73442,14040,163411,88559,5388,4199,98139,52795,12901,163839,42600,13315,1751,57665,108683,14440,180793,6127,28876,332,35338,141097,15734,192171,1250,21039,115,22400,130770,17742,170916,305,3757,27,4088,81859,16380,102322,130,286,3,415
SOS12,27,197,0,221,3712,632,4567,221,135,5,360,2730,294,3380,2200,227,64,2492,3251,608,6347,4139,200,141,4484,2805,650,7932,2581,429,72,3091,6337,804,10233,519,1028,25,1566,9215,1029,11809,91,890,11,987,7874,1055,9916,15,153,3,168,3703,710,4576,10,4,0,21,1011,217,1252,9794,3263,323,13382,40636,5997,60015,62,375,8,442,3357,543,4340,520,264,21,812,2083,242,3132,3367,364,208,3936,2313,554,6809,5131,319,302,5750,2276,616,8638,2416,1043,113,3570,6341,792,10703,219,2267,29,2513,8402,956,11875,48,1338,3,1387,7059,948,9401,14,175,0,187,3531,714,4432,8,15,0,24,1384,313,1724,11784,6162,681,18626,36749,5677,61045,87,565,9,659,7068,1178,8907,740,401,28,1165,4809,537,6513,5569,590,270,6432,5568,1160,13157,9277,517,444,10235,5081,1259,16573,4995,1472,189,6660,12675,1599,20935,732,3296,51,4084,17622,1982,23683,136,2226,15,2374,14933,2007,19314,26,328,3,358,7231,1417,9009,20,28,0,44
SOS13,113,724,9,841,15132,2757,18729,544,474,14,1037,10889,1676,13601,7229,690,159,8077,12556,3083,23718,16398,668,449,17514,10109,3467,31084,11740,1515,298,13553,25316,4529,43405,2404,4047,72,6523,35805,4853,47179,384,3672,20,4072,28111,4248,36434,69,626,3,696,11450,2244,14394,29,41,0,68,2712,633,3412,38913,12449,1030,52390,152078,27485,231960,190,1280,16,1484,13102,2433,17018,1258,866,46,2177,8269,1085,11532,10946,1105,556,12609,8403,2130,23136,20089,1066,953,22116,7566,2812,32498,10514,3799,459,14775,24589,3804,43171,926,8834,85,9847,29753,4166,43769,228,5434,20,5679,21561,3508,30752,63,721,0,790,9107,1886,11785,42,66,3,113,3058,790,3961,44267,23182,2144,69594,125409,22621,217622,300,2005,22,2323,28230,5192,35753,1811,1341,69,3219,19154,2761,25135,18170,1802,718,20689,20962,5214,46857,36489,1739,1405,39631,17677,6277,63585,22258,5317,759,28329,49907,8333,86576,3333,12875,160,16372,65556,9026,90948,613,9105,35,9750,49672,7752,67180,135,1348,4,1491,20561,4135,26179,75,98,3,183
SOS17,0,0,0,0,3,0,3,0,0,0,0,4,3,9,3,0,0,3,8,0,11,7,0,0,10,5,3,18,5,0,0,5,12,0,25,3,7,0,8,17,4,22,0,9,0,10,29,9,48,0,0,0,0,12,9,16,0,0,0,0,3,0,3,20,15,0,34,93,32,157,0,0,0,0,6,0,7,0,0,0,0,3,0,4,3,0,0,6,14,5,24,8,0,0,8,3,3,14,5,3,0,4,14,6,31,3,7,0,10,34,6,53,0,11,0,11,35,12,60,0,0,0,0,13,10,24,0,0,0,0,5,0,7,21,19,0,43,128,47,220,0,3,0,3,9,0,12,0,0,0,0,10,3,9,7,0,0,8,21,7,32,16,0,0,14,8,4,34,8,3,0,10,32,5,50,6,7,0,19,46,8,74,0,20,0,22,62,23,108,0,0,0,0,29,17,42,0,0,0,0
SOS19,3,10,0,11,196,76,285,31,19,0,48,533,163,746,147,30,13,190,918,503,1615,194,28,5,233,536,503,1269,79,21,3,110,586,458,1148,25,39,0,65,615,310,986,3,51,0,52,499,175,719,0,0,0,0,110,48,162,0,0,0,0,17,11,32,490,198,23,709,4003,2250,6958,8,15,0,22,163,50,232,29,28,0,59,430,132,615,143,52,9,206,608,277,1091,128,18,7,157,290,185,629,40,39,9,93,381,177,646,7,83,0,88,500,140,732,3,44,0,45,331,94,477,0,3,0,3,76,41,120,0,0,0,0,35,10,48,359,282,21,668,2813,1111,4590,13,18,0,31,356,123,517,63,41,0,106,961,298,1358,289,84,19,395,1526,781,2703,324,48,17,385,825,685,1900,120,65,15,200,968,637,1798,35,118,0,153,1111,451,1722,3,89,0,100,832,271,1196,0,0,0,0,187,94,282,0,0,0,3
SOS20,541,4699,84,5322,116616,9886,131821,2701,4334,126,7159,146709,11755,165623,65473,7773,942,74190,252050,26925,353161,149813,5003,2877,157693,128069,20257,306022,89106,5592,1771,96468,160733,17642,274841,15504,16493,425,32425,172889,14510,219820,2460,25588,190,28238,115310,12718,156263,534,7056,44,7633,68849,9990,86471,141,431,3,576,27743,4947,33259,326276,76970,6459,409698,1188961,128627,1727287,789,7660,94,8545,110400,9126,128075,7058,8286,365,15713,136032,10690,162436,107201,14618,3586,125403,213946,24868,364222,180240,10049,7960,198248,98573,17851,314671,86722,15470,3428,105618,168490,16529,290627,8195,45805,668,54664,168355,14802,237818,2191,43713,324,46221,114986,14434,175652,652,8240,70,8968,85292,13209,107472,198,545,14,748,46490,9348,56588,393246,154380,16509,564133,1142574,130852,1837560,1325,12360,179,13868,227015,19016,259900,9759,12622,488,22871,282743,22440,328057,172674,22386,4534,199593,465994,51798,717381,330052,15049,10838,355939,226641,38107,620699,175828,21060,5199,202084,329220,34172,565475,23697,62292,1098,87085,341244,29308,457642,4647,69301,506,74463,230298,27154,331909,1191,15294,111,16603,154148,23196,193940,335,968,19,1322
SOS21,191,1430,13,1632,27724,3475,32838,1775,1247,66,3091,25570,2574,31234,19276,2019,527,21824,33977,4906,60709,31843,1430,1033,34311,21088,4570,59972,17429,2347,482,20250,38419,5082,63752,2849,6318,95,9265,48887,5370,63525,493,6338,33,6866,41187,5821,53877,119,1253,7,1375,23454,4598,29427,55,80,3,139,8559,2128,10823,74032,22467,2254,98754,268866,38531,406154,427,2595,26,3047,24586,3192,30827,3771,2491,184,6447,21718,2289,30455,28905,3764,1744,34407,26190,4522,65121,38374,2594,2501,43475,17230,4246,64952,16555,6450,832,23838,41161,4757,69755,1555,15479,134,17168,47723,5449,70339,416,10275,64,10751,42293,6447,59492,136,1642,17,1794,28267,6347,36406,78,155,5,238,15383,3947,19567,90226,45438,5504,141167,264555,41187,446912,619,4022,39,4680,52311,6673,63665,5545,3741,249,9535,47291,4863,61683,48183,5785,2273,56237,60171,9428,125830,70224,4022,3539,77780,38320,8814,124918,33988,8795,1309,44092,79580,9831,133503,4401,21797,232,26429,96610,10820,133862,914,16612,95,17618,83473,12270,113365,252,2897,19,3175,51721,10946,65842,133,233,8,372
SOS22,13,132,4,150,2281,396,2826,101,69,3,175,1707,180,2060,1489,139,43,1670,2276,378,4325,2765,135,86,2984,1862,427,5280,1722,268,43,2038,4210,617,6869,327,624,11,959,6346,740,8048,65,610,3,677,5489,837,6999,11,100,0,113,2477,476,3069,11,6,0,15,752,211,972,6512,2085,196,8795,27392,4261,40448,26,186,3,217,2014,321,2552,263,153,16,431,1337,144,1913,2154,264,155,2582,1611,366,4555,3354,251,233,3838,1445,448,5736,1593,640,79,2312,4286,566,7166,144,1482,7,1636,5679,676,7991,37,847,5,890,4809,781,6484,10,126,0,139,2471,559,3165,20,11,0,29,1131,311,1475,7604,3964,506,12070,24785,4188,41044,42,323,5,367,4293,718,5379,367,220,21,606,3046,324,3976,3650,404,200,4253,3891,744,8880,6118,385,324,6827,3308,880,11016,3320,910,123,4351,8493,1189,14036,466,2104,16,2596,12020,1421,16033,110,1455,10,1574,10301,1617,13490,27,224,0,255,4944,1030,6229,27,22,0,44
SOS23,65,525,0,588,11594,2005,14188,312,344,4,666,8650,1056,10371,5351,536,113,5999,9401,2516,17911,12682,472,355,13510,7471,2908,23893,9504,1142,226,10873,19046,3353,33275,1804,3125,61,4991,27327,3387,35706,290,2901,18,3212,21070,3122,27407,47,502,4,554,8262,1596,10409,39,34,0,78,1970,456,2499,30101,9583,788,40467,114790,20394,175653,86,882,7,975,10187,1697,12860,691,670,31,1389,6686,727,8809,7924,934,403,9256,6701,1377,17334,14971,832,827,16631,5685,1781,24097,8440,2801,356,11589,18949,2615,33153,789,7127,62,7978,22614,2789,33382,196,4432,21,4655,15805,2486,22945,30,513,5,549,6583,1339,8465,56,33,11,98,2191,474,2766,33190,18215,1719,53121,95400,15287,163808,155,1404,7,1565,21780,3697,27043,1006,1008,39,2053,15340,1787,19177,13277,1465,515,15258,16101,3890,35251,27653,1307,1177,30147,13159,4693,47992,17939,3941,584,22465,37995,5964,66424,2591,10256,128,12972,49947,6176,69088,485,7336,40,7862,36878,5610,50347,81,1009,10,1099,14842,2933,18869,94,69,11,172
