SOS_CODE_2016,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
SOS57,0,0,0,0,0,0,3,0,0,0,14,17,42,3,0,0,74,124,61,3,4,0,49,120,60,4,8,0,22,94,29,0,6,0,3,43,3,0,3,0,0,8,0,0,0,0,0,3,0,0,0,0,0,3,199,10,29,0,169,408,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,6,0,0,0,0,3,3,0,0,6,0,0,8,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,14,26,0,0,0,0,0,0,3,0,0,0,18,20,41,3,0,0,81,127,62,3,3,0,49,127,62,4,16,0,21,105,34,0,6,0,3,43,3,0,3,0,0,8,0,0,0,0,0,3,0,0,0,0,0,3,206,12,34,0,182,434
SOS59,0,0,0,0,80,84,5,0,0,0,254,254,84,35,17,4,636,773,128,56,61,0,357,606,117,80,152,11,279,638,214,41,164,15,101,540,201,45,94,11,25,375,30,3,9,4,3,58,3,0,0,3,3,12,782,268,499,43,1740,3336,0,0,0,0,65,65,10,0,0,0,235,242,98,15,10,0,419,534,75,25,25,8,174,305,107,30,70,8,112,325,257,29,94,23,37,442,164,4,61,15,3,254,23,0,3,7,0,37,0,0,0,12,0,11,732,109,263,71,1058,2220,0,0,0,0,153,151,10,3,0,0,486,503,180,47,23,4,1052,1306,199,81,85,8,538,910,224,112,220,13,391,957,476,75,255,35,137,977,368,48,161,29,27,633,60,3,12,11,5,98,4,0,0,11,4,23,1514,375,760,112,2794,5559
SOS60,8,3,3,4,5520,5540,169,11,7,3,5814,6000,3337,157,199,11,7954,11661,5495,457,664,29,3886,10524,6131,622,1504,72,2757,11089,6519,521,1813,231,1666,10747,5669,286,1243,391,587,8176,3095,85,403,645,182,4416,902,22,69,608,51,1652,31329,2163,5900,1996,28420,69810,19,3,0,3,5317,5343,285,25,12,6,5602,5926,4225,324,260,29,7234,12079,6027,603,1038,103,3743,11514,6200,783,2333,240,2380,11935,6679,582,2757,684,1299,12000,5159,306,1887,1549,512,9417,2236,73,669,2448,216,5643,459,13,139,2264,125,2999,31279,2721,9107,7320,26425,76850,27,10,3,3,10841,10883,448,39,21,11,11417,11926,7564,483,461,37,15186,23740,11516,1055,1704,125,7627,22036,12332,1403,3840,313,5135,23022,13196,1100,4572,918,2961,22751,10831,594,3132,1938,1104,17594,5333,158,1073,3094,399,10056,1356,36,208,2872,179,4651,62608,4885,15006,9321,54847,146664
SOS61,13,3,3,5,6392,6413,253,18,0,4,6035,6309,3522,230,192,13,7119,11077,5434,525,805,33,3886,10680,6832,770,1841,118,2987,12540,7912,653,2265,256,1472,12560,7653,374,1530,609,731,10897,4048,145,493,924,250,5865,1037,25,93,714,83,1954,36703,2738,7222,2677,28953,78296,18,7,0,9,6104,6137,429,52,10,9,5599,6103,4406,437,313,51,6573,11776,6089,769,1303,110,3633,11904,7325,993,2729,385,2475,13904,8129,720,3073,897,1160,13979,6938,378,2152,2239,504,12210,2955,100,675,3447,206,7390,554,20,153,2737,117,3583,36843,3478,10409,9891,26371,86997,30,12,4,9,12490,12550,684,64,13,16,11638,12410,7931,666,507,65,13695,22857,11524,1293,2109,143,7517,22585,14150,1760,4566,505,5460,26447,16041,1372,5336,1157,2630,26533,14589,753,3683,2848,1232,23111,7002,246,1165,4374,462,13256,1595,44,250,3448,196,5538,73546,6216,17633,12571,55321,165288
SOS62,0,0,0,0,864,868,14,0,0,0,638,652,435,28,14,0,892,1369,825,62,93,6,616,1604,1165,122,300,18,490,2091,1611,129,488,55,328,2610,1555,110,353,143,118,2280,685,30,120,135,55,1021,123,12,14,108,15,276,6423,490,1381,461,4023,12777,6,0,0,0,773,777,38,4,4,0,588,642,569,48,35,4,812,1466,1010,91,136,16,548,1793,1287,141,319,58,382,2179,1623,111,500,176,194,2612,1362,60,310,351,70,2156,468,12,77,454,27,1032,54,0,6,292,18,369,6416,473,1382,1344,3414,13020,6,0,0,3,1641,1651,58,4,0,0,1229,1294,998,71,47,8,1707,2831,1830,150,229,22,1167,3395,2454,258,614,70,871,4268,3241,236,991,228,529,5220,2919,172,667,491,184,4435,1154,42,189,591,80,2055,178,14,24,398,35,642,12831,961,2763,1807,7433,25793
SOS63,5,3,0,0,3094,3108,77,5,0,3,2179,2266,1385,72,83,0,2553,4095,3219,233,320,18,1900,5693,4841,384,1047,53,1764,8089,5958,409,1485,189,1047,9090,4730,283,938,360,364,6675,1630,78,237,306,117,2371,251,8,31,132,44,466,22104,1479,4134,1057,13069,41846,3,0,0,0,2817,2826,142,11,0,4,1718,1868,1946,103,88,9,2152,4305,3726,219,409,51,1561,5965,5375,312,1029,146,1205,8066,5902,273,1223,403,630,8438,3872,126,669,636,174,5483,990,10,152,655,46,1856,113,3,19,294,30,456,22071,1066,3604,2193,10329,39262,5,3,0,0,5913,5929,221,14,3,4,3891,4134,3329,175,172,12,4710,8396,6949,452,727,70,3461,11659,10220,697,2077,197,2971,16160,11862,684,2714,587,1678,17527,8602,412,1608,993,535,12150,2619,88,395,957,170,4225,366,11,50,424,67,926,44173,2545,7740,3247,23396,81103
SOS67,0,0,0,0,0,0,0,0,0,0,4,6,3,0,0,0,11,15,6,0,0,0,0,5,7,0,3,0,0,10,7,0,0,0,0,8,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,27,0,3,0,20,49,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,18,0,0,0,0,0,0,0,0,0,0,8,8,7,0,0,0,14,23,6,0,0,0,0,5,8,0,3,0,0,15,8,0,0,0,0,12,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,34,0,6,0,26,73
SOS69,0,0,0,0,34,34,4,0,0,0,57,56,19,3,3,0,91,120,11,16,7,0,61,93,10,7,27,0,27,77,19,5,12,0,18,52,19,3,16,0,6,48,5,0,0,0,0,8,0,0,0,0,0,0,87,37,62,6,298,481,0,0,0,0,33,33,0,0,0,0,32,29,11,3,0,0,50,69,8,9,6,0,32,54,15,6,18,0,20,59,21,5,18,3,11,56,17,4,11,4,3,38,3,0,3,3,0,5,0,0,0,0,0,0,81,32,60,12,174,350,0,0,0,0,62,62,3,0,0,0,87,90,28,5,3,0,144,183,20,20,15,0,88,147,28,17,46,0,53,135,41,13,30,3,22,113,37,4,23,4,8,84,4,0,3,4,0,12,0,0,0,0,0,3,162,61,124,20,468,835
SOS70,15,4,3,5,3329,3362,285,22,8,3,4364,4680,4384,190,180,10,8098,12865,5872,300,550,23,3256,9999,4762,425,1063,64,2023,8332,3609,313,1089,89,1026,6128,2008,185,587,143,373,3296,649,41,160,139,87,1071,105,9,30,82,20,245,21687,1485,3659,566,22574,49980,21,3,3,4,3031,3058,485,24,7,3,3405,3926,5049,234,269,11,6173,11727,5237,337,661,51,2652,8939,4079,421,1093,212,1532,7340,2987,329,1144,393,686,5533,1415,122,608,537,178,2864,335,23,189,510,33,1098,55,10,38,216,10,323,19669,1494,4011,1948,17696,44816,40,9,9,8,6361,6422,768,44,20,4,7769,8610,9435,421,449,23,14264,24590,11109,636,1211,77,5901,18940,8844,839,2152,274,3560,15672,6596,640,2234,480,1713,11658,3420,310,1198,687,551,6161,988,64,345,653,115,2169,157,16,65,299,28,572,41355,2979,7671,2515,40270,94796
SOS71,55,0,0,0,1677,1735,251,10,6,0,1313,1590,1567,62,55,8,2351,4053,1862,117,152,21,1205,3357,1791,158,319,48,921,3235,1424,132,353,69,474,2455,617,74,192,91,161,1137,160,22,59,57,49,344,32,3,8,20,10,74,7759,586,1147,314,8165,17971,112,0,0,0,1374,1493,355,16,8,9,1220,1609,1828,135,87,29,2400,4479,1863,170,197,58,1281,3568,1743,167,390,181,927,3412,1252,135,457,254,425,2518,394,55,187,240,126,1004,96,9,54,185,47,389,12,0,17,100,14,136,7658,690,1401,1058,7808,18607,166,4,3,3,3053,3230,607,29,12,9,2533,3197,3394,198,149,35,4753,8531,3724,290,350,74,2489,6924,3533,326,709,228,1847,6653,2678,269,811,320,891,4971,1011,131,383,328,290,2139,261,30,110,245,100,731,38,3,20,120,24,209,15412,1274,2545,1373,15970,36577
SOS72,98,3,0,0,981,1083,377,15,6,0,692,1092,1093,57,34,8,1001,2188,969,69,79,12,572,1700,895,90,124,37,428,1578,648,65,118,59,223,1111,255,28,81,54,71,493,59,6,23,32,27,140,17,0,0,4,9,27,4406,326,470,216,4002,9422,163,5,5,0,806,977,476,26,6,0,634,1147,1174,104,50,30,992,2351,994,96,81,54,595,1824,874,113,140,135,452,1709,503,80,133,192,235,1146,175,26,51,167,65,491,24,7,11,83,21,147,6,0,3,23,5,40,4392,455,481,679,3807,9815,256,12,5,5,1788,2063,852,42,17,0,1321,2241,2271,161,82,37,1993,4538,1965,165,160,68,1172,3522,1768,202,264,166,881,3289,1150,142,253,253,456,2251,430,53,133,224,130,980,80,9,33,115,47,289,23,0,3,30,16,69,8804,779,946,899,7803,19234
SOS73,47,7,0,3,1224,1276,209,6,7,3,1156,1392,988,41,33,5,1575,2640,1387,77,134,8,953,2556,1519,153,319,28,800,2826,1168,144,375,51,447,2185,697,91,214,67,145,1215,169,17,46,40,30,306,15,3,0,16,3,45,6203,548,1126,221,6334,14437,92,3,0,0,957,1055,208,9,0,0,809,1032,1013,52,53,3,1120,2248,1375,68,123,31,667,2273,1385,101,283,87,540,2410,1032,85,293,132,238,1779,507,43,135,153,57,889,91,4,21,106,12,242,9,0,0,32,0,45,5717,370,916,554,4401,11958,133,7,3,3,2185,2328,421,19,10,8,1967,2417,1995,90,92,12,2697,4891,2763,149,255,39,1618,4827,2906,257,603,116,1342,5235,2196,234,665,184,682,3962,1203,133,345,219,204,2104,263,22,69,149,38,541,31,5,4,46,8,88,11918,917,2042,780,10744,26395
SOS77,0,0,0,0,0,0,0,0,0,0,4,4,8,0,0,0,18,23,15,0,0,0,0,16,6,0,0,0,0,11,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,24,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,4,0,7,9,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,23,30,16,0,0,0,0,19,6,0,0,0,3,9,0,0,0,0,4,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,36,0,4,0,30,72
SOS79,0,0,0,0,16,16,0,0,0,0,97,98,36,3,5,0,178,219,73,10,15,0,120,215,86,18,26,8,127,257,106,10,53,8,46,229,99,17,39,10,12,174,12,0,7,4,0,20,0,0,0,0,0,0,406,61,143,26,605,1240,0,0,0,0,17,17,3,0,0,0,84,85,43,5,0,0,185,239,64,8,6,3,103,180,75,6,30,7,84,203,147,7,23,13,21,212,66,7,20,8,0,105,5,0,4,0,0,10,0,0,0,0,0,0,402,31,85,28,491,1043,0,0,0,0,32,32,6,0,0,0,178,183,78,12,5,0,370,457,135,15,21,3,218,396,159,23,51,16,211,461,251,15,80,17,74,438,163,26,58,21,18,278,17,0,11,4,0,38,0,0,0,0,0,0,811,88,230,62,1099,2281
SOS80,23,8,7,10,12272,12311,402,25,17,0,15353,15795,11681,410,482,31,19706,32310,18663,842,1476,58,7746,28789,16230,1052,2700,165,4732,24876,13592,777,2710,294,2426,19803,10402,393,1671,581,849,13888,4792,126,547,744,204,6417,1366,26,110,737,80,2319,77144,3654,9723,2626,63356,156508,32,8,6,3,12033,12080,859,49,20,13,14570,15502,15098,661,725,38,17050,33573,18784,1069,2271,159,7061,29342,15846,1212,4128,413,4285,25880,13083,849,4235,1131,2208,21502,9009,453,2904,2302,795,15462,3507,129,960,3051,247,7902,706,12,224,2784,109,3836,76922,4434,15480,9883,58350,165069,53,11,13,14,24300,24393,1260,69,37,14,29917,31297,26775,1067,1203,72,36757,65889,37449,1917,3746,216,14809,58129,32070,2257,6827,581,9013,50749,26669,1629,6945,1426,4632,41302,19408,845,4581,2875,1642,29352,8304,260,1514,3791,452,14316,2075,37,334,3522,183,6151,154066,8095,25200,12508,121704,321581
SOS82,0,0,0,0,5,5,0,0,0,0,10,10,0,0,0,0,5,5,5,3,0,0,3,13,14,0,4,0,0,23,11,0,0,0,0,16,18,0,0,3,0,16,11,0,0,3,0,14,0,0,0,0,0,3,62,4,7,8,26,103,0,0,0,0,18,18,0,0,0,0,5,5,0,0,0,0,4,9,13,0,0,0,3,19,10,3,5,3,3,26,14,0,3,0,3,25,15,0,3,0,0,12,10,0,0,0,0,6,0,0,0,0,0,0,65,3,9,6,31,116,0,0,0,0,18,18,0,0,0,0,12,12,0,0,0,0,11,13,20,6,0,0,11,30,32,3,6,3,3,44,32,0,3,0,3,39,30,0,3,5,0,29,20,0,3,3,0,19,0,0,0,0,0,4,122,6,21,12,61,217
SOS83,0,0,0,0,29,28,0,0,0,0,21,25,21,0,0,0,29,50,53,0,0,0,12,65,44,4,6,0,15,64,33,4,10,0,3,50,13,0,5,0,0,18,5,0,0,0,0,6,0,0,0,0,0,0,168,13,24,3,111,317,0,0,0,0,31,31,3,0,0,0,15,20,39,0,4,0,21,61,50,0,3,0,14,65,35,0,6,0,9,55,25,0,13,0,0,39,9,0,5,3,0,21,3,0,0,3,0,6,0,0,3,0,0,3,167,3,29,7,88,295,0,0,0,0,61,58,4,0,0,0,38,41,57,0,6,0,49,111,100,0,3,0,29,133,78,7,12,0,20,118,61,7,18,0,9,91,26,0,9,8,0,42,8,0,0,3,3,11,0,0,3,0,0,3,336,13,49,9,202,610
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,16,16,0,0,0,0,35,36,4,3,0,0,52,63,10,8,8,0,41,67,6,10,15,0,16,43,6,6,14,0,8,38,6,0,3,0,4,15,0,0,0,3,0,5,0,0,0,0,0,0,35,27,42,3,180,297,0,0,0,0,20,20,0,0,0,0,40,42,0,0,3,0,38,44,4,3,4,0,26,40,4,4,3,0,6,26,4,0,18,3,3,34,0,0,5,0,3,9,0,0,0,0,0,4,0,0,0,3,0,3,27,12,39,10,131,209,0,0,0,0,35,35,3,0,0,0,74,79,4,3,4,0,92,108,17,11,14,0,67,107,12,14,22,0,28,68,12,12,36,3,13,78,8,0,8,0,9,24,3,0,0,5,0,8,0,0,0,3,0,3,61,43,81,10,313,506
SOS91,0,0,0,0,37,37,0,0,0,0,41,41,41,3,0,0,71,114,81,8,3,0,21,112,95,4,13,0,28,145,88,4,29,0,19,147,87,3,4,5,4,106,16,0,0,3,0,24,0,0,0,0,0,0,411,24,51,12,226,724,0,0,0,0,34,34,7,0,0,0,30,36,60,0,0,4,47,103,77,0,6,0,21,106,96,3,6,4,20,126,94,0,6,3,8,113,24,0,0,11,0,38,5,0,0,5,0,9,0,0,0,3,0,3,353,10,25,27,146,562,0,0,0,0,65,65,7,0,0,0,68,76,98,3,0,4,113,221,152,10,16,0,44,218,194,10,19,3,49,272,184,7,33,7,26,261,114,3,4,12,4,139,24,0,0,8,0,30,0,0,0,4,0,3,772,31,78,40,370,1285
SOS92,0,0,0,0,35,35,5,0,0,0,38,45,33,3,3,0,34,77,58,3,5,0,26,98,66,3,18,0,26,116,67,11,13,0,11,104,68,0,8,5,4,88,23,0,11,7,0,34,3,0,0,3,3,10,327,17,58,15,185,599,0,0,0,0,43,43,6,0,0,0,15,26,48,3,0,0,38,93,61,3,6,0,29,103,65,5,12,3,20,110,72,11,24,3,17,126,58,3,10,8,5,84,12,0,3,18,4,40,6,0,0,10,0,12,321,21,62,45,176,623,0,0,0,0,79,79,8,0,0,0,56,64,86,3,3,0,75,169,119,5,12,0,58,200,136,11,27,4,46,219,138,19,40,8,30,223,122,3,23,13,7,169,35,0,15,20,5,71,10,0,0,6,3,22,647,38,116,54,359,1222
SOS93,0,0,0,0,30,30,0,0,0,0,47,54,23,3,7,3,101,132,57,9,13,0,51,131,47,8,18,0,45,115,63,3,24,0,18,112,47,5,8,5,5,64,26,0,3,8,0,37,9,0,0,3,0,14,274,27,60,16,311,693,0,0,0,0,28,28,0,0,0,0,9,9,16,3,0,0,25,47,36,3,3,0,39,80,44,9,18,3,23,98,50,0,19,15,17,101,45,8,17,18,5,88,19,0,8,15,0,46,0,0,0,13,0,13,223,22,60,67,148,519,0,0,0,0,66,66,0,0,0,0,62,60,45,8,4,3,129,185,97,17,13,0,88,213,90,12,29,3,76,215,110,5,39,15,37,214,95,11,23,20,6,150,48,0,10,24,0,82,10,0,6,12,0,29,499,51,123,81,455,1207
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6
SOS99,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,4,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,3,21,0,0,0,0,3,3,0,0,0,0,4,4,0,0,0,0,0,0,3,0,0,0,3,5,0,0,0,0,0,4,6,0,0,0,0,4,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,10,30,0,0,0,0,3,3,0,0,0,0,10,10,0,0,0,0,0,0,6,0,0,0,0,5,0,0,3,0,0,9,3,0,4,0,0,11,9,0,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,13,4,7,0,15,46
