SOS_CODE_2016,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
SOS40,111,10,28,21,35759,35928,1281,77,44,28,40287,41723,28035,1280,1267,72,51235,81894,44391,2854,4455,155,23433,75281,44367,3864,9430,501,17524,75689,42355,2970,10934,1194,9159,66615,35976,1663,7105,2270,3327,50334,20013,565,2341,3493,1028,27452,6372,170,495,3975,378,11384,222900,13451,36099,11715,182130,466302,151,11,19,20,34426,34631,2707,157,59,34,37577,40535,36100,2162,2058,172,43285,83779,45360,3962,6568,522,19423,75838,44897,4636,13500,1633,13717,78384,42349,3281,15626,4188,7426,72874,33120,1620,10463,8947,2788,56946,15032,490,3646,14545,1014,34727,3398,114,1041,15132,634,20318,223115,16438,52990,45192,160295,498030,257,23,51,37,70189,70554,3992,233,104,67,77865,82252,64134,3446,3326,247,94527,165670,89745,6812,11025,681,42854,151122,89262,8498,22930,2134,31243,154069,84702,6248,26568,5382,16584,139495,69099,3287,17569,11217,6109,107279,35050,1059,5989,18032,2047,62177,9768,281,1534,19111,1009,31706,446013,29887,89086,56911,342428,964327
SOS41,12,9,3,3,9392,9410,310,23,10,3,8184,8526,5770,362,242,24,10632,17027,9533,842,1045,49,5803,17270,11486,1099,2591,160,4760,20091,12755,958,3454,435,2419,20016,13082,598,2275,837,931,17721,7177,203,780,1342,409,9911,2018,52,168,1245,120,3606,62137,4144,10556,4107,42647,123591,18,0,11,5,8862,8897,582,63,9,11,7503,8171,7300,612,437,50,8934,17335,10115,1160,1664,142,5017,18108,11905,1447,3632,442,3621,21044,13093,1007,4136,1222,1624,21080,12256,516,2809,3251,613,19438,5397,134,936,4925,240,11631,1052,26,215,4602,140,6035,61714,4971,13854,14646,36555,131734,29,9,14,11,18252,18310,889,90,18,16,15689,16700,13069,977,679,78,19563,34361,19653,2002,2711,196,10824,35374,23391,2539,6219,598,8383,41134,25852,1971,7585,1655,4041,41101,25334,1113,5083,4085,1547,37156,12573,334,1718,6270,651,21546,3068,79,385,5843,257,9636,123853,9110,24414,18746,79203,255330
SOS42,20,0,0,0,1450,1476,65,0,0,0,1185,1251,921,49,32,0,1612,2619,1547,119,152,7,992,2815,2075,218,481,29,931,3739,2644,248,758,86,556,4299,2530,167,601,169,258,3722,1239,58,183,214,87,1781,307,15,19,203,25,575,11349,883,2234,713,7104,22281,28,0,0,0,1389,1412,137,8,0,0,995,1141,1193,69,47,4,1336,2661,1703,177,211,28,797,2917,2261,216,537,107,594,3719,2680,170,720,243,297,4108,2251,101,451,546,115,3456,896,24,98,745,26,1789,170,4,27,760,19,982,11316,761,2100,2431,5571,22179,50,0,0,0,2838,2891,201,8,0,0,2182,2392,2115,117,83,10,2947,5278,3245,300,369,32,1786,5731,4335,435,1021,136,1529,7452,5327,418,1478,326,852,8402,4774,271,1050,716,368,7180,2128,81,285,962,114,3567,479,19,50,968,45,1559,22664,1646,4331,3151,12669,44462
SOS43,14,0,0,4,4592,4608,135,4,4,3,3412,3554,2238,95,87,3,3955,6383,5149,326,473,22,2566,8533,7780,546,1358,73,2561,12316,8772,549,1897,213,1569,12995,6758,354,1303,417,534,9364,2334,91,304,376,152,3263,440,9,41,209,54,754,33619,1975,5469,1314,19398,61775,11,3,0,0,4134,4147,197,11,3,3,2606,2823,2924,142,123,16,2648,5851,5781,276,513,71,1635,8278,8048,419,1271,224,1474,11439,8545,331,1462,470,718,11525,5641,138,725,862,233,7601,1515,34,163,893,50,2649,190,6,26,552,15,796,32867,1348,4289,3092,13511,55110,27,5,0,4,8721,8754,330,14,6,7,6019,6381,5166,232,213,15,6600,12234,10933,604,986,88,4205,16817,15833,966,2627,298,4031,23752,17320,877,3359,681,2284,24519,12398,496,2027,1280,768,16965,3855,120,462,1273,199,5909,636,19,70,763,68,1555,66488,3324,9756,4403,32912,116882
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SOS49,0,0,0,0,95,95,3,0,0,0,161,161,40,15,10,0,282,349,35,38,28,0,180,280,53,33,62,0,136,282,79,32,63,16,49,239,86,11,57,8,13,168,15,3,7,13,3,43,4,0,0,5,3,13,311,141,220,40,920,1627,0,0,0,0,74,80,4,3,0,0,91,99,38,9,4,0,164,209,40,20,16,0,70,140,68,34,44,0,50,192,89,22,34,6,19,164,65,5,11,10,6,97,8,0,0,3,5,21,0,0,0,7,0,7,311,86,110,27,487,1016,0,0,0,0,170,173,4,7,0,0,254,266,70,27,14,3,448,556,70,61,38,0,251,421,117,61,101,0,192,474,172,50,98,16,71,403,148,19,67,15,21,271,21,3,9,19,11,59,4,0,3,11,3,22,621,227,327,69,1410,2648
SOS50,143,18,31,25,58709,58919,2241,113,54,40,63479,65921,52773,2267,2083,124,91605,148852,82829,4632,6919,266,36155,130795,80059,5820,13531,723,22157,122291,67309,4277,14606,1584,10754,98533,51573,2539,9467,2842,4156,70572,26190,813,3222,4101,1400,35729,7191,199,611,3900,444,12346,370303,20668,50526,13600,288848,743945,217,25,20,14,56167,56441,4858,296,112,42,57800,63114,67452,3720,3417,252,75081,149926,85507,6267,10329,798,29766,132670,79313,6860,19587,2238,17213,125204,65758,4686,20940,5844,8164,105395,44772,2407,13683,11485,3070,75422,19272,701,5045,17401,1290,43707,3626,122,1202,15996,629,21571,370774,25072,74335,54072,249185,773447,361,41,47,33,114876,115359,7097,412,169,81,121275,129031,120225,5989,5505,376,166687,298774,168329,10899,17249,1065,65922,263462,159372,12678,33121,2956,39376,247498,133063,8959,35545,7433,18919,203928,96344,4943,23148,14324,7229,145991,45462,1507,8270,21498,2689,79433,10819,320,1816,19895,1072,33920,741073,45742,124865,67675,538034,1517390
SOS51,21,3,3,0,11240,11274,398,24,13,10,9627,10078,8402,493,370,27,15521,24811,14254,1070,1359,56,8016,24761,14365,1392,3091,182,5613,24641,13211,1077,3670,453,2772,21181,10400,618,2246,707,945,14920,5020,170,731,931,377,7227,1364,47,114,779,80,2384,67433,4905,11599,3143,54189,141275,45,8,0,3,10500,10550,750,80,13,14,8788,9641,11048,768,567,66,13494,25948,14511,1402,1852,163,7070,25005,13897,1562,3871,478,4444,24259,12753,1073,4245,1227,1885,21179,8941,551,2425,2447,568,14930,3652,122,772,3618,211,8381,677,24,168,2856,81,3803,66270,5595,13906,10868,47044,143683,66,8,9,3,21735,21827,1145,105,30,16,18420,19714,19453,1266,932,93,29014,50764,28766,2477,3210,223,15087,49760,28260,2960,6963,656,10063,48895,25962,2149,7912,1676,4659,42357,19339,1174,4672,3154,1515,29846,8670,299,1503,4553,587,15608,2036,67,280,3636,165,6189,133701,10506,25508,14009,101237,284961
SOS52,22,0,0,0,1857,1880,117,15,8,0,1497,1632,1256,96,44,6,2481,3888,1940,216,208,8,1552,3914,2361,302,548,38,1366,4612,2653,285,861,104,804,4709,2279,180,636,190,316,3608,1072,48,204,186,107,1612,249,6,32,138,20,445,11944,1146,2541,675,10002,26298,35,3,3,0,1655,1697,187,11,3,3,1449,1649,1597,127,80,16,2340,4162,2012,208,254,51,1350,3873,2401,312,680,116,1052,4562,2571,239,858,320,501,4486,1924,104,429,522,157,3135,756,36,151,674,39,1654,106,4,31,417,6,561,11584,1040,2486,2127,8547,25786,56,3,0,0,3519,3579,302,26,8,5,2941,3277,2857,225,126,22,4814,8045,3950,427,463,53,2895,7790,4760,607,1229,157,2415,9179,5219,517,1720,428,1303,9195,4202,282,1062,717,475,6744,1828,84,349,860,144,3265,352,13,59,556,29,1011,23529,2180,5024,2802,18551,52084
SOS53,30,3,3,3,4917,4957,270,21,8,3,4369,4662,4058,267,163,14,8000,12506,7668,571,772,28,4287,13329,10131,801,1738,104,3073,15848,9473,604,2126,198,1562,13957,6659,395,1300,415,512,9278,2337,93,315,339,152,3230,374,14,26,198,44,659,41001,2771,6451,1293,26910,78428,30,0,0,0,4094,4125,225,13,6,5,2885,3124,3300,205,163,29,3949,7644,6459,322,577,63,2248,9668,8654,512,1446,204,1656,12472,8472,372,1553,476,710,11581,5370,147,774,702,177,7171,1381,35,173,822,52,2457,149,10,30,435,19,633,34038,1612,4717,2721,15784,58873,66,5,3,3,9003,9078,495,30,8,5,7250,7782,7355,477,329,46,11950,20155,14131,890,1343,92,6537,22994,18784,1314,3188,301,4734,28322,17946,980,3683,666,2268,25541,12028,545,2073,1109,689,16447,3717,128,485,1164,203,5691,519,28,54,629,62,1288,75039,4389,11167,4021,42693,137303
