SOS_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SOS30,318131,631543,6006,34573,35383,164458,10442,47972,208851,807205,260682,1054216,16838,70120,31157,104479,60000,189229,107993,363826,368678,1418041,1945,9281,10118,36205,5227,18751,58721,158166,76006,222400,5508,17612,14565,32349,46812,100916,66886,150870,142893,373274,15132,31776,844834,2454635
SOS31,93141,183602,1639,9331,8259,38450,3348,15480,50715,200221,63958,263481,3108,12596,5365,16818,14481,44802,22956,74213,86907,337691,565,2694,2829,10346,1848,7045,18848,53213,24082,73293,1084,3464,2841,6076,11769,25184,15694,34725,39781,108024,3182,6704,223009,636024
SOS32,17341,34146,300,1749,1262,5871,617,2981,7667,30678,9847,41283,459,1833,864,2644,2651,8262,3974,12740,13822,54018,78,358,351,1282,309,1243,2934,8563,3669,11447,119,382,390,839,1808,3935,2323,5159,5990,16604,559,1222,37716,105992
SOS33,52841,104278,1025,5615,5036,23257,1922,8746,24856,99574,32836,137193,2192,8885,3639,11436,10423,32191,16251,52522,49083,189707,169,769,895,3208,483,1755,5104,14285,6647,20023,361,1147,950,2049,4681,9959,5991,13157,12641,33178,1026,2167,115588,329326
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS40,116353,230378,1667,9480,12359,56948,2730,12200,70943,270410,87697,349037,7594,31627,12818,44046,23668,74648,44082,150326,131777,499360,617,2818,3751,13168,1502,5275,19720,51542,25600,72797,2544,8011,6352,14174,19153,40843,28055,63029,53650,135824,5837,12300,307614,877861
SOS41,36980,72854,500,2773,3164,14516,876,3871,17112,66997,21653,88155,1367,5541,2507,8123,5350,16577,9234,30244,30888,118398,193,867,1088,3765,495,1745,6119,16658,7902,23044,511,1568,1408,3065,4218,8861,6137,13497,14037,36537,974,2030,82876,229826
SOS42,7044,13916,68,383,537,2480,155,700,2840,11333,3602,14897,243,971,380,1208,918,2797,1542,4975,5144,19872,15,63,166,605,82,305,839,2239,1100,3210,58,166,177,379,594,1248,830,1790,1929,5004,157,340,14271,39135
SOS43,18206,35828,344,1904,1785,8089,481,2100,8428,34009,11041,46106,919,3758,1514,4919,3445,10695,5884,19375,16923,65479,51,258,246,859,96,358,1285,3479,1681,4952,127,403,368,787,1337,2802,1834,3997,3519,8952,312,660,38965,110921
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,185788,364768,3455,19432,22013,101222,5574,24942,128730,490226,159770,635835,12368,50916,20205,68697,37558,117042,70135,236661,229904,872489,936,4460,5142,18030,2177,7806,27740,74313,36004,104610,3521,11232,8026,18018,24836,52877,36383,82127,72391,186737,9069,19270,497150,1443260
SOS51,36662,71474,689,3752,3557,16263,1393,6305,24262,94172,29901,120492,1266,5064,2283,7091,5623,17158,9166,29311,39070,149799,200,942,1130,4059,664,2525,6891,19211,8889,26738,396,1220,1185,2521,4140,8784,5729,12529,14618,39266,1191,2527,91533,263068
SOS52,6904,13557,117,717,511,2364,302,1498,3657,14580,4590,19156,206,795,296,901,1032,3171,1537,4866,6120,24025,36,178,169,636,188,848,1328,3846,1718,5510,48,149,146,296,814,1804,1010,2254,2731,7763,267,635,16023,45983
SOS53,18488,36212,318,1728,1732,7690,644,2907,8934,35537,11628,47864,828,3285,1223,3820,3357,10225,5413,17327,17041,65190,40,198,226,786,154,580,1462,4044,1882,5603,119,361,294,624,1314,2792,1731,3784,3615,9383,342,755,39485,111546
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS60,18285,36108,254,1415,1747,8035,425,1900,9953,38111,12377,49459,764,3114,1740,5772,2933,9067,5441,17949,17813,67409,101,434,714,2438,264,924,3866,10109,4947,13905,333,1031,1049,2242,2702,5704,4082,8980,9031,22885,774,1613,45900,128011
SOS61,22176,43841,326,1816,1958,9060,588,2647,10502,40838,13377,54358,830,3380,1600,5124,3435,10566,5868,19068,19250,73425,138,607,788,2758,352,1231,4562,12147,5836,16748,335,1017,1005,2160,3109,6520,4452,9699,10287,26444,734,1522,52447,145235
SOS62,4185,8201,42,216,322,1445,109,484,1634,6313,2109,8452,103,422,240,752,534,1638,883,2803,2986,11257,15,68,93,304,39,129,496,1344,646,1840,43,128,110,230,378,785,533,1143,1176,2988,74,157,8421,22605
SOS63,13201,25969,214,1158,1232,5672,346,1566,5665,22442,7460,30842,544,2197,953,3022,2276,7026,3774,12249,11233,43087,18,86,219,769,94,330,1149,3007,1476,4189,89,270,254,556,1105,2308,1449,3129,2927,7317,207,416,27569,76795
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,10522,20677,208,1153,1146,5308,377,1740,8279,31479,10016,39678,445,1791,803,2557,1632,5134,2878,9478,12891,49158,50,226,286,1046,166,618,1821,4936,2323,6828,122,373,359,761,1257,2720,1736,3857,4061,10685,470,1015,27949,81527
SOS71,3320,6632,109,773,421,2119,340,2041,3136,12450,4011,17387,113,506,200,606,543,1807,857,2918,4868,20303,39,220,121,479,202,1092,1024,3052,1397,4847,43,131,129,271,483,1244,652,1640,2048,6484,252,635,10485,34060
SOS72,1562,3314,71,492,168,927,332,2092,1679,7124,2252,10628,20,102,60,205,268,1011,350,1313,2611,11945,29,203,58,270,193,1094,731,2327,1021,3889,14,46,28,66,343,988,385,1104,1403,5000,155,420,5731,20672
SOS73,2732,5443,64,416,257,1220,210,1197,2084,8425,2616,11251,129,546,177,556,522,1676,826,2780,3445,14029,13,67,46,183,105,526,465,1432,631,2215,24,82,60,127,331,793,409,1000,1046,3211,143,361,7365,23053
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS80,38343,75633,543,3056,4411,19956,857,3767,28719,109508,34534,136285,2223,9096,4528,15234,6579,20373,13326,44711,47864,180996,174,800,1012,3461,366,1266,5360,13846,6912,19365,667,2046,1753,3818,4777,10130,7199,15999,14108,35364,1464,3049,101779,295041
SOS82,34,64,0,16,4,26,0,6,17,76,25,118,0,0,3,9,8,22,10,32,40,145,0,0,0,5,0,0,0,0,0,5,0,0,0,0,4,4,0,5,6,13,0,4,75,227
SOS83,62,122,6,19,4,25,3,18,61,249,73,310,4,27,10,40,12,30,27,94,106,402,0,0,0,5,0,0,6,25,12,30,0,0,0,4,3,11,9,19,18,47,0,0,184,572
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,107,204,3,20,13,57,3,19,102,417,125,519,3,18,5,12,26,80,37,116,156,628,0,3,5,11,0,0,7,18,16,33,0,0,9,10,19,29,20,42,35,77,4,13,303,928
SOS92,188,364,0,7,12,54,9,39,101,377,115,469,5,18,11,25,31,92,45,138,163,611,0,0,0,7,0,3,21,63,28,78,4,10,7,14,12,28,24,53,51,127,3,6,398,1108
SOS93,150,298,0,0,14,51,10,36,72,273,92,359,3,11,9,32,10,28,23,65,108,424,0,9,6,13,5,29,25,64,33,106,0,7,3,14,23,59,32,72,65,185,4,10,327,914
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
