SOS_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SOS59,3336,2220,5559,776,364,1143,222,206,431,125,74,195,303,143,444,1428,792,2215,962,882,1845,21.2,18.1,20,42.8,35.7,39.8,33.7,29,31.8,62,54,117,16,32,48,225,302,522,151,155,308,748,217,969,28,37,65,51,63,114,829,317,1147,814,434,1248,1691,1346,3036,493,234,725,1945,1495,3440
SOS60,69810,76850,146664,27514,17209,44729,9778,19751,29533,1781,2470,4254,3221,2361,5583,42305,41791,84100,23367,30687,54056,7.6,5.6,6.6,60.6,54.4,57.3,56,51.3,53.5,3607,3933,7537,1337,2392,3727,9426,12478,21909,4964,6455,11414,14669,7707,22382,744,1276,2022,990,1767,2760,16413,10753,27160,65289,70578,135867,12222,13197,25416,44218,47982,92197,30483,33290,63778
SOS61,78296,86997,165288,29380,15885,45263,9295,21343,30637,2249,2654,4904,4125,3013,7134,45049,42896,87942,28225,38568,66791,9.2,7,8.1,57.5,49.3,53.2,52.3,45.8,48.9,1545,1638,3185,741,1375,2118,5484,9017,14500,4437,6883,11320,20267,10457,30728,999,1995,3001,1159,2261,3419,22429,14719,37142,73998,80349,154345,13184,14526,27714,51356,55057,106416,32353,36204,68557
SOS62,12777,13020,25793,4517,2248,6761,1517,3188,4703,440,486,919,506,376,887,6974,6295,13274,4866,5759,10629,7.3,6,6.7,54.6,48.3,51.5,50.7,45.5,48,304,320,624,122,234,356,892,1403,2294,795,1173,1969,3375,1423,4796,136,256,393,226,379,600,3730,2060,5792,12233,12252,24485,1748,1902,3649,8790,8651,17448,4599,4875,9477
SOS63,41846,39262,81103,16846,8049,24889,5416,11215,16625,1568,1493,3059,1581,1086,2665,25405,21840,47247,13497,14742,28232,6.2,5,5.6,60.7,55.6,58.3,56.9,52.9,55,946,1082,2030,436,874,1318,3072,5081,8146,2842,3885,6722,11518,4713,16231,397,837,1236,661,1176,1829,12574,6728,19301,41712,38838,80548,4679,4801,9477,31741,28903,60642,12875,13020,25897
SOS67,49,18,73,31,4,40,3,0,4,3,0,3,0,0,0,38,15,50,5,6,12,0,0,0,77.6,83.3,68.5,75.5,22.2,64.4,0,0,0,0,0,0,3,4,6,4,3,10,17,3,21,0,0,0,0,0,0,19,3,22,32,16,47,11,7,22,21,13,37,25,8,29
SOS69,481,350,835,86,48,139,50,44,91,12,10,18,57,38,95,204,136,345,158,168,329,27.9,27.9,27.5,42.4,38.9,41.3,30.8,29.1,29.7,12,17,31,3,5,6,36,38,77,18,38,59,91,31,120,10,8,16,7,11,13,103,40,152,112,66,176,279,258,540,89,45,133,284,258,541
SOS70,49980,44816,94796,27144,18105,45251,4629,8152,12784,2026,1900,3917,1621,1417,3038,35417,29571,64984,8341,10698,19032,4.6,4.8,4.7,70.9,66,68.6,67.6,62.8,65.4,2124,2306,4426,727,1478,2209,5854,8232,14080,3785,4209,7997,12096,5087,17185,523,688,1214,708,905,1607,13320,6681,20003,37872,35495,73365,13891,13316,27207,19890,18876,38767,29206,27285,56487
SOS71,17971,18607,36577,7648,6418,14064,1485,2466,3954,613,761,1378,859,660,1521,10607,10303,20916,4890,5834,10723,8.1,6.4,7.3,59,55.4,57.2,54.2,51.8,53,486,719,1201,234,551,778,1440,2437,3881,1101,1308,2413,3366,1600,4959,239,349,584,250,352,598,3854,2299,6147,16821,16781,33601,3605,3905,7510,10974,11009,21984,8031,8409,16439
SOS72,9422,9815,19234,2629,2037,4666,679,1033,1719,333,311,647,956,765,1720,4594,4149,8744,3646,4523,8173,20.8,18.4,19.7,48.8,42.3,45.5,38.6,34.4,36.6,120,157,276,58,119,177,388,663,1054,293,408,703,1292,636,1925,222,265,487,184,187,375,1702,1085,2784,10265,10638,20900,1384,1385,2770,8222,8534,16750,2549,2616,5162
SOS73,14437,11958,26395,5898,3816,9713,1079,1856,2944,615,473,1085,759,573,1331,8344,6724,15066,3703,3460,7164,9.1,8.5,8.8,57.8,56.2,57.1,52.6,51.4,52.1,113,231,345,77,237,314,535,1149,1681,678,935,1615,3831,1355,5187,179,270,447,222,276,495,4236,1896,6135,12470,11109,23574,2194,1941,4133,8694,7826,16518,5096,4407,9504
SOS77,61,9,72,14,3,16,0,0,3,10,0,10,0,0,0,22,7,25,28,0,29,0,0,0,36.1,77.8,34.7,39.3,33.3,40.3,0,0,3,0,0,0,19,3,17,8,0,8,19,0,17,0,0,0,4,0,4,19,0,17,45,10,52,3,0,7,39,5,42,4,4,8
SOS79,1240,1043,2281,254,149,399,36,66,103,34,41,70,48,33,76,369,280,647,465,427,889,13,11.8,11.7,29.8,26.8,28.4,26.1,24.5,25.1,19,32,52,9,21,34,65,122,184,51,68,121,251,67,322,14,11,29,19,32,45,279,112,392,370,269,639,588,591,1185,231,159,395,666,657,1326
SOS80,156508,165069,321581,79333,57251,136589,20358,36485,56839,4622,6822,11443,5365,4785,10151,109684,105339,215016,37747,50490,88246,4.9,4.5,4.7,70.1,63.8,66.9,66.7,60.9,63.7,18727,15993,34722,5270,8107,13378,32254,39237,71496,13234,16398,29628,22541,12468,35006,1183,1803,2984,1751,3636,5391,25472,17903,43377,143993,149617,293609,32874,33907,66781,88046,93266,181308,81664,83699,165364
SOS82,103,116,217,40,26,67,15,35,47,4,3,12,0,0,3,64,65,133,35,49,81,0,0,2.3,62.1,56,61.3,57.3,55.2,58.1,10,5,15,3,10,11,16,19,31,10,16,23,34,10,40,0,0,0,0,0,3,35,11,43,114,124,241,6,9,17,89,93,180,37,41,77
SOS83,317,295,610,183,97,281,34,77,112,16,12,28,3,8,9,238,198,438,39,61,109,1.3,4,2.1,75.1,67.1,71.8,73.5,63.1,69,27,19,46,7,7,11,36,49,81,26,48,76,96,34,127,0,0,0,0,3,6,94,39,138,347,290,638,19,33,59,192,162,356,149,147,294
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,297,209,506,63,56,126,24,37,62,15,10,20,29,14,44,133,115,248,89,66,153,21.8,12.2,17.7,44.8,55,49,34.3,49.3,41.1,14,20,40,4,9,10,29,55,81,15,18,30,36,17,50,3,3,10,7,0,5,41,22,62,60,41,98,165,153,319,35,29,64,180,155,336
SOS91,724,562,1285,397,186,587,68,97,161,38,30,73,13,12,16,513,326,840,86,137,224,2.5,3.7,1.9,70.9,58,65.4,69.5,55.7,63.9,13,15,30,13,14,27,41,53,96,43,44,89,168,51,222,17,14,27,9,10,22,194,76,269,612,498,1112,109,85,193,425,352,781,243,214,452
SOS92,599,623,1222,294,175,463,75,137,212,31,44,75,12,17,24,413,367,781,130,203,332,2.9,4.6,3.1,68.9,58.9,63.9,66.8,57.1,61.4,14,11,19,10,11,17,50,71,126,26,64,89,151,53,201,6,11,20,15,29,46,174,88,264,542,587,1130,126,89,219,417,455,874,205,179,384
SOS93,693,519,1207,186,155,348,67,121,189,23,20,38,3,3,12,278,305,581,365,157,525,1.1,1,2.1,40.1,58.8,48.1,39.8,57,47.6,10,10,26,0,7,13,41,60,100,34,59,88,132,42,177,4,4,6,10,21,32,146,73,223,452,484,931,61,77,142,362,382,747,125,148,272
SOS97,3,0,6,3,0,4,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,100,0,100,100,0,66.7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5,4,0,4,0,0,3,4,0,4,3,0,4
SOS99,21,30,46,3,4,11,0,0,3,0,4,3,4,3,3,7,11,18,11,14,22,57.1,27.3,16.7,33.3,36.7,39.1,14.3,26.7,37,0,0,0,0,0,0,4,6,10,0,6,9,3,3,4,0,0,0,0,0,0,3,3,4,13,8,21,5,22,28,6,4,14,8,21,29
