SOS_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
SOS10,75,747,148756,149587,4257,11323,152921,168494,128371,59723,181561,369652,216912,39230,83766,339906,199672,29743,77402,306818,172188,18677,64551,255418,128742,8888,42565,180195,65792,2673,23728,92195,17528,470,12593,30595,933547,171476,787838,1892860,360,1400,140309,142072,11630,16981,136453,165070,172653,62580,150853,386090,227357,36654,91688,355697,201423,27514,98438,327371,164738,16010,95561,276313,110577,6285,78928,195784,46208,1498,63794,111502,7796,271,38459,46523,942739,169190,894488,2006419,436,2154,289068,291656,15882,28305,289373,333561,301026,122301,332411,755741,444270,75877,175454,695608,401094,57261,175836,634187,336928,34691,160116,531737,239319,15176,121489,375981,111998,4169,87523,203697,25324,741,51051,77119,1876285,340675,1682325,3899281
SOS11,31,527,38263,38822,1096,5887,25924,32898,23537,15900,27978,67414,37983,10905,20071,68963,41692,9681,24687,76063,48160,7250,24817,80228,47426,4087,18766,70276,26637,1200,10866,38700,6583,218,4861,11656,233144,55650,196224,485019,58,1245,35543,36852,2293,8449,22667,33406,30798,16451,27340,74586,41734,11106,24168,77002,45257,9824,29877,84961,49955,6728,31321,88005,43516,3142,29715,76379,19964,781,26098,46847,3125,130,14946,18202,236703,57864,241674,536243,93,1772,73808,75673,3385,14330,48590,66304,54339,32351,55313,142003,79718,22011,44237,145965,86950,19511,54559,161020,98113,13980,56138,168230,90947,7233,48474,146651,46600,1982,36961,85549,9707,345,19808,29863,469850,113511,437895,1021264
SOS12,3,40,4017,4063,71,418,2355,2846,1802,1266,2281,5347,3936,1199,1803,6934,5160,1291,2616,9066,6174,1033,3093,10295,5616,561,2258,8431,2563,165,1248,3972,531,18,439,987,25845,5993,20099,51939,3,79,3790,3874,163,609,1868,2643,2498,1414,2092,6002,4550,1256,2018,7819,5616,1353,2679,9644,6398,990,2965,10348,4971,456,2682,8108,1728,89,1976,3796,247,15,946,1206,26170,6253,21025,53445,10,122,7807,7936,239,1028,4221,5485,4293,2680,4376,11346,8480,2453,3818,14757,10775,2640,5294,18714,12565,2027,6052,20645,10590,1012,4937,16542,4288,254,3223,7766,775,33,1384,2199,52015,12243,41125,105383
SOS13,7,91,15770,15867,305,1074,9145,10519,6794,3785,8418,18996,16896,3775,5840,26511,24144,4541,8642,37332,26609,3935,9920,40465,21941,1956,7159,31057,8490,463,3353,12308,1511,78,1198,2789,106690,19708,69439,195835,11,212,14244,14466,636,1590,7104,9324,9378,4246,6307,19933,19973,4015,5043,29035,26537,4783,6868,38191,26743,3490,7516,37756,18318,1396,6458,26172,5550,233,4274,10057,634,35,2286,2955,107781,19998,60103,187887,19,299,30012,30333,935,2664,16243,19846,16170,8036,14724,38932,36872,7793,10883,55540,50679,9327,15515,75524,53354,7433,17442,78219,40262,3349,13616,57227,14044,692,7627,22368,2141,114,3480,5739,214474,39707,129542,383721
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,81,585,121107,121773,2943,9908,135264,148117,107313,57128,153115,317559,177313,34498,67609,279413,163554,25265,62944,251762,135595,15026,49331,199955,100950,6417,30921,138291,54139,1782,17979,73898,14288,367,9950,24610,756179,150975,648226,1555375,248,1013,115850,117114,8453,14754,121570,144774,142186,59335,129557,331081,183029,33314,76143,292485,164515,23739,82747,271006,129612,12626,75282,217520,89855,4672,61311,155847,38549,1052,51238,90836,6458,191,29641,36292,762917,150697,743335,1656951,332,1593,236966,238887,11391,24658,256838,292889,249504,116466,282670,648641,360342,67809,143751,571897,328077,49004,145688,522769,265212,27656,124613,417475,190811,11089,92236,294133,92683,2835,69216,164736,20748,556,39593,60896,1519098,301669,1391559,3212325
SOS21,15,276,29366,29660,706,4186,21848,26736,18635,13077,21480,53192,30944,8299,14316,53562,33153,6655,16909,56713,35190,4433,15763,55390,30895,2175,11454,44523,16786,665,6429,23879,4313,116,3095,7529,170632,39892,140665,351185,40,684,26657,27380,1438,5982,18768,26185,24230,13383,20979,58594,33379,8341,17932,59652,35037,6663,21854,63554,35698,4002,21887,61590,28571,1694,19586,49849,12382,418,16772,29573,2112,72,9542,11731,172885,41241,173986,388112,58,964,56027,57042,2136,10173,40617,52923,42868,26462,42457,111786,64318,16646,32248,113211,68190,13320,38769,120275,70885,8436,37656,116981,59459,3861,31043,94369,29166,1085,23207,53456,6427,188,12637,19260,343513,81133,314643,739292
SOS22,0,12,2518,2527,32,252,1421,1703,1251,922,1485,3657,2613,839,1188,4644,3370,858,1788,6013,3991,678,2206,6876,3735,354,1695,5789,1665,69,812,2548,348,11,336,701,17017,3990,13444,34459,3,18,2253,2277,72,403,1110,1582,1706,962,1336,4009,2972,898,1268,5142,3682,884,1822,6389,4143,622,2039,6806,3278,247,1840,5372,1160,48,1392,2602,159,11,705,881,17182,4104,13762,35049,3,29,4768,4802,105,648,2524,3286,2961,1886,2816,7664,5590,1740,2453,9780,7047,1741,3608,12399,8142,1298,4244,13681,7019,605,3538,11159,2832,119,2200,5148,513,28,1046,1585,34203,8097,27201,69503
SOS23,8,60,12462,12532,150,798,7391,8333,5170,3148,6023,14340,12658,3211,4298,20174,18856,3765,6284,28907,20979,2893,6949,30818,16378,1328,5272,22974,6163,290,2389,8842,1164,35,872,2070,81527,15530,51938,148993,16,143,11146,11295,342,1201,5741,7290,7236,3439,4573,15245,14801,3496,3518,21809,20839,3927,5050,29810,20864,2546,5570,28976,13826,925,4570,19325,4004,141,3055,7198,499,22,1651,2172,82419,15832,44875,143133,19,200,23610,23828,489,1997,13131,15624,12403,6588,10597,29586,27462,6707,7813,41986,39695,7684,11336,58722,41843,5435,12519,59797,30197,2258,9843,42294,10166,431,5440,16045,1666,63,2520,4245,163945,31362,96816,292125
