SOS_CODE_2016,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
SOS72,53,229,631,601,588,417,94,4,0,2629,52,71,164,146,117,96,39,5,0,679,3,10,36,30,37,35,3,0,0,152,12,23,55,31,37,25,6,0,0,177,115,331,881,809,770,572,143,8,3,3638,92,148,232,144,96,31,0,0,0,751,19,36,63,39,26,21,4,0,0,209,109,185,293,190,129,48,3,0,0,956,223,515,1173,994,897,620,149,8,3,4594,730,446,764,530,437,334,280,109,25,3646,133,131,247,177,245,152,58,22,5,1179,1083,1092,2188,1700,1578,1111,493,140,27,9422,39,167,550,401,496,328,50,7,0,2037,46,84,253,267,205,135,34,3,0,1033,5,6,56,52,39,18,4,0,0,179,11,15,30,26,23,14,6,0,0,137,105,275,891,748,767,498,91,7,3,3386,78,105,150,117,91,22,7,0,0,576,14,23,54,45,38,13,4,0,0,190,97,128,205,158,125,40,9,0,0,765
SOS73,200,534,1249,1334,1460,881,212,26,3,5898,150,89,143,165,231,207,89,13,0,1079,8,33,53,76,103,84,10,3,0,374,21,25,52,50,42,32,11,3,0,236,383,686,1501,1621,1834,1206,323,43,3,7587,72,94,136,124,130,78,10,0,0,643,22,13,16,14,16,23,6,0,0,113,89,108,152,140,143,103,14,0,0,759,469,796,1655,1764,1978,1304,341,43,3,8344,561,277,551,427,415,527,690,218,37,3703,247,315,438,367,433,347,187,44,4,2386,1276,1392,2640,2556,2826,2185,1215,306,45,14437,108,338,777,854,1062,564,95,9,0,3816,180,112,316,457,383,281,115,10,3,1856,3,17,75,63,80,59,13,0,0,314,13,22,30,25,42,19,10,0,0,157,307,485,1203,1400,1571,924,226,23,3,6148,56,60,102,94,79,34,11,0,0,422,32,17,28,24,28,20,0,0,0,150,82,74,133,114,107,50,11,0,0,573
SOS77,0,0,6,4,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,10,0,0,10,9,9,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,9,0,0,0,0,22,0,4,12,12,3,0,0,0,0,28,0,0,5,4,0,0,0,0,0,12,0,4,23,16,11,3,0,0,0,61,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,10,31,64,50,56,38,11,0,0,254,0,4,7,0,10,6,0,0,0,36,0,0,8,12,4,3,0,0,0,23,0,4,5,0,0,0,0,0,0,9,11,39,84,62,70,44,13,0,0,320,0,3,9,13,7,4,0,0,0,32,0,0,4,0,4,3,0,0,0,10,0,4,12,14,10,7,0,0,0,48,10,46,94,71,84,54,13,0,0,369,3,16,33,64,75,118,129,15,0,465,3,33,93,80,99,57,34,9,0,405,16,98,219,215,257,229,174,20,0,1240,5,27,46,22,28,20,0,0,0,149,0,8,17,11,12,14,0,0,0,66,0,0,17,3,0,8,0,0,0,29,0,0,4,0,0,0,0,0,0,9,8,34,80,39,39,46,0,0,0,252,0,3,8,8,5,6,0,0,0,21,0,0,0,3,0,0,0,0,0,10,0,3,8,12,5,4,0,0,0,33
SOS80,1209,5898,21822,21035,17913,9659,1679,113,8,79333,3412,4027,3750,2783,2212,2411,1496,239,19,20358,208,269,651,569,572,488,186,19,3,2964,156,277,424,352,243,131,52,15,4,1658,4987,10469,26641,24743,20949,12693,3412,389,44,104319,243,501,716,582,458,373,57,4,0,2929,963,563,317,163,121,197,98,14,4,2438,1205,1064,1034,738,576,567,155,18,3,5365,6187,11534,27676,25478,21529,13259,3562,403,50,109684,5654,3365,2577,1752,2020,5516,9487,5436,1950,37747,471,898,2062,1552,1333,1023,839,578,321,9076,12311,15795,32310,28789,24876,19803,13888,6417,2319,156508,797,4909,16550,13433,13678,7032,804,42,3,57251,4539,4832,6905,8311,6133,4223,1390,136,15,36485,200,399,2093,1289,693,635,147,20,7,5473,179,258,295,219,202,125,48,12,9,1343,5717,10397,25840,23249,20713,12011,2384,205,31,100550,132,300,564,429,316,166,13,5,0,1926,989,552,452,355,234,206,60,6,4,2863,1126,855,1014,783,549,377,74,10,4,4785
SOS82,0,0,0,11,19,6,0,0,0,40,4,3,0,0,0,4,7,0,0,15,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,4,4,7,11,20,15,8,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,11,20,15,8,0,0,64,4,0,0,3,0,3,12,13,3,35,0,5,0,0,0,0,0,0,0,3,5,10,5,13,23,16,16,14,3,103,0,0,3,3,9,5,0,0,0,26,7,0,4,7,4,4,0,0,0,35,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,12,5,6,14,16,12,3,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS83,4,12,36,51,45,23,11,0,0,183,5,4,3,5,7,6,0,3,0,34,0,3,3,0,3,3,0,0,0,14,0,0,0,0,0,0,0,0,0,7,13,18,41,63,56,32,8,3,0,231,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,14,18,43,64,56,31,8,3,0,238,13,8,0,0,0,8,8,3,0,39,3,0,6,4,5,9,0,0,0,36,28,25,50,65,64,50,18,6,0,317,0,8,24,26,21,10,3,0,0,97,11,5,10,25,11,12,3,0,0,77,0,0,4,6,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,10,11,40,54,38,21,8,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,3,0,4,0,0,0,0,0,0,8
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,3,11,18,21,13,8,0,0,0,63,3,7,11,5,0,3,0,0,0,24,0,3,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,3,18,31,20,15,9,0,0,0,102,0,0,10,3,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,4,0,3,7,9,3,3,0,0,0,29,5,23,38,30,17,16,0,0,0,133,7,14,16,17,11,10,15,3,0,89,3,6,12,22,12,18,3,0,0,80,16,36,63,67,43,38,15,5,0,297,0,7,25,14,5,9,0,0,0,56,4,14,0,5,10,4,0,0,0,37,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,3,4,19,27,22,13,18,0,0,0,101,0,3,3,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,7,3,3,0,0,0,0,0,14
SOS91,0,17,70,82,98,82,53,3,0,397,0,7,10,3,18,9,11,0,0,68,0,4,7,6,0,3,0,0,0,31,0,3,3,3,0,0,0,0,0,7,4,27,89,95,115,99,63,4,0,502,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,3,0,0,0,13,4,27,94,92,117,104,66,4,0,513,23,3,3,3,5,14,18,15,0,86,11,7,22,18,25,29,20,3,0,126,37,41,114,112,145,147,106,24,0,724,0,13,39,38,48,34,11,0,0,186,4,4,16,20,25,24,6,0,0,97,0,4,9,3,9,3,0,0,0,24,0,0,0,0,3,0,0,0,0,8,6,21,65,64,82,63,14,0,0,321,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,12
SOS92,7,27,42,72,68,57,14,6,0,294,5,5,12,11,16,8,13,0,0,75,0,0,0,4,4,12,3,0,0,19,0,0,3,6,3,3,0,0,0,13,17,34,57,88,92,75,28,8,0,403,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,4,0,0,0,12,18,31,57,88,87,79,28,8,0,413,15,3,6,3,13,10,49,21,6,130,0,4,10,3,9,10,7,4,0,55,35,45,77,98,116,104,88,34,10,599,3,6,33,37,44,31,16,0,0,175,11,4,26,27,33,29,13,0,0,137,3,3,9,3,0,6,0,0,0,27,8,0,0,3,3,4,3,0,0,15,18,17,61,74,76,72,32,4,0,358,3,0,4,0,0,0,0,0,0,5,0,0,0,3,0,5,0,0,0,10,0,0,5,8,0,5,0,0,0,17
SOS93,3,8,17,41,55,53,11,0,0,186,8,7,3,7,6,18,13,7,0,67,0,0,3,0,3,4,0,0,0,12,0,0,0,3,0,3,0,3,0,9,10,8,27,50,68,75,22,11,3,276,3,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,13,8,27,58,68,75,22,11,3,278,15,37,100,69,38,31,30,27,9,365,0,5,9,5,10,6,5,7,3,48,30,54,132,131,115,112,64,37,14,693,0,7,15,34,52,41,10,0,0,155,11,4,16,20,20,18,21,6,0,121,0,0,0,3,4,0,3,0,0,9,0,0,0,0,3,0,0,0,0,6,11,5,32,65,76,63,35,6,0,300,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOS97,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,3,0,0,7,0,0,0,0,0,0,7,0,0,11,0,3,0,0,0,0,0,0,0,0,0,6,0,4,3,3,6,0,0,21,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,8,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
