SOS_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SOS10,1181,28655,107765,75048,68026,53012,22426,6848,2811,365774,384,12431,81048,60194,50888,36224,13171,3361,1326,259025,206,5029,65484,58316,48400,32722,10061,2696,1140,224054,117,1841,40704,47182,38170,24541,6636,1764,759,161721,118,1485,55957,85779,64701,37762,10183,2691,1057,259741,302,859,19171,60299,57665,30950,10345,3340,1523,184460,24193,28971,67754,52584,46484,39964,35480,28842,24457,348727,316706,376543,841359,756967,687831,581173,418310,235279,111515,4325678
SOS11,326,5446,19004,17526,18658,16545,7536,2732,1112,88876,81,2239,12552,11915,12473,10114,3422,933,345,54081,34,958,9002,10428,10772,8421,2222,608,251,42690,19,441,5286,8085,8567,6384,1363,381,179,30705,27,342,6202,10910,11235,7768,1697,532,234,38935,109,227,1738,4020,4611,3731,1570,707,329,17051,9987,7814,15127,14067,15566,16835,18352,16194,11654,125594,86529,80110,163411,163839,180793,192171,170916,102322,45558,1185649
SOS12,26,408,1448,1728,2085,1927,841,249,65,8780,17,177,981,1180,1368,1177,386,95,24,5401,0,67,704,1008,1258,959,255,52,26,4318,0,41,407,873,939,726,158,24,15,3179,3,36,454,1164,1223,891,190,37,11,4022,12,13,147,421,566,415,171,62,23,1832,1253,579,1255,1376,1728,2148,2008,1289,527,12157,8907,6513,13157,16573,20935,23683,19314,9009,2974,121062
SOS13,188,1927,5342,6192,8372,7857,3791,931,228,34832,66,821,3623,4502,5822,4985,1925,464,102,22299,21,388,2649,4419,5609,4292,1469,305,90,19251,15,154,1544,3152,4078,3157,950,199,64,13306,15,127,1865,4675,6058,4191,1327,330,70,18650,46,85,652,2515,3930,3122,1325,405,108,12189,5400,2997,5555,6851,9141,9737,8120,3997,1468,53266,35753,25135,46857,63585,86576,90948,67180,26179,7371,449576
SOS17,0,0,0,3,4,3,0,0,0,10,0,0,3,0,3,3,0,0,0,14,0,0,3,4,0,7,0,0,0,17,0,0,0,3,3,0,0,0,0,3,0,0,0,3,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,4,3,4,0,10,17,25,11,4,78,12,9,32,34,50,74,108,42,10,374
SOS19,3,61,179,89,80,80,34,6,0,533,0,23,95,63,45,31,16,4,0,277,5,9,77,47,37,30,6,3,0,219,0,7,61,25,27,15,4,0,0,136,0,0,64,75,34,15,3,5,0,210,0,0,19,49,20,5,12,0,0,111,110,265,641,427,392,338,220,74,24,2494,517,1358,2703,1900,1798,1722,1196,282,78,11545
SOS20,728,19681,95921,64046,58076,42242,16511,5297,2292,304796,216,7274,69660,51174,42985,28818,9569,2543,1119,213359,183,2840,50714,48171,39771,25485,7286,1965,873,177290,87,1182,28643,36328,29751,18482,4837,1282,577,121166,149,1002,36734,60217,47202,26781,7181,1962,870,182094,244,782,11411,38881,39002,21111,7448,2405,1119,122412,21134,24658,55411,42670,39049,33085,30174,24718,18706,289604,259900,328057,717381,620699,565475,457642,331909,193940,89845,3564851
SOS21,193,4239,16273,13702,14828,12106,4652,1562,747,68313,54,1512,10918,10324,10023,7383,2209,573,222,43223,13,606,6780,8442,8511,6301,1417,387,160,32602,13,221,3647,5741,6134,4210,829,235,104,21135,18,204,3708,6920,7321,4999,1126,345,141,24784,75,168,1217,2925,3552,2568,985,456,202,12155,7169,5352,10293,9785,10921,11920,12618,10322,6770,85144,63665,61683,125830,124918,133503,133862,113365,65842,30387,853064
SOS22,18,282,1099,1196,1467,1361,488,155,62,6131,8,96,714,802,971,759,236,51,17,3642,0,41,447,629,819,640,144,25,22,2766,0,13,230,454,526,412,96,16,7,1756,0,14,221,516,637,468,97,29,7,1988,13,14,70,202,284,284,100,48,22,1043,737,382,796,973,1315,1566,1591,960,582,8905,5379,3976,8880,11016,14036,16033,13490,6229,2449,81486
SOS23,115,1404,4536,5131,6900,6079,2496,635,179,27467,32,532,2836,3654,4803,4066,1403,304,59,17682,11,231,1894,3068,4275,3288,952,250,65,14040,8,65,991,2063,2808,2186,632,145,48,8948,9,61,1070,2792,3890,2835,863,241,47,11798,45,81,469,1606,2579,2083,939,311,68,8176,3822,2003,4201,5171,6637,6884,5822,2734,895,38163,27043,19177,35251,47992,66424,69088,50347,18869,5266,339459
