SOS_CODE_2016,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_Nthern_Ireland_0_4,F_Nthern_Ireland_5_14,F_Nthern_Ireland_15_24,F_Nthern_Ireland_25_44,F_Nthern_Ireland_45_54,F_Nthern_Ireland_55_64,F_Nthern_Ireland_65_74,F_Nthern_Ireland_75_84,F_Nthern_Ireland_85ov,F_Nthern_Ireland_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_SE_Europe_nfd_0_4,F_SE_Europe_nfd_5_14,F_SE_Europe_nfd_15_24,F_SE_Europe_nfd_25_44,F_SE_Europe_nfd_45_54,F_SE_Europe_nfd_55_64,F_SE_Europe_nfd_65_74,F_SE_Europe_nfd_75_84,F_SE_Europe_nfd_85ov,F_SE_Europe_nfd_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_FYROM_0_4,F_FYROM_5_14,F_FYROM_15_24,F_FYROM_25_44,F_FYROM_45_54,F_FYROM_55_64,F_FYROM_65_74,F_FYROM_75_84,F_FYROM_85ov,F_FYROM_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
SOS42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,9,35,33,18,7,105,4,0,7,47,47,42,43,13,0,202,0,0,0,3,4,3,4,3,0,19,0,0,0,0,0,0,0,0,0,5,0,0,0,3,5,3,0,0,0,10,0,11,9,48,29,21,5,4,0,138,0,0,0,7,0,4,3,3,0,22,0,0,0,10,22,31,35,21,5,115,0,0,0,3,4,0,0,0,0,5,0,7,4,21,4,15,3,3,0,65,0,0,0,0,3,0,3,0,0,8,0,0,0,4,0,0,0,0,0,7,0,0,7,34,0,0,0,0,0,37,3,3,3,16,9,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,14,4,8,13,0,0,45
SOS43,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,4,21,27,95,130,31,10,313,3,28,22,136,113,107,48,13,3,475,0,0,0,3,12,13,15,3,0,53,0,0,0,0,0,0,0,0,0,3,0,0,0,15,12,10,0,0,0,36,4,22,13,114,49,44,23,0,0,273,0,0,0,16,7,10,10,7,6,58,0,8,11,34,68,120,78,30,6,357,3,0,0,13,3,9,3,0,0,27,0,17,18,48,35,31,12,4,0,166,0,0,0,0,3,9,5,3,0,16,0,0,0,10,3,0,3,0,0,15,0,0,4,28,3,3,0,0,0,39,0,4,10,40,12,7,0,0,0,82,0,0,0,0,0,3,0,0,0,6,0,0,3,3,3,5,0,3,0,20,0,11,11,32,43,41,29,11,3,183
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,3,0,9,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4
SOS50,19,125,259,917,290,289,190,99,49,2227,18,127,375,1348,776,753,487,336,164,4379,22,52,233,756,41,17,3,0,0,1134,14,89,111,470,338,467,1033,593,354,3480,363,2541,3361,10441,5305,3969,1648,558,130,28314,9,73,69,461,296,266,305,168,55,1713,98,273,228,1055,135,100,53,18,7,1974,3,84,85,306,177,81,10,5,0,761,190,1689,1900,5891,2107,1305,517,112,24,13725,4,44,59,889,336,708,361,266,204,2875,56,526,681,2513,2097,2101,1714,1039,391,11118,83,478,1173,2391,1270,1372,686,326,80,7855,102,1561,2721,6142,3425,1907,1012,489,183,17555,0,0,17,186,159,235,165,125,54,931,44,326,262,1462,484,366,264,124,60,3401,27,22,241,1805,137,108,57,7,0,2401,68,430,530,2226,754,441,132,23,7,4609,3,9,50,417,282,321,209,146,40,1484,5,26,51,242,97,37,28,10,5,498,106,467,461,1311,556,469,302,75,37,3783
SOS51,0,6,7,27,13,15,8,4,0,75,0,7,15,82,25,19,6,13,5,165,0,3,4,46,0,0,0,0,0,56,0,10,12,96,60,95,199,80,55,600,60,539,644,2195,1164,965,347,110,32,6064,0,7,5,46,41,31,45,16,10,198,8,18,10,63,9,4,3,0,4,110,4,38,27,76,37,20,0,0,0,202,52,379,315,1233,469,268,101,5,0,2829,0,7,6,56,17,25,28,26,34,195,3,38,40,205,217,265,215,136,41,1168,3,14,21,73,41,39,24,11,0,225,21,267,326,871,472,226,126,50,10,2379,0,0,0,6,3,7,12,6,8,44,5,35,8,100,24,13,8,4,0,191,0,0,38,282,3,0,0,0,0,324,15,78,74,370,180,62,13,4,0,791,0,0,0,8,9,3,3,12,6,38,0,0,0,4,3,0,0,0,0,16,6,31,35,164,84,73,57,12,6,471
SOS52,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,4,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,15,11,24,49,14,3,122,3,48,67,266,242,205,59,17,3,900,0,0,0,8,6,9,6,3,0,28,0,0,0,4,0,0,0,0,0,3,0,3,0,10,6,3,0,0,0,19,7,57,35,155,54,28,16,12,0,366,0,0,0,3,0,10,4,0,0,17,0,0,5,33,40,49,49,13,3,198,0,0,3,9,6,8,0,0,0,23,0,30,19,77,42,33,14,3,0,225,0,0,0,0,3,0,0,0,0,5,0,3,0,7,0,0,0,0,0,17,0,0,11,64,0,0,0,0,0,73,4,0,0,37,18,7,0,0,0,64,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,18,15,14,12,3,0,64
SOS53,0,0,0,3,4,3,0,0,0,11,0,0,0,4,5,14,3,6,0,27,0,0,0,3,0,0,0,0,0,3,0,0,7,49,37,73,125,29,9,328,8,62,117,624,501,383,137,33,11,1879,0,3,0,13,19,16,20,6,0,78,0,3,0,8,3,0,6,0,0,16,3,3,0,16,19,8,8,0,0,61,3,35,22,150,56,58,9,0,0,334,0,0,0,17,5,22,10,3,0,60,0,8,15,96,102,136,84,30,5,481,0,3,3,26,24,25,13,3,3,105,3,39,71,236,166,85,59,12,3,672,0,0,0,0,3,3,8,3,0,19,0,0,0,14,8,0,3,0,0,29,0,0,14,55,3,0,0,0,0,71,7,11,5,71,42,12,6,5,3,160,0,0,0,0,0,3,3,5,0,8,0,0,0,3,0,0,0,0,0,7,3,10,10,72,48,50,35,5,4,235
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,3,0,0,13,0,0,13,32,21,34,10,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,3,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,3,7,0,7,0,0,0,13,0,0,0,0,0,3,0,0,0,5,0,0,0,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,13
SOS60,0,0,0,0,0,0,3,0,0,9,0,5,12,26,7,13,0,0,0,62,12,47,95,68,0,3,0,0,3,230,0,0,7,24,17,48,105,74,39,312,8,38,55,240,151,148,92,36,18,788,0,0,0,5,4,12,15,8,3,51,3,20,8,52,4,0,0,0,0,90,0,0,4,24,26,11,3,3,0,71,8,25,39,161,90,83,38,8,3,459,0,0,0,45,15,28,46,33,39,215,0,14,13,39,71,63,92,79,27,393,0,5,81,44,18,21,10,7,0,190,0,20,33,118,53,69,41,22,7,353,0,0,0,0,3,3,3,5,0,15,0,5,12,40,15,9,3,7,0,95,6,3,9,54,3,3,0,0,0,83,8,28,32,113,21,13,3,0,0,230,0,0,0,0,0,3,0,0,0,4,0,0,0,3,3,3,0,3,0,16,10,33,35,114,54,48,44,8,3,352
SOS61,0,0,0,4,4,5,0,0,0,14,0,22,18,36,6,0,0,3,0,85,4,47,69,24,0,0,0,0,0,152,0,0,8,22,25,72,194,115,44,475,8,42,45,234,177,194,135,48,21,904,0,0,0,7,10,7,20,11,0,63,3,8,4,15,3,0,0,0,0,40,0,3,0,24,25,11,5,0,0,67,3,29,30,209,110,113,58,10,5,563,0,0,0,12,10,10,16,5,12,74,0,5,4,32,52,91,156,73,33,441,0,5,20,30,8,10,3,3,0,81,0,6,23,81,41,30,33,12,3,232,0,0,0,0,3,0,4,3,0,10,0,17,3,36,12,7,6,0,0,87,0,0,14,46,6,0,0,0,0,70,3,5,14,67,29,16,9,0,0,147,0,0,0,0,0,0,3,0,0,3,0,0,0,4,0,0,0,0,0,10,3,18,10,61,34,39,35,13,4,217
SOS62,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,13,30,15,5,73,0,9,10,45,23,40,38,5,3,170,0,0,0,0,3,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,0,0,15,0,3,3,18,12,16,6,3,0,60,0,0,0,0,4,4,0,0,0,10,0,0,5,4,7,18,26,13,6,85,0,0,0,0,4,7,5,0,0,16,0,4,0,19,4,9,5,3,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,6,0,0,0,0,0,7,0,0,0,12,4,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,12,9,4,0,53
SOS63,0,0,0,3,3,3,3,0,0,12,0,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,3,0,6,10,18,33,45,73,36,9,225,5,26,40,153,158,142,91,15,0,636,0,0,0,4,4,4,10,3,0,27,0,0,0,0,0,0,0,0,0,8,0,0,0,13,8,8,3,0,0,26,3,8,3,78,34,29,21,3,0,180,0,0,0,5,4,7,9,0,5,36,0,0,5,15,39,50,65,24,5,204,0,4,3,12,6,6,3,0,0,35,0,6,12,37,30,39,24,8,0,165,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,3,0,0,14,0,0,0,31,0,3,0,0,0,40,3,0,0,21,6,6,3,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,3,9,19,28,37,52,39,6,3,197
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,3,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,0,3,3,13,4,3,0,4,0,24,0,5,7,44,16,4,0,0,0,82,9,30,109,298,9,13,4,0,0,460,0,3,3,29,17,19,28,11,0,114,13,73,98,410,234,211,75,25,3,1148,0,0,4,25,5,5,7,3,0,56,7,16,9,61,15,6,0,0,0,115,0,11,12,88,64,33,14,3,0,223,47,277,309,1241,389,255,112,34,13,2670,0,0,0,20,3,9,5,3,0,42,3,5,13,58,42,39,26,15,3,210,3,7,11,31,31,29,23,11,0,145,7,26,32,124,51,21,9,4,0,266,0,0,0,0,3,3,4,0,0,10,10,39,17,150,22,29,23,8,3,303,8,3,26,265,7,4,0,0,0,313,10,27,58,222,118,52,22,6,0,517,0,0,0,0,0,0,0,0,0,4,0,0,0,6,3,0,0,0,0,14,3,35,25,69,30,15,11,3,0,192
SOS71,0,0,0,0,0,0,0,0,0,6,0,0,0,17,3,0,0,0,0,20,0,0,3,33,3,0,0,0,0,46,0,0,0,14,9,14,3,3,5,51,18,71,65,228,98,119,25,11,0,633,0,3,0,3,9,0,3,0,0,17,0,0,0,8,0,0,0,0,0,14,0,0,3,17,25,9,3,0,0,57,3,36,47,216,98,66,12,4,3,494,0,0,0,7,3,0,0,0,0,10,0,0,3,16,18,10,9,7,0,68,0,0,0,7,6,0,0,0,0,16,0,10,15,34,28,10,4,3,0,102,0,0,0,0,0,3,0,0,0,3,3,5,4,35,4,5,0,0,0,62,0,0,15,53,4,4,0,0,0,78,0,3,9,38,13,3,4,0,0,75,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,17,54,28,107,54,37,7,0,0,313
SOS72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,3,3,10,47,29,22,13,3,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,3,0,0,0,21,0,0,0,22,9,7,6,0,0,49,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,15,0,0,0,0,0,0,0,0,0,5,0,0,0,19,3,4,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,12,0,4,0,0,0,15,0,4,0,15,9,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,3,0,0,0,21
SOS73,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,5,3,5,0,0,26,0,8,12,62,51,60,21,4,0,226,0,0,0,3,3,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,6,3,0,0,34,3,8,5,42,31,21,16,5,0,136,0,0,0,3,0,0,0,0,0,7,0,0,0,6,3,10,8,0,0,32,0,0,0,3,0,0,0,0,0,3,0,0,3,5,13,3,0,0,0,31,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,11,3,3,3,22,21,14,4,3,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,3,9,0,0,0,30
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,10,0,0,0,4,7,10,10,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,4,0,0,0,3,0,3,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6
SOS80,3,12,6,77,23,18,10,0,0,154,0,5,24,145,55,37,26,21,7,317,4,28,57,249,16,12,4,0,0,374,5,22,17,66,45,93,171,89,41,547,23,174,261,789,421,363,197,79,28,2328,0,7,3,25,26,42,33,21,12,162,34,105,92,508,70,29,13,3,0,855,6,8,24,139,114,62,22,7,0,388,24,114,204,1088,391,278,145,31,15,2303,3,4,8,151,52,124,81,59,58,545,6,20,27,118,146,167,221,136,49,890,6,51,107,187,72,59,37,13,3,532,4,88,153,363,211,104,66,26,14,1018,0,0,0,24,40,41,36,46,8,193,6,93,103,592,249,189,100,57,20,1405,6,6,28,186,30,24,10,5,0,283,14,49,113,439,118,88,35,10,3,860,0,0,10,61,33,52,33,18,3,203,8,0,4,39,20,16,6,3,0,98,46,186,169,516,191,170,116,31,5,1431
SOS82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOS83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOS91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,12,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
