SOS_CODE_2016,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_Nthern_Ireland_0_4,F_Nthern_Ireland_5_14,F_Nthern_Ireland_15_24,F_Nthern_Ireland_25_44,F_Nthern_Ireland_45_54,F_Nthern_Ireland_55_64,F_Nthern_Ireland_65_74,F_Nthern_Ireland_75_84,F_Nthern_Ireland_85ov,F_Nthern_Ireland_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_SE_Europe_nfd_0_4,F_SE_Europe_nfd_5_14,F_SE_Europe_nfd_15_24,F_SE_Europe_nfd_25_44,F_SE_Europe_nfd_45_54,F_SE_Europe_nfd_55_64,F_SE_Europe_nfd_65_74,F_SE_Europe_nfd_75_84,F_SE_Europe_nfd_85ov,F_SE_Europe_nfd_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_FYROM_0_4,F_FYROM_5_14,F_FYROM_15_24,F_FYROM_25_44,F_FYROM_45_54,F_FYROM_55_64,F_FYROM_65_74,F_FYROM_75_84,F_FYROM_85ov,F_FYROM_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,6,0,0,0,3,0,4,5,0,0,12,3,5,9,46,13,14,4,0,0,99,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,3,17,0,3,3,0,0,24,0,0,0,6,0,0,0,0,0,4,0,0,3,3,0,3,0,0,0,15,0,0,8,0,0,3,0,0,0,7,0,0,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,6,0,0,12,23,4,0,0,0,0,40,0,0,3,9,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,10,0,0,0,0,0,19
SOS30,0,20,54,168,116,151,93,52,24,671,10,59,216,639,193,140,89,35,22,1402,19,124,567,1367,53,31,6,3,0,2172,14,77,139,630,487,788,1405,774,360,4675,806,7184,10222,28416,14822,11359,6447,2492,892,82641,3,52,55,360,283,270,362,190,59,1642,55,258,215,911,150,98,43,9,3,1743,43,422,842,2453,1709,1081,441,216,57,7257,154,998,1836,7678,3941,3137,1266,300,80,19379,3,31,60,814,276,516,347,218,229,2493,22,319,356,1511,1523,1608,1705,998,430,8480,52,235,708,1082,489,465,213,56,23,3328,100,1209,2397,5768,3273,1849,1118,466,166,16352,0,3,11,164,241,278,238,153,55,1142,39,332,374,1596,700,566,357,161,73,4202,102,235,1074,4481,809,916,355,75,14,8065,72,457,695,2973,910,413,155,27,6,5711,0,3,21,123,121,89,64,38,12,467,10,19,46,204,141,55,56,16,3,547,158,757,911,2482,982,779,564,154,46,6834
SOS31,3,0,8,23,15,15,13,5,3,77,0,3,6,53,13,10,7,3,0,92,3,13,30,138,5,3,0,0,0,196,0,14,19,84,108,242,412,219,85,1184,77,725,943,3478,2390,2157,1403,485,143,11796,0,8,9,43,50,40,75,36,4,265,13,17,8,86,3,8,5,0,0,144,3,78,77,379,284,163,60,26,3,1079,90,520,523,2134,1026,834,367,76,14,5586,0,0,3,72,22,53,31,26,21,230,3,34,50,209,233,309,415,222,82,1562,4,12,18,69,45,43,24,0,0,218,11,281,344,929,501,277,167,73,25,2609,0,0,0,6,23,26,27,21,12,110,8,54,28,185,47,39,28,7,8,412,9,3,149,577,14,8,0,0,0,766,11,60,75,465,193,78,17,0,0,912,0,0,3,8,3,0,6,0,0,20,0,0,0,19,16,6,3,0,0,54,8,88,82,319,160,173,153,39,8,1027
SOS32,0,0,0,0,0,0,6,3,0,13,0,0,0,3,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0,12,3,0,3,20,23,38,93,24,4,211,3,86,74,394,398,414,278,62,10,1717,0,0,0,0,6,15,12,5,0,35,0,0,0,10,0,0,0,0,0,12,0,14,14,61,66,66,25,7,3,250,3,23,32,179,98,107,67,3,0,503,0,0,0,5,3,9,10,4,0,30,0,4,5,24,34,51,59,31,0,208,3,0,0,3,8,9,0,0,0,26,0,12,31,71,61,33,22,10,0,240,0,0,0,0,0,4,4,0,0,14,0,3,0,5,0,6,3,0,0,15,0,4,3,27,0,0,0,0,0,39,4,5,12,51,32,6,3,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,18,16,42,28,40,39,11,3,198
SOS33,0,0,0,3,7,3,9,0,0,29,0,0,0,0,3,0,0,0,0,6,0,0,0,15,0,0,0,0,0,18,0,19,21,96,99,151,254,67,15,715,13,185,249,1274,1252,1189,581,158,27,4927,0,0,4,19,35,23,27,7,0,121,0,0,0,7,5,3,0,0,0,16,5,23,25,148,173,104,31,15,3,521,9,61,56,426,243,272,91,12,0,1171,0,0,4,32,13,23,15,8,6,93,0,10,14,86,137,155,169,49,13,641,0,10,10,37,29,26,6,0,0,120,3,84,107,343,231,140,80,37,3,1030,0,0,0,3,4,18,16,14,0,54,4,4,0,20,16,16,6,0,0,70,0,12,25,128,8,15,9,3,0,200,4,25,25,161,90,37,6,3,0,349,0,0,0,3,3,0,0,0,0,7,0,0,0,3,4,6,3,0,0,18,6,47,52,125,117,142,98,30,5,624
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,8,8,3,0,38,0,5,13,65,40,76,64,4,0,270,0,0,3,9,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,0,0,0,0,25,0,5,4,11,9,7,5,3,0,41,0,0,0,0,0,0,0,0,0,5,0,0,11,10,6,7,10,3,0,45,0,0,7,7,0,0,0,0,0,8,0,0,0,8,4,3,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,9,0,4,17,57,0,0,0,0,0,75,0,0,3,4,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,13,0,6,4,0,0,31
SOS40,0,5,6,39,11,10,10,8,5,91,3,67,132,335,54,28,16,10,6,653,23,197,377,759,19,17,5,5,0,1395,8,30,38,143,140,463,759,377,215,2170,49,259,376,1375,845,791,421,172,75,4356,0,16,23,102,151,181,233,121,42,871,87,311,180,689,77,29,22,7,3,1408,0,16,22,131,94,49,12,14,3,335,49,371,614,2509,1145,897,412,125,25,6145,3,16,47,542,301,632,406,322,334,2597,8,139,151,543,741,990,1034,678,300,4587,26,102,246,413,180,149,110,25,5,1253,11,218,396,848,533,286,193,81,30,2599,0,0,13,110,142,189,173,165,77,867,34,189,138,815,218,101,75,36,16,1630,5,37,114,458,78,27,22,3,0,749,18,88,141,910,227,109,29,7,0,1529,0,3,4,28,22,42,35,46,4,184,3,12,14,59,38,34,22,24,15,220,40,183,190,543,246,193,164,45,17,1618
SOS41,0,3,0,7,0,4,0,0,0,12,0,9,10,61,13,13,8,3,0,116,0,3,3,8,0,0,0,0,0,16,0,10,8,31,35,169,325,128,61,757,13,75,103,376,256,218,137,54,12,1245,0,0,4,10,28,31,49,21,9,157,0,22,7,36,3,3,0,0,0,74,0,6,0,28,33,8,0,7,0,73,22,138,128,520,206,187,89,26,6,1318,0,0,3,42,11,23,20,17,15,130,0,20,18,82,159,274,307,202,73,1135,3,4,3,14,12,19,8,0,0,66,3,64,72,195,125,63,46,13,4,585,0,0,0,3,7,10,9,12,6,46,3,17,4,73,11,5,5,0,0,123,0,0,41,106,4,3,0,0,0,156,7,49,34,106,55,13,5,0,0,268,0,0,0,3,0,0,3,3,0,12,0,0,0,5,3,11,3,0,0,29,4,29,33,98,53,77,36,15,3,343
