SOS_CODE_2016,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
SOS10,64306,11181,1038,477,73417,12032,162451,66744,22553,2998,1306,82150,14783,190536,144424,90507,14706,5905,124681,34864,415091,116227,113677,25830,10367,81155,27115,374373,97790,104298,24685,10096,76204,23674,336739,72633,83981,23455,10941,70087,19787,280884,37453,53178,22940,12480,57959,17038,201050,15619,22322,11165,7258,36780,12653,105800,4881,5571,2756,1960,18758,6784,40722,620084,507273,129573,60786,621187,168738,2107645,66355,16222,2014,826,58183,10657,154257,67505,35696,7031,4880,57767,13125,186005,103868,113495,44593,53071,80382,30855,426273,50025,111806,73237,76812,47700,23014,382594,42792,114845,73388,53342,46219,20511,351096,35803,92176,59999,44249,49153,18912,300284,18941,50556,44247,37886,47115,18511,217264,12509,23803,18836,17134,40393,16794,129473,7418,8618,4410,3283,33895,13181,70794,405218,567217,327752,291483,460805,165565,2218034,130664,27405,3050,1301,131604,22685,316706,134246,58250,10033,6188,139919,27906,376543,248294,204005,59301,58977,205063,65719,841359,166252,225479,99071,87184,128860,50126,756967,140582,219145,98070,63435,122421,44187,687831,108439,176157,83452,55182,119238,38701,581173,56391,103736,67184,50369,105070,35552,418310,28136,46127,29996,24401,77175,29447,235279,12300,14191,7165,5242
SOS11,17785,3346,381,188,17295,5067,44063,14156,6861,1067,603,13304,4231,40215,25145,22291,4833,2424,16624,8465,79780,21353,25895,7142,3580,13870,7745,79588,22728,27910,7633,3324,17126,8188,86907,21169,27751,9099,4622,20799,8731,92178,12357,20679,10996,6942,21815,9522,82312,5284,8652,5359,4355,14654,7657,45959,1602,1999,1147,952,6893,3743,16330,141580,145379,47655,26985,142379,63346,567319,18271,5142,763,478,13322,4496,42465,11812,10759,3107,3032,7847,3341,39894,12774,24873,13482,17767,8559,6176,83635,7773,26320,18365,18584,7364,5853,84256,10681,32711,20061,13179,10158,7098,93887,10611,31134,20912,15022,14159,8156,99993,5839,18211,18109,17584,18752,10114,88602,4120,8755,7654,8400,16970,10479,56366,2504,3173,1739,1542,13486,6781,29226,84375,161068,104189,95594,110616,62489,618327,36059,8488,1140,666,30617,9560,86529,25965,17617,4177,3635,21146,7565,80110,37916,47161,18322,20191,25175,14641,163411,29119,52218,25508,22162,21233,13598,163839,33405,60623,27691,16500,27286,15290,180793,31781,58885,30008,19643,34965,16893,192171,18199,38889,29100,24526,40570,19637,170916,9398,17400,13010,12754,31624,18129,102322,4112,5163,2885,2497
SOS12,1857,344,50,22,1668,628,4567,1224,496,103,67,1181,313,3380,1888,1837,468,229,1297,637,6347,2055,2723,839,406,1201,710,7932,2634,3369,999,511,1846,874,10233,2522,3553,1342,707,2567,1116,11809,1386,2453,1444,1000,2455,1184,9916,510,801,595,514,1364,793,4576,118,175,79,90,521,263,1252,14193,15746,5910,3549,14094,6517,60015,1932,527,71,33,1232,538,4340,931,796,258,263,630,260,3132,931,1900,1192,1591,610,579,6809,736,2665,1993,2017,593,634,8638,1115,3687,2359,1695,1033,820,10703,1147,3601,2487,2115,1497,1031,11875,569,1855,2020,2126,1790,1036,9401,328,681,597,785,1227,813,4432,201,193,117,106,770,334,1724,7884,15907,11097,10730,9387,6050,61045,3789,874,121,57,2908,1166,8907,2153,1293,355,330,1806,572,6513,2820,3738,1656,1817,1905,1216,13157,2790,5382,2832,2423,1795,1346,16573,3747,7055,3354,2206,2876,1696,20935,3668,7147,3835,2822,4067,2144,23683,1955,4307,3463,3123,4241,2220,19314,839,1486,1192,1299,2586,1606,9009,319,368,197,200
SOS13,7738,1633,160,95,6344,2761,18729,4774,2015,342,167,4517,1787,13601,7105,6276,1575,789,4736,3242,23718,8001,10048,3138,1628,4568,3706,31084,10912,13956,4372,2208,7048,4908,43405,10360,14059,5231,3335,8941,5256,47179,5694,8750,4840,4195,8259,4697,36434,1945,2701,1669,1704,3834,2538,14394,501,502,244,245,1203,721,3412,57025,59926,21569,14381,49439,29612,231960,7656,1986,258,110,4533,2475,17018,3715,2864,827,738,2269,1121,11532,3289,6456,3842,5454,1888,2208,23136,2303,9642,7686,8237,1715,2918,32498,3764,14397,10500,7778,2761,3968,43171,3498,13060,10347,8717,3818,4334,43769,1683,6119,6847,8054,4264,3779,30752,916,1992,1904,2540,2354,2074,11785,471,522,347,339,1424,851,3961,27302,57042,42543,41974,25021,23737,217622,15390,3617,416,208,10874,5242,35753,8488,4878,1169,909,6783,2909,25135,10399,12730,5410,6249,6623,5446,46857,10305,19686,10820,9863,6285,6623,63585,14678,28353,14875,9989,9808,8882,86576,13857,27116,15573,12053,12755,9589,90948,7380,14867,11683,12254,12520,8477,67180,2859,4694,3577,4248,6193,4611,26179,970,1023,584,587
SOS17,0,0,0,0,3,0,3,0,0,0,0,0,0,9,0,0,0,0,9,4,11,0,3,0,0,5,7,18,3,0,0,3,14,3,25,0,0,3,3,11,5,22,0,6,0,4,22,6,48,0,3,0,0,6,8,16,3,0,0,0,3,0,3,11,16,3,9,71,41,157,0,3,0,0,6,0,7,0,0,0,0,3,0,4,3,3,0,4,3,5,24,0,0,0,6,11,3,14,0,3,3,0,11,9,31,3,8,5,6,18,9,53,0,6,7,9,33,16,60,0,3,0,0,6,12,24,0,0,0,0,4,0,7,7,23,16,23,90,56,220,0,3,0,0,5,0,12,0,0,0,0,5,0,9,6,3,0,6,12,11,32,3,3,0,6,14,9,34,3,8,3,3,26,10,50,4,9,9,13,28,16,74,0,8,5,16,54,24,108,0,8,0,0,12,19,42,0,0,0,0
SOS19,60,22,3,0,122,73,285,156,69,21,4,326,166,746,292,161,43,23,584,510,1615,194,145,40,22,365,501,1269,154,136,44,29,321,462,1148,138,144,37,26,317,329,986,103,111,51,23,256,177,719,20,12,5,4,67,53,162,0,0,0,0,19,10,32,1122,807,243,131,2373,2284,6958,74,23,8,3,66,53,232,157,92,19,18,199,137,615,243,191,58,65,255,285,1091,96,107,65,54,124,186,629,96,144,62,41,123,183,646,116,143,95,62,173,149,732,59,92,64,32,126,103,477,5,9,11,10,41,40,120,10,0,0,0,22,10,48,856,800,385,278,1123,1150,4590,138,48,13,5,187,124,517,312,158,41,23,520,301,1358,538,348,98,88,836,798,2703,293,248,107,81,483,685,1900,256,283,104,63,443,648,1798,259,288,127,83,484,475,1722,160,200,110,62,387,278,1196,29,27,17,10,109,89,282,10,3,0,0
SOS20,53509,8420,854,412,58658,9973,131821,59687,20926,2600,1145,69152,12110,165623,127321,80956,12496,4993,99584,27808,353161,97752,95309,20798,8145,62998,21019,306022,83014,85951,19325,7492,60456,18611,274841,59838,65750,17011,7370,54587,15270,219820,30702,41327,16746,8586,45140,13766,156263,13279,18253,8856,5503,29560,11022,86471,4049,4664,2171,1612,15324,5435,33259,529148,421558,100863,45246,495454,135019,1727287,56611,12532,1483,572,47620,9258,128075,61238,31876,5843,3532,48922,11034,162436,92889,101278,37346,43204,63879,25620,364222,41771,93893,60075,63745,36709,18480,314671,35196,97621,61261,42740,36674,17147,290627,28228,75317,47786,33270,37759,15456,237818,14967,41248,35741,29986,37990,15719,175652,10162,19618,16006,14147,33005,14526,107472,5631,6866,3795,2637,27554,10105,56588,346694,480249,269344,233827,370105,137342,1837560,110123,20947,2341,980,106286,19226,259900,120925,52801,8447,4670,118069,23141,328057,220213,182234,49847,48200,163457,53427,717381,139528,189202,80876,71887,99706,39499,620699,118206,183572,80589,50232,97123,35753,565475,88066,141071,64793,40635,92350,30724,457642,45670,82571,52486,38571,83126,29478,331909,23442,37871,24866,19649,62565,25550,193940,9677,11537,5967,4247
SOS21,13720,2157,210,125,13170,3449,32838,11597,5105,760,343,10708,2718,31234,20401,17012,3359,1654,13060,5228,60709,17648,19864,5201,2348,10068,4841,59972,17772,20401,5069,2224,12732,5560,63752,15634,19111,5598,2682,14708,5800,63525,8441,13439,6613,4193,14789,6399,53877,3458,5625,3174,2508,9509,5153,29427,1066,1332,726,623,4773,2302,10823,109731,104044,30699,16698,103523,41453,406154,13736,3301,472,254,9796,3274,30827,9853,7957,2051,1858,6328,2403,30455,10948,19636,9600,13330,6936,4671,65121,6258,19816,14072,14990,5354,4466,64952,7568,24517,15079,10138,7450,4999,69755,7149,21769,14787,10504,10230,5899,70339,3734,11723,12207,11914,12801,7121,59492,2537,5353,4868,5371,11297,6994,36406,1509,2115,1208,1085,9384,4266,19567,63291,116173,74337,69445,79573,44085,446912,27453,5454,682,378,22971,6726,63665,21451,13061,2808,2202,17035,5121,61683,31353,36645,12955,14988,19993,9896,125830,23904,39674,19271,17343,15425,9305,124918,25333,44915,20150,12363,20183,10558,133503,22783,40877,20389,13188,24934,11696,133862,12177,25163,18818,16107,27590,13521,113365,5995,10979,8035,7877,20809,12144,65842,2573,3443,1930,1711
SOS22,1223,196,20,7,977,401,2826,769,334,50,22,683,200,2060,1350,1246,333,133,854,408,4325,1433,1797,523,268,798,450,5280,1775,2208,616,346,1243,694,6869,1730,2491,841,449,1729,806,8048,1009,1647,945,711,1769,921,6999,348,563,372,334,907,539,3069,102,119,73,66,383,226,972,9736,10613,3764,2355,9340,4639,40448,1171,284,37,10,719,334,2552,620,490,131,156,361,158,1913,633,1309,736,1118,382,376,4555,454,1718,1326,1415,356,473,5736,714,2468,1603,1151,624,613,7166,753,2373,1774,1384,977,731,7991,381,1250,1313,1477,1219,841,6484,216,472,443,556,882,597,3165,119,150,103,89,688,329,1475,5063,10516,7463,7349,6212,4450,41044,2396,485,53,18,1698,732,5379,1387,827,184,172,1042,361,3976,1987,2553,1074,1253,1234,785,8880,1886,3517,1850,1687,1154,925,11016,2484,4674,2219,1494,1863,1301,14036,2483,4868,2608,1830,2704,1535,16033,1384,2902,2260,2189,2988,1760,13490,566,1033,818,893,1793,1136,6229,225,270,176,157
SOS23,6222,1139,116,49,4681,1982,14188,3909,1541,246,120,3452,1112,10371,5398,4677,1212,563,3431,2630,17911,6223,7706,2464,1200,3240,3062,23893,8633,10855,3151,1556,5460,3620,33275,8176,10992,3828,2158,6842,3704,35706,4298,6544,3543,2966,6557,3500,27407,1349,1972,1231,1176,2873,1809,10409,319,394,215,201,864,507,2499,44521,45817,16015,9983,37400,21911,175653,6113,1377,172,79,3421,1702,12860,3245,2093,524,418,1747,781,8809,2650,4817,2781,4108,1539,1453,17334,1824,6978,5761,6469,1181,1887,24097,2787,11158,8100,6097,2285,2729,33153,2603,9917,8174,6543,3152,2990,33382,1238,4480,5260,5929,3331,2704,22945,559,1286,1395,1887,1833,1505,8465,319,363,265,284,1011,523,2766,21339,42470,32434,31811,19492,16262,163808,12330,2510,289,130,8103,3675,27043,7154,3631,768,536,5197,1889,19177,8046,9492,3991,4670,4967,4076,35251,8044,14684,8224,7669,4425,4950,47992,11419,22014,11253,7650,7744,6347,66424,10778,20910,12005,8707,9997,6692,69088,5542,11030,8802,8891,9884,6208,50347,1909,3255,2628,3063,4702,3310,18869,633,761,480,483
