SOS_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
SOS10,6738,13253,9146,6304,8590,3683,1862,49571,916,612,376,292,425,201,134,2954,338,464,356,264,410,187,102,2129,13721,26815,20248,15077,22782,11089,5950,115679,643,1555,944,715,1027,411,215,5508,1318,2521,1403,856,1021,419,206,7752,1958,4074,2344,1573,2054,833,424,13258,15682,30881,22593,16653,24831,11921,6378,128939,20632,19717,10920,7332,8905,4054,2484,74045,422,473,279,203,141,77,36,1636,36736,51072,33788,24184,33877,16052,8902,204612
SOS11,3641,6626,4427,2950,3719,638,186,22187,425,373,201,143,209,53,14,1413,136,219,153,122,169,20,14,832,5884,11222,8211,6027,8472,1654,537,42012,424,994,677,459,516,100,14,3190,822,1360,561,382,359,61,23,3555,1248,2356,1237,841,878,155,41,6748,7129,13576,9453,6868,9348,1809,577,48759,11256,9835,5061,3020,2982,523,198,32872,226,267,189,116,86,11,3,894,18610,23677,14696,10007,12415,2345,769,82524
SOS12,257,644,430,298,332,42,10,2014,45,20,29,14,9,3,4,119,10,19,20,13,11,0,0,66,424,1003,759,561,701,124,32,3598,27,68,61,45,46,10,0,261,54,123,49,39,30,5,3,304,83,193,108,84,79,15,3,567,505,1196,869,643,784,144,32,4164,930,861,466,295,267,53,15,2896,23,17,18,11,6,0,0,75,1457,2079,1351,944,1054,196,51,7132
SOS13,555,1219,864,622,762,143,45,4207,72,54,44,33,46,3,0,254,29,47,38,25,26,5,0,175,1030,2235,1796,1318,1798,348,133,8654,63,159,124,90,114,14,6,573,95,194,102,64,71,9,7,536,156,358,220,154,184,28,13,1114,1188,2597,2020,1474,1978,376,141,9768,1830,1779,970,620,618,132,44,5996,40,51,30,25,21,0,0,174,3050,4426,3016,2119,2620,509,185,15935
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,5298,10872,7887,5657,7780,4011,2010,43520,689,453,309,240,343,216,151,2395,284,385,317,228,331,226,125,1899,10094,20306,15693,12019,18589,10654,5901,93259,607,1212,799,594,905,500,248,4859,932,1906,1175,721,830,428,206,6202,1539,3119,1975,1318,1732,928,462,11062,11634,23427,17663,13330,20326,11579,6364,104321,14802,14246,8046,5492,7233,3730,2212,55766,335,384,247,187,157,75,46,1432,26769,38052,25958,19011,27718,15383,8620,161516
SOS21,2326,4762,3156,2149,3022,751,219,16388,321,266,156,123,190,46,13,1109,71,118,94,61,94,21,10,474,3639,7392,5453,4161,6408,1853,571,29476,214,575,361,240,309,69,16,1780,427,883,465,271,311,67,19,2441,637,1452,829,510,618,142,37,4225,4277,8844,6277,4678,7018,1996,608,33696,7196,6389,3179,2061,2185,554,187,21755,120,135,75,60,40,11,3,448,11592,15362,9539,6797,9252,2563,797,55901
SOS22,139,365,269,189,224,55,9,1254,14,14,19,14,10,3,0,77,3,12,4,4,9,3,0,32,226,563,433,326,463,106,24,2140,13,42,30,21,24,4,0,137,18,58,33,17,14,6,3,145,24,101,58,39,39,11,3,287,247,661,493,365,507,118,34,2428,433,445,237,153,170,40,5,1484,8,12,3,3,7,3,0,39,695,1122,732,520,681,162,33,3950
SOS23,402,776,614,440,612,182,55,3074,60,37,35,20,31,11,9,202,22,23,20,22,32,3,3,116,683,1364,1169,871,1319,363,152,5918,17,76,67,40,54,9,3,257,68,142,72,56,45,11,3,396,90,219,145,92,94,21,4,660,768,1578,1307,965,1414,382,157,6572,1048,1063,579,374,459,120,35,3667,25,32,29,15,19,4,0,123,1841,2673,1913,1356,1888,502,186,10361
