SOS_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
SOS51,676,149,2187,933,698,600,520,753,59,6585,12,18,32,20,13,22,14,48,7,189,117,179,179,188,119,68,204,108,45,1209,280,201,702,374,309,333,475,572,439,3681,10461,21864,24158,12053,10146,5373,7034,7711,1597,100406
SOS52,100,25,261,118,78,43,81,122,9,837,0,0,4,4,5,4,3,17,0,39,30,26,14,29,13,9,29,12,7,169,59,50,135,85,53,63,118,146,82,790,1819,2667,3188,1769,1406,594,1140,1338,260,14184
SOS53,329,72,695,265,294,161,259,305,27,2405,13,6,13,4,5,6,12,9,0,68,86,88,77,56,49,22,99,53,21,550,380,103,318,154,147,77,243,268,171,1867,9440,9078,11346,3858,4328,1698,3760,4091,751,48353
SOS57,0,0,15,0,0,0,0,7,0,23,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,8,13,78,73,0,4,0,21,55,9,250
SOS59,3,5,29,8,6,4,8,17,3,85,0,0,0,0,0,0,0,3,0,3,0,0,4,0,3,0,9,7,0,22,0,0,9,3,0,0,9,9,8,42,73,214,279,110,77,41,139,193,42,1169
SOS60,356,68,1223,506,367,290,91,278,33,3216,4,12,5,12,9,9,4,20,0,84,120,190,69,107,130,45,40,53,23,775,114,122,175,155,144,108,92,179,138,1226,6536,17418,7569,6749,6722,2774,1293,2311,787,52156
SOS61,361,98,1377,628,315,398,157,403,23,3767,3,7,7,4,8,7,6,12,8,57,61,113,72,68,69,30,51,60,24,551,128,105,274,201,157,182,198,314,182,1738,5386,12214,9095,7155,5424,2964,2240,3363,730,48573
SOS62,63,12,203,90,54,46,24,82,7,573,0,0,0,0,0,0,6,0,0,8,24,21,11,16,5,7,6,3,3,94,37,25,62,35,18,33,40,71,38,348,998,1797,1494,921,765,394,401,636,137,7548
SOS63,195,38,577,233,202,134,59,193,20,1664,7,6,4,6,4,9,0,6,10,49,70,63,40,32,41,15,26,26,15,317,211,83,204,125,108,102,144,218,113,1312,5041,6236,5238,3170,2836,1232,1248,2210,461,27659
SOS67,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,3,0,0,0,6,0,30
