SOS_CODE_2016,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
SOS40,18,35,14,65,81,58,142,206,665,0,871,20,74,17,114,45,35,76,193,268,8,469,46,239,18,300,171,113,280,582,856,3,1446,29,376,32,441,144,164,312,749,1178,8,1936,83,723,57,869,223,229,451,1321,1894,8,3226,288,1748,139,2176,247,336,579,2763,2877,18,5651,671,1859,129,2661,155,185,337,2996,2913,22,5931,1424,1758,147,3325,140,104,244,3572,2487,20,6077,2017,1645,143,3806,98,63,162,3966,2170,22,6159,1797,1124,111,3034,64,37,100,3136,1374,12,4523,1694,667,80,2442,28,21,47,2482,807,9,3295,1414,422,77,1914,15,13,32,1942,623,3,2571,1890,503,97,2483,31,9,42,2530,608,4,3140,737,185,24,949,7,8,18,963,251,3,1217,301,62,15,385,0,0,4,389,73,0,465,274,52,11,337,12,4,15,348,69,3,420,282,52,14,349,4,3,4,359,115,0,470,1722,1005,146,2874,155,92,242,3114,1592,75,4777,83,100
SOS41,5,3,0,9,15,14,30,41,88,0,127,0,22,6,30,12,9,21,49,59,0,106,7,82,7,91,85,41,121,215,261,0,479,13,128,16,153,58,61,120,276,417,4,691,22,278,25,317,85,79,167,485,613,3,1103,100,670,41,805,81,111,189,994,809,10,1813,231,625,42,891,40,48,93,984,828,15,1822,393,503,42,937,35,20,55,993,643,13,1651,518,401,46,967,24,14,37,996,471,4,1473,429,263,20,711,14,14,27,734,269,5,1008,351,136,12,508,6,4,8,515,136,0,650,303,73,20,396,8,0,8,403,103,0,506,348,81,18,448,6,0,6,452,87,3,539,102,29,6,136,3,3,6,142,25,0,168,63,6,3,73,0,0,0,73,3,0,77,34,14,3,48,0,3,4,53,21,0,76,34,4,3,37,3,0,5,41,17,0,63,411,329,41,782,43,21,59,844,417,24,1278,22,41
SOS42,3,0,0,5,0,0,3,9,13,0,22,0,8,0,8,3,0,3,16,14,0,26,3,17,3,21,11,3,17,33,34,0,70,4,24,3,34,11,3,13,46,66,0,111,9,42,0,43,7,3,9,58,76,0,134,21,100,3,124,5,18,28,145,120,0,269,45,75,7,121,4,3,3,126,110,4,235,54,65,6,130,3,0,6,131,92,0,226,67,54,8,127,0,0,0,127,55,0,181,47,28,4,80,0,3,5,86,38,0,125,49,27,3,71,0,0,0,71,20,0,96,30,12,3,45,0,0,0,45,18,0,62,32,9,0,37,0,0,0,40,15,0,57,15,3,0,19,0,0,0,19,5,0,27,3,0,0,3,0,0,0,3,0,0,3,4,0,0,4,0,0,0,4,4,0,10,3,6,0,7,0,0,0,5,6,0,13,65,60,6,131,9,3,11,138,68,4,212,0,6
SOS43,6,3,3,11,7,0,7,16,25,0,42,3,7,3,18,0,0,0,20,25,0,42,3,24,0,35,18,10,24,60,67,0,124,11,38,3,48,4,9,16,62,83,0,143,22,63,7,91,17,17,32,130,134,0,256,32,124,8,162,10,18,23,188,175,0,361,68,115,12,194,10,6,15,205,161,3,376,92,102,6,200,8,6,12,214,161,4,378,130,88,15,229,7,4,8,240,119,4,362,100,55,12,164,9,3,11,168,84,0,251,85,40,4,132,6,0,6,138,58,0,193,92,26,0,119,0,0,3,118,30,3,149,110,33,0,146,0,0,0,151,26,0,180,32,9,0,49,0,0,0,49,15,0,61,29,3,3,27,0,0,0,27,4,0,36,26,4,0,34,0,0,0,34,3,0,33,21,5,0,31,0,0,0,31,7,0,37,131,107,16,250,13,3,18,272,128,12,405,10,21
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,46,46,14,109,203,147,354,461,1379,13,1849,27,139,12,176,68,65,133,315,423,9,747,32,388,35,459,277,217,488,953,1172,12,2139,49,583,51,679,210,214,424,1108,1441,4,2551,102,966,60,1125,331,329,667,1789,2176,9,3984,358,2060,126,2547,372,429,808,3350,3074,24,6444,845,2179,149,3171,198,231,429,3601,2853,19,6475,1652,2320,163,4137,172,156,334,4466,2381,20,6870,2698,2265,185,5142,199,141,338,5480,2275,14,7772,2557,1472,143,4167,127,73,192,4365,1483,18,5865,2251,958,124,3328,74,49,130,3454,1070,9,4532,2139,683,105,2931,56,27,83,3013,747,13,3775,3484,913,173,4571,95,44,140,4717,928,15,5655,1409,349,77,1836,37,10,52,1894,515,0,2409,597,166,49,811,20,3,20,834,165,3,999,873,155,47,1076,20,11,30,1110,137,3,1250,776,138,40,950,16,6,21,974,223,4,1195,2502,1407,218,4128,237,139,380,4504,2034,130,6669,148,100
SOS51,10,8,0,20,23,21,46,62,189,5,257,5,24,3,35,11,16,29,63,86,5,154,11,95,8,114,55,43,99,215,281,6,505,16,158,10,179,65,63,125,307,379,3,692,21,236,23,285,73,84,156,441,591,8,1038,105,550,58,707,73,89,166,873,805,9,1680,237,576,43,860,56,42,97,961,732,6,1694,339,491,30,862,35,25,61,926,498,3,1426,521,414,44,981,33,28,61,1041,465,11,1513,463,231,26,726,15,16,27,755,241,4,996,391,161,17,575,12,4,20,589,145,7,738,388,80,18,486,5,0,5,498,100,4,601,579,123,27,728,14,5,16,747,110,3,859,171,30,6,214,7,4,13,223,49,0,272,97,21,8,118,5,0,3,124,12,0,137,96,21,10,124,6,6,11,137,28,0,166,87,11,9,111,3,0,3,115,30,0,146,437,283,53,766,45,27,71,834,462,31,1332,29,29
SOS52,4,3,0,6,8,4,7,18,31,0,42,0,4,0,4,3,3,4,11,22,0,39,8,29,5,43,21,6,31,72,102,0,171,9,31,0,42,18,16,36,77,116,0,195,5,45,6,65,8,12,19,79,135,7,221,17,73,7,101,16,19,31,132,169,3,304,42,69,6,115,7,7,20,131,163,3,303,58,76,4,141,11,0,9,153,123,6,273,60,54,4,117,6,3,14,129,76,3,206,80,44,3,124,8,0,4,132,44,0,176,57,16,3,69,0,0,0,69,32,0,103,47,6,0,57,3,0,3,59,13,0,72,62,13,9,82,3,0,3,85,21,3,112,22,4,7,27,0,0,0,28,6,0,37,10,0,0,15,0,0,0,15,3,0,16,19,0,3,24,0,0,0,24,7,0,32,16,0,0,15,0,0,0,15,9,0,29,72,55,15,136,15,11,24,158,118,0,282,6,5
SOS53,10,3,3,11,10,6,15,26,62,0,83,5,7,0,12,4,0,4,18,26,0,37,8,23,5,41,27,10,38,78,84,0,163,3,30,0,39,18,13,34,69,98,0,170,9,64,6,83,21,6,31,115,152,0,269,32,102,8,138,20,27,49,188,152,3,346,53,101,12,171,10,8,15,187,141,4,328,73,90,13,174,14,8,17,191,109,0,301,103,92,8,205,9,4,8,215,125,3,336,103,48,11,156,0,3,7,161,46,0,214,84,33,3,126,0,3,4,127,42,0,172,66,27,7,99,3,0,3,104,42,0,146,135,33,9,175,6,0,6,180,34,0,211,47,16,0,66,0,3,0,70,25,0,91,37,0,4,41,0,0,0,41,11,0,50,26,9,3,36,0,0,3,43,13,0,54,39,7,0,47,0,0,0,47,15,0,65,153,96,15,259,11,10,22,284,143,9,444,16,6
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS60,3,3,3,13,7,3,7,19,61,0,81,0,10,0,10,5,0,6,13,24,0,46,0,45,5,48,26,22,49,99,132,0,233,3,75,11,84,27,29,52,135,240,0,383,13,137,15,171,33,37,68,238,359,3,599,59,330,22,406,38,52,92,501,539,0,1039,127,322,34,487,23,28,50,536,496,3,1034,242,342,24,602,10,17,28,631,433,0,1063,330,309,32,675,7,10,15,694,356,4,1052,322,194,19,529,0,0,4,531,196,3,736,300,124,14,438,4,3,3,444,124,0,567,224,47,13,275,0,0,0,281,63,3,347,336,84,15,434,0,4,3,441,73,3,513,86,21,4,109,0,0,0,112,39,0,150,39,11,3,47,0,0,0,47,8,0,58,42,11,5,50,0,0,0,54,19,0,73,35,6,0,39,0,0,0,39,14,0,53,297,214,27,535,15,18,30,564,241,20,827,7,14
SOS61,3,0,4,9,6,3,11,16,76,0,93,0,10,8,13,10,6,14,30,44,0,72,6,45,8,66,42,15,57,122,194,0,315,10,98,11,118,44,54,94,217,343,0,559,16,188,16,226,57,61,120,342,445,4,791,62,468,38,571,57,76,129,698,722,3,1428,166,422,38,624,30,43,69,695,647,7,1355,282,368,31,679,26,14,37,717,515,4,1239,345,316,36,693,19,5,25,723,422,6,1150,299,168,25,486,13,6,22,506,212,3,723,256,95,14,363,0,0,3,370,112,0,477,184,45,12,248,5,0,5,253,66,3,326,231,67,9,306,3,0,3,309,61,0,372,81,14,3,95,0,0,0,95,30,0,127,29,0,0,33,0,0,0,30,3,0,38,18,8,0,23,0,0,3,30,18,0,51,15,8,3,20,3,0,3,26,21,0,51,272,209,37,519,26,25,51,562,301,14,877,21,25
SOS62,0,0,0,3,3,0,3,3,10,0,15,0,0,3,3,0,0,0,3,8,0,8,0,7,0,7,3,0,3,11,16,0,33,0,13,3,18,8,0,5,23,34,0,55,6,28,0,37,5,3,6,44,59,0,100,19,65,0,90,4,7,15,101,78,0,181,13,55,3,70,0,0,0,74,71,0,145,31,35,3,72,0,3,3,71,53,0,126,46,19,4,68,0,3,4,74,55,0,129,18,13,3,36,0,0,0,40,17,0,55,19,15,0,33,0,0,0,33,16,0,51,21,9,0,28,0,0,0,33,5,0,41,32,5,3,40,0,0,0,40,7,0,45,8,3,0,10,0,0,0,5,3,0,12,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,5,3,0,0,3,0,0,0,3,0,0,6,42,41,7,92,4,0,4,96,42,10,151,0,0
SOS63,3,0,3,7,3,0,3,11,15,0,28,3,0,0,8,0,0,0,5,10,0,20,0,16,0,20,12,16,22,41,51,0,94,6,25,5,33,11,6,17,54,76,0,133,7,67,3,83,7,19,29,107,117,0,229,25,116,5,144,9,10,19,169,176,3,344,56,114,9,178,8,7,19,198,171,3,371,80,81,10,167,3,4,11,178,141,9,320,100,77,8,192,3,3,7,199,120,3,319,97,47,4,147,0,0,3,152,64,0,214,76,28,3,113,0,0,0,113,39,0,145,62,23,3,98,3,0,4,99,24,0,119,75,21,3,101,0,0,0,101,22,0,126,23,7,0,30,0,0,0,30,7,0,41,9,3,0,9,0,0,0,9,3,0,10,9,7,0,13,0,3,3,20,0,0,20,11,0,0,14,0,0,0,14,6,0,16,92,82,8,181,9,3,9,197,118,10,319,9,5
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,5,0,0,7,4,4,12,14,53,0,66,0,9,0,12,6,0,6,12,27,0,40,4,11,0,17,8,5,21,38,45,3,85,4,26,0,28,15,10,18,45,90,3,141,10,42,0,49,16,8,21,68,124,0,196,18,70,4,97,13,10,21,119,146,0,264,65,64,9,135,14,8,16,155,124,0,279,124,84,9,215,5,11,13,225,103,0,330,198,66,8,278,7,4,8,281,92,0,376,216,35,18,263,8,3,6,271,55,0,327,187,37,11,234,4,0,5,243,55,3,300,181,29,6,214,5,0,5,223,39,0,258,305,32,14,362,4,4,10,365,54,0,424,130,17,9,150,0,0,0,155,40,0,194,62,9,11,79,0,0,0,79,9,0,84,68,4,5,78,3,0,3,77,8,0,88,65,6,8,78,0,0,0,81,12,0,89,185,59,15,254,9,8,17,273,113,9,400,16,6
SOS71,0,0,0,0,3,0,3,5,28,0,34,3,3,0,6,4,0,4,10,46,0,59,4,25,7,31,15,3,17,47,151,5,209,0,8,0,14,6,8,12,26,67,0,97,4,15,0,19,7,3,16,32,89,3,131,22,26,6,49,11,3,17,71,75,3,144,27,29,3,65,4,0,7,70,78,3,153,49,38,3,90,7,3,6,100,56,0,158,93,36,5,131,3,5,8,139,44,0,178,80,21,3,105,0,0,0,103,38,0,145,76,15,9,98,0,0,3,96,26,0,122,56,9,4,68,0,0,0,68,20,0,86,91,5,6,108,3,0,3,113,16,0,126,37,9,0,42,0,0,0,42,3,0,43,23,0,0,27,0,0,0,27,0,0,26,14,4,4,19,0,0,0,19,0,0,20,15,0,0,15,0,0,0,15,9,0,22,59,23,9,92,12,4,18,112,91,7,207,3,3
SOS72,0,0,0,0,0,3,3,3,12,0,19,4,3,3,11,11,3,13,25,40,3,68,14,18,0,33,34,11,37,73,177,0,249,8,6,4,17,5,4,4,21,50,0,74,11,9,3,22,5,4,14,37,79,0,112,15,11,3,32,7,9,10,48,50,0,101,17,18,3,37,9,0,9,47,51,0,99,25,9,0,41,7,0,6,54,41,0,92,28,15,5,50,0,0,3,46,36,0,86,33,12,0,46,3,0,3,49,26,0,69,23,4,4,29,0,0,0,29,7,0,36,14,3,0,18,0,0,0,17,3,0,23,20,8,3,27,3,0,3,29,3,0,36,8,3,0,10,0,0,0,10,0,0,14,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,3,3,0,0,3,0,0,0,4,0,0,3,20,20,3,43,15,10,23,63,64,3,133,20,14
SOS73,0,0,0,0,3,0,3,3,9,0,17,0,3,3,3,3,0,3,7,15,0,19,0,10,0,10,13,8,18,30,58,0,92,0,0,0,6,3,0,5,7,23,0,37,7,7,3,18,10,3,13,32,47,0,81,9,15,3,29,9,0,6,39,22,0,65,11,20,3,33,0,5,5,38,40,0,80,28,10,3,41,5,3,4,45,32,0,82,46,11,3,60,0,0,3,68,28,0,94,42,4,0,49,0,0,0,50,23,0,72,26,7,3,39,0,0,0,37,11,0,54,23,11,5,35,3,0,3,37,10,0,43,43,4,3,57,0,0,0,58,14,0,72,12,3,0,20,0,0,0,17,5,0,24,14,3,0,15,0,0,0,15,3,0,23,10,0,5,10,0,0,0,11,0,0,11,10,0,0,12,0,0,0,12,3,0,13,42,8,3,55,8,0,8,62,39,3,99,6,8
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS80,8,4,3,17,10,10,15,33,123,0,157,3,18,0,20,9,3,12,35,59,3,95,0,36,3,44,32,24,56,100,195,0,297,6,70,11,81,29,30,58,140,269,5,410,15,124,8,147,31,33,62,211,371,3,581,67,237,27,331,32,30,61,397,457,3,854,143,311,22,473,13,18,32,508,365,3,877,251,313,25,586,15,7,29,616,320,4,934,441,321,32,798,14,24,39,837,400,3,1241,580,245,37,869,14,3,17,881,289,3,1178,704,225,39,959,11,9,16,979,226,3,1204,640,160,31,830,9,3,15,844,194,4,1042,1249,224,58,1529,11,3,14,1546,265,4,1810,503,87,30,616,4,3,6,624,169,0,797,263,38,16,310,0,0,0,313,66,0,381,321,37,11,363,3,0,7,368,50,0,423,288,28,10,326,0,0,0,326,66,0,388,640,198,52,887,23,10,33,922,339,19,1280,25,19
SOS82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
