SOS_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SOS10,1994715,2074607,4069320,67925,68971,136894,228592,234409,462998,5389,4970,10352,7627,7562,15184,1795,1589,3384,3191,2717,5906,449,443,892,800,688,1490,2306,2377,4676,53,28,77,250203,254772,504972,60121,65646,125772,5248,4686,9932,383496,394076,777572,201832,196360,398193,2580039,2665042,5245088
SOS11,529225,564832,1094053,37836,42278,80114,47719,51958,99680,2980,3268,6244,4413,4677,9092,633,579,1210,829,835,1668,264,289,552,411,425,840,1084,1186,2270,21,26,47,58351,63251,121602,3776,4194,7969,1843,1751,3600,101809,111469,213276,66822,66284,133109,697854,742588,1440441
SOS12,58338,58432,116771,2545,2749,5288,4576,4897,9471,189,232,420,424,460,891,47,42,81,96,85,179,16,23,37,50,51,95,129,134,261,0,0,0,5521,5921,11445,209,232,446,228,175,402,8505,9083,17589,6477,6268,12741,73314,73776,147093
SOS13,224432,211648,436082,6673,6650,13325,16133,16082,32216,765,733,1492,1666,1590,3255,168,133,299,295,254,551,79,68,145,164,146,313,621,611,1225,5,4,10,19891,19616,39514,837,912,1751,540,481,1017,27938,27665,55603,30020,25577,55592,282390,264884,547273
SOS17,138,182,322,0,0,0,6,19,29,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,23,31,7,3,6,0,0,0,14,21,43,22,32,52,171,239,412
SOS19,1571,849,2420,430,257,688,1715,1489,3200,142,134,269,234,218,450,41,40,80,79,59,140,18,18,38,12,20,32,32,22,54,3,0,4,2271,1994,4263,508,493,1001,151,96,243,3356,2845,6200,2379,1210,3591,7308,4904,12213
SOS20,1618560,1694357,3312911,49179,50727,99911,8267,8226,16497,196000,202621,398620,6095,6254,12355,2753,2722,5478,3725,3530,7250,1050,1188,2242,860,844,1706,1156,1282,2438,34,20,56,219952,226683,446635,50375,56471,106846,3820,3442,7265,323319,337332,660649,162444,163812,326260,2104324,2195500,4299819
SOS21,388309,414240,802550,24597,27636,52235,2474,2704,5176,34251,38064,72318,1681,1709,3391,745,783,1525,757,768,1524,259,319,573,353,366,723,150,169,318,0,3,3,40675,44884,85551,2868,3172,6032,1009,909,1918,69145,76596,145743,44656,47166,91824,502111,538000,1040112
SOS22,39081,39030,78106,1592,1672,3263,180,209,384,2964,2949,5910,148,147,291,77,56,133,59,59,121,32,22,56,33,40,72,16,8,17,6,0,6,3502,3481,6985,165,200,362,86,108,198,5345,5464,10809,4510,4445,8954,48929,48943,97869
SOS23,170988,161640,332625,4696,4725,9422,823,761,1584,11713,11970,23682,657,533,1190,215,200,416,244,247,495,88,75,164,181,162,346,62,36,98,3,0,3,13988,13980,27966,711,758,1471,294,299,591,19687,19760,39452,21333,16991,38319,212004,198388,410393
