SOS_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
SOS10,105451,97600,50354,32437,47176,32810,17849,383671,28854,28577,15625,9300,12052,5670,2694,102770,27133,24887,12157,7137,9462,4616,2259,87650,118610,116708,64454,39946,51344,22837,10747,424651,1459,1469,743,533,449,185,85,4915,281511,269236,143338,89351,120476,66116,33635,1003655,7882,12271,8936,6905,10996,7479,4605,59076,4716,6542,4207,2997,3999,1686,874,25020,2627,4275,2756,2004,2839,1294,668,16466,19862,26330,16888,11673,15376,5368,2653,98147,1653,1656,995,610,672,221,106,5909,36736,51072,33788,24184,33877,16052,8902,204612,318245,320307,177128,113537,154354,82166,42534,1208270
SOS11,4439,4316,2324,1507,1918,615,207,15329,3395,3887,2053,1302,1668,413,133,12842,3627,3468,1772,1135,1413,350,144,11913,51632,51733,28345,17852,22674,4768,1417,178424,353,375,226,138,124,24,6,1239,63448,63776,34719,21932,27800,6177,1898,219742,348,549,476,341,497,163,62,2440,1032,1387,945,736,995,185,72,5343,408,787,631,451,652,135,68,3129,16046,20152,12172,8172,10070,1823,554,68984,778,807,478,315,205,36,14,2627,18610,23677,14696,10007,12415,2345,769,82524,82057,87449,49420,31937,40213,8518,2673,302270
SOS12,173,270,156,107,145,32,16,898,295,414,248,171,198,52,20,1387,356,396,216,122,188,51,16,1339,5041,5838,3361,2145,2774,638,191,19999,41,63,32,28,25,6,3,196,5909,6977,4016,2575,3324,773,240,23824,16,28,29,24,32,9,4,140,60,125,91,63,67,15,8,427,27,75,68,62,58,12,3,305,1293,1771,1122,774,875,160,34,6030,63,68,40,21,20,8,0,225,1457,2079,1351,944,1054,196,51,7132,7370,9052,5372,3518,4377,975,294,30955
SOS13,684,1073,763,521,777,306,157,4274,1071,1541,1006,701,910,275,99,5598,1363,1634,1033,672,902,244,99,5940,18872,24103,15115,9546,12134,2739,923,83415,146,187,123,62,61,13,7,603,22136,28532,18034,11508,14784,3570,1276,99835,66,88,82,66,104,32,20,470,211,320,226,156,203,67,19,1205,102,189,145,104,149,36,17,746,2541,3680,2480,1726,2089,373,115,13001,128,145,84,65,75,11,3,512,3050,4426,3016,2119,2620,509,185,15935,25187,32952,21051,13631,17401,4076,1462,115767
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,89118,76096,38904,24134,34827,24987,13686,301741,20987,20053,10863,6516,9080,5080,2662,75238,20589,17947,8961,5426,7432,4226,2234,66822,101394,99446,55438,34453,45680,24196,11871,372478,1196,1134,604,327,346,163,83,3848,233282,214672,114761,70855,97358,58655,30530,820122,7409,10467,7322,5584,8973,6301,3872,49928,3032,4348,2940,2144,3107,1644,871,18086,1945,2918,1971,1381,2137,1144,680,12186,13056,19011,12954,9342,12977,6047,3073,76465,1329,1306,765,558,524,249,125,4850,26769,38052,25958,19011,27718,15383,8620,161516,260053,252723,140723,89865,125076,74044,39149,981638
SOS21,4901,4474,2448,1469,2076,814,296,16472,2752,2764,1517,945,1292,419,154,9847,2755,2582,1186,771,1043,380,135,8862,39674,38370,21070,13208,17663,5304,1638,136935,261,292,155,129,106,24,18,988,50349,48486,26377,16529,22182,6937,2243,173100,564,756,511,387,595,205,98,3110,753,1058,654,507,693,214,86,3960,315,581,413,297,446,134,60,2246,9440,12500,7653,5409,7342,1974,551,44877,519,473,311,198,174,36,8,1714,11592,15362,9539,6797,9252,2563,797,55901,61941,63850,35915,23327,31430,9502,3045,229001
SOS22,109,139,105,53,72,27,5,513,248,257,146,92,124,53,13,936,210,225,137,96,111,34,8,814,3468,3930,2182,1355,1788,466,120,13312,28,35,22,13,5,0,0,105,4073,4584,2584,1607,2104,582,149,15674,8,22,16,14,13,7,0,75,59,79,51,27,63,15,3,305,27,60,43,26,36,14,0,209,573,928,600,435,554,132,26,3241,22,44,20,12,11,0,0,115,695,1122,732,520,681,162,33,3950,4765,5706,3317,2123,2777,747,187,19628
SOS23,835,937,623,421,558,239,86,3701,810,1052,735,477,680,244,96,4094,949,1064,685,456,668,210,83,4113,14193,18054,11302,7441,10243,2957,906,65098,109,116,84,79,48,12,3,445,16894,21226,13434,8865,12192,3655,1172,77446,35,63,51,40,64,31,13,293,128,207,137,95,130,45,19,761,63,131,83,54,93,33,14,468,1534,2178,1584,1118,1558,382,141,8506,81,88,60,54,45,8,0,338,1841,2673,1913,1356,1888,502,186,10361,18738,23895,15348,10227,14079,4158,1365,87806
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS30,40539,39825,22487,14380,19530,8960,4321,150044,16760,16142,8606,5225,6583,2337,925,56582,16772,15463,7881,4675,6056,2177,923,53940,88238,88600,48945,30255,39098,13454,5560,314163,849,783,447,285,269,72,23,2725,163160,160815,88364,54824,71536,26998,11748,577447,4073,6250,4662,3488,5056,2398,1285,27214,3548,5039,3018,2035,2659,787,381,17467,2284,3698,2359,1613,2255,703,373,13275,18455,26114,16315,11045,13886,3722,1746,91274,1064,1136,642,403,408,86,35,3776,29424,42231,26998,18584,24259,7685,3817,153013,192581,203053,115363,73411,95795,34685,15565,730462
SOS31,3627,4051,2453,1600,1995,368,128,14217,2328,2452,1427,884,1086,170,45,8392,2821,2681,1416,856,1062,146,66,9039,31996,32991,18052,11166,13213,1617,511,109547,228,228,149,106,79,10,3,807,40998,42402,23489,14606,17431,2308,757,141993,261,441,359,286,390,66,30,1840,672,902,576,395,487,58,27,3119,441,730,449,319,440,68,17,2469,9276,12083,7299,4751,5202,543,188,39340,418,420,232,142,116,16,4,1352,11073,14580,8914,5899,6639,744,265,48122,52077,56984,32403,20503,24068,3054,1025,190116
SOS32,224,343,200,151,206,39,21,1192,341,361,222,110,180,38,10,1265,391,389,218,133,137,24,8,1305,4967,5814,3163,1837,2135,217,71,18208,43,48,39,20,18,0,0,159,5963,6955,3846,2252,2685,318,118,22129,24,42,43,27,37,9,3,181,97,114,82,59,70,8,3,435,49,98,49,45,48,4,3,305,1580,1961,1123,679,680,59,27,6106,70,74,57,24,18,0,0,244,1832,2282,1361,833,852,85,33,7274,7794,9238,5205,3089,3538,395,154,29402
SOS33,695,1147,888,574,787,209,105,4401,862,1196,815,526,647,144,51,4251,1204,1449,839,515,717,136,55,4918,14659,18334,11575,7031,8508,1265,471,61850,112,126,102,69,60,6,3,481,17541,22254,14214,8717,10720,1753,692,75896,46,106,98,75,100,26,6,462,204,283,176,132,162,23,15,995,124,203,139,95,167,29,9,765,2157,3154,2099,1397,1626,193,90,10716,90,110,69,52,45,3,0,376,2615,3858,2584,1753,2104,276,121,13309,20161,26115,16797,10465,12824,2031,811,89206
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
