SOS_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SOS50,416,3304,26391,183618,248914,33442,5568,8405,510058,165,5253,24869,42687,5229,406,144,2412,81162,73,1714,6630,15155,3969,471,99,578,28687,239,6964,31495,57841,9200,872,242,2987,109846,128,3821,9309,2864,243,27,24,672,17094,124,3223,6308,1372,60,10,9,303,11413,188,4635,8698,2771,130,17,11,388,16833,0,17,7,4,3,3,0,10,49,442,11698,24329,7010,438,53,40,1380,45387,161,651,602,238,172,23,20,136,1986,25,119,256,454,325,40,19,257,1495,1278,22736,83067,249171,259046,34427,5890,13164,668779
SOS51,131,1148,8291,46417,44866,4499,755,2181,108296,49,1518,4147,3517,365,25,12,466,10109,8,118,428,736,258,36,3,36,1622,58,1640,4577,4256,623,61,14,502,11726,32,765,1384,552,50,0,12,153,2958,0,24,92,41,0,0,0,4,162,0,20,78,36,0,0,0,3,132,0,4,7,0,3,0,0,3,12,36,815,1557,633,53,0,12,163,3266,368,893,633,222,76,18,12,173,2388,24,97,122,182,94,18,21,110,664,617,4585,15178,51709,45717,4596,821,3122,126344
SOS52,60,446,2761,9876,6054,836,208,580,20815,4,129,348,183,26,3,0,34,734,0,0,24,3,0,0,0,0,33,4,129,374,190,29,6,6,33,767,0,91,117,45,6,3,0,20,277,0,10,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,103,118,45,12,4,0,19,305,82,189,89,53,32,6,12,53,506,3,17,35,64,38,11,20,41,227,151,881,3377,10226,6151,857,246,726,22615
SOS53,178,1209,4963,16163,18211,3898,1047,981,46657,0,26,94,37,18,3,4,11,198,0,0,0,5,13,0,0,0,19,0,31,95,42,31,7,4,10,216,4,25,41,14,9,0,0,15,105,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,3,12,3,27,47,17,9,0,0,15,121,210,504,234,168,108,29,22,151,1441,13,65,71,165,134,32,30,96,598,410,1834,5413,16555,18494,3970,1106,1260,49039
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS60,67,700,9078,31473,11470,2482,541,1068,56890,25,766,1492,336,54,15,3,128,2814,10,211,1138,486,95,24,6,46,2021,38,976,2628,815,153,45,11,174,4831,76,1627,2938,648,109,20,13,179,5603,58,234,483,112,10,5,0,22,927,24,172,343,66,0,4,0,20,623,0,28,15,7,8,3,0,0,62,163,2060,3779,838,132,23,12,221,7225,19,61,60,59,15,0,0,13,240,5,33,49,53,15,5,3,26,178,284,3821,15590,33238,11781,2562,577,1509,69360
SOS61,73,1003,11392,40888,12067,1963,410,1479,69279,24,1394,2838,454,41,5,5,254,5028,6,86,502,350,124,32,14,40,1153,31,1479,3346,803,170,40,18,294,6181,27,846,1991,315,49,14,4,137,3380,4,46,91,9,0,0,0,3,155,24,91,54,16,0,0,0,5,193,0,45,32,5,5,0,0,6,95,58,1025,2166,349,55,15,4,150,3814,32,180,125,100,28,5,3,33,508,5,19,71,71,31,4,8,31,228,198,3703,17087,42212,12351,2024,444,1984,80004
SOS62,35,328,2164,6380,2071,342,68,274,11661,0,57,112,50,6,0,0,14,243,0,0,0,3,0,0,0,0,3,0,57,114,54,11,0,0,14,248,4,67,53,13,3,0,0,14,151,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,6,68,56,13,3,0,0,14,164,12,39,36,29,7,3,8,15,144,0,7,21,34,7,0,3,4,77,58,492,2392,6499,2098,346,76,315,12287
SOS63,186,1194,5288,17232,8431,1721,450,678,35178,0,21,20,54,20,3,0,0,118,0,0,3,4,0,0,0,0,8,0,21,23,54,20,3,0,0,123,3,19,19,15,4,0,3,3,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,19,15,4,3,3,3,63,38,116,67,53,21,3,0,18,309,6,14,56,90,47,14,10,24,253,238,1363,5446,17436,8523,1745,461,727,35932
