SOS_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SOS10,604319,33836,18513,8174,763,399,2412,668407
SOS11,117770,10759,7702,1658,253,148,1315,139608
SOS12,12921,1124,793,189,21,16,177,15232
SOS13,56338,3807,2444,796,95,60,564,64109
SOS17,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0
SOS20,493291,27671,13605,5565,512,240,1424,542311
SOS21,93227,8025,5288,835,142,67,623,108217
SOS22,8504,701,483,65,8,7,76,9854
SOS23,43874,3055,1857,416,64,24,282,49588
SOS27,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0
SOS30,318088,27640,16234,4171,607,297,1644,368678
SOS31,72812,6931,5149,1063,216,109,627,86907
SOS32,11474,1111,733,249,34,16,197,13822
SOS33,42491,3321,2173,563,105,35,398,49083
SOS37,0,0,0,0,0,0,0,0
SOS39,0,0,0,0,0,0,0,0
SOS40,115979,9200,4626,1236,172,75,495,131777
SOS41,26155,2476,1701,255,51,17,236,30888
SOS42,4345,399,266,69,10,8,53,5144
SOS43,14821,1132,658,147,19,13,125,16923
SOS47,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0
SOS50,203267,14635,8171,2421,300,144,971,229904
SOS51,33177,2839,2111,483,85,41,335,39070
SOS52,4938,468,370,162,29,16,143,6120
SOS53,14911,1018,652,219,29,22,180,17041
SOS57,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,0
SOS60,15020,1579,931,141,25,15,106,17813
SOS61,15874,1840,1190,149,30,14,147,19250
SOS62,2502,262,167,29,6,3,22,2986
SOS63,9625,857,551,91,14,12,83,11233
SOS67,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,0,0,0
SOS70,11035,961,578,215,24,7,68,12891
SOS71,3971,303,200,236,27,30,102,4868
SOS72,1939,150,72,276,38,15,118,2611
SOS73,2801,256,184,117,13,14,55,3445
SOS77,0,0,0,0,0,0,0,0
SOS79,0,0,0,0,0,0,0,0
SOS80,42595,3005,1594,437,43,23,165,47864
SOS82,35,3,0,0,0,0,0,40
SOS83,93,8,0,0,0,0,0,106
SOS87,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0
SOS91,147,5,0,0,0,0,0,156
SOS92,134,14,4,3,0,0,0,163
SOS93,98,7,8,3,0,0,0,108
SOS97,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0
