SOS_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
SOS10,24,81,504,1477,4980,6293,11363,5891,1052,879,853,945,888,639,669,36532,21,41,292,1151,1709,6977,6281,4629,765,1801,1062,688,739,462,638,27248,3,4,38,243,1264,2930,5138,5095,805,1151,1547,1943,1885,933,1400,24376,17,80,1372,8083,1564,2223,1283,472,65,60,121,123,81,54,553,16148,3,15,72,3753,1911,2321,2008,903,191,168,174,163,195,124,401,12404,1073,10796,24806,40859,20204,19576,27591,20986,4970,5235,5101,4588,4592,2281,6034,198682,39,162,475,1891,1796,2801,4661,3881,989,1181,1167,1413,1774,1257,822,24312,0,22,51,747,26122,23274,9900,7932,1484,1937,2296,2191,2131,1299,3027,82407,3,11,70,120,439,420,1755,1235,196,157,150,134,160,122,73,5031,516,6318,10594,37237,34363,52817,61771,51048,9032,11212,14879,16679,18676,13337,11749,350231,3356,45309,92423,168750,177143,295367,344328,266941,52610,61960,71856,76089,81293,52270,62668,1852362
SOS11,3,34,136,313,510,374,1080,1111,143,232,110,74,96,66,116,4382,0,24,43,56,70,126,126,305,64,121,112,68,58,27,33,1232,0,0,3,23,71,179,401,419,81,85,93,108,96,70,111,1746,0,4,25,108,13,17,18,4,3,3,0,3,0,0,14,221,0,0,10,48,21,37,70,35,10,3,5,12,7,3,13,280,426,5141,9759,13801,4913,3333,3727,2579,474,467,486,359,323,169,2068,48039,7,57,132,570,385,413,712,474,116,101,99,111,132,84,130,3528,0,0,5,26,170,113,126,213,54,62,50,82,98,97,140,1251,0,3,29,26,134,67,239,350,56,34,51,15,43,19,30,1099,110,1265,1893,3550,1751,1794,2533,3058,694,854,871,910,1157,628,1157,22233,939,12767,18343,25293,15169,13521,16858,17122,3518,4438,3960,3963,4247,2514,7189,149849
SOS12,0,6,20,29,57,45,96,86,3,0,15,0,4,0,12,360,0,0,4,9,3,11,4,11,3,0,0,4,0,0,0,52,0,0,0,0,8,19,25,18,5,3,6,10,6,3,12,119,0,3,4,6,0,3,0,3,0,0,0,0,0,0,0,22,0,0,0,5,8,3,0,0,0,0,0,0,0,0,0,16,27,523,1122,1684,612,404,422,236,63,41,26,29,26,3,210,5447,0,4,27,76,54,35,54,68,12,14,3,8,9,8,21,391,0,0,0,6,15,6,3,8,5,0,10,6,11,4,3,77,0,0,0,5,9,8,8,8,0,4,7,0,0,0,3,59,5,99,218,434,224,169,179,108,12,33,22,29,28,21,81,1659,59,1228,2104,3078,1783,1382,1447,993,212,212,174,189,185,75,587,13713
SOS13,3,8,74,134,242,187,446,357,47,39,33,42,37,15,36,1706,0,6,13,29,27,25,14,38,10,3,0,3,0,3,12,192,0,0,3,18,31,49,81,89,17,5,21,30,31,18,35,443,3,0,6,53,10,10,3,0,0,0,0,0,0,0,10,100,0,3,0,22,11,4,18,5,0,0,0,0,0,0,15,84,93,1530,3617,5230,2077,1591,1603,861,159,146,165,94,103,46,787,18087,0,35,97,319,216,241,352,212,53,49,41,46,29,25,58,1776,0,0,3,11,69,59,29,23,7,12,6,12,15,12,62,306,0,0,17,15,75,40,82,36,3,0,7,8,0,0,0,289,25,419,840,1785,908,833,753,425,76,96,105,93,122,47,429,6948,221,4586,8134,11341,6920,6080,6042,3546,697,649,720,655,644,342,2804,53379
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,4,3,0,0,0,0,0,0,4,0,0,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,3,0,0,0,0,0,0,0,3,19,0,15,13,28,16,14,10,8,6,5,0,4,3,0,22,142
SOS19,0,0,0,5,8,10,12,5,0,0,0,0,4,16,11,77,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,3,3,4,0,0,3,8,4,8,4,39,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,4,9,0,0,0,0,0,0,3,3,18,0,31,60,107,45,32,32,21,7,7,9,28,86,93,46,595,0,0,0,3,3,5,13,0,3,4,3,6,22,15,13,82,0,0,0,0,11,15,6,8,0,0,0,3,8,10,8,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,10,6,44,31,48,45,45,16,5,21,38,106,140,111,664,0,67,119,212,197,265,250,221,57,63,77,169,383,501,425,3012
SOS20,23,58,362,992,3333,3663,6745,4374,687,697,568,633,686,426,401,23650,17,184,834,3508,2749,9858,9757,12486,1889,3193,2313,1982,2213,1552,1147,53676,0,4,18,130,837,1525,2524,3354,581,667,796,917,1180,749,723,14017,15,226,1115,7599,1986,2684,1536,608,112,99,154,116,120,47,561,16967,3,42,113,4429,2404,3089,2139,982,223,161,202,160,197,138,508,14792,818,10252,23698,33795,16953,13806,17425,15745,3815,3669,3270,3054,3122,1721,4556,155701,16,120,300,1261,1291,1879,3329,2663,782,789,807,966,1080,651,577,16512,4,16,46,388,21461,23292,9684,8767,1612,1951,2498,2425,2442,1504,2850,78945,0,7,48,71,326,244,1001,1299,143,163,133,160,177,116,62,3952,392,6477,9914,24779,25105,41935,48619,40486,8209,10084,11799,11890,12871,8443,8526,269543,2643,51525,105298,140595,123647,190494,233504,247539,48574,57950,64641,67511,72341,46266,49544,1502067
SOS21,5,13,48,178,270,181,663,631,101,83,45,73,62,35,49,2434,0,22,53,104,78,152,232,483,76,146,94,75,76,47,49,1684,0,0,0,10,30,117,220,491,74,100,103,111,94,52,94,1496,3,11,45,168,33,51,34,23,0,3,3,0,3,0,17,392,0,0,10,225,99,138,138,64,17,0,5,6,6,4,27,734,254,4074,7902,9485,3435,2330,2370,2053,412,342,301,243,231,110,1392,34931,0,30,59,330,200,179,418,304,90,75,86,76,102,29,63,2039,0,0,7,18,177,222,200,273,49,42,70,58,43,28,119,1313,0,3,11,7,45,38,135,163,18,21,18,20,13,14,11,513,67,991,1386,2194,1310,1523,3127,3592,625,641,813,720,869,490,868,19208,531,11854,16701,17899,10058,9524,14903,17475,3112,3355,3472,3191,3369,2074,5494,123008
SOS22,0,0,11,20,38,25,33,32,7,0,3,3,0,0,0,184,0,3,9,19,3,0,6,6,0,3,0,0,0,0,3,54,0,0,0,0,7,14,16,27,6,3,7,3,8,4,3,106,0,0,3,13,0,0,7,0,0,0,0,0,0,0,0,18,0,0,0,9,5,5,0,3,0,0,0,0,0,0,0,29,27,459,1086,1356,494,270,264,187,33,21,19,26,15,3,196,4446,0,4,5,40,32,33,41,33,0,9,5,18,0,0,11,233,0,0,0,4,5,13,3,3,0,0,3,0,0,4,0,32,0,0,0,3,3,8,7,0,0,0,0,0,0,0,0,18,0,67,149,255,143,132,83,79,26,22,25,30,31,24,73,1141,45,1153,1948,2249,1268,912,832,693,136,137,172,150,126,101,479,10389
SOS23,0,4,36,64,121,82,238,196,48,12,15,27,21,10,24,897,0,7,20,61,28,33,47,101,21,21,6,8,9,8,22,389,0,0,0,8,12,30,63,80,24,18,15,28,20,9,44,344,0,9,41,106,28,18,8,3,0,0,0,0,0,0,25,241,0,0,0,65,22,31,22,3,4,0,0,0,0,0,32,172,42,1381,3104,4041,1535,1120,1254,801,115,109,67,66,69,28,646,14386,0,20,27,191,105,122,178,95,25,11,13,23,20,11,22,869,0,0,0,9,52,52,44,40,4,8,5,4,16,8,174,420,0,0,13,5,17,29,36,69,5,4,7,0,3,0,7,200,17,350,639,1065,534,448,499,428,90,95,71,93,117,57,422,4924,135,4379,7192,8074,4619,3663,4610,3824,676,629,592,562,671,438,2697,42766
