RA_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
RA10,9192,2757,28271,12473,9731,7704,3868,6032,919,80952,233,248,339,375,276,296,258,553,107,2691,3860,6088,2370,2393,3805,1846,1965,1568,897,24804,3676,4583,5492,3983,4594,3441,3554,4703,7190,41226,269301,611390,236901,172510,242605,112190,66606,82218,30578,1824294
RA11,2576,580,8654,3909,2325,2356,1187,2606,236,24429,64,62,40,68,54,60,47,127,17,530,691,758,559,514,530,237,465,390,171,4308,1395,1010,2079,1451,1247,1390,1265,2146,1413,13395,51591,96939,70923,49150,45323,22823,18962,26518,5634,387873
RA12,818,116,2061,954,531,506,350,821,58,6217,30,17,11,12,12,12,17,39,8,167,256,163,121,124,129,49,132,170,49,1198,945,323,707,530,428,438,590,958,488,5406,20557,22032,17809,12521,11126,5310,5968,9372,1706,106395
RA13,68,3,89,42,36,18,36,45,4,340,0,3,0,0,0,0,0,5,3,10,5,13,8,7,5,3,8,11,7,73,83,35,42,37,34,19,48,81,37,407,1810,1281,908,762,621,215,442,578,107,6724
RA14,8,0,23,9,9,0,0,15,0,59,0,0,0,0,0,0,0,0,0,3,5,0,0,0,5,0,3,0,0,10,18,10,6,16,9,3,4,17,14,98,306,181,136,171,92,33,39,130,33,1125
RA15,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,18,14,7,11,6,7,8,3,74
RA19,14,3,42,33,7,13,5,23,0,135,0,3,0,3,0,0,0,4,0,8,0,7,3,4,8,0,3,7,0,36,6,10,17,11,7,8,9,17,26,101,200,562,348,285,168,119,144,278,58,2162
RA20,8201,2346,25658,11248,8383,7724,3660,6266,720,74220,179,186,219,231,207,201,205,428,80,1947,4034,6289,2305,2975,4005,2005,1596,1523,803,25533,3215,3707,5254,3482,3575,3125,3028,3972,5488,34847,213405,494618,204145,154776,184129,95479,54057,73191,22804,1496607
RA21,2165,465,6903,2764,1918,2067,840,2308,187,19617,41,56,41,40,27,42,33,109,22,402,744,850,508,584,541,247,335,363,137,4308,1572,840,1943,1233,955,1079,1092,1919,1229,11863,44444,78741,58919,40376,31537,17199,14157,22953,4645,312975
RA22,596,83,1388,550,418,462,137,561,42,4241,16,4,3,7,14,10,4,27,6,82,127,127,80,109,71,36,60,72,18,696,533,155,395,270,193,267,292,505,280,2896,11639,13448,10262,7938,5574,3242,2996,5317,923,61329
RA23,19,0,12,9,3,0,0,5,0,54,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,11,3,3,7,4,0,3,0,3,3,28,177,154,75,86,48,31,24,47,10,652
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,4,0,22
RA29,9,3,34,8,3,3,4,6,0,75,0,0,0,0,0,0,0,0,0,0,3,4,5,7,3,3,0,6,0,34,4,5,15,4,0,0,9,14,15,66,132,367,223,181,112,65,72,142,34,1337
RA30,6101,1755,17884,8983,6634,6024,2338,5041,514,55281,119,128,144,207,220,243,124,300,48,1540,1672,2408,1403,1402,1696,769,1087,945,471,11846,1790,1882,3176,2144,2246,1939,1900,2912,3437,21421,121732,284015,145007,107107,117736,60572,34543,54486,13682,938885
RA31,1583,388,5087,2375,1528,1546,896,1862,133,15392,44,34,63,46,35,45,33,97,15,403,352,431,385,366,330,146,439,307,86,2844,741,471,1317,848,639,721,871,1402,923,7934,26946,55698,49753,30317,25336,12987,14035,18491,3213,236782
RA32,1456,281,4123,1996,1247,1219,842,1394,117,12664,35,36,34,33,16,46,22,78,11,314,334,375,274,337,299,105,297,227,76,2314,690,423,947,674,485,576,768,1185,757,6505,22555,42518,36477,23322,19133,9705,11691,13279,2581,181246
RA33,166,19,405,157,108,73,142,155,4,1233,7,0,3,3,5,0,0,7,0,27,35,23,34,28,20,9,37,25,6,222,121,48,122,92,55,51,107,155,101,858,2971,3419,4123,1884,1543,673,1792,1672,284,18365
RA34,111,19,209,116,73,38,61,104,4,723,4,0,3,5,3,3,0,3,0,28,34,20,9,24,28,10,10,22,5,158,111,70,113,113,79,38,80,161,74,842,2253,2429,2085,1579,1252,394,808,1249,219,12281
RA35,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,0,4,3,0,4,0,33
RA39,10,4,46,22,16,11,3,34,0,143,0,0,0,0,0,0,0,3,0,4,3,6,7,3,0,0,4,0,3,31,4,11,11,9,0,7,7,19,21,81,163,407,308,245,129,83,129,441,58,1957
