RA_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
RA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,121420,16286,5099,592,242,143649,144739,18383,5226,156,417,168931,33854,17726,13686,114,200,65577,9575,12082,3911,14,55,25644,21955,7809,5674,127,170,35728,1736,2414,1160,9,13,5330,2452,765,665,176,33,4093,1143,494,258,12,8,1919,70706,41292,25352,453,476,138285,2471,3732,1268,16,62,7547,6929,2634,1247,55,169,11035,346271,82332,38195,1279,1366,469442
RA41,27404,751,194,365,144,28859,29965,478,105,93,129,30777,7001,1166,692,21,38,8923,1269,946,209,0,10,2437,4614,339,159,35,42,5197,323,271,86,0,3,682,700,74,39,71,16,900,410,51,23,4,4,497,14325,2849,1206,140,118,18631,896,361,37,10,19,1323,1541,187,87,31,39,1886,74133,4619,1638,632,452,81479
RA42,23898,935,156,372,122,25476,19092,1073,53,106,103,20424,4929,1104,507,12,25,6572,1650,2081,500,0,11,4243,4345,418,143,44,42,4990,203,185,86,0,3,474,1295,118,60,75,39,1591,569,79,18,14,9,698,12991,3985,1314,148,128,18570,498,170,58,12,7,738,1491,300,103,45,41,1984,57966,6459,1683,685,400,67196
RA43,5674,146,45,153,54,6075,4574,114,17,46,27,4777,1133,237,159,4,8,1536,415,202,72,0,0,681,1354,103,49,18,17,1536,54,40,16,0,0,111,564,106,32,31,25,747,179,21,9,3,6,219,3695,703,334,55,48,4838,128,18,12,6,0,163,336,48,12,10,17,422,14409,1025,417,273,154,16277
RA44,1351,9,8,67,32,1473,744,0,0,10,12,771,203,5,6,0,0,217,556,19,20,0,3,595,322,10,9,13,13,357,170,4,3,0,0,176,329,21,10,13,11,385,109,7,3,4,5,127,1685,55,49,25,35,1854,59,3,4,7,4,71,181,3,6,34,9,234,4023,72,66,151,87,4406
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,160206,23498,5952,1192,233,191084,245744,30504,8342,258,462,285310,55969,25850,18016,110,279,100219,7489,9072,3091,8,29,19694,34724,11746,5414,119,158,52161,768,1305,743,13,16,2846,3532,1149,612,291,60,5653,1756,657,252,26,18,2710,104236,49776,28122,565,569,183274,2699,3008,1502,30,39,7267,10218,3302,1497,132,274,15426,523103,110094,45415,2175,1574,682358
RA51,22527,906,198,684,115,24433,29209,594,68,140,113,30119,6711,1139,295,10,22,8181,1220,929,190,0,8,2344,5390,460,92,39,36,6021,89,107,123,3,4,323,757,89,27,163,23,1051,453,56,19,13,9,543,14612,2780,738,234,96,18458,443,170,142,18,3,783,1470,174,77,64,59,1851,68263,4622,1233,1138,393,75642
