RA_CODE_2016,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54
RA23,9,15,21,12,6,0,75,11,6,20,18,28,17,0,3,101,0,0,0,3,6,5,0,0,20,0,6,10,3,14,3,0,3,45,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,11,7,15,22,21,22,25,12,130,40,69,109,115,157,128,49,19,673,0,9,6,11,8,10,5,0,46,0,0,3,0,3,3,0,0,6,5,8,9,28,38,44,24,9,167,3,10,8,6,34,17,8,4,89,8,19,24,27,18,12,3,0,94,3,11,29,18,42,21,13,0,139,7,18,19,33,39,49,3,0,166,3,15,20,18,32,33,7,0,127,11,10,24,27,38,23,5,3,136,0,4,3,4,11,11,0,0,30,3,11,15,12,18,9,3,3,77,0,0,0,0,0,0,0,0,6,0,0,5,0,7,0,3,0,14,26,20,29,48,47,53,43,22,288,70,130,193,229
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,3,5
RA29,37,27,36,12,3,0,259,42,101,52,30,25,11,0,0,264,19,51,21,11,4,0,0,0,101,25,35,23,13,8,0,0,0,101,3,0,0,0,0,0,0,0,3,4,7,3,6,8,3,0,0,27,139,200,151,89,76,40,13,11,711,348,640,356,230,211,95,23,16,1920,19,43,19,12,9,6,3,0,118,8,41,18,5,4,3,0,0,80,32,123,61,59,50,46,10,0,387,22,68,37,27,24,6,4,0,196,12,28,14,13,8,3,0,0,78,31,91,39,30,32,13,0,0,247,16,38,28,18,35,18,3,0,154,83,182,85,54,53,21,3,0,481,50,147,71,50,48,21,3,0,391,25,79,35,19,11,0,0,0,170,29,54,39,26,18,3,0,0,171,3,0,0,0,0,0,0,0,5,13,10,15,9,8,3,0,0,63,318,513,501,337,227,113,32,9,2040,650,1413,971,670
RA30,41870,32830,20251,9907,3217,1234,171928,12806,27588,26681,21649,15704,7483,1648,410,113972,5515,9669,6966,4473,2452,1416,636,265,31396,9547,13663,10427,8065,4658,3247,889,342,50845,593,217,193,204,247,339,335,162,2293,603,1567,2014,1554,1061,579,216,115,7697,14479,16482,13468,13178,11701,10729,9506,8678,98227,78801,169311,156605,130746,94730,55657,25489,14206,725539,3834,9523,8585,6891,4972,3306,1103,315,38541,4585,11905,12472,7005,3291,1065,144,12,40484,12651,38865,38763,39759,34295,25832,12884,3791,206835,6852,21023,18740,16439,13209,8967,4406,1226,90867,1753,4390,5244,4113,2787,1613,650,180,20725,10958,34012,30617,28764,22700,12636,5677,1960,147325,3859,17705,22865,22314,20425,13040,4930,1304,106439,28644,71446,68656,55664,36037,19608,6430,2083,288564,19669,39843,38201,31250,23149,12368,3418,820,168718,9982,16227,11299,7146,4276,2528,1105,391,52957,13427,20782,16704,12849,7482,5206,1623,526,78590,1148,484,348,376,438,549,515,243,4094,1270,3370,4161,3560,2537,1525,679,301,17404,30263,35039,29701,28233,23937,21019,16585,12724,197504,148897,324608,306359,264359
RA31,8638,8002,5819,2858,874,239,39452,2958,5595,6187,6283,5408,2366,477,81,29351,619,1091,1031,911,677,466,156,52,5003,2976,3748,3268,2598,1674,1080,235,72,15646,113,61,46,60,88,116,120,55,653,114,255,382,357,296,166,82,19,1680,5052,4147,4525,5312,5404,5566,4439,2989,37446,20150,35632,38038,38711,33014,20720,9651,4352,200267,327,1095,1424,1322,1176,822,294,54,6513,795,1211,1259,884,673,322,45,0,5190,5435,13144,13705,14945,14265,11186,4901,1120,78703,1902,4629,4669,4967,5350,3858,1623,320,27316,1072,1907,2600,2453,1900,997,433,91,11462,2190,6829,7004,8530,8311,4861,2024,562,40304,1087,4836,6963,7678,7287,4761,1733,378,34729,5887,11749,12362,11947,9190,4982,1546,400,58056,4088,7242,8077,8167,7242,3741,941,163,39665,1025,1639,1522,1377,1137,833,288,80,7901,4124,5396,4927,4050,2843,1918,511,144,23919,238,119,91,112,169,216,204,83,1234,316,670,937,1009,823,551,262,70,4641,11216,10207,10778,12116,11777,11370,8242,4612,80317,39700,70678,76319,79553
RA32,6692,5502,3487,1437,379,99,27489,1977,4443,4550,4202,3423,1419,266,35,20315,374,891,832,584,428,220,88,23,3446,1956,2930,2438,1894,1004,554,141,32,10950,89,41,30,49,59,74,41,34,412,90,251,307,319,177,91,42,8,1284,4603,4530,4424,4677,4319,3657,2429,1238,29885,15402,30697,29866,27341,21432,11785,4987,1895,143405,417,1436,1435,1146,900,569,178,44,6128,515,925,779,558,352,141,32,3,3307,4174,10902,10624,11036,9848,6460,2526,582,56157,1151,3488,3398,3434,3599,2278,942,170,18459,750,1759,1998,1695,1171,557,219,52,8200,2000,5903,5508,5631,5142,2564,992,247,27984,934,4041,4869,4866,4503,2517,831,183,22744,3825,9443,9410,8277,5626,2547,688,182,39991,2825,5996,6083,5642,4524,2156,481,68,27774,597,1330,1164,923,723,426,158,36,5357,2730,4499,3946,3184,1902,1140,314,58,17764,166,96,64,92,125,124,83,56,806,244,593,717,857,524,291,132,35,3397,10370,10687,9926,10625,9536,7718,4750,2000,65620,30699,61095,59916,57975
RA33,530,413,245,96,18,3,2335,148,369,328,309,233,94,14,5,1494,40,86,70,38,19,17,9,0,273,179,309,206,138,84,29,0,5,952,8,7,5,9,0,0,3,0,35,11,19,36,20,17,4,3,0,116,644,726,524,642,533,370,201,67,3715,1753,3502,2661,2483,1896,960,353,98,13705,22,122,106,79,55,30,4,3,421,40,60,54,24,21,11,0,0,214,518,1620,1339,1241,1051,532,192,31,6521,103,348,290,267,295,183,66,5,1563,177,365,347,280,162,74,27,3,1429,149,482,407,485,438,177,65,12,2214,189,554,465,435,359,204,46,10,2256,348,978,716,584,366,146,28,5,3171,206,485,426,384,291,145,24,3,1965,52,110,91,57,31,26,14,0,386,262,490,344,256,166,70,13,4,1600,7,15,7,13,8,13,11,0,75,28,60,69,61,56,25,7,0,309,1429,1772,1340,1465,1297,920,427,123,8765,3522,7451,5999,5630
RA34,366,290,169,45,7,3,1579,173,312,242,233,157,50,8,0,1169,22,50,25,26,20,4,0,0,152,130,169,101,97,47,17,0,0,571,9,0,9,12,5,4,3,0,35,6,20,26,16,14,3,0,0,90,568,505,391,389,330,249,127,69,2634,1493,2388,1847,1719,1355,557,223,91,9677,20,58,52,41,13,24,4,0,218,14,24,25,21,23,6,0,0,109,308,721,587,573,467,248,76,6,2988,169,323,275,203,220,91,24,5,1300,196,282,262,230,192,53,17,7,1242,119,326,311,374,385,126,42,11,1696,141,459,358,304,268,73,27,6,1644,250,613,502,426,301,62,13,9,2184,220,397,330,322,228,74,9,3,1591,36,72,52,31,24,12,7,0,239,182,267,181,156,105,56,7,0,958,11,9,9,10,7,13,6,0,60,24,49,44,41,26,8,4,0,200,1189,1102,838,825,756,563,279,103,5659,2881,4705,3824,3559
RA35,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,16,5,6,3,8,9,3,4,3,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,9,0,3,23,10,11,12,8
RA39,75,70,102,54,11,0,520,62,123,50,62,94,29,6,0,419,37,58,14,13,4,16,0,0,143,40,38,21,23,34,29,0,0,193,3,0,0,0,0,0,0,0,7,4,3,6,3,8,3,0,0,25,151,225,135,153,201,119,40,9,1035,452,785,391,435,655,377,77,11,3183,20,48,13,12,17,16,0,3,130,11,18,13,17,15,4,0,0,87,47,185,114,148,224,223,52,7,989,28,89,54,52,81,87,18,3,415,19,41,27,29,20,18,3,0,156,50,133,53,81,141,86,10,0,542,12,46,25,40,81,66,13,0,281,120,214,114,117,166,105,21,0,854,95,180,71,78,123,64,5,0,616,51,91,26,14,15,19,3,0,218,57,76,52,43,60,47,0,0,340,5,3,3,0,3,0,0,0,16,13,9,15,9,19,10,3,0,71,318,579,474,447,461,311,94,18,2696,839,1709,1058,1085
RA40,15167,11553,7402,3677,1310,639,60951,4643,11735,11181,10002,7873,3958,992,275,50675,1335,3090,2345,1635,998,645,283,125,10454,3079,5071,3670,3214,1948,1401,465,181,19023,152,95,92,155,124,187,177,85,1073,197,787,887,614,413,270,128,81,3370,4618,5071,4274,4554,4527,4794,4634,3798,36274,25960,66464,59095,51261,42065,25980,12489,7113,290428,1428,4547,4322,3404,2756,1802,667,206,19138,1261,5065,4646,2609,1516,469,71,9,15640,5090,15735,15419,16873,14680,11773,6558,2381,88512,3030,6659,4852,4928,4283,3096,1845,607,29298,865,2246,2044,1777,1227,615,254,96,9116,4371,15609,13229,12703,12002,6269,2752,1182,68118,1542,7327,7563,7455,9598,7273,2334,871,43951,7982,26462,25781,20503,14282,8125,2939,1165,107236,6696,16988,16059,14424,11839,6712,1887,557,75161,2510,5537,4098,2806,1911,1189,468,176,18687,4346,7915,5915,5042,3156,2210,776,267,29638,302,166,166,224,203,272,285,127,1745,445,1574,1746,1391,1048,699,342,178,7421,9731,11007,9599,10000,9359,8860,7890,5729,72160,49590,126832,115425,104128
RA41,1985,1920,1338,773,242,94,8803,723,1378,1583,1813,1534,777,157,27,7994,134,286,287,227,187,119,56,29,1324,567,801,710,582,373,303,81,19,3439,15,12,22,20,22,39,31,17,184,22,49,90,88,60,58,14,15,390,1016,693,847,1053,1233,1191,942,624,7594,4044,7645,8792,9275,8578,5824,2360,1116,47632,89,360,488,435,416,338,88,28,2237,104,264,262,209,171,75,10,0,1098,943,2346,2589,3234,3096,2721,1250,357,16535,459,883,786,876,914,675,331,87,5008,334,737,947,849,684,409,127,43,4126,482,1361,1676,2207,2455,1421,539,184,10328,224,1062,1341,1306,1892,1598,434,126,7978,922,2432,2955,3017,2342,1582,522,160,13939,946,1832,2076,2341,2153,1261,320,68,10998,253,441,420,359,335,223,100,43,2165,771,1218,1168,953,648,512,146,38,5456,24,27,27,36,33,58,45,32,279,66,128,186,241,175,169,54,27,1044,2199,1641,1886,2270,2491,2378,1754,1004,15625,7819,14717,16814,18328
RA42,1363,1150,791,318,114,34,5531,482,972,1018,1229,970,416,67,17,5168,55,119,96,75,81,35,11,6,486,390,613,510,365,262,188,53,15,2405,16,22,18,23,19,22,17,19,154,18,35,39,53,23,25,13,5,212,857,672,662,978,1084,1210,971,721,7159,3027,5773,5779,6222,5765,3718,1819,983,33083,28,158,145,170,164,108,28,3,805,89,124,121,101,62,43,8,0,550,944,2091,2080,2526,2600,1995,925,242,13410,284,551,429,547,616,527,255,58,3268,353,719,932,826,526,300,105,48,3806,345,1030,1005,1463,1737,841,332,100,6849,256,977,961,862,1128,890,253,62,5399,659,1625,1842,1720,1333,645,198,60,8078,584,1234,1273,1522,1266,597,101,25,6610,84,160,141,123,140,82,26,11,768,548,908,761,623,485,321,106,30,3784,23,39,24,42,34,47,31,20,269,41,97,107,138,91,82,42,17,616,1970,1868,1880,2363,2382,2451,1785,1075,15767,6216,11589,11702,13010
RA43,359,280,199,96,22,10,1435,101,237,261,270,232,101,19,5,1226,10,46,44,26,26,12,7,4,164,90,185,160,126,71,52,10,3,699,0,4,3,0,0,0,11,0,22,6,9,13,17,9,8,4,3,57,232,214,216,241,277,223,191,150,1745,693,1716,1648,1567,1536,876,409,225,8673,13,74,69,37,40,38,8,0,278,7,29,23,19,21,10,3,0,114,231,682,675,694,620,421,178,47,3539,77,230,155,180,192,145,55,22,1071,91,263,272,223,144,85,24,5,1113,74,292,251,383,470,201,67,22,1761,63,299,269,251,338,246,80,28,1576,143,486,485,402,350,169,43,19,2105,127,296,327,333,320,147,35,5,1599,11,59,62,42,43,23,8,3,251,111,267,252,202,125,86,30,3,1072,3,6,8,3,9,3,11,0,40,7,20,28,36,26,21,11,4,157,512,535,515,604,648,524,363,235,3945,1470,3547,3403,3424
RA44,87,65,44,11,0,0,304,29,78,66,69,58,23,3,0,338,0,10,11,5,9,0,0,0,35,11,32,35,17,9,7,0,0,116,0,0,0,0,0,3,0,0,5,0,3,3,3,0,3,0,0,17,165,169,137,166,132,79,44,43,933,297,569,487,471,440,205,64,49,2578,0,24,19,7,6,5,0,0,61,4,7,9,3,0,0,0,0,24,54,167,164,139,172,95,35,7,828,14,38,46,61,48,24,12,3,253,29,52,67,50,31,25,0,0,259,22,75,65,84,104,48,7,0,404,40,131,84,82,109,43,12,3,496,31,100,116,101,77,24,3,0,460,37,121,99,88,85,29,3,0,463,5,14,13,7,17,5,0,0,68,19,61,55,37,38,15,5,0,229,0,0,0,0,0,3,3,0,18,9,3,8,11,9,6,3,0,47,316,347,302,357,305,193,104,65,1990,581,1149,1050,1030
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,10,15,18,11,0,0,98,9,21,12,21,12,8,0,0,80,3,4,3,3,0,3,0,0,22,5,10,4,10,3,3,0,0,38,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,5,31,41,41,51,25,15,10,0,211,72,153,92,129,92,47,10,4,604,3,13,3,9,3,3,0,0,32,0,5,3,0,0,0,0,0,11,22,61,33,28,42,36,10,5,229,3,22,11,13,10,13,3,0,83,3,10,7,9,3,8,0,0,40,4,25,17,25,18,3,0,0,92,0,11,7,11,12,13,0,0,51,16,60,14,25,28,16,0,3,167,16,36,16,28,19,15,0,0,130,8,14,9,8,0,5,0,0,43,15,20,14,6,9,3,0,0,66,0,0,0,0,4,0,0,0,10,3,0,3,10,0,0,0,0,18,87,112,127,152,89,49,12,3,630,185,393,264,317
RA50,25769,19621,12048,6597,2702,996,104557,6378,17455,15845,12768,9710,4715,1269,324,68477,2854,5841,3992,2507,1437,952,419,151,18156,4979,9311,6438,5157,3023,1882,563,240,31585,253,173,139,128,171,227,191,70,1362,440,1234,1124,948,631,330,174,53,4936,8615,11615,8910,8238,7440,6980,6883,5871,64551,45096,116056,100096,82513,60448,35635,18497,9717,468063,3352,8922,7927,6319,4331,2573,786,254,34457,2329,7891,7418,4082,1931,584,82,7,24324,11857,36804,34321,32012,26116,17423,8202,2220,168943,4984,13619,10014,9204,7039,4845,2740,693,53130,1129,3506,3470,2675,1744,1060,459,133,14159,6941,23488,19487,17842,14320,8211,3864,1247,95399,3060,12172,14319,15116,14090,7980,3314,926,70974,13559,44924,41827,33702,21734,12742,4871,1566,174926,9463,24671,22150,18114,14266,7643,2282,601,99188,5001,9484,6445,4064,2627,1612,683,225,30142,6500,14257,10184,8214,4965,3051,1039,353,48563,556,329,281,266,297,369,321,115,2524,803,2442,2382,2220,1502,854,462,162,10837,18265,25827,20265,18497,15611,13517,11919,8512,132418,87786,228346,200480,172322
RA51,2011,1825,1283,714,268,59,8934,571,1163,1421,1383,1181,490,119,23,6349,148,329,333,252,177,146,56,22,1462,504,929,773,613,397,283,52,29,3579,24,18,4,15,17,24,20,8,131,16,68,95,108,64,44,16,3,422,1248,1005,1229,1347,1359,1291,998,578,9051,4340,8435,9822,9314,7948,4926,2294,915,47989,126,428,571,453,332,213,66,18,2212,175,275,262,199,111,56,17,0,1081,1480,3239,3767,3940,3506,2439,972,222,19554,517,1222,1168,1211,1083,721,311,64,6306,228,595,783,658,542,306,150,25,3283,444,1417,1725,1873,2021,1181,501,127,9291,264,1086,1810,1946,1910,1119,364,70,8576,1073,2436,2775,2702,1986,1292,403,102,12761,732,1436,1778,1724,1522,782,204,42,8211,244,459,457,361,295,232,84,31,2170,666,1348,1291,1065,662,450,111,46,5635,53,35,21,27,20,41,34,13,251,43,144,214,251,177,106,41,16,996,3070,3330,3500,3431,3030,2642,1829,902,21734,9127,17439,20120,19828
RA52,1457,1362,940,520,160,51,6590,459,925,1021,981,930,415,75,14,4824,108,188,182,186,149,96,39,4,954,408,708,540,444,268,163,49,15,2600,33,14,3,12,19,28,30,8,147,17,44,56,68,54,23,9,3,282,1081,1089,1058,1257,1308,1094,866,460,8208,3614,7093,7319,7314,6491,3947,1878,727,38381,92,333,415,291,251,159,43,9,1587,135,193,174,122,99,41,6,0,778,1278,2933,2791,2968,2724,1745,687,169,15299,445,844,634,745,781,524,243,61,4271,408,699,877,848,633,388,160,41,4064,382,1306,1305,1455,1560,971,412,109,7488,253,1050,1416,1566,1521,820,303,72,6997,821,1851,2019,1921,1478,869,274,76,9306,604,1193,1323,1310,1241,602,139,35,6443,175,288,268,264,236,172,51,7,1458,527,950,839,736,484,309,95,25,3968,51,26,16,23,36,48,46,12,259,43,141,151,174,143,69,47,13,781,2436,2623,2527,2894,2884,2277,1658,758,18048,7646,14433,14746,15314
RA53,844,584,330,103,30,9,3308,168,579,489,346,255,96,16,5,1946,32,160,121,78,43,19,8,3,459,161,443,277,202,102,27,14,3,1237,7,9,7,4,8,7,4,3,61,11,46,38,40,19,5,3,0,164,668,965,790,790,589,371,221,109,4492,1758,4952,4158,3192,2262,986,437,156,17910,29,173,194,96,60,20,4,0,576,39,93,110,44,19,8,0,0,316,589,2282,1979,1536,1081,454,111,26,8048,169,532,412,348,273,107,53,9,1911,149,387,436,342,216,111,43,7,1701,138,735,651,567,506,215,76,13,2901,149,706,769,593,520,199,77,20,3036,389,1397,1222,857,545,172,50,13,4647,224,769,651,497,344,126,25,11,2653,53,223,169,107,66,31,12,3,658,201,587,430,341,186,68,24,6,1846,13,19,19,14,12,17,5,5,103,26,85,104,101,61,14,7,0,392,1462,2235,1896,1844,1403,812,426,187,10271,3630,10231,9041,7281
RA54,420,283,207,65,21,6,1787,84,382,262,215,147,51,3,0,1141,24,65,64,29,18,9,0,0,217,98,260,197,102,52,28,4,0,749,5,10,11,7,3,0,0,0,39,10,27,17,40,13,0,0,0,102,667,1009,707,706,487,277,84,37,3972,1367,3409,2500,2056,1498,616,155,52,11659,31,255,186,89,55,13,3,0,637,15,73,71,34,14,4,0,0,206,547,2706,2038,1709,984,300,68,15,8367,99,504,386,324,237,100,18,0,1672,114,268,229,169,149,49,9,0,993,74,440,403,394,372,128,25,8,1847,110,512,400,397,332,98,12,3,1872,264,826,688,504,346,99,23,6,2763,116,550,397,330,231,86,8,4,1724,36,124,108,60,47,24,3,0,400,124,442,372,256,137,64,7,0,1405,15,13,17,10,9,6,4,0,77,17,70,73,97,51,12,0,0,327,1600,3094,2430,2102,1409,648,205,64,11558,3179,9878,7798,6486
RA55,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,8,3,5,0,3,0,0,0,0,22,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,46,51,38,13,3,0,0,163,0,15,0,3,3,0,0,0,22,0,0,3,0,0,0,0,0,3,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,3,0,6,0,0,0,0,12,0,3,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,3,0,8,6,4,4,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,27,22,21,8,0,0,0,82,11,106,100,83
RA59,36,26,46,23,0,0,231,10,48,15,19,37,9,0,0,135,12,25,3,4,5,3,0,0,50,10,29,17,10,22,5,0,0,96,0,0,0,0,0,3,0,0,6,0,0,4,3,3,0,0,0,13,84,151,100,103,74,55,12,5,583,184,440,223,218,263,136,25,7,1493,12,26,18,10,10,3,0,0,73,4,13,10,5,8,5,0,0,45,35,161,90,111,110,70,9,3,593,14,65,42,23,35,18,0,0,197,8,22,16,12,17,12,0,0,82,15,67,23,30,46,25,4,0,205,10,30,16,13,42,26,3,3,138,35,101,57,43,68,41,8,0,354,22,73,26,28,42,16,0,0,212,15,38,10,12,9,10,0,0,85,15,45,31,23,30,10,3,0,161,0,4,0,0,0,3,0,0,13,3,6,11,10,3,4,3,0,44,181,382,320,360,212,130,26,8,1601,374,1033,673,680
