RA_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
RA10,6577,6657,5110,1089,1792,400,21638,1385,1107,1146,174,437,59,4306,2536,2132,2280,436,964,105,8453,2097,1959,1888,406,819,81,7244,3333,3210,3134,777,1447,129,12025,4460,5168,4345,1153,2062,226,17418,5881,8428,5904,1651,2438,242,24541,6901,11216,6516,2223,2845,299,29999,7004,13218,5984,2078,2465,293,31039,8589,17293,6997,2550,2883,352,38659,6755,14689,4729,1787,1817,263,30033,14213,31416,11847,3320,3556,588,64938,6024,14215,3720,1248,1114,159,26480,5701,13424,3623,933,873,172,24732,11565,27072,7926,2072,1944,350,50929,18662,45678,13072,2771,2623,535,83344,7812,20856,6039,1077,1052,235,37071,7034,20473,5484,1043,885,214,35131,5223,10211,5519,1258,1826,362,24406,131746,268423,105260,28038,33843,5064,572376
RA11,2141,971,758,215,316,52,4449,767,240,207,91,153,16,1472,1430,584,580,171,299,44,3105,1206,574,520,213,305,25,2840,2189,1395,998,490,572,44,5692,2947,2634,1528,752,774,90,8729,3304,3656,1751,920,847,79,10560,4024,5419,2080,1219,944,87,13774,3474,5613,1701,917,688,83,12472,3751,6661,2090,951,634,69,14163,2429,4895,1257,550,364,40,9537,3703,7043,2271,643,490,66,14215,1402,3164,687,210,137,23,5630,915,1974,471,121,97,11,3584,2405,4871,1412,331,249,25,9294,2685,5111,1620,363,238,26,10042,959,1654,522,100,85,4,3337,689,1121,376,67,70,15,2329,2033,2153,1069,427,423,62,6168,42444,59740,21913,8749,7703,852,141395
RA12,989,550,300,62,93,13,2008,253,90,66,29,52,10,503,604,289,199,128,139,13,1375,571,377,212,122,138,11,1434,964,803,434,295,229,25,2744,1186,1260,549,352,247,27,3622,1226,1508,513,289,231,25,3802,1258,1754,564,286,250,26,4140,899,1505,450,195,143,14,3207,893,1486,428,153,126,17,3093,483,888,240,81,53,5,1761,734,1390,393,102,68,11,2692,230,434,107,28,24,3,823,154,280,71,8,9,0,532,373,673,204,50,37,0,1333,388,722,211,35,30,3,1393,178,231,82,13,14,3,523,182,229,68,12,22,0,515,795,654,357,121,125,30,2082,12369,15127,5448,2349,2028,246,37566
RA13,94,74,26,3,12,0,213,12,10,0,0,0,0,21,18,28,13,12,14,3,87,28,30,12,11,6,0,82,49,57,24,15,15,0,157,65,79,24,23,6,0,200,55,71,16,19,9,3,170,48,70,15,9,7,0,151,23,64,18,3,3,0,113,29,42,13,3,5,0,89,14,32,4,0,0,0,53,38,37,10,3,4,0,87,4,8,5,3,0,0,18,0,8,4,0,0,0,10,7,11,0,0,0,0,21,20,29,3,0,3,0,56,8,8,3,0,0,0,26,13,13,3,0,0,0,36,51,39,19,11,6,3,134,592,706,208,115,85,12,1721
RA14,12,11,3,0,0,0,26,0,0,0,0,0,0,0,7,0,0,0,0,0,8,0,3,0,0,0,0,8,8,0,0,0,3,0,13,3,0,0,3,3,0,8,7,3,0,0,0,0,9,0,4,0,3,0,0,9,3,5,4,0,0,0,10,7,4,3,0,0,0,9,0,7,0,0,0,0,9,5,5,0,0,0,0,11,0,0,0,0,0,0,4,0,3,0,0,0,0,3,0,0,0,0,0,0,8,3,7,0,0,0,0,14,0,4,3,0,0,0,6,0,4,3,0,0,0,11,13,3,3,3,0,0,21,66,68,31,11,8,0,187
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,5657,6196,4415,1027,1657,394,19342,1374,1215,1235,219,544,41,4633,2591,2436,2319,548,1182,119,9199,2159,2382,2128,549,1083,91,8388,3306,4030,3511,991,1753,165,13757,4651,6478,4735,1556,2417,257,20098,6294,10693,6134,2138,2905,315,28481,8054,14829,6634,2780,3179,400,35878,8724,18303,6192,2648,2781,418,39065,9989,21276,6481,2567,2589,444,43349,7943,17492,4325,1656,1524,332,33278,13945,30613,9467,2480,2495,586,59590,5917,12575,2807,873,767,176,23114,5422,11388,2688,691,603,170,20963,8539,17704,4699,1160,1069,264,33434,11624,26339,7451,1506,1383,367,48665,4420,10695,3044,603,568,147,19489,3480,10013,2791,634,538,131,17591,4983,9197,4972,1196,1804,397,22553,119080,233851,86048,25822,30846,5213,500867
RA21,1631,1023,694,176,257,42,3832,651,318,254,72,168,16,1474,1413,724,652,235,360,42,3432,1198,768,597,274,334,22,3197,2164,1868,1235,579,755,47,6649,2965,3287,1626,896,910,64,9747,3459,4718,1892,1010,873,82,12043,3824,6172,2064,1018,863,97,14040,3182,5806,1634,735,563,76,11997,3217,6254,1653,656,468,63,12304,1933,4152,936,297,214,36,7564,2786,5550,1548,358,310,39,10598,956,2037,422,127,87,10,3643,611,1200,322,73,50,11,2260,1444,2818,754,139,127,22,5305,1560,2847,786,153,135,23,5499,543,906,278,53,44,8,1830,405,726,237,36,41,12,1461,1847,2040,1110,331,383,72,5791,35793,53223,18702,7211,6946,778,122661
RA22,444,328,193,38,42,7,1054,172,74,60,29,39,3,382,422,206,149,75,88,7,945,369,273,159,76,94,10,978,720,653,283,186,152,17,2005,830,915,375,207,168,26,2523,774,1199,384,240,181,13,2791,794,1185,378,168,114,24,2657,598,968,239,84,89,12,1987,476,847,230,88,42,10,1695,231,455,115,38,20,5,874,361,636,213,38,25,8,1288,106,190,48,13,10,3,369,71,146,37,11,6,0,264,154,241,89,20,10,4,519,178,290,105,7,15,0,607,70,94,34,8,7,0,203,82,104,38,5,4,0,233,423,411,235,57,69,12,1206,7273,9241,3360,1376,1174,160,22587
