RA_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
RA40,100,504,3416,6204,1280,925,417,190,70,13102,0,3,25,180,204,247,271,252,79,1268,14,76,37,165,59,81,111,66,47,668,118,1289,1763,4404,8143,8135,7386,5366,2480,39081,0,16,37,212,106,94,55,25,4,552,11,29,42,179,122,77,67,48,22,602,3,42,110,420,383,569,1386,726,558,4199,0,28,49,126,191,631,1195,1448,466,4135,21,59,502,593,136,228,100,24,9,1669,292,1215,1043,7742,820,507,367,204,88,12293,33,80,118,557,124,73,76,37,15,1106,23,203,295,1024,221,153,86,43,21,2069,11,52,115,282,108,46,25,7,3,655,6,88,54,288,191,218,204,221,82,1353,10,31,69,239,482,1350,2491,2790,1319,8771,12,43,115,502,158,43,42,15,7,941,27,180,324,1022,249,66,21,6,0,1902,6,12,50,186,142,149,103,44,26,722,54,205,842,1551,486,443,343,89,38,4051,0,0,6,25,36,144,244,135,62,646
RA41,3,16,23,146,47,20,7,3,0,258,0,0,0,0,4,4,13,14,3,42,0,0,0,3,3,3,4,3,0,17,11,129,167,583,1406,1667,1705,1049,331,7046,0,5,3,11,6,4,0,0,0,34,0,3,4,14,19,15,15,5,0,75,0,3,6,73,74,125,231,124,81,715,0,0,4,3,6,17,28,18,3,81,0,5,7,21,6,4,0,0,0,36,11,18,17,115,20,14,22,8,5,240,0,3,3,24,12,11,9,0,3,67,0,0,3,9,0,0,0,0,0,16,0,0,0,0,0,3,0,0,0,3,0,0,5,23,26,21,27,27,4,136,0,0,0,8,18,58,79,101,39,299,0,10,4,36,21,4,0,0,0,75,0,9,4,25,0,0,0,0,0,44,0,3,0,6,4,0,0,0,0,14,0,3,6,47,28,20,11,5,0,115,0,0,0,3,3,15,18,3,3,40
RA42,0,11,9,55,21,14,3,0,0,112,0,0,0,0,0,11,19,14,9,59,0,0,0,3,0,0,3,0,0,10,0,30,50,164,624,864,786,503,145,3170,0,0,7,21,9,5,5,0,0,47,0,0,0,7,11,5,6,5,5,39,0,0,4,28,51,60,138,76,40,385,0,3,3,3,8,34,78,97,22,245,0,0,4,23,0,0,0,0,0,27,8,29,14,212,47,38,30,5,4,384,0,0,0,18,7,4,3,0,0,40,0,0,0,3,0,0,0,0,0,10,0,0,0,4,0,0,0,0,0,3,0,3,0,28,12,9,18,11,3,79,0,0,12,4,13,27,70,109,41,276,0,0,4,15,3,0,0,0,0,25,0,0,4,36,3,0,0,0,0,46,0,0,0,0,3,3,0,0,0,13,0,0,4,28,7,5,8,3,0,58,0,0,0,0,3,4,16,3,3,32
RA43,0,3,3,10,4,0,0,0,0,19,0,0,0,0,4,11,6,8,0,34,0,0,0,0,0,0,0,0,0,0,0,15,11,47,132,159,176,77,37,652,0,0,0,0,0,3,0,0,0,3,0,0,0,8,0,0,0,0,0,18,0,0,3,11,6,13,23,15,8,84,0,0,0,0,0,0,3,4,3,8,0,0,0,3,0,0,0,0,0,3,0,3,0,27,0,6,0,3,0,33,0,0,0,15,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,0,0,18,0,0,0,3,0,3,10,3,6,25,0,0,0,4,0,3,0,0,0,10,0,0,0,4,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,11,0,0,0,0,0,0,3,0,0,5
RA44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,9,23,33,23,12,7,107,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,0,10,5,4,9,4,0,34,0,0,0,0,0,3,10,7,0,22,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,3,0,0,25,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,3,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,10,10,19,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,3,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,148,637,2151,6881,2114,1256,466,260,127,14047,0,15,34,365,310,484,436,362,136,2151,16,150,57,251,96,124,157,84,55,990,460,4263,5482,17249,17723,13858,12366,7530,2975,81910,0,30,32,225,102,91,34,13,4,533,18,68,134,800,230,105,96,63,17,1543,18,95,281,1254,709,554,1072,381,276,4637,3,25,13,82,72,142,261,360,158,1122,36,122,481,1335,374,415,177,69,22,3030,418,1465,1921,11584,2154,1748,1499,826,359,21962,65,365,763,3095,900,601,339,130,63,6330,30,197,221,1448,307,212,125,49,23,2616,34,155,233,754,222,98,41,9,4,1542,63,543,446,3679,876,825,629,412,164,7625,26,109,171,847,569,1149,2244,2111,1109,8329,46,136,198,1562,490,166,105,43,13,2764,47,184,390,2078,345,156,48,14,4,3274,6,23,26,158,102,97,42,23,9,473,95,680,1912,5511,2375,2432,1510,597,162,15268,0,0,8,25,45,103,122,52,15,373
RA51,3,16,16,109,38,15,5,4,0,195,0,0,3,5,3,8,8,3,4,35,0,0,0,9,0,3,5,0,0,16,19,249,308,1235,1830,1671,1597,818,302,8031,0,0,0,12,7,3,3,3,0,26,0,0,9,54,16,11,14,3,5,121,0,4,20,127,76,81,178,41,21,545,0,0,0,3,0,9,0,9,3,23,0,0,4,31,8,8,0,0,0,60,9,34,21,206,38,48,37,25,14,437,6,9,20,110,27,9,11,3,0,194,0,0,3,23,3,0,0,0,0,25,3,0,4,13,0,3,0,0,0,29,0,49,25,139,53,57,51,16,12,399,0,3,11,34,18,57,124,107,71,446,3,7,6,68,20,3,0,0,0,111,0,3,25,92,4,0,0,0,0,126,0,0,0,7,5,7,3,0,0,12,3,4,3,58,44,48,25,10,0,206,0,0,0,0,3,14,8,3,0,31
RA52,0,6,13,89,44,19,3,7,0,176,0,0,0,3,4,15,8,6,0,38,0,0,0,12,0,0,3,0,0,20,14,100,98,612,991,1078,1073,646,200,4815,0,12,6,39,12,6,4,0,0,78,0,0,4,32,14,12,8,4,0,73,0,12,15,89,65,54,150,35,25,452,0,0,0,3,0,3,3,5,0,17,0,0,3,17,3,13,0,0,0,32,12,36,25,241,43,43,31,23,7,458,0,9,4,78,23,15,8,4,4,153,0,3,0,16,0,3,3,0,0,32,0,0,0,3,0,0,0,0,0,5,7,16,10,112,24,31,29,21,11,259,0,5,0,26,18,28,68,77,39,262,0,3,0,19,4,4,3,0,0,38,0,0,3,19,5,0,0,0,0,25,0,0,0,0,0,0,0,3,0,6,0,4,12,51,25,38,11,5,3,150,0,0,0,0,4,4,9,0,0,17
RA53,3,7,8,53,15,9,0,0,4,87,0,0,0,6,3,5,0,0,0,10,0,0,0,0,0,0,0,0,0,3,4,29,42,399,297,238,176,74,22,1286,0,0,7,10,5,4,0,0,0,22,0,0,19,38,7,5,4,0,0,72,0,0,18,81,25,19,29,8,3,186,0,0,0,3,3,3,0,0,0,6,0,0,3,18,3,5,3,0,0,36,5,19,24,133,22,15,0,5,0,232,4,10,12,71,24,10,3,0,0,132,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,4,9,105,8,11,12,4,0,156,0,0,4,8,3,5,9,9,4,43,0,3,4,27,3,0,0,0,0,40,0,0,9,36,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,3,0,0,0,40,20,14,3,0,0,78,0,0,0,0,0,3,0,0,0,3
RA54,0,0,0,21,18,3,0,0,0,44,0,0,0,3,6,9,7,9,0,28,0,0,0,0,0,0,0,0,0,0,0,8,19,219,166,150,85,27,10,693,0,0,0,9,4,0,4,0,0,24,0,0,7,24,3,0,0,0,0,29,0,0,12,59,15,15,17,3,0,121,0,0,0,4,0,0,0,0,0,8,0,0,3,15,0,0,0,0,0,28,4,9,3,72,7,8,8,0,0,116,4,4,3,29,10,0,0,0,0,56,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,59,3,8,0,0,0,84,0,0,3,13,9,3,6,0,3,38,0,0,0,31,4,0,0,0,0,34,0,0,3,14,3,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,6,30,12,4,0,0,0,57,0,0,0,0,0,0,0,0,0,3
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,3,3,13,10,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,40,30,39,30,10,0,167,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,13,0,0,11,7,0,3,5,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,11,0,0,0,7,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,4,0,0,3,19,0,0,3,7,0,0,0,0,0,12,0,0,0,7,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,18,0,0,0,0,0,0,3,0,0,3
RA61,21,48,414,818,122,77,37,26,7,1565,0,3,4,14,6,23,18,21,5,89,7,4,0,5,0,7,3,8,3,44,17,132,138,554,989,1201,1469,993,449,5945,0,0,3,38,24,26,4,11,3,112,0,4,8,42,16,20,15,15,9,129,0,8,25,97,80,101,204,132,74,731,0,4,5,11,24,33,64,65,11,216,0,7,40,72,28,30,16,6,0,194,16,60,109,446,66,45,34,24,11,806,0,11,14,62,25,15,17,4,0,151,22,92,58,60,14,11,3,3,0,265,3,6,3,27,0,0,0,0,0,41,0,16,7,59,35,41,31,38,9,240,0,0,3,18,19,47,81,106,49,326,3,11,27,121,33,20,13,3,5,226,4,14,38,153,41,27,0,3,0,279,0,0,3,4,7,10,5,0,0,27,12,21,259,215,67,81,37,9,3,702,0,0,0,3,3,11,12,0,0,27
RA62,0,6,9,40,23,9,8,4,0,108,0,0,0,0,0,3,7,4,0,13,0,0,0,3,0,0,7,0,0,12,4,44,39,207,530,801,983,495,144,3243,0,0,0,11,12,6,3,0,0,31,0,0,3,11,8,13,9,4,0,42,0,5,10,46,50,79,94,56,16,352,0,0,0,3,3,3,0,0,0,14,3,0,0,8,3,3,0,3,0,29,0,4,7,38,19,19,16,7,4,109,0,0,0,16,10,3,8,0,0,47,0,0,0,3,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,6,0,3,4,15,10,15,33,15,0,98,0,0,0,3,3,9,14,12,0,40,4,0,0,22,18,3,5,3,0,51,0,3,3,25,3,0,0,0,0,38,0,0,0,4,3,0,0,0,0,4,0,0,3,22,18,16,8,0,0,68,0,0,0,0,0,4,3,3,0,10
RA63,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,33,31,15,3,112,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,6,0,3,3,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,6,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,11,3,0,29,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,3,47,71,292,108,34,25,11,9,614,0,0,3,0,0,0,0,3,0,9,3,4,0,6,0,3,6,0,0,25,22,95,136,569,422,336,239,114,38,1975,3,3,16,61,16,17,3,0,0,120,0,5,12,57,16,11,13,3,0,125,3,7,18,150,49,43,56,21,9,358,4,42,40,144,57,94,76,47,9,526,0,3,11,42,16,34,11,3,3,121,50,117,93,738,94,73,34,7,6,1213,8,39,63,322,135,61,34,6,0,672,0,6,0,40,4,0,0,0,0,50,0,0,0,3,0,0,0,0,0,4,4,18,33,280,21,15,12,3,3,389,0,7,13,46,10,19,30,28,9,156,16,19,5,91,26,6,3,3,0,174,8,3,21,110,12,8,0,0,0,154,0,0,0,3,6,0,0,0,0,10,3,14,20,128,57,63,38,30,0,351,0,0,0,3,3,0,3,0,0,16
RA73,0,4,0,30,10,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,16,19,107,114,105,61,20,5,450,0,5,7,24,7,3,3,0,0,54,0,0,6,13,6,3,4,3,0,37,0,0,7,46,14,19,13,3,4,108,0,0,0,0,0,0,0,0,0,3,0,0,0,18,4,3,0,0,0,29,8,31,17,248,33,23,3,3,0,374,0,3,4,17,8,3,0,0,0,38,0,0,0,8,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,28,11,0,9,0,0,53,0,0,0,10,5,5,6,5,3,41,0,0,0,27,9,0,0,0,0,37,0,0,9,26,0,3,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,3,16,8,8,0,0,0,35,0,0,0,0,0,0,0,0,0,5
RA74,0,0,4,8,8,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,31,32,43,5,3,3,134,0,3,3,11,10,4,5,0,0,35,0,0,0,10,0,0,0,0,0,12,0,0,4,11,8,3,0,0,0,31,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,3,0,5,43,0,4,3,0,0,56,0,0,0,13,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,16,0,0,0,10,0,0,4,0,0,15,0,0,0,20,0,0,0,0,0,17,0,0,4,6,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,4,15,8,0,0,68,0,0,3,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,5,0,0,3,8,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
RA80,40,142,2229,2382,626,494,190,106,42,6252,0,0,6,69,69,154,192,152,24,675,0,33,13,66,19,27,29,10,4,203,34,341,332,1050,1222,1171,1106,710,325,6288,0,19,52,199,97,68,45,12,3,485,5,31,44,136,53,31,20,13,13,348,3,20,64,216,140,135,391,139,89,1198,0,7,8,28,40,79,173,140,34,512,14,29,147,316,131,143,48,13,9,851,118,341,381,3181,420,287,180,83,26,5013,21,51,71,385,83,68,40,20,12,749,0,18,21,221,47,47,18,7,0,383,7,15,22,111,39,20,8,4,0,235,4,41,11,130,65,58,50,39,11,411,3,13,24,80,94,175,253,210,102,946,12,32,58,254,94,49,29,15,7,560,12,76,198,703,122,65,25,7,0,1216,0,5,8,53,45,30,26,10,7,188,18,41,173,470,238,197,115,47,12,1315,0,3,5,11,12,29,60,18,10,145
RA81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
