RA_CODE_2016,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
RA65,0,0,0,0,0,4,0,6,0,15,4,15,0,3,3,5,0,12,0,10,0,3,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,39,7,49,0,0,0,0,0,4,0,4,0,3,0,3,0,0,0,0,0,3,0,3,0,4,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,17,0,18,0,0,0,0,0,8,0,8,0,21,4,23,0,3,3,5,0,11,0,15,0,8,0,12,0,3,0,7,0,0,0,0,0,0,0,0,0,56,8,73
RA69,0,26,3,34,6,35,19,56,9,78,37,120,5,62,31,93,10,44,20,77,3,44,7,52,4,31,10,48,0,7,6,8,0,0,0,0,33,321,130,481,0,25,7,33,5,22,7,29,4,54,12,69,6,43,8,54,7,39,17,59,12,40,6,56,4,24,11,38,0,5,0,5,0,0,0,0,36,258,61,350,0,55,9,62,8,61,20,90,11,125,44,183,10,101,36,147,16,85,35,135,16,85,14,113,5,60,20,84,0,7,4,12,0,0,0,3,72,580,189,835
RA72,177,3230,630,4039,189,4141,873,5198,580,11004,2467,14046,724,8875,1874,11472,737,7776,1575,10094,577,5733,1120,7434,342,3063,617,4021,113,927,203,1246,27,188,52,273,3472,44934,9414,57821,189,2848,522,3560,221,3541,587,4355,852,10364,1596,12810,1119,8061,1130,10315,1137,6734,993,8858,891,4865,853,6612,454,2460,482,3393,113,924,183,1226,14,281,61,356,4993,40078,6414,51481,366,6080,1151,7600,414,7682,1453,9555,1435,21362,4069,26858,1844,16937,3003,21789,1872,14505,2570,18951,1464,10600,1977,14042,792,5524,1103,7413,231,1847,391,2470,45,471,114,626,8460,85010,15824,109301
RA73,77,1067,308,1449,76,1040,387,1502,193,2723,844,3766,241,2301,580,3111,256,2414,675,3341,184,2042,499,2726,88,1032,290,1415,38,289,104,428,0,64,17,84,1158,12963,3707,17827,74,895,232,1201,86,996,272,1352,342,2879,682,3899,357,2343,483,3185,397,2427,560,3390,323,1822,455,2600,119,833,231,1184,34,302,82,423,10,113,38,152,1746,12608,3034,17385,153,1959,542,2654,165,2034,659,2856,535,5600,1530,7662,596,4642,1058,6297,656,4842,1235,6726,511,3860,956,5327,208,1864,526,2596,72,596,180,850,10,170,56,238,2903,25570,6737,35215
RA74,221,1243,502,1965,243,1401,402,2040,517,2722,689,3936,381,2110,539,3030,315,1804,419,2541,183,1252,275,1715,67,520,118,703,14,146,33,195,0,29,4,30,1957,11223,2980,16158,232,1143,442,1819,311,1362,326,2000,650,2800,641,4090,575,2027,502,3105,455,1756,410,2617,243,1283,237,1766,103,472,95,667,27,160,38,224,3,25,9,36,2608,11029,2699,16332,461,2393,941,3788,556,2763,727,4044,1167,5524,1331,8029,955,4135,1035,6136,776,3561,826,5159,429,2537,515,3483,170,990,210,1371,41,305,67,411,7,52,13,68,4560,22256,5672,32488
RA75,0,0,0,0,0,4,0,4,0,18,5,23,0,12,7,16,0,5,4,11,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,5,33,17,61,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,3,9,0,0,0,0,0,4,0,3,0,20,3,30,0,12,10,19,0,4,4,9,0,0,5,3,0,0,0,0,0,0,0,3,0,0,0,0,5,39,27,72
RA79,0,15,4,16,0,64,38,98,5,126,85,219,12,118,84,215,15,141,105,257,14,151,63,229,7,129,35,174,0,12,12,20,0,0,0,0,53,762,428,1240,0,16,0,17,3,45,40,85,10,141,86,239,16,94,67,180,16,110,77,203,19,142,50,212,9,76,24,105,0,5,5,10,0,0,0,0,75,628,343,1043,0,25,8,32,7,105,73,183,17,267,171,457,26,210,156,396,27,253,179,461,32,298,106,438,16,202,59,278,0,24,15,38,0,0,0,0,124,1388,770,2281
RA80,518,11033,771,12323,642,14037,1123,15810,1813,28034,2480,32326,2625,24230,1959,28816,3264,20041,1601,24909,3079,15517,1233,19825,1962,10899,1051,13914,874,4802,760,6436,251,1650,422,2316,15024,130245,11396,156663,637,10745,718,12100,864,13640,1004,15511,2670,28805,2111,33586,3809,23973,1584,29363,4903,19628,1385,25910,4802,15362,1362,21533,2918,11415,1162,15485,1007,5899,1004,7911,217,2683,937,3837,21823,132144,11262,165240,1157,21778,1485,24420,1507,27679,2130,31319,4482,56843,4588,65909,6437,48198,3545,58180,8166,39668,2986,50816,7876,30880,2600,41358,4883,22306,2214,29400,1879,10701,1763,14346,464,4330,1356,6150,36847,262393,22664,321901
RA81,0,20,3,21,0,14,3,19,0,42,7,48,4,46,10,57,0,44,6,55,7,30,5,38,3,7,0,16,0,6,0,6,0,0,0,0,17,208,31,264,0,20,8,25,0,14,0,17,3,47,5,55,3,48,5,60,9,26,3,47,7,19,0,32,3,8,0,9,0,0,0,4,0,0,0,3,32,185,30,244,0,38,12,50,0,30,0,31,4,86,11,105,8,96,12,118,10,71,14,96,12,47,8,72,5,17,0,27,0,11,0,8,0,0,0,3,48,395,63,512
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,10,3,16,0,33,6,36,5,50,12,63,6,44,22,67,10,20,16,43,3,19,19,38,0,14,4,15,0,3,0,5,0,0,0,0,28,189,81,297,3,9,4,20,0,30,8,42,4,36,3,44,3,28,9,40,6,17,3,26,6,25,10,34,0,5,0,9,0,4,0,4,0,3,0,3,20,153,32,209,3,21,10,35,4,63,9,79,6,84,15,108,9,70,30,107,10,35,23,68,11,40,22,78,3,20,4,24,0,4,0,8,0,3,0,3,49,343,118,506
RA91,0,12,3,15,0,19,6,28,3,23,16,40,3,18,4,25,8,18,14,34,7,12,3,21,0,3,0,9,0,3,0,8,0,0,0,0,18,110,53,175,4,11,6,19,0,4,3,7,3,12,8,23,6,23,10,36,3,9,10,23,0,13,7,18,0,4,6,12,0,0,0,0,0,0,0,0,16,74,40,140,3,20,10,35,0,24,9,39,5,38,22,61,10,38,9,58,6,33,19,59,9,21,7,33,0,5,6,15,0,7,0,6,0,0,0,0,33,184,93,312
RA94,0,69,19,90,8,53,51,104,10,140,134,288,30,199,90,323,31,237,70,334,29,251,60,339,12,195,46,253,10,72,10,90,6,15,3,28,133,1228,481,1841,6,62,13,84,4,43,10,53,16,175,27,221,44,193,22,253,35,224,47,314,56,230,45,325,31,143,23,193,13,61,16,90,3,24,3,29,214,1147,206,1565,8,134,35,173,16,95,59,161,29,312,161,507,70,395,111,576,70,462,119,651,83,477,108,661,44,335,64,444,23,134,27,179,5,36,9,51,345,2373,683,3402
RA95,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6
RA99,0,0,0,0,0,0,3,6,0,0,0,0,0,3,0,4,0,0,0,3,0,3,0,3,0,4,0,6,0,0,0,0,0,0,0,0,3,12,3,21,0,0,0,3,0,4,0,4,0,0,0,0,4,0,0,5,0,4,0,4,0,3,0,4,0,5,0,6,0,0,0,0,0,0,0,0,5,23,4,30,0,0,4,3,0,3,4,10,0,0,0,0,3,5,0,5,0,5,0,9,3,8,0,11,0,10,0,13,0,0,0,0,0,0,0,0,5,35,8,46
