RA_CODE_2016,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
RA10,7628,150304,13567,171494,9840,172945,15824,198610,25177,367783,36867,429826,35146,326323,28971,390446,44030,284950,25358,354337,42470,234049,21305,297829,26158,170178,18407,214740,12045,86644,13501,112191,3733,31961,7090,42783,206232,1825129,180895,2212259,8385,142171,12025,162588,12155,167527,14127,193813,38807,370001,33002,441807,56079,318074,25331,399488,70585,276398,22640,369632,69080,228410,20744,318235,37477,173927,20174,231582,14229,104599,18075,136904,2920,57407,14027,74350,309724,1838521,180152,2328398,16016,292472,25595,334081,21998,340476,29951,392426,63979,737782,69871,871631,91230,644395,54307,789932,114616,561352,48000,723966,111548,462460,42050,616060,63636,344105,38581,446326,26273,191246,31570,249090,6650,89362,21117,117134,515951,3663650,361047,4540648
RA11,1970,36815,5589,44368,1973,31628,4296,37896,5192,59091,8405,72687,7814,62205,8138,78160,11385,70885,8876,91142,13794,74251,9193,97238,9373,65403,9388,84158,4400,31831,6929,43154,1168,10035,3208,14409,57058,442149,64016,563218,2348,35312,5099,42756,2702,30540,3202,36445,8879,60166,5921,74959,13393,63523,6252,83167,19154,70312,7676,97137,22936,70697,8603,102232,12976,63460,9636,86071,5022,35214,8986,49217,885,17576,5555,24019,88292,446797,60920,596008,4320,72129,10686,87125,4676,62167,7499,74345,14072,119256,14320,147650,21205,125729,14393,161324,30536,141197,16550,188280,36730,144950,17799,199472,22349,128859,19019,170225,9415,67046,15910,92372,2049,27617,8765,38424,145345,888939,124938,1159221
RA12,652,10203,2183,13037,610,8256,1406,10269,1501,16118,2626,20245,2316,17374,2659,22355,3738,22113,3422,29274,4595,25793,3921,34306,2885,21993,4000,28879,1281,10404,2757,14443,347,2909,1025,4286,17921,135158,24009,177088,654,9310,1902,11870,801,7560,1023,9379,2492,16261,2123,20880,3758,17247,2324,23326,5853,20882,3002,29736,7065,22747,3483,33289,3916,19256,3654,26819,1486,10510,3075,15065,300,4983,1682,6967,26329,128745,22264,177331,1305,19510,4085,24903,1407,15814,2432,19651,3996,32379,4750,41124,6074,34622,4990,45682,9599,42989,6417,59009,11663,48534,7401,67596,6801,41245,7657,55696,2763,20913,5832,29512,646,7898,2707,11249,44245,263900,46269,354419
RA13,47,528,189,769,42,635,114,792,120,1418,268,1806,168,1273,238,1681,227,1546,307,2079,230,1640,348,2220,126,1198,292,1620,66,573,180,819,15,139,51,206,1041,8959,1992,11990,50,541,130,723,47,611,107,759,183,1418,248,1849,246,1195,245,1688,347,1328,274,1946,343,1224,245,1812,186,901,225,1307,62,523,188,775,15,239,68,333,1471,7983,1733,11189,95,1077,320,1490,89,1241,223,1550,299,2836,517,3654,410,2470,488,3363,575,2872,576,4027,579,2862,593,4032,309,2099,518,2930,125,1100,373,1595,32,379,123,533,2513,16944,3723,23182
RA14,10,107,33,140,6,103,57,167,16,252,103,371,29,249,63,342,46,311,89,446,42,338,73,459,23,231,59,314,6,89,29,126,0,17,6,28,181,1695,516,2393,9,110,30,147,6,140,17,164,34,258,70,358,45,211,56,308,60,268,68,403,59,249,49,351,24,165,42,228,12,70,19,99,3,30,8,43,241,1500,360,2107,15,218,54,291,11,240,76,327,52,510,168,733,74,462,119,658,108,578,159,848,102,589,123,804,43,397,103,539,13,155,50,220,3,54,16,72,426,3196,878,4502
RA15,0,5,0,3,0,3,0,9,0,8,0,11,0,8,4,18,3,18,0,25,5,14,4,22,0,38,5,48,0,9,9,16,0,3,0,3,12,105,33,157,0,7,0,7,3,0,0,4,3,13,5,24,0,12,3,14,0,19,9,31,11,33,9,53,6,43,14,60,0,11,12,24,0,3,0,7,28,137,54,220,0,12,0,12,0,4,0,9,3,23,7,32,3,21,8,34,6,39,7,50,13,45,18,74,10,73,22,108,0,25,20,42,0,9,0,10,40,247,91,374
RA19,8,198,78,285,31,544,171,746,74,1032,507,1615,76,690,505,1269,98,588,466,1148,85,582,323,986,57,477,186,719,8,103,47,162,0,18,17,32,433,4229,2297,6958,17,164,54,232,31,450,135,615,72,734,292,1091,64,375,192,629,100,365,180,646,114,466,149,732,58,316,100,477,6,72,40,120,3,31,15,48,457,2981,1146,4590,26,358,130,517,58,1002,303,1358,138,1765,799,2703,134,1069,695,1900,193,956,647,1798,203,1046,468,1722,121,797,282,1196,14,176,89,282,3,47,25,78,888,7214,3448,11545
RA20,5535,122130,11206,138864,8010,151096,13140,172246,20867,315735,29695,366290,28381,268032,22885,319298,36134,232357,20032,288526,33678,181930,16341,231945,20195,130338,14578,165117,10301,68192,11549,90041,3077,25530,5690,34296,166184,1495329,145120,1806629,6387,117887,10288,134561,10173,146796,11842,168809,31940,318423,27504,377870,45913,262037,20448,328400,59675,226647,18746,305066,55980,177899,16796,250678,30304,137246,16854,184411,12151,83731,15405,111296,2360,45345,10514,58219,254895,1516011,148393,1919303,11917,240018,21491,273424,18181,297889,24984,341054,52808,634155,57198,744159,74294,530068,43328,647695,95807,459009,38779,593592,89660,359824,33144,482623,50499,267586,31432,349520,22457,151925,26956,201334,5443,70874,16200,92512,421072,3011340,293513,3725933
RA21,1413,29658,4341,35409,1585,26585,2870,31052,4046,48344,5637,58022,6358,51130,5976,63462,9024,57820,6868,73715,10643,58233,7136,76020,6999,48454,7366,62816,3129,22476,5371,30974,837,7298,2253,10386,44037,349997,47824,441862,1721,27225,3942,32883,2217,24692,2364,29275,7041,49507,4602,61144,11007,51678,5011,67694,15709,56775,6068,78557,18133,55088,6766,79981,9960,46943,7631,64529,3447,25011,6608,35061,665,13116,3833,17618,69891,350026,46825,466745,3138,56880,8283,68294,3800,51285,5234,60323,11080,97845,10235,119172,17360,102806,10986,131149,24735,114593,12941,152272,28776,113327,13903,155999,16960,95397,14996,127348,6578,47483,11976,66036,1496,20414,6089,28004,113930,700025,94646,908600
RA22,355,5930,1056,7337,345,4946,649,5936,857,9551,1276,11681,1287,9767,1217,12269,2030,12530,1722,16287,2633,14291,1899,18821,1674,12434,2205,16316,773,5954,1484,8210,217,1929,681,2822,10173,77332,12188,99691,344,5494,961,6803,400,4531,566,5490,1478,9500,1158,12133,2056,9974,1193,13221,3343,12039,1492,16873,3977,12789,1825,18590,2176,11168,2031,15380,893,6295,1845,9025,182,3263,1063,4505,14843,75034,12139,102019,704,11420,2014,14141,744,9469,1210,11429,2331,19048,2437,23816,3339,19738,2409,25486,5377,24571,3214,33164,6610,27075,3725,37410,3854,23605,4238,31698,1664,12249,3325,17239,395,5193,1742,7324,25013,152367,24325,201709
RA23,0,40,8,57,0,35,9,50,13,90,11,106,17,113,9,136,26,166,25,212,43,239,32,306,32,236,28,295,10,112,21,147,4,35,15,50,140,1074,146,1356,3,54,5,67,0,39,0,40,16,66,10,88,18,115,17,148,43,137,15,201,54,217,16,283,44,189,14,255,16,85,23,128,0,44,6,59,199,945,113,1260,4,97,15,121,3,76,11,90,24,156,20,199,36,224,27,286,62,299,41,404,96,455,49,597,75,428,41,545,29,196,42,274,9,76,22,109,340,2017,260,2617
RA25,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,3,5,5,0,11,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,18,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,3,5,5,0,11,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,21,3,25
RA29,8,124,42,180,20,301,122,447,48,695,306,1052,47,419,352,813,43,335,251,628,43,279,141,460,30,192,62,283,3,49,23,72,0,9,0,9,243,2405,1296,3942,7,131,41,178,22,323,107,453,57,538,201,795,54,272,152,479,40,216,93,347,52,227,78,352,26,141,36,204,4,29,9,49,0,19,11,28,265,1887,725,2883,18,254,84,357,41,627,229,898,101,1239,505,1848,101,691,500,1295,87,547,337,975,92,503,215,816,58,332,95,482,7,81,36,121,0,22,11,38,505,4294,2019,6825
RA30,3829,84013,7658,95504,4547,94075,8597,107224,11663,183875,17770,213307,16677,168999,15119,200790,20328,154863,14093,189288,20273,123296,11528,155096,13227,93967,10266,117461,6145,43268,7390,56804,1745,14032,4150,19928,98426,960386,96573,1155389,4439,81646,6837,92917,5903,94062,7937,107900,18392,187162,16292,221846,27693,170035,13120,210843,34365,154638,12755,201754,34240,122648,11511,168401,19793,96288,11080,127169,6769,50699,10165,67632,1284,25811,8283,35376,152877,982986,97979,1233837,8265,165662,14495,188422,10450,188141,16536,215122,30056,371033,34068,435151,44367,339031,28233,411637,54694,309498,26849,391040,54514,245942,23037,323496,33021,190259,21347,244625,12913,93964,17554,124432,3027,39839,12431,55303,251302,1943374,194551,2389230
RA31,1349,25648,3350,30341,1303,22217,2846,26368,3331,41918,5835,51079,5179,43561,5882,54624,7038,49494,6334,62869,8139,48176,6035,62354,5802,41084,5847,52733,2595,18834,3943,25369,602,5216,1639,7455,35341,296138,41713,373191,1513,24175,3007,28694,1742,21290,2097,25134,5975,42917,3976,52869,9082,44159,4307,57552,12421,48628,5056,66106,13728,45403,5199,64331,7986,38937,5746,52664,2873,19768,4644,27286,463,8636,2616,11715,55779,293922,36642,386341,2860,49819,6353,59029,3048,43507,4945,51504,9311,84827,9807,103947,14264,87726,10189,112172,19463,98123,11391,128979,21869,93586,11235,126681,13787,80023,11593,105399,5465,38603,8587,52655,1068,13850,4252,19169,91116,590061,78359,759537
RA32,894,17610,2954,21466,952,17187,2872,21008,2463,34553,5882,42898,3521,33794,5231,42550,4628,36264,5668,46559,4876,33505,4986,43362,2991,24579,4256,31829,1233,10442,2486,14156,288,2766,821,3873,21855,210698,35152,267703,983,16510,2554,20048,1207,16540,2144,19887,4133,35381,4442,43947,5994,34346,4157,44501,7565,34498,4506,46565,7802,29719,4216,41740,4242,21019,3852,29115,1407,10140,2644,14188,216,4537,1215,5971,33546,202685,29736,265964,1883,34123,5509,41515,2160,33732,5008,40900,6595,69925,10326,86851,9518,68140,9386,87046,12199,70754,10171,93121,12674,63223,9200,85107,7233,45593,8115,60941,2638,20583,5132,28349,501,7302,2042,9844,55401,413384,64890,533673
RA33,97,1564,349,2014,86,1794,418,2289,300,4274,1020,5597,368,3772,787,4927,478,4050,798,5328,417,3785,729,4934,243,2523,588,3357,96,960,245,1300,16,204,66,285,2100,22921,5014,30040,107,1312,300,1710,127,1718,350,2200,435,4089,711,5231,525,3322,510,4357,658,3364,603,4628,615,2880,513,4009,324,1840,377,2540,95,790,215,1096,19,282,75,378,2896,19600,3653,26150,200,2869,651,3727,210,3509,772,4487,728,8364,1732,10827,890,7094,1303,9287,1137,7421,1404,9954,1037,6668,1240,8948,563,4362,965,5900,194,1755,457,2403,39,479,145,665,4995,42527,8666,56190
RA34,90,1276,291,1664,120,1469,244,1830,233,2962,478,3683,266,2617,392,3280,269,2859,389,3515,240,2756,375,3371,134,1632,318,2082,60,626,154,841,13,137,52,201,1433,16335,2699,20462,104,1129,278,1510,150,1500,224,1878,389,3086,452,3933,381,2516,306,3207,426,2624,364,3408,409,2162,302,2873,177,1304,228,1712,53,550,141,741,5,233,60,299,2096,15113,2359,19573,196,2406,571,3176,270,2972,470,3706,631,6054,935,7617,645,5138,696,6482,698,5478,749,6925,649,4917,682,6249,312,2940,547,3795,118,1176,291,1583,23,374,110,502,3526,31449,5057,40039
RA35,0,0,3,3,0,3,0,3,0,4,0,4,0,9,0,7,0,11,3,10,3,7,0,7,0,13,4,13,0,5,3,7,0,0,0,0,4,46,12,65,0,4,0,5,0,5,0,4,0,4,0,6,0,4,3,3,0,7,0,7,4,13,4,19,0,9,7,16,0,5,0,7,0,0,3,0,10,52,18,81,0,7,3,11,0,3,3,11,0,10,0,11,0,8,3,14,0,17,3,24,9,19,4,30,0,21,10,33,0,12,3,16,0,0,3,4,14,99,30,144
RA39,10,155,42,212,31,404,122,559,49,887,349,1288,40,587,339,964,68,617,290,975,89,797,269,1147,74,847,202,1120,9,164,50,225,0,14,3,19,373,4473,1660,6509,11,160,35,203,23,427,121,576,40,741,221,1005,50,324,139,514,79,461,154,688,135,896,196,1224,86,593,116,798,8,101,41,153,0,16,6,18,440,3701,1044,5179,17,308,80,408,57,830,241,1133,91,1627,570,2293,87,914,477,1485,147,1078,440,1663,221,1686,466,2373,155,1437,321,1916,23,258,95,381,0,24,16,44,807,8179,2705,11693
RA40,1652,33802,2718,38172,2211,38712,2645,43560,5396,73751,5671,84811,7550,66388,5024,78963,10438,64950,5087,80476,11149,55593,4408,71153,6886,42775,4116,53782,3228,22600,3331,29159,1135,9045,1763,11948,49642,407623,34756,492027,1813,32445,2398,36661,2776,37166,2321,42267,8582,73319,4955,86855,11951,63888,4073,79911,16431,62683,4286,83392,18294,54776,4431,77507,10020,45723,4807,60549,3692,28281,4695,36666,771,17107,3268,21144,74338,415388,35232,524955,3467,66250,5116,74835,4986,75874,4964,85827,13979,147072,10620,171668,19498,130277,9097,158874,26866,127630,9369,163868,29446,110372,8837,148655,16912,88502,8921,114326,6921,50881,8022,65826,1909,26157,5035,33097,123981,823014,69985,1016978
RA41,293,5560,750,6605,251,4960,432,5644,738,8916,870,10532,1177,9797,921,11899,1730,11890,1042,14659,2116,11958,1123,15197,1563,10411,1195,13166,646,4896,891,6427,171,1573,385,2129,8685,69967,7608,86263,362,5429,619,6415,384,4520,366,5268,1193,8889,653,10733,1961,9917,772,12650,2932,11635,960,15520,3548,11011,1091,15645,2079,10207,1230,13511,667,5081,1076,6828,147,2671,543,3357,13274,69352,7309,89935,651,10986,1369,13015,640,9486,792,10913,1935,17808,1523,21265,3141,19718,1696,24550,4664,23519,1997,30179,5662,22969,2216,30844,3639,20615,2421,26681,1311,9976,1963,13258,313,4240,935,5489,21958,139313,14921,176195
RA42,218,4269,629,5123,249,3677,481,4409,629,7281,1104,9018,949,7511,1128,9587,1446,9803,1227,12477,1669,10286,1205,13158,1158,8496,1260,10909,543,3956,831,5334,133,1241,381,1754,6996,56516,8253,71763,254,3868,521,4644,308,3220,311,3834,1081,6988,648,8715,1498,7191,624,9317,2269,8719,920,11907,2671,8846,1011,12529,1565,7713,1244,10527,565,4318,1007,5889,78,2118,666,2861,10290,52983,6951,70229,475,8140,1154,9764,564,6890,787,8243,1705,14271,1754,17734,2447,14699,1753,18902,3718,18521,2145,24391,4336,19136,2213,25686,2721,16203,2508,21438,1108,8269,1840,11222,207,3358,1045,4615,17292,109499,15205,141991
RA43,45,954,172,1176,46,854,132,1025,137,2138,324,2595,203,2066,266,2534,352,2501,339,3186,438,2577,349,3364,265,2004,314,2577,121,884,198,1197,33,312,77,421,1631,14284,2163,18083,68,845,152,1059,56,772,82,911,214,2024,201,2447,347,1915,197,2462,513,2139,214,2866,612,2164,279,3064,338,1782,226,2353,131,890,196,1222,33,501,138,667,2307,13038,1684,17036,114,1802,322,2238,101,1622,214,1938,352,4165,531,5039,548,3987,458,4992,861,4641,550,6051,1051,4749,629,6424,607,3782,533,4927,255,1770,394,2417,64,811,216,1088,3938,27327,3849,35115
RA44,25,251,69,345,31,318,60,409,72,736,159,966,93,679,152,918,96,763,178,1037,95,803,163,1060,50,559,105,711,15,197,71,284,3,58,14,75,483,4373,961,5810,25,219,77,317,40,286,66,391,85,651,142,872,95,580,123,800,142,611,142,891,112,592,134,841,69,358,71,497,10,132,46,187,0,52,42,101,578,3481,849,4902,53,470,143,663,69,603,126,799,152,1389,301,1845,188,1262,271,1721,242,1374,318,1926,209,1395,295,1897,113,918,176,1210,30,329,119,475,6,107,56,173,1055,7852,1803,10711
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
RA49,4,70,18,95,13,115,39,161,26,254,73,349,35,164,88,280,31,147,108,282,23,160,54,239,18,118,36,168,4,31,3,43,3,10,0,13,143,1066,421,1627,4,55,19,80,11,74,20,99,24,149,36,209,16,83,38,140,30,110,51,192,21,121,28,164,17,64,17,97,3,10,3,21,0,8,0,7,127,676,215,1016,9,130,36,173,17,187,61,266,47,403,110,556,48,244,126,421,60,260,159,474,48,278,80,403,28,183,50,271,4,40,9,59,3,13,3,22,265,1740,638,2648
RA50,2269,53580,4663,60519,2823,58982,5355,67166,7401,129761,13892,151056,9818,112665,10840,133321,12551,103460,9609,125620,12656,80965,7661,101287,7869,58408,6424,72697,3780,27883,4921,36584,1117,8837,2610,12571,60289,634549,65980,760820,2652,51028,4249,57931,3591,56093,4695,64380,11704,129033,11496,152238,16008,110804,8603,135417,20945,99685,7990,128616,21869,79247,7130,108248,11954,58353,6964,77265,4441,33249,6747,44440,830,16060,4988,21876,93999,633555,62861,790414,4926,104610,8915,118451,6421,115071,10050,131547,19102,258793,25389,303287,25824,223473,19441,268741,33494,203145,17593,254234,34524,160216,14791,209530,19819,116764,13389,149970,8224,61135,11671,81028,1953,24895,7602,34447,154286,1268107,128845,1551233
