RA_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
RA74,347,710,1806,1463,1325,800,169,14,4,6635,1180,1035,1759,1254,970,769,426,177,33,7608,293,265,522,389,321,202,72,27,3,2088,1819,2000,4090,3105,2617,1766,667,224,36,16332,209,733,1974,1567,1598,1121,240,22,6,7468,136,216,625,651,482,322,93,3,0,2533,10,32,128,126,103,90,15,3,0,509,45,82,155,103,88,54,18,8,0,558,402,1066,2886,2449,2268,1589,364,36,9,11064,309,456,703,484,351,101,18,3,0,2413,44,92,185,129,97,40,8,0,0,601,355,551,891,614,447,133,23,3,0,3016,752,1614,3777,3062,2713,1721,389,38,11,14086,2422,1848,3196,2277,1790,1333,842,329,53,14093,613,579,1054,794,652,424,146,51,5,4313,3788,4044,8029,6136,5159,3483,1371,411,68,32488
RA75,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,3,0,0,0,0,3,0,9,0,0,8,4,5,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,10,0,0,8,9,9,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,8,0,0,0,0,25,0,4,12,12,3,0,0,0,0,29,0,0,4,5,0,0,0,0,0,17,0,3,30,19,9,3,0,3,0,72
RA79,7,36,88,47,46,50,3,0,0,280,4,18,59,59,79,118,83,6,0,427,0,32,89,73,71,46,17,5,0,338,17,85,239,180,203,212,105,10,0,1043,15,55,107,70,81,61,12,0,0,399,0,10,26,10,23,23,0,0,0,103,0,0,24,13,6,6,0,0,0,52,0,4,9,3,0,3,0,0,0,18,18,75,169,97,111,89,11,0,0,574,0,7,9,14,12,8,0,0,0,56,0,0,8,5,7,0,0,0,0,24,0,5,21,18,16,16,0,0,0,76,23,78,182,117,129,108,14,0,0,647,8,39,89,122,158,236,210,27,0,889,3,68,189,148,175,97,54,9,0,745,32,183,457,396,461,438,278,38,0,2281
RA80,6852,11256,26863,24055,21288,12402,2461,210,37,105431,4771,3395,4835,3958,3453,7994,12133,6975,3050,50559,479,858,1887,1360,1166,1136,893,723,750,9252,12100,15511,33586,29363,25910,21533,15485,7911,3837,165240,2006,10816,38379,34493,31640,16710,2488,151,17,136691,7960,8867,10654,11110,8357,6647,2889,375,32,56902,411,666,2745,1856,1267,1129,329,39,10,8449,330,532,721,572,454,255,98,21,17,3009,10713,20885,52503,48033,41720,24740,5805,593,78,205053,377,798,1277,1011,774,538,73,7,0,4856,1959,1120,770,511,362,407,156,22,6,5303,2331,1914,2048,1521,1135,942,230,24,4,10156,13045,22801,54544,49555,42849,25684,6034,621,81,215213,10424,6757,7416,5712,5469,13513,21630,12427,4996,88349,954,1762,3951,2913,2500,2167,1736,1300,1072,18347,24420,31319,65909,58180,50816,41358,29400,14346,6150,321901
RA81,15,11,40,46,32,16,3,0,0,171,12,3,9,3,3,10,5,0,0,47,3,0,5,3,3,3,0,0,0,23,25,17,55,60,47,32,9,4,3,244,3,20,58,70,58,28,12,0,0,241,16,6,13,26,19,14,3,3,0,95,0,3,9,8,3,3,0,0,0,24,0,0,0,0,0,0,0,0,0,3,23,25,80,103,75,45,12,7,0,369,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,20,25,82,100,75,48,12,7,0,377,22,6,5,3,6,17,8,4,0,80,7,0,12,12,7,9,0,0,0,57,50,31,105,118,96,72,27,8,3,512
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,7,22,28,23,11,18,0,0,0,115,10,7,11,8,10,10,8,4,3,66,3,8,3,9,5,7,0,0,0,32,20,42,44,40,26,34,9,4,3,209,3,21,38,28,18,15,0,0,0,126,9,19,7,9,7,10,3,0,0,62,0,3,7,6,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,6,10,39,57,41,28,26,3,0,0,202,3,3,11,4,5,0,0,0,0,31,0,0,0,0,0,0,0,0,0,8,8,6,15,11,5,3,0,0,0,44,15,45,71,50,34,32,0,0,0,248,15,21,21,28,21,22,19,4,3,153,9,9,12,30,18,21,3,0,0,107,35,79,108,107,68,78,24,8,3,506
RA91,4,3,12,16,13,6,0,0,0,52,7,4,9,10,6,7,4,0,0,58,3,3,5,7,5,0,5,0,0,28,19,7,23,36,23,18,12,0,0,140,3,20,29,15,18,10,0,0,0,93,3,0,4,10,3,0,0,0,0,21,0,0,0,4,3,0,0,0,0,5,3,0,3,0,0,0,0,0,0,10,11,19,32,31,29,8,0,0,0,135,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,13,10,19,37,31,31,13,0,0,0,146,19,5,9,21,15,18,9,4,0,98,9,9,16,6,11,4,7,0,0,72,35,39,61,58,59,33,15,6,0,312
RA94,37,41,155,197,227,196,83,12,0,949,39,10,39,40,40,84,98,62,23,438,10,7,25,11,39,46,19,14,3,174,84,53,221,253,314,325,193,90,29,1565,15,52,192,293,329,292,121,8,0,1302,38,29,77,89,113,104,66,17,4,543,3,8,25,21,16,28,11,0,0,111,3,3,3,12,14,11,3,3,0,57,63,93,298,414,481,438,198,27,4,2013,3,0,6,6,3,3,0,0,0,23,0,0,4,3,0,12,0,0,0,18,4,0,10,13,4,15,0,0,0,44,65,98,304,420,482,452,199,27,4,2058,90,51,143,114,89,133,191,123,42,988,18,18,54,35,72,84,50,21,6,361,173,161,507,576,651,661,444,179,51,3402
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6
RA99,0,4,0,4,3,0,0,0,0,11,0,0,0,3,0,3,5,0,0,14,0,0,0,0,0,0,0,0,0,4,3,4,0,5,4,4,6,0,0,30,0,0,0,3,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,0,11,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,4,0,3,3,3,3,0,0,18,0,0,0,3,3,5,9,0,0,22,4,4,0,0,0,0,0,0,0,4,3,10,0,5,9,11,13,0,0,46
