RA_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
RA55,0,3,6,3,6,0,0,0,0,17,0,0,0,0,0,3,0,0,0,6,0,0,3,0,3,0,0,0,0,8,0,3,6,3,8,7,0,0,0,26,0,15,92,89,69,31,4,0,0,301,0,7,7,6,4,0,0,0,0,23,0,0,0,3,3,3,0,0,0,16,0,0,0,3,0,0,0,0,0,4,0,19,100,98,82,35,4,0,0,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,100,101,82,35,4,0,0,341,0,3,0,7,4,5,3,0,0,20,0,3,24,21,17,8,0,0,0,76,0,20,127,127,105,43,8,3,3,434
RA59,27,118,257,117,119,138,9,0,0,792,21,63,130,91,113,232,203,33,5,882,16,62,145,95,95,71,48,6,3,547,65,242,534,305,325,442,254,37,11,2220,10,123,410,223,192,169,18,0,0,1143,19,59,128,71,72,73,20,0,0,431,0,3,37,30,37,23,4,0,0,140,3,10,24,9,12,8,0,0,0,60,26,202,598,332,308,266,40,0,0,1773,19,44,103,61,69,50,0,0,0,352,8,15,15,16,15,19,3,0,0,88,26,56,119,80,84,74,7,0,0,444,57,256,714,407,393,339,48,3,0,2215,56,125,232,199,233,437,471,73,14,1845,43,121,358,300,339,198,117,17,3,1490,151,503,1306,910,957,977,633,98,23,5559
RA61,5561,7720,15661,16623,18218,13133,2323,221,31,79494,4478,2626,4969,4255,4475,9018,14877,9577,4850,59131,507,596,1140,1061,1172,1360,1298,966,593,8703,10546,10948,21768,21942,23866,23510,18504,10765,5471,147327,1499,6677,18925,19222,22197,14655,1898,116,25,85212,6301,6411,9462,10768,10693,9475,3176,439,37,56759,350,517,1542,1143,1109,1217,301,27,10,6222,202,250,489,379,435,330,127,44,23,2291,8352,13855,30425,31512,34439,25682,5504,624,90,150484,631,1226,1462,1058,1018,687,32,10,0,6115,1541,867,806,568,500,511,85,16,0,4889,2172,2087,2265,1624,1519,1199,120,19,0,11010,10530,15942,32685,33136,35957,26883,5623,644,91,161492,10019,5048,7623,6620,7523,15346,27005,16996,7540,103715,970,1223,2367,2124,2473,2673,2495,1677,877,16880,21518,22216,42673,41884,45954,44895,35120,19316,8503,282083
RA62,2089,2329,4811,6115,8181,6345,1242,144,23,31294,2049,855,2029,2059,2646,5432,8089,4194,1589,28934,230,208,456,541,694,828,775,512,223,4460,4367,3391,7298,8718,11516,12615,10097,4852,1837,64689,933,2750,5888,6872,9372,6864,1210,159,33,34083,2235,1579,3015,4262,5246,5075,1608,250,31,23297,136,176,510,438,653,790,196,31,3,2925,136,121,188,231,279,239,106,43,6,1341,3442,4619,9605,11796,15545,12967,3115,490,75,61651,347,476,520,549,646,549,33,0,7,3133,375,175,278,230,306,322,46,10,0,1747,723,646,799,782,950,867,76,15,7,4874,4165,5273,10405,12582,16497,13836,3197,506,79,66528,4484,1410,2786,3106,4514,9720,15898,8192,2618,52734,486,455,889,1066,1435,1693,1608,944,378,8950,9138,7133,14084,16750,22450,25248,20696,9637,3080,128211
RA63,63,103,258,265,356,339,68,14,3,1466,67,32,116,95,136,286,378,179,53,1347,9,18,32,32,43,57,61,31,9,285,141,156,409,393,536,677,507,222,69,3101,26,125,314,303,447,339,59,7,0,1621,62,61,165,173,226,266,81,9,0,1049,9,10,36,21,24,60,22,3,0,182,3,5,9,8,22,8,7,8,3,79,102,209,515,506,722,666,171,23,3,2922,14,25,36,53,61,52,3,0,0,247,6,3,11,10,19,18,3,0,0,76,26,28,47,64,84,73,7,0,0,329,121,236,560,570,809,738,178,23,3,3249,132,45,155,160,243,574,817,388,101,2621,20,33,74,64,94,111,115,51,19,577,282,313,788,793,1152,1419,1116,466,121,6449
RA64,13,37,106,95,141,132,36,11,0,571,12,3,24,19,20,74,106,63,31,351,11,3,11,7,9,16,15,12,5,96,31,45,145,122,169,223,154,86,34,1012,14,48,129,120,196,178,41,9,0,732,16,32,60,59,77,101,46,18,3,398,0,3,17,8,9,15,13,0,0,65,0,3,4,5,8,0,5,0,0,31,27,85,210,195,285,293,100,30,4,1229,5,6,8,10,8,13,0,0,0,49,0,0,0,3,0,3,0,0,0,12,5,9,12,12,6,13,0,0,0,56,31,92,219,203,292,314,100,30,4,1284,30,3,34,26,31,121,229,124,46,648,19,8,18,14,17,31,24,24,10,173,84,100,273,243,345,469,356,171,59,2110
RA65,0,3,3,0,3,0,0,0,0,15,0,3,0,0,0,3,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,4,3,0,0,18,0,3,17,5,12,4,0,0,0,40,0,3,3,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,21,3,14,9,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,3,11,9,0,0,0,50,0,3,3,0,0,4,4,0,0,12,0,0,4,3,0,0,0,0,0,4,0,8,23,5,15,12,7,0,0,73
RA69,11,15,37,31,28,19,0,0,0,136,19,12,18,23,25,37,33,5,0,168,3,7,12,3,17,4,6,0,0,48,33,29,69,54,59,56,38,5,0,350,4,10,58,21,28,13,0,0,0,139,10,8,20,21,17,11,0,0,0,91,0,0,3,3,0,3,0,0,0,14,0,3,3,0,0,0,0,0,0,10,12,22,86,47,46,23,0,0,0,247,9,16,14,10,10,4,0,0,0,69,4,3,5,3,0,8,0,0,0,32,12,21,22,18,11,13,0,0,0,95,25,41,112,65,63,33,3,0,0,345,29,27,30,50,45,63,66,10,3,329,5,20,44,29,38,13,10,7,0,164,62,90,183,147,135,113,84,12,3,835
RA72,1834,3245,9241,7752,6877,4182,863,55,6,34055,1418,618,2151,1594,1133,1700,2156,1036,303,12102,306,492,1417,972,856,729,369,134,48,5321,3560,4355,12810,10315,8858,6612,3393,1226,356,51481,968,4540,14836,12513,11165,6595,1203,73,9,51904,2018,1688,3387,2903,2259,1781,695,80,6,14809,100,281,918,625,568,463,106,11,0,3080,116,223,441,279,281,160,47,11,3,1568,3203,6740,19584,16319,14271,9000,2053,172,21,71357,207,340,541,441,425,266,44,0,0,2260,344,162,245,175,134,101,34,0,0,1204,552,503,787,616,555,368,80,0,0,3466,3752,7237,20373,16936,14828,9365,2128,171,21,74817,3155,1199,3126,2419,2009,2995,4423,2014,521,21855,690,1117,3360,2430,2114,1685,857,280,85,12625,7600,9555,26858,21789,18951,14042,7413,2470,626,109301
RA73,486,757,2457,2132,2310,1571,319,32,3,10056,570,371,851,648,592,633,682,325,118,4798,152,218,590,407,491,395,184,61,31,2533,1201,1352,3899,3185,3390,2600,1184,423,152,17385,298,1079,3576,3039,3432,2424,436,34,0,14314,529,295,821,789,722,583,259,36,3,4049,39,54,237,167,164,161,38,3,0,869,35,49,119,92,87,56,20,0,0,457,909,1474,4753,4086,4400,3227,760,77,4,19691,81,130,164,155,153,87,15,3,0,781,64,38,74,63,48,52,7,0,0,341,148,164,241,218,205,134,17,3,0,1123,1050,1637,4991,4302,4599,3365,779,79,4,20811,1278,730,1506,1201,1088,1132,1397,629,189,9142,324,492,1163,794,1035,832,424,139,48,5260,2654,2856,7662,6297,6726,5327,2596,850,238,35215
