RA_CODE_2016,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
RA10,221,627,1227,1236,1349,1050,538,164,29,6440,61,441,3206,3425,2765,1565,221,24,5,11714,2057,6596,20386,24652,26917,19106,3765,369,50,103900,148,872,3704,4406,4390,3023,449,28,4,17019,8789,21605,49574,42951,35997,21542,4727,363,44,185578,773,3162,11961,14586,12987,8535,2107,241,31,54395,10876,18842,27989,20812,16488,11380,3535,477,50,110455,16204,16795,23938,13098,9435,6423,1624,171,21,87717,1105,4856,19193,22871,25463,19392,4593,369,24,97870,857,2535,10953,12040,8709,4163,852,109,8,40220,374,4208,22961,25457,16775,8281,1966,290,68,80372,447,1809,6463,5992,5187,3595,1469,305,48,25316,1121,8532,39035,36837,25421,16752,6191,895,105,134896,958,3864,11291,10402,9200,6878,1897,180,31,44708,688,4515,18944,20379,20588,13946,2848,237,27,82175,2271,5649,13881,13417,12652,11927,3618,403,20,63831,953,4767,17402,16776,15579,13130,4423,629,66,73729,2077,3382,5896,4389,3463,2462,830,134,15,22643,1882,5054,11582,10982,10611,7644,2214,282,35,50291,3030,8056,19839,17142,16164,10566,3063,663,147,78667
RA11,642,1120,2482,2809,3621,3903,2543,950,180,18247,87,519,2861,3207,2910,1668,161,18,3,11416,1146,2560,5423,5867,6240,4694,937,131,9,27000,88,325,1149,1443,1886,1308,129,12,0,6346,2814,5541,10656,9900,10043,7686,1597,119,15,48365,320,663,1502,1903,2132,1651,458,63,4,8707,3779,3375,4943,4295,4278,3740,1227,168,11,25816,5067,2717,3298,2624,2412,2178,786,88,14,19175,290,770,2380,3516,4952,4742,1767,172,12,18599,155,270,566,597,695,617,147,20,0,3079,44,157,582,886,1028,786,276,67,9,3838,102,195,519,772,898,849,432,88,11,3865,208,636,1952,2611,2929,2765,1321,177,10,12604,230,660,1504,1740,2198,1895,548,65,7,8842,517,1381,4326,5666,7018,4916,700,60,8,24608,253,624,2220,2964,3642,3974,920,87,3,14699,179,765,2879,3386,4260,4181,1067,87,15,16816,415,399,612,692,788,712,270,46,7,3939,716,1526,2746,2564,2804,2232,748,98,13,13454,916,1402,2517,2626,3216,2511,966,317,77,14551
RA12,591,1201,2963,3537,4665,5212,3269,1165,220,22817,44,212,1066,1082,941,525,59,5,3,3930,384,849,1623,1566,1726,1360,282,44,0,7831,8,91,309,457,537,388,49,0,3,1833,598,1111,2074,2048,2454,2135,475,44,5,10950,132,184,444,519,575,510,141,27,3,2527,981,631,975,961,1115,1056,344,45,11,6116,955,504,737,552,700,828,289,23,3,4591,70,188,572,771,1313,1436,548,54,6,4959,28,46,84,73,128,162,34,7,0,551,13,23,71,114,166,122,40,4,0,556,42,43,94,143,168,170,79,19,3,766,55,106,302,419,556,552,259,43,3,2300,64,116,255,348,468,493,115,15,0,1872,75,232,820,1187,1704,1461,252,11,0,5751,36,124,483,637,789,903,223,27,0,3222,42,139,496,618,865,911,226,24,0,3330,73,107,149,203,247,229,77,12,5,1108,285,442,675,661,705,665,228,47,4,3708,313,461,671,716,939,845,376,145,47,4508
RA13,77,204,513,505,639,613,308,113,18,2979,12,66,211,174,149,89,10,4,0,715,12,18,40,38,34,37,8,0,0,184,0,3,19,23,24,18,4,0,0,97,17,40,78,76,100,78,20,3,0,405,4,10,22,10,27,22,4,0,0,105,30,35,39,44,35,53,11,6,0,243,10,11,30,27,44,33,16,3,0,176,5,7,19,32,47,59,39,9,0,216,0,0,5,0,4,12,0,0,0,31,0,0,4,0,3,0,0,3,0,10,0,0,0,3,8,3,3,0,0,21,0,8,10,5,7,13,13,0,0,60,0,15,15,24,18,16,5,4,0,92,11,28,91,74,117,103,20,0,0,445,4,12,72,38,33,36,11,0,0,194,0,7,48,28,42,45,10,0,0,184,0,3,11,10,16,11,7,0,0,54,11,23,28,28,39,31,9,0,3,179,22,38,44,60,61,55,31,12,0,330
RA14,9,21,67,68,85,113,58,15,0,443,3,3,14,16,9,5,4,0,0,57,0,0,3,0,0,0,0,0,0,4,0,0,4,7,3,5,0,0,0,22,4,7,8,10,12,10,6,0,0,67,0,0,0,0,5,3,0,0,0,13,3,0,0,0,4,10,0,0,0,22,3,4,8,17,17,18,3,4,0,75,0,0,6,7,11,5,8,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,6,0,0,0,0,8,0,0,0,0,8,0,0,0,3,0,5,3,0,0,15,0,0,3,0,15,0,0,3,0,29,3,7,29,35,27,29,9,0,0,142,0,4,15,10,15,10,3,0,0,52,0,3,5,4,8,9,3,0,0,37,0,0,3,3,8,3,3,0,0,21,0,3,4,4,7,6,0,0,0,28,3,0,11,8,15,10,11,0,0,63
RA15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,11
RA19,5,18,28,10,8,3,3,0,0,79,0,0,13,14,7,0,0,0,0,30,3,18,41,27,24,17,0,0,0,134,0,4,10,7,8,3,0,0,0,23,7,51,109,89,51,38,5,0,0,359,0,4,12,17,3,9,4,0,0,48,0,20,32,29,23,16,3,0,0,119,11,46,75,14,21,20,8,0,0,191,0,3,38,43,31,25,6,0,0,152,0,3,12,9,0,5,5,0,0,30,0,4,18,11,6,0,0,0,0,42,0,4,9,5,5,3,0,0,0,26,0,15,46,36,20,11,8,0,0,135,3,10,28,18,9,13,0,0,0,84,25,27,33,24,4,13,3,0,0,134,0,6,19,13,12,7,4,0,0,61,0,6,25,22,19,6,0,0,0,83,4,11,20,11,9,6,3,0,0,62,0,6,21,10,7,9,3,0,0,71,7,23,39,35,43,16,4,3,5,174
RA20,182,612,1559,1535,1527,1167,504,169,28,7279,11,98,802,909,888,575,132,12,5,3427,1677,6609,23305,29238,30270,20223,4002,383,56,115763,110,739,4071,3978,3540,2188,390,22,4,15041,5283,17521,43809,34534,29429,17446,3613,337,56,152031,727,2830,10121,11997,11859,7565,1744,211,21,47082,10026,17086,24585,18115,14736,9894,3051,368,55,97898,12839,14407,19673,9803,6757,4303,988,106,15,68895,712,4439,19235,18868,19520,14379,3384,218,26,80785,558,1862,7986,8457,6204,3080,551,54,9,28757,204,2560,14721,15305,10409,5100,1368,190,49,49900,250,1370,5064,4247,3655,2547,1003,194,24,18353,661,6252,31843,30277,20654,13234,5043,680,81,108724,714,3747,9897,8468,7589,5613,1792,189,15,38026,544,2884,12186,13547,13750,9443,2168,273,29,54825,1628,4665,13835,12837,11094,9985,2877,269,21,57203,521,3077,13887,13442,12274,9733,3294,390,55,56686,2485,3878,6437,4488,3301,2152,793,151,12,23697,1166,3914,9895,8809,8757,6287,1825,252,24,40938,1989,6448,16353,14097,13794,8939,2803,538,156,65133
RA21,671,1263,2981,3514,4351,4560,3121,1056,203,21720,19,159,816,851,918,579,95,12,3,3455,1027,2687,5696,6843,7902,5813,1036,84,22,31113,61,266,1064,1249,1941,1520,209,11,4,6326,2105,5139,10097,8708,8538,6114,1233,106,35,42076,254,543,1309,1789,2021,1540,405,49,11,7929,3138,2663,3664,3422,3339,2974,985,138,23,20337,3757,2032,2051,1577,1432,1322,463,52,6,12705,182,574,1947,2936,4194,4095,1257,94,16,15310,105,234,543,671,738,573,119,15,0,2995,29,164,652,989,999,666,206,26,6,3728,48,151,408,524,637,564,248,37,4,2618,129,566,1894,2338,2378,2226,920,128,7,10591,169,418,1038,1298,1584,1446,415,53,5,6426,301,944,2641,3497,4343,3426,547,52,12,15760,263,563,1944,2531,2578,2914,693,56,10,11547,133,572,2037,2488,3011,3087,812,90,9,12248,385,389,638,678,741,701,276,50,7,3876,560,1071,1910,1906,2275,1911,566,79,5,10288,784,1240,2106,2355,2897,2242,868,279,73,12849
RA22,281,722,1790,2024,2623,2879,1629,558,98,12605,3,27,141,158,163,125,17,5,0,641,188,389,843,956,1222,907,177,31,4,4710,5,50,165,173,315,250,43,6,0,1013,342,736,1437,1161,1348,1186,225,32,7,6468,71,162,334,337,393,356,91,18,0,1759,677,463,704,606,685,696,196,28,3,4059,650,356,468,385,390,448,160,23,0,2876,40,154,420,626,933,991,304,26,7,3499,23,42,68,61,70,85,24,3,0,378,10,21,84,89,108,82,24,6,0,419,13,31,57,68,92,104,41,6,4,413,35,63,244,293,283,302,162,27,0,1409,48,94,200,222,290,323,93,13,0,1275,27,99,384,518,768,679,125,14,0,2608,49,86,336,413,478,516,142,9,0,2035,38,125,335,405,547,577,153,18,3,2209,58,52,91,110,142,133,37,3,0,627,122,237,406,334,442,419,124,22,4,2113,176,250,427,431,591,604,212,81,22,2787
