RA_CODE_2016,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
RA23,3,14,39,44,56,67,42,15,3,281,0,0,0,0,0,0,0,0,0,9,3,3,7,6,4,9,0,0,0,24,0,0,0,4,3,4,0,0,0,12,0,0,4,8,14,24,3,0,0,56,0,0,0,3,0,0,0,0,0,3,0,0,0,6,0,6,5,0,0,27,0,4,3,0,14,12,3,0,0,32,0,0,3,4,6,7,4,0,0,30,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,3,7,0,0,0,14,0,0,9,9,13,8,5,0,0,35,0,0,4,0,11,11,5,0,0,39,0,0,0,0,0,3,3,0,0,13,0,0,3,9,3,4,0,0,0,17,0,0,0,0,3,0,3,0,0,11,0,3,0,0,6,7,0,3,0,24
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
RA29,3,7,16,4,10,7,0,0,0,45,0,0,6,3,0,0,0,0,0,7,0,10,30,38,15,7,4,0,0,107,0,0,7,3,4,5,0,0,0,17,4,20,70,49,25,21,3,0,0,182,0,3,9,9,5,8,0,0,0,35,3,14,17,19,13,9,0,0,0,70,11,35,46,11,6,4,0,0,0,116,0,4,38,23,21,18,3,0,0,111,0,3,6,4,0,0,0,0,0,20,0,0,6,10,0,4,0,3,0,26,0,0,10,5,3,0,0,0,0,13,0,0,40,15,8,5,0,0,0,71,0,3,22,9,9,9,0,0,0,52,9,21,21,13,8,9,0,0,0,78,0,7,13,5,3,15,0,0,0,44,0,3,12,15,9,10,0,0,0,51,0,7,17,4,7,0,0,0,0,41,0,6,12,15,12,3,3,0,0,54,7,6,33,15,26,9,0,0,0,94
RA30,238,535,1185,991,1030,771,408,79,6,5244,28,313,3097,3745,2941,1346,221,23,4,11717,1861,5092,13356,15027,14830,9379,1800,176,14,61535,71,429,2008,2780,2857,1727,228,18,0,10123,4594,12303,30265,26922,22490,13567,2792,176,12,113112,625,1855,5398,6573,6394,4100,994,96,5,26040,7992,10901,14140,10494,8872,6117,1892,185,16,60605,11720,9020,10992,6267,4604,3065,936,115,10,46732,659,2908,10596,11832,13569,10665,2910,203,11,53360,479,1214,2945,2898,2629,1428,275,26,3,11905,171,1195,5223,5718,4599,2472,696,97,26,20196,337,1063,3067,3255,3254,2655,1322,242,28,15234,776,4175,14444,15500,12058,7693,2591,299,19,57557,810,2572,5830,5394,4918,3533,1015,111,12,24187,440,3215,10604,12172,12227,7523,1181,91,6,47456,1198,2874,7254,8152,8116,6645,1822,165,8,36243,632,2904,9516,9946,9588,7045,1949,244,24,41853,1345,1910,3074,2648,2178,1387,483,93,6,13129,1142,2941,6624,5921,5630,4082,1157,142,3,27640,1769,4127,9032,8500,7872,5066,1603,307,72,38347
RA31,511,987,2026,2078,2656,2534,1638,542,75,13053,84,506,2856,3363,3131,1597,166,8,11,11717,916,2016,4450,4785,4901,3421,614,38,10,21147,85,243,900,1094,1323,908,102,3,4,4659,1475,3207,6847,6614,6565,4743,851,60,6,30358,299,630,1336,1605,1757,1279,267,35,6,7212,2826,2322,2871,2476,2529,1981,596,71,7,15677,3161,1505,1517,1022,1090,908,321,45,4,9571,227,671,2177,2857,4272,3822,1065,62,7,15157,94,162,313,315,345,347,69,6,0,1648,41,107,409,528,552,374,125,17,3,2152,83,149,361,498,602,608,261,45,10,2616,151,497,1477,1786,1766,1472,502,57,5,7719,229,425,894,1046,1253,1012,248,27,3,5134,166,725,2056,2872,3564,2712,372,28,3,12503,263,415,1343,1818,2413,2161,561,49,4,9019,159,574,1746,2113,2514,2215,560,48,4,9921,237,173,293,330,391,360,119,22,3,1927,563,1076,1873,1778,1828,1472,389,46,3,9033,640,1023,1951,2012,2248,1718,555,179,36,10357
RA32,498,1044,2428,2433,3092,3092,1725,663,107,15086,127,592,3216,3818,3267,1638,186,10,3,12856,540,988,2172,2457,2518,2008,408,43,0,11137,53,186,622,729,928,605,69,9,0,3206,832,1874,4329,4278,4216,3145,581,49,12,19313,189,332,903,1053,1013,761,157,13,0,4410,1917,1598,2076,1669,1716,1265,447,61,8,10760,2341,1362,1916,1406,1238,1014,332,41,7,9654,165,492,1821,2329,3188,2801,728,69,4,11593,62,154,314,244,268,212,46,8,0,1312,19,53,217,264,322,221,57,5,0,1161,44,118,310,424,466,382,202,32,3,1990,97,347,1118,1133,1134,948,363,38,9,5182,149,380,872,973,1111,819,212,29,0,4544,332,1939,3590,3089,3284,2168,326,26,0,14762,166,351,1110,1287,1393,1253,382,28,5,5962,84,454,1421,1499,1624,1291,322,34,3,6730,212,219,396,388,367,264,75,13,0,1935,425,772,1524,1237,1159,908,307,28,3,6368,443,708,1429,1433,1520,1174,433,116,25,7295
RA33,127,280,654,658,874,823,446,158,22,4041,68,289,1415,1232,1052,556,83,4,0,4691,45,84,136,135,134,105,24,7,0,653,3,13,62,67,66,65,11,0,0,285,64,132,299,305,300,271,57,3,0,1439,16,23,74,65,77,57,17,7,0,338,163,97,103,88,103,85,33,8,0,677,102,161,304,161,144,124,32,3,0,1039,17,38,127,133,191,178,59,4,0,754,3,0,6,9,4,9,0,0,0,39,3,5,3,14,6,3,3,0,0,40,0,15,32,33,24,21,11,4,0,138,9,20,65,73,76,55,14,0,0,316,22,50,77,66,73,68,21,0,0,388,14,68,201,199,267,231,39,8,0,1021,15,34,117,95,65,78,33,0,0,443,6,13,80,96,101,79,34,0,0,417,10,20,21,24,24,13,6,4,0,128,51,84,140,99,97,84,36,3,0,591,42,89,135,144,151,155,42,23,3,780
RA34,130,247,489,457,561,573,278,101,6,2845,13,58,271,331,264,157,13,4,0,1115,30,48,119,63,64,52,6,0,0,382,3,9,40,32,29,39,11,0,0,157,80,129,264,224,204,170,41,0,0,1119,7,20,36,37,34,27,4,0,0,177,93,53,94,77,94,90,31,12,0,539,39,66,138,79,73,98,39,6,0,538,14,32,101,103,168,171,58,3,0,641,0,0,10,9,6,11,3,0,0,32,3,0,10,4,6,3,0,0,0,32,0,8,15,18,8,14,4,0,0,69,0,13,23,17,35,21,8,4,0,120,8,11,30,34,45,40,4,0,0,188,60,149,337,413,460,339,73,11,0,1846,13,40,109,115,81,65,11,0,0,436,6,22,103,105,144,109,22,0,0,502,11,12,24,22,29,36,6,0,0,143,40,74,125,95,85,75,28,3,0,530,35,73,114,78,83,99,30,11,0,531
RA35,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4
RA39,3,59,83,10,16,19,9,0,0,204,0,0,19,24,17,11,0,0,0,71,0,12,44,26,16,11,3,0,0,112,0,0,6,3,9,3,0,0,0,25,10,22,82,62,60,32,3,0,0,275,0,6,9,13,7,7,0,0,0,40,3,18,20,14,24,9,8,0,0,87,17,27,55,16,14,17,3,0,0,143,0,13,23,30,30,24,4,0,0,130,0,0,3,7,4,4,0,0,0,15,0,3,7,0,0,0,0,0,0,12,0,0,6,3,11,3,0,0,0,20,0,5,26,15,7,9,0,0,0,64,0,3,30,13,16,7,3,0,0,72,7,14,11,14,19,11,0,0,0,75,0,7,13,11,15,8,3,0,0,50,0,5,26,14,12,9,4,0,0,70,0,4,18,6,9,4,0,0,0,39,0,5,22,11,6,8,0,0,0,52,3,28,57,46,29,13,11,0,0,184
RA40,66,269,678,785,778,596,254,64,10,3508,8,125,945,1014,873,470,74,3,3,3515,567,1979,6393,7665,8146,5301,990,101,11,31150,79,244,1123,1200,1461,943,135,5,3,5188,1196,4187,9809,7658,7791,5016,1151,106,16,36927,224,823,2205,2768,2867,1947,454,54,5,11353,3351,4866,6339,4563,4013,2819,788,93,13,26843,3705,3632,4197,2402,1722,1121,317,56,9,17161,198,907,3621,3989,4814,3964,923,70,9,18496,184,432,1411,1297,1060,656,150,14,4,5205,48,366,1688,2030,1746,1194,318,43,14,7450,82,285,816,764,849,770,327,79,11,3990,178,1160,4821,5037,4181,3022,1155,134,10,19696,194,851,2123,2132,2234,1596,468,45,3,9643,125,1133,4849,5727,5930,4260,582,23,5,22632,379,1176,3190,3335,3205,3280,934,67,3,15571,194,1101,4565,4691,4395,3743,1086,132,7,19914,422,748,1056,728,660,497,158,30,0,4298,328,1167,2585,2411,2524,1954,604,93,8,11675,447,1146,2625,2442,2424,1703,526,131,34,11487
RA41,142,371,752,956,1155,1111,661,215,34,5403,10,44,240,296,307,190,25,3,0,1112,211,565,1239,1563,1788,1289,256,26,0,6937,7,51,149,172,286,202,33,3,0,902,310,731,1495,1365,1521,1158,230,26,4,6847,66,164,386,428,483,379,85,4,0,1998,591,635,744,681,766,637,209,28,3,4290,635,344,319,291,288,256,93,8,0,2238,45,120,399,599,868,831,251,29,0,3139,19,35,100,97,106,92,21,0,0,471,8,17,82,143,170,123,35,3,0,583,4,29,71,75,120,127,57,18,0,488,29,76,283,346,402,389,223,18,0,1766,46,138,257,308,425,341,83,10,0,1616,21,145,449,673,875,697,94,7,8,2966,43,98,290,374,467,540,137,9,3,1957,16,97,271,354,509,590,142,11,3,1993,55,65,89,103,117,106,45,10,0,593,114,226,431,407,461,418,123,16,3,2196,107,164,323,361,465,353,131,39,10,1956
RA42,250,551,1368,1585,1996,1946,1057,279,56,9083,10,84,407,438,436,220,22,0,0,1617,161,446,1002,1137,1403,987,114,13,4,5273,14,51,145,133,203,155,26,0,0,717,211,473,823,727,875,768,161,11,4,4058,54,76,212,247,299,235,45,9,0,1184,499,352,505,413,435,429,113,14,3,2762,399,189,211,182,221,218,72,5,0,1507,25,103,295,399,616,584,181,25,3,2236,8,18,32,21,42,40,10,0,0,165,4,3,31,49,70,49,18,3,0,227,8,8,27,37,74,70,23,7,0,243,20,37,120,143,139,165,83,7,0,711,17,67,168,170,222,199,59,3,0,914,16,84,277,369,536,472,72,6,0,1840,16,63,243,210,263,295,110,13,0,1217,18,59,163,238,318,347,59,5,0,1211,21,20,23,30,46,40,10,4,0,194,95,177,283,211,320,296,77,16,3,1486,104,125,233,240,347,259,101,54,14,1472
RA43,81,172,559,552,691,587,280,65,14,3005,10,79,353,311,271,152,15,0,0,1197,28,69,96,103,122,88,18,0,0,529,7,5,34,22,51,33,6,0,0,155,67,112,272,275,248,197,45,0,0,1213,19,26,77,74,102,97,16,0,0,404,141,72,116,110,126,123,24,3,0,710,90,50,64,64,72,81,26,4,0,452,13,21,65,89,169,174,44,4,0,588,7,3,4,11,9,9,5,0,0,44,0,0,8,15,18,24,0,0,0,68,0,0,12,13,16,23,8,0,0,73,6,11,40,37,43,36,16,0,0,196,13,8,44,45,53,60,25,0,0,247,7,9,74,104,122,110,14,4,3,455,3,19,64,65,55,89,20,0,0,310,3,7,34,42,66,55,25,0,0,223,4,7,15,6,17,14,9,3,0,75,25,51,75,81,77,60,18,8,0,394,35,33,58,58,77,71,24,19,5,375
RA44,32,61,149,159,171,169,74,15,3,829,6,13,108,108,103,55,5,3,0,398,3,3,11,14,9,12,3,0,0,54,0,3,10,3,7,13,3,0,0,44,5,21,40,55,62,56,7,4,0,251,3,4,13,19,14,15,7,0,0,76,18,15,29,29,25,34,11,6,0,170,11,20,35,23,31,30,14,0,0,168,3,10,15,26,43,37,16,0,0,151,0,0,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,9,0,3,7,14,5,11,3,0,0,41,3,7,15,18,21,12,5,3,0,79,6,9,45,45,46,54,13,0,0,217,3,19,36,19,22,22,5,0,0,131,0,6,22,36,40,22,10,0,0,136,0,0,0,11,5,7,3,0,0,26,5,18,25,32,22,22,10,0,0,134,3,7,27,15,34,36,9,6,0,141
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,17,23,4,3,13,0,0,0,64,0,0,4,4,0,0,0,0,0,13,0,6,20,13,3,3,0,0,0,50,0,0,3,0,0,0,0,0,0,12,0,0,27,12,17,6,0,0,0,66,0,0,9,4,4,0,0,0,0,20,0,3,14,0,0,3,0,0,0,19,3,3,11,3,3,0,0,0,0,32,0,4,10,15,6,10,0,0,0,43,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,3,0,0,6,0,11,4,0,0,0,21,0,4,9,5,0,0,0,0,0,15,0,0,5,6,3,3,0,0,0,17,0,0,7,5,0,0,0,0,0,12,0,0,3,0,5,0,0,0,0,15,0,0,3,3,0,0,0,0,0,9,4,0,0,3,3,0,0,0,0,14,0,7,8,5,6,8,0,0,0,37
RA50,146,338,782,658,787,667,370,115,12,3878,126,1316,10068,10540,8987,4223,564,33,5,35851,1004,2633,8424,9312,9008,6098,1317,105,8,37918,47,312,1601,1857,1918,1286,202,10,0,7229,2749,8190,22413,17459,15143,8746,1883,167,18,76770,337,1268,3703,3999,3892,2662,681,76,7,16621,5042,7328,8537,5941,5071,3670,1266,142,18,37019,6456,5666,7053,3532,2468,1600,441,53,9,27278,391,1660,6993,6792,7655,6172,1626,110,5,31416,304,639,1648,1431,1258,787,207,22,8,6308,55,512,2671,3036,2823,1565,470,49,13,11183,116,452,1512,1600,1733,1426,697,131,16,7678,287,2052,10108,10289,8027,4950,1767,228,13,37724,432,1429,3638,3162,2945,2211,672,83,4,14561,276,1551,6547,7185,7743,5794,1294,132,10,30523,726,1605,4099,4671,4755,4653,1437,122,7,22063,294,1460,5386,5308,4950,4106,1303,179,8,23002,851,1188,1961,1355,1166,916,365,56,4,7860,713,2123,4732,3887,3704,2851,832,106,9,18959,1087,2748,6633,6057,5740,3639,1154,256,41,27336
RA51,102,193,483,533,659,720,514,162,26,3393,38,217,1186,1647,1675,896,100,3,0,5765,222,465,1195,1404,1372,917,188,16,3,5777,14,55,219,317,400,287,42,0,3,1334,447,849,1889,2046,2083,1373,241,23,3,8948,61,83,185,249,289,215,66,7,0,1152,581,449,595,533,562,489,144,14,0,3370,636,268,418,322,291,221,98,13,0,2275,37,96,318,512,774,711,273,17,0,2739,27,45,62,69,70,52,10,0,0,335,3,15,58,110,142,77,23,4,0,439,16,39,104,129,163,142,83,8,0,681,23,70,257,355,407,344,127,17,3,1606,43,85,236,291,316,312,99,11,0,1391,68,247,417,521,696,582,107,13,0,2652,45,37,162,321,406,440,110,7,3,1535,16,55,240,319,389,385,125,15,3,1547,47,42,80,99,131,134,38,4,0,570,141,212,349,407,418,320,84,14,0,1956,162,229,449,532,587,461,161,40,7,2634
RA52,189,379,1140,1237,1556,1428,916,299,41,7184,58,315,1470,1444,1387,783,99,0,0,5549,158,300,594,586,600,455,109,15,3,2822,7,44,125,138,184,175,36,0,0,698,275,591,1121,1029,1151,914,213,22,3,5315,68,130,273,317,359,257,63,11,0,1490,531,333,496,381,450,380,148,11,0,2726,406,177,259,207,215,197,86,15,0,1568,34,138,393,611,886,775,243,24,0,3107,22,17,40,36,36,47,5,5,0,217,7,12,51,86,100,64,13,6,0,344,12,26,62,74,83,102,67,9,0,428,41,87,189,242,249,228,88,10,0,1138,54,67,120,146,220,184,55,0,0,849,39,100,375,549,756,673,146,13,0,2656,33,61,241,322,401,411,113,3,0,1589,19,59,215,266,355,345,105,20,0,1376,25,34,51,54,107,104,36,11,0,416,142,236,397,394,380,275,81,10,0,1922,138,213,341,347,447,377,155,52,10,2081
RA53,82,224,664,691,880,790,366,109,20,3830,32,221,1193,1174,878,455,43,4,4,4001,44,79,297,224,157,108,23,9,0,936,9,15,82,116,101,78,20,0,0,422,79,200,738,586,459,347,65,10,0,2479,21,58,165,167,145,98,20,0,0,679,168,117,213,163,152,124,46,3,3,980,153,98,263,159,143,129,35,5,0,986,24,93,427,489,553,420,115,11,3,2123,3,7,18,12,20,10,3,0,0,90,0,3,18,12,19,14,3,3,0,69,6,21,61,70,68,37,14,3,0,286,12,29,130,104,102,82,19,3,0,487,21,48,117,102,123,88,11,7,0,510,22,38,230,318,356,257,57,3,0,1280,8,38,114,171,157,139,36,3,0,664,14,27,128,127,143,115,32,3,0,591,12,7,29,34,26,26,12,7,0,157,61,114,256,186,140,103,31,8,0,894,72,111,253,262,262,178,57,18,6,1217
RA54,51,121,265,245,267,254,119,30,3,1354,38,370,2530,2123,1712,841,122,7,3,7746,11,25,125,119,98,52,13,0,0,448,0,10,49,72,63,45,9,0,0,244,35,182,995,850,708,414,50,3,0,3239,6,20,58,44,34,32,9,3,0,205,68,57,115,78,82,85,19,4,0,507,39,60,239,177,165,136,37,0,0,848,15,42,129,112,179,164,51,5,0,699,0,9,13,5,15,10,3,0,0,52,0,0,4,6,6,0,0,0,0,23,0,11,40,29,36,15,7,0,0,144,3,30,248,253,243,151,19,0,0,945,11,40,147,128,110,85,20,0,0,543,12,42,213,233,254,188,47,6,0,997,14,54,160,133,109,109,25,0,0,590,7,27,92,97,115,118,37,0,0,480,3,9,38,32,30,18,8,0,0,143,42,73,216,156,134,65,18,3,0,712,20,64,204,184,174,125,38,8,3,831
RA55,0,5,10,3,0,0,0,0,0,21,0,0,39,39,28,14,0,0,0,121,0,0,4,0,0,0,0,0,0,11,0,0,3,3,4,0,0,0,0,10,0,0,5,7,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,9,0,0,7,11,21,9,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,0,0,3,0,3,0,0,0,0,10,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,20,15,10,0,0,0,55
RA59,0,10,34,10,5,17,0,0,0,79,0,12,76,42,50,24,0,0,0,199,0,4,13,15,5,3,0,0,0,40,0,0,5,0,5,3,0,0,0,13,0,16,62,44,37,18,3,0,0,186,0,0,9,7,3,0,0,0,0,19,0,13,12,8,4,5,3,0,0,42,3,13,30,5,17,10,3,0,0,86,0,3,17,24,17,21,5,0,0,94,0,0,3,3,3,0,0,0,0,11,0,0,0,7,0,0,0,0,0,6,0,0,3,4,5,0,0,0,0,11,0,0,20,11,9,10,0,0,0,52,0,3,19,11,15,3,3,0,0,49,0,8,10,7,7,5,3,0,0,33,0,0,7,5,0,3,0,0,0,25,0,4,7,8,6,5,3,0,0,29,0,4,6,0,3,0,0,0,0,13,0,3,11,8,7,3,0,0,0,27,0,6,27,19,15,13,4,0,0,88
RA61,70,205,509,517,507,391,139,38,3,2377,3,18,135,176,136,108,15,0,0,584,213,601,1299,1507,1783,1226,205,28,3,6871,6,67,391,528,589,354,37,3,0,1976,434,1172,2609,2040,2123,1553,284,19,5,10233,94,185,494,543,609,469,103,16,3,2510,959,1178,1609,1293,1177,967,268,38,7,7492,1216,1064,1135,672,504,360,106,15,3,5074,46,237,759,939,1294,1106,321,28,3,4730,28,118,337,316,317,241,31,9,0,1395,20,73,351,386,365,250,73,9,0,1527,12,54,153,168,222,207,95,17,4,927,59,267,1049,1066,1016,775,295,40,6,4573,36,170,429,422,424,373,96,19,0,1968,50,244,1028,1507,1938,1250,198,13,7,6224,78,221,890,1049,1145,1072,249,18,3,4718,50,258,892,1054,1218,1084,297,30,10,4890,158,182,331,311,312,254,80,14,3,1641,117,317,615,560,617,549,153,23,0,2948,142,288,643,591,624,452,164,43,13,2968
