RA_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
RA53,605,572,325,214,274,27,3,2019,317,276,131,72,94,7,0,898,551,433,203,95,102,10,0,1397,3563,3639,1811,845,938,44,7,10851,31,30,22,6,13,0,0,95,5063,4947,2496,1222,1426,87,15,15258,25,36,34,24,27,0,0,141,43,76,33,34,32,0,3,218,43,60,29,23,26,0,0,182,625,780,434,283,268,8,3,2398,49,35,22,15,5,0,0,121,779,975,554,372,349,12,5,3049,5841,5926,3049,1591,1778,102,19,18306
RA54,277,263,130,63,70,9,0,812,146,134,60,29,26,3,0,404,219,177,71,24,24,3,0,517,2337,2299,1122,583,418,22,3,6785,33,31,20,16,4,0,0,106,3004,2916,1406,711,546,34,7,8622,14,35,21,9,11,3,0,94,16,17,20,7,13,0,0,72,10,16,13,4,6,0,0,54,712,842,533,320,189,14,4,2608,37,45,38,23,4,0,0,146,790,950,612,364,228,13,4,2970,3796,3866,2015,1081,778,49,10,11589
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA61,1355,1202,716,436,652,292,144,4803,913,1016,581,361,545,186,92,3687,946,929,446,294,402,150,71,3244,11518,11908,6717,4221,5664,1893,626,42544,75,79,36,35,22,11,5,264,14804,15136,8504,5352,7287,2527,933,54548,111,204,139,107,189,86,56,887,197,321,204,166,212,81,41,1219,88,177,131,117,153,69,25,762,3203,4232,2484,1685,2319,659,217,14803,179,171,79,79,47,17,3,568,3771,5101,3031,2160,2927,908,340,18236,18582,20231,11532,7514,10213,3437,1272,72782
RA62,188,239,155,111,156,47,9,907,318,310,199,125,156,42,14,1158,295,340,194,123,130,29,16,1120,5049,5808,3493,2128,2824,604,126,20034,26,29,25,20,14,3,0,128,5874,6728,4064,2503,3283,727,167,23343,16,17,13,8,29,16,0,98,64,92,74,58,65,19,8,374,31,60,40,39,60,20,7,247,1174,1680,1073,754,937,155,33,5799,65,70,36,31,19,5,0,234,1348,1913,1238,889,1112,210,43,6751,7228,8640,5300,3391,4393,936,207,30101
RA63,24,17,10,4,3,0,0,56,11,15,5,6,6,0,0,43,22,14,3,0,0,0,0,38,251,252,127,83,65,9,5,782,4,0,3,3,0,0,0,11,310,293,142,99,76,9,5,934,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,4,3,4,0,3,0,0,0,5,58,89,53,39,31,0,0,266,7,3,0,0,0,0,0,9,63,95,55,43,33,0,0,293,382,390,193,139,111,7,5,1225
RA64,0,4,0,0,0,0,0,9,9,10,7,0,0,0,0,23,9,3,0,0,0,0,0,13,97,88,46,17,18,0,0,268,0,0,0,0,0,0,0,0,116,106,52,23,18,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,7,11,4,5,3,0,0,33,0,0,0,3,0,0,0,6,8,11,10,8,6,0,0,48,124,116,65,30,22,0,0,358
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,2076,1674,942,604,764,275,110,6448,531,485,256,172,235,48,24,1754,804,620,308,183,263,50,28,2250,4421,3994,2015,1193,1384,224,67,13305,51,51,29,15,17,0,0,156,7880,6828,3551,2163,2663,598,235,23920,110,157,102,88,153,52,27,681,101,99,66,39,62,10,7,387,68,121,82,62,80,20,4,424,748,1011,593,428,486,40,18,3322,68,54,40,23,14,0,3,200,1088,1438,874,642,795,120,58,5010,8970,8269,4428,2805,3456,718,286,28928
RA73,483,416,199,136,161,27,6,1431,135,132,43,31,42,3,0,384,179,131,58,46,53,8,0,479,1448,1443,754,447,435,47,5,4571,22,19,11,14,3,0,0,68,2274,2137,1067,679,693,84,10,6939,10,33,29,21,26,0,0,119,20,32,21,8,13,0,0,94,23,22,14,14,20,0,0,95,432,563,328,184,198,27,6,1737,30,24,23,22,3,3,0,106,514,681,418,252,251,31,10,2155,2784,2815,1483,929,945,117,23,9099
RA74,93,78,41,17,18,3,0,246,46,34,11,10,3,0,0,107,59,42,17,7,5,0,0,130,2461,2672,1425,855,533,57,22,8026,40,35,15,22,0,0,0,108,2699,2860,1510,907,556,62,22,8618,3,6,0,0,7,0,0,13,3,5,3,3,3,0,0,13,7,9,0,4,0,0,0,19,816,1011,615,422,209,12,12,3086,30,46,16,15,0,0,0,111,851,1069,640,440,218,12,12,3242,3553,3934,2151,1349,774,73,31,11865
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA80,5886,5116,2518,1498,2023,1192,603,18825,1869,1820,1031,592,893,377,190,6786,2104,1932,967,608,876,352,192,7024,12598,11608,6044,3714,4993,1920,892,41770,85,82,41,26,23,14,6,273,22541,20557,10601,6437,8814,3853,1875,74685,389,546,391,280,446,277,143,2465,308,389,289,170,267,115,51,1586,131,266,176,128,213,85,38,1036,1531,2220,1544,1027,1482,496,219,8529,101,94,53,28,35,6,6,318,2458,3511,2458,1630,2440,984,460,13938,24993,24073,13055,8070,11252,4835,2339,88620
RA81,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,15,35,45,17,9,9,3,0,125,0,0,0,0,0,0,0,0,39,48,22,14,16,3,3,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,8,4,0,3,0,0,0,13,0,0,0,0,0,0,0,0,7,4,3,3,3,0,0,23,47,51,21,19,23,3,3,164
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,4,0,0,0,0,3,0,0,3,17,5,0,0,3,0,0,21,0,0,0,0,0,0,0,0,15,3,3,3,6,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,13,4,5,0,0,49,3,0,0,0,0,0,0,3,9,19,13,12,5,0,0,55,31,20,14,14,12,3,0,87
RA94,44,39,19,19,21,3,0,138,27,27,14,4,7,3,0,81,31,50,17,9,6,0,0,119,92,101,47,37,25,0,0,311,0,3,4,3,3,0,0,11,198,217,102,69,59,11,0,660,0,7,4,0,0,0,0,21,5,0,3,5,4,0,0,17,0,4,8,3,3,0,0,23,3,6,4,4,12,3,0,32,0,0,0,0,0,0,0,0,12,17,24,12,21,0,0,95,204,242,127,80,82,12,0,747
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
