RA_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
RA23,11,3,7,3,0,0,0,21,3,5,8,3,0,0,0,16,0,3,3,0,3,0,0,15,88,123,44,34,41,10,0,342,4,0,0,0,0,0,0,4,106,134,60,38,52,10,0,398,3,0,0,0,0,0,0,3,0,4,3,0,3,0,0,14,0,0,0,0,3,0,0,3,3,10,13,18,14,0,0,64,0,0,0,0,0,0,0,0,10,15,23,26,19,4,0,88,114,151,80,62,70,13,0,489
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,37833,37664,21264,13620,18528,8666,4211,141786,15983,15453,8220,5002,6258,2325,921,54167,15566,14454,7345,4386,5636,2125,907,50413,78756,79758,44473,27263,35319,12886,5312,283770,756,709,403,264,258,69,26,2483,148892,148034,81706,50536,66000,26074,11377,532619,3759,5772,4353,3239,4699,2261,1211,25285,3324,4622,2839,1845,2431,755,373,16185,2088,3328,2165,1476,2046,689,349,12145,15344,21947,13881,9382,11902,3408,1611,77475,926,997,577,342,351,75,35,3303,25441,36669,23808,16283,21430,7189,3582,134393,174334,184705,105518,66815,87427,33255,14957,667013
RA31,3611,3974,2562,1638,2162,489,181,14617,2259,2616,1664,1010,1339,246,65,9198,2635,2828,1553,988,1322,200,80,9607,31998,35419,20469,13103,15967,2260,749,119956,232,239,166,111,91,9,4,856,40733,45068,26413,16847,20887,3196,1083,154231,274,453,375,312,426,112,59,2008,708,975,620,441,532,60,28,3364,403,695,418,320,458,67,25,2381,8715,11628,7233,4727,5566,634,249,38751,376,369,225,126,131,16,3,1253,10470,14123,8873,5928,7119,891,366,47754,51202,59188,35285,22775,28006,4086,1449,201992
RA32,3338,3368,2012,1331,1709,413,182,12348,1832,1912,1087,674,847,119,46,6518,2627,2384,1305,742,942,153,57,8209,23288,24630,13845,8576,10366,1335,524,82569,194,194,134,89,61,11,0,680,31275,32482,18385,11413,13927,2023,826,110324,356,579,414,311,439,125,62,2285,443,685,375,312,379,63,20,2279,381,668,388,253,387,45,27,2152,5843,7887,4689,3176,3463,449,174,25680,271,315,155,126,100,9,3,977,7291,10132,6023,4182,4773,690,288,33384,38570,42620,24404,15590,18706,2712,1110,143708
RA33,253,284,149,82,88,4,4,862,153,100,62,47,42,0,0,409,231,196,92,44,66,3,0,634,3174,3184,1576,783,818,46,12,9585,25,25,18,9,3,0,0,84,3837,3794,1895,957,1015,59,16,11576,21,22,19,12,21,0,0,96,27,36,8,18,17,0,0,105,13,21,20,19,17,0,0,85,691,808,490,294,253,10,4,2547,29,25,18,9,4,0,0,81,780,911,555,349,310,12,10,2918,4614,4701,2452,1309,1327,71,22,14492
RA34,60,76,45,27,18,0,0,226,61,65,32,12,13,0,0,190,136,118,56,20,11,0,0,345,2642,2764,1381,570,488,27,15,7888,18,21,9,9,7,0,0,67,2920,3045,1517,641,534,32,16,8712,3,13,9,3,0,0,0,23,32,27,8,12,4,0,0,80,15,18,9,4,4,0,0,50,878,1029,551,298,209,9,3,2978,36,45,30,16,5,0,0,126,969,1128,602,333,230,9,3,3264,3892,4168,2117,976,767,42,20,11976
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
