RA_CODE_2016,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,M_GradDip_and_GradCert_75_84,M_GradDip_and_GradCert_85ov,M_GradDip_and_GradCert_Total,M_BachDeg_15_24,M_BachDeg_25_34,M_BachDeg_35_44,M_BachDeg_45_54,M_BachDeg_55_64,M_BachDeg_65_74,M_BachDeg_75_84,M_BachDeg_85ov,M_BachDeg_Total,M_AdvDip_and_Dip_15_24,M_AdvDip_and_Dip_25_34,M_AdvDip_and_Dip_35_44,M_AdvDip_and_Dip_45_54,M_AdvDip_and_Dip_55_64,M_AdvDip_and_Dip_65_74,M_AdvDip_and_Dip_75_84,M_AdvDip_and_Dip_85ov,M_AdvDip_and_Dip_Total,M_Cert_III_IV_15_24,M_Cert_III_IV_25_34,M_Cert_III_IV_35_44,M_Cert_III_IV_45_54,M_Cert_III_IV_55_64,M_Cert_III_IV_65_74,M_Cert_III_IV_75_84,M_Cert_III_IV_85ov,M_Cert_III_IV_Total,M_Cert_I_II_15_24,M_Cert_I_II_25_34,M_Cert_I_II_35_44,M_Cert_I_II_45_54,M_Cert_I_II_55_64,M_Cert_I_II_65_74,M_Cert_I_II_75_84,M_Cert_I_II_85ov,M_Cert_I_II_Total,M_Cert_Levl_nfd_15_24,M_Cert_Levl_nfd_25_34,M_Cert_Levl_nfd_35_44,M_Cert_Levl_nfd_45_54,M_Cert_Levl_nfd_55_64,M_Cert_Levl_nfd_65_74,M_Cert_Levl_nfd_75_84,M_Cert_Levl_nfd_85ov,M_Cert_Levl_nfd_Total,M_Cert_Lev_Tot_15_24,M_Cert_Lev_Tot_25_34,M_Cert_Lev_Tot_35_44,M_Cert_Lev_Tot_45_54,M_Cert_Lev_Tot_55_64,M_Cert_Lev_Tot_65_74,M_Cert_Lev_Tot_75_84,M_Cert_Lev_Tot_85ov,M_Cert_Lev_Tot_Total,M_Lev_Edu_IDes_15_24,M_Lev_Edu_IDes_25_34,M_Lev_Edu_IDes_35_44,M_Lev_Edu_IDes_45_54,M_Lev_Edu_IDes_55_64,M_Lev_Edu_IDes_65_74,M_Lev_Edu_IDes_75_84,M_Lev_Edu_IDes_85ov,M_Lev_Edu_IDes_Total,M_Lev_Edu_NS_15_24,M_Lev_Edu_NS_25_34,M_Lev_Edu_NS_35_44,M_Lev_Edu_NS_45_54,M_Lev_Edu_NS_55_64,M_Lev_Edu_NS_65_74,M_Lev_Edu_NS_75_84,M_Lev_Edu_NS_85ov,M_Lev_Edu_NS_Total,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Total,F_PGrad_Deg_15_24,F_PGrad_Deg_25_34,F_PGrad_Deg_35_44,F_PGrad_Deg_45_54,F_PGrad_Deg_55_64,F_PGrad_Deg_65_74,F_PGrad_Deg_75_84,F_PGrad_Deg_85ov,F_PGrad_Deg_Total,F_GradDip_and_GradCert_15_24,F_GradDip_and_GradCert_25_34,F_GradDip_and_GradCert_35_44,F_GradDip_and_GradCert_45_54,F_GradDip_and_GradCert_55_64,F_GradDip_and_GradCert_65_74,F_GradDip_and_GradCert_75_84,F_GradDip_and_GradCert_85ov,F_GradDip_and_GradCert_Total,F_BachDeg_15_24,F_BachDeg_25_34,F_BachDeg_35_44,F_BachDeg_45_54,F_BachDeg_55_64,F_BachDeg_65_74,F_BachDeg_75_84,F_BachDeg_85ov,F_BachDeg_Total,F_AdvDip_and_Dip_15_24,F_AdvDip_and_Dip_25_34,F_AdvDip_and_Dip_35_44,F_AdvDip_and_Dip_45_54,F_AdvDip_and_Dip_55_64,F_AdvDip_and_Dip_65_74,F_AdvDip_and_Dip_75_84,F_AdvDip_and_Dip_85ov,F_AdvDip_and_Dip_Total,F_Cert_III_IV_15_24,F_Cert_III_IV_25_34,F_Cert_III_IV_35_44,F_Cert_III_IV_45_54,F_Cert_III_IV_55_64,F_Cert_III_IV_65_74,F_Cert_III_IV_75_84,F_Cert_III_IV_85ov,F_Cert_III_IV_Total,F_Cert_I_II_15_24,F_Cert_I_II_25_34,F_Cert_I_II_35_44,F_Cert_I_II_45_54,F_Cert_I_II_55_64,F_Cert_I_II_65_74,F_Cert_I_II_75_84,F_Cert_I_II_85ov,F_Cert_I_II_Total,F_Cert_Levl_nfd_15_24,F_Cert_Levl_nfd_25_34,F_Cert_Levl_nfd_35_44,F_Cert_Levl_nfd_45_54,F_Cert_Levl_nfd_55_64,F_Cert_Levl_nfd_65_74,F_Cert_Levl_nfd_75_84,F_Cert_Levl_nfd_85ov,F_Cert_Levl_nfd_Total,F_Cert_Lev_Tot_15_24,F_Cert_Lev_Tot_25_34,F_Cert_Lev_Tot_35_44,F_Cert_Lev_Tot_45_54,F_Cert_Lev_Tot_55_64,F_Cert_Lev_Tot_65_74,F_Cert_Lev_Tot_75_84,F_Cert_Lev_Tot_85ov,F_Cert_Lev_Tot_Total,F_Lev_Edu_IDes_15_24,F_Lev_Edu_IDes_25_34,F_Lev_Edu_IDes_35_44,F_Lev_Edu_IDes_45_54,F_Lev_Edu_IDes_55_64,F_Lev_Edu_IDes_65_74,F_Lev_Edu_IDes_75_84,F_Lev_Edu_IDes_85ov,F_Lev_Edu_IDes_Total,F_Lev_Edu_NS_15_24,F_Lev_Edu_NS_25_34,F_Lev_Edu_NS_35_44,F_Lev_Edu_NS_45_54,F_Lev_Edu_NS_55_64,F_Lev_Edu_NS_65_74,F_Lev_Edu_NS_75_84,F_Lev_Edu_NS_85ov,F_Lev_Edu_NS_Total,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Total,P_PGrad_Deg_15_24,P_PGrad_Deg_25_34
RA39,5,54,23,20,23,17,4,0,143,3,12,4,4,14,6,0,0,48,66,172,46,49,47,56,8,0,448,30,48,49,45,80,61,8,0,327,91,244,189,212,292,299,53,3,1395,11,11,12,4,5,3,0,0,48,14,16,11,5,27,21,3,0,95,114,271,207,226,324,320,58,3,1534,8,7,11,8,9,8,3,0,55,165,357,337,292,269,194,52,9,1669,391,925,669,647,771,673,135,14,4223,7,54,18,23,18,10,0,0,123,3,10,9,10,21,12,0,0,71,126,283,80,55,79,58,9,3,701,64,72,48,64,133,64,7,0,452,62,94,71,100,120,58,3,0,508,13,8,10,8,19,11,0,0,67,9,24,14,14,30,19,3,0,112,82,127,86,124,175,84,7,0,683,12,14,4,6,9,13,3,0,58,164,230,136,153,214,145,46,9,1099,452,785,391,435,655,377,77,11,3183,10,106
RA40,242,5482,6098,4467,3513,2316,904,227,23247,101,1155,1626,1720,1678,969,236,48,7539,4769,17686,15161,10603,8783,5940,1947,736,65634,1855,6780,7599,8153,7017,5000,1809,601,38813,9045,20441,17833,19841,17214,12525,7025,2284,106202,1630,1370,906,642,457,276,88,27,5405,600,1039,1228,1389,1454,1278,613,209,7817,11270,22849,19966,21875,19131,14081,7730,2519,119420,305,683,679,641,615,586,362,157,4022,5078,5741,5200,5415,5051,4493,3587,2144,36713,23628,60375,56325,52866,45790,33393,16580,6433,295391,397,7251,6224,4034,2923,1503,342,63,22735,289,2343,3041,2840,2738,1395,308,61,13026,7147,25704,20597,13414,10403,5738,2068,775,85849,2628,8757,9918,10980,9428,5291,1939,814,49762,7821,13336,10719,10757,7483,3268,1034,440,54860,1864,1910,1503,1244,948,458,124,33,8095,831,1478,2127,2331,2170,1567,633,329,11459,10519,16719,14347,14338,10603,5292,1798,801,74409,295,640,603,712,720,770,448,242,4421,4686,5044,4371,4941,5255,5990,5596,4353,40232,25960,66464,59095,51261,42065,25980,12489,7113,290428,641,12735
RA41,16,140,267,322,365,314,96,19,1533,4,59,130,193,301,162,34,11,894,226,972,1205,1134,1199,996,313,73,6131,140,556,965,1251,1278,1130,376,92,5786,1788,3894,3918,4404,4162,3087,1397,382,23040,291,247,172,139,103,76,18,3,1047,119,202,255,300,330,338,139,35,1723,2198,4345,4345,4834,4604,3506,1552,424,25804,34,75,87,98,131,119,69,31,634,1157,925,1016,1223,1367,1367,912,433,8406,3776,7066,8018,9058,9240,7595,3352,1079,49184,23,291,413,389,388,204,30,7,1740,23,207,320,418,489,227,52,8,1748,523,2085,2375,1800,1706,1132,341,100,10060,326,1091,1572,2120,1966,1279,370,123,8847,1503,2494,2359,2547,1796,832,196,67,11780,429,431,358,303,236,144,21,13,1938,182,269,458,500,480,377,134,37,2442,2106,3202,3171,3346,2515,1349,349,115,16157,20,62,81,91,110,133,72,44,613,1010,711,855,1119,1399,1497,1140,729,8461,4044,7645,8792,9275,8578,5824,2360,1116,47632,36,426
RA42,12,76,98,106,116,79,28,3,517,0,52,62,91,120,59,16,0,405,127,670,699,503,498,331,78,25,2935,68,347,535,728,813,533,149,43,3218,1504,3058,2901,3500,3440,2494,1105,269,18271,255,238,146,116,86,62,12,0,920,98,166,203,253,246,226,69,10,1276,1857,3465,3253,3870,3770,2776,1189,282,20471,24,33,65,75,87,89,28,18,425,1106,1174,1211,1410,1387,1343,896,394,8930,3184,5816,5926,6789,6805,5221,2380,768,36892,18,185,156,119,111,52,17,0,659,29,142,184,228,254,101,24,3,969,363,1601,1393,1026,965,536,178,57,6117,201,728,988,1315,1377,725,213,59,5604,1078,1831,1681,1843,1327,532,127,40,8458,294,349,322,237,173,78,24,4,1484,151,210,319,341,290,180,49,16,1564,1518,2392,2322,2415,1795,800,203,63,11502,20,46,52,62,78,78,46,12,392,874,681,688,1049,1192,1423,1144,789,7837,3027,5773,5779,6222,5765,3718,1819,983,33083,26,257
RA43,0,40,35,30,33,27,11,0,184,0,14,16,21,36,22,3,0,105,43,245,211,164,157,98,27,8,947,18,115,149,184,204,139,35,5,859,369,957,903,948,835,535,220,51,4833,38,59,43,29,32,10,3,0,226,17,38,64,68,84,45,12,9,332,428,1062,1008,1047,953,593,240,66,5392,5,30,21,18,22,17,5,3,125,276,334,311,384,389,350,200,95,2328,776,1832,1754,1857,1795,1244,515,176,9946,3,59,43,36,39,27,6,0,215,4,50,57,75,74,51,3,3,323,79,518,419,264,273,148,65,13,1779,57,216,253,365,355,175,46,17,1487,233,514,473,412,327,126,27,13,2120,49,85,71,46,44,26,10,0,325,30,56,93,79,83,36,17,8,402,313,651,633,536,458,185,52,18,2846,12,21,13,25,17,19,11,6,114,225,202,227,260,327,283,228,167,1907,693,1716,1648,1567,1536,876,409,225,8673,3,98
RA44,0,18,14,5,10,3,0,0,50,0,3,9,5,0,3,0,0,27,16,72,60,33,43,16,4,0,249,13,35,35,33,50,22,7,3,203,86,235,238,250,234,121,44,12,1220,17,22,18,3,8,4,0,0,73,9,10,8,19,20,5,3,0,79,109,263,273,274,261,132,48,12,1372,6,4,4,4,6,7,0,0,35,143,177,163,202,177,130,69,22,1082,285,576,555,564,555,315,129,34,3013,0,21,11,13,11,0,0,0,55,0,8,12,21,18,4,0,0,72,41,147,99,71,80,33,7,0,477,18,76,74,88,76,42,3,0,378,54,106,107,82,74,24,3,0,456,11,23,25,12,7,3,0,0,92,9,17,21,17,21,6,0,0,90,73,152,145,110,107,40,4,0,636,0,5,4,3,0,6,7,0,23,168,165,142,166,139,86,45,45,946,297,569,487,471,440,205,64,49,2578,0,34
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,9,8,5,10,0,0,0,38,0,4,0,3,0,3,0,0,7,17,46,11,11,12,6,0,0,99,11,9,11,14,4,13,3,0,65,23,75,38,51,52,55,12,5,305,7,9,4,0,0,0,0,0,16,0,7,4,3,4,0,0,0,22,29,88,50,50,59,54,12,5,345,3,4,0,3,3,3,0,0,16,54,77,90,106,69,33,4,4,428,114,236,165,190,151,111,20,11,994,0,14,6,0,3,0,0,0,26,0,3,3,0,3,0,0,0,17,10,48,21,15,9,7,0,0,111,4,19,14,24,11,7,0,0,82,13,25,11,23,23,9,0,0,102,6,0,0,4,0,0,0,0,11,3,3,0,13,9,3,0,0,28,23,28,14,34,33,9,0,0,137,0,5,0,0,4,0,0,0,14,36,44,41,48,28,19,6,0,219,72,153,92,129,92,47,10,4,604,0,23
RA50,377,8371,10293,7810,5429,3210,1077,241,36818,216,2238,2787,2893,2214,1088,257,55,11736,8350,32193,26827,19557,13797,8014,2745,793,112290,4165,13325,13275,12591,10215,7091,2843,729,64229,16104,37620,31842,32889,26861,17768,8924,2222,174222,2657,1542,960,704,461,254,66,27,6661,897,1763,1950,2051,1787,1450,763,203,10862,19653,40919,34752,35642,29108,19472,9752,2453,191745,475,1228,1237,1079,873,803,396,143,6234,9451,14006,11211,10241,8473,7150,5450,2880,68871,42687,112290,100379,89807,70116,46826,22521,7291,491924,580,10627,9807,6356,3848,1669,386,81,33362,581,4772,5369,4854,3594,1328,364,84,20932,12306,45877,35594,23326,14807,7784,3034,806,143533,5915,16552,17253,17011,13146,7154,2929,924,80882,12087,20105,15799,14592,9463,3977,1245,471,77742,3016,2321,1950,1688,1315,736,237,83,11339,1358,2703,3848,4203,3690,2605,1033,407,19857,16460,25126,21598,20484,14471,7315,2514,961,108936,504,1299,1138,1265,1292,1188,635,270,7593,8753,11805,9345,9212,9288,9197,8638,6591,72819,45096,116056,100096,82513,60448,35635,18497,9717,468063,956,19003
RA51,5,127,254,273,244,240,61,14,1210,5,70,162,178,188,86,28,5,731,165,1042,1352,1187,1147,738,234,56,5923,178,660,965,1245,1157,872,304,66,5444,2128,4392,4859,5121,4353,2842,1121,240,25058,391,163,124,102,84,40,10,0,924,99,176,240,262,275,266,95,26,1440,2626,4731,5224,5495,4715,3154,1232,262,27429,25,77,103,93,77,104,43,17,551,1787,2301,2235,2050,1712,1463,895,340,12780,4788,9008,10305,10515,9240,6657,2794,762,54073,8,243,341,301,256,138,27,3,1319,37,272,423,411,331,148,31,0,1651,402,2182,2712,1992,1532,864,351,72,10102,368,1276,1617,1866,1772,980,349,95,8314,1528,2629,2531,2339,1568,641,136,58,11433,543,386,347,287,238,94,25,9,1918,190,298,475,562,516,307,90,26,2461,2262,3308,3352,3186,2323,1041,251,91,15813,25,89,89,103,126,121,85,14,657,1237,1060,1282,1467,1613,1638,1190,642,10132,4340,8435,9822,9314,7948,4926,2294,915,47989,11,371
RA52,0,163,243,207,218,153,54,9,1053,10,77,124,123,147,88,10,0,584,164,919,989,884,762,454,154,35,4352,147,496,749,879,943,596,205,45,4072,1906,3805,3460,3869,3503,2098,834,186,19653,356,171,112,119,91,35,20,0,903,93,135,218,215,236,217,91,27,1230,2355,4101,3795,4200,3826,2353,941,207,21784,34,50,66,69,79,81,44,14,441,1327,1523,1461,1645,1603,1310,872,343,10085,4038,7334,7431,7997,7580,5043,2292,654,42367,11,224,279,234,199,88,9,3,1037,33,252,337,325,320,115,23,6,1407,349,1894,1950,1502,1141,666,254,48,7818,320,991,1218,1435,1408,802,288,82,6537,1143,2018,1727,1807,1246,457,113,27,8537,480,332,257,213,164,109,25,0,1569,163,223,366,373,402,249,74,21,1869,1784,2568,2352,2390,1814,813,211,47,11975,34,71,67,83,105,99,54,25,533,1088,1100,1111,1348,1509,1372,1029,520,9080,3614,7093,7319,7314,6491,3947,1878,727,38381,10,386
RA53,0,106,133,89,62,21,6,0,423,5,64,74,56,42,9,4,0,252,91,688,616,417,245,96,20,9,2175,50,388,514,430,306,130,41,7,1865,767,2546,2240,1849,1406,554,161,35,9558,132,109,61,52,33,14,3,0,394,52,109,122,98,97,47,17,4,552,950,2762,2422,2007,1529,615,183,43,10509,16,21,30,43,36,13,6,4,169,761,1249,1089,1055,807,481,219,90,5741,1870,5273,4881,4087,3031,1365,483,145,21136,5,179,162,100,75,24,4,0,537,14,189,207,130,99,26,0,0,664,226,1439,1129,631,361,161,51,11,4004,122,726,681,610,471,175,64,11,2859,477,1060,796,612,378,89,26,8,3446,197,190,161,100,60,19,4,3,725,57,152,193,160,126,41,14,3,758,733,1402,1148,873,565,152,50,13,4934,7,43,37,33,25,25,10,0,185,654,974,803,818,671,424,256,119,4728,1758,4952,4158,3192,2262,986,437,156,17910,3,287
RA54,3,135,136,89,47,23,3,0,434,3,52,52,49,46,11,0,0,218,87,742,539,338,218,74,13,3,2015,46,371,426,402,272,91,20,0,1630,624,2827,2238,1965,1225,374,86,12,9346,90,129,85,51,35,9,0,0,406,34,106,104,100,82,35,6,0,474,751,3065,2431,2120,1342,415,92,16,10222,8,33,29,30,20,18,3,0,146,907,2062,1687,1394,928,384,122,26,7523,1812,6465,5295,4431,2874,1009,253,47,22183,4,124,84,57,45,19,0,0,331,24,91,94,71,70,13,0,0,365,142,835,558,350,259,90,12,9,2252,72,355,339,306,242,93,22,5,1427,270,697,483,362,202,65,8,0,2097,142,160,88,73,44,13,3,0,516,49,110,93,82,77,21,6,0,443,459,959,667,516,325,100,21,4,3053,5,26,19,18,28,11,3,0,111,659,1018,741,738,533,301,100,38,4122,1367,3409,2500,2056,1498,616,155,52,11659,6,256
RA55,0,6,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,6,8,6,0,0,3,0,31,0,13,20,16,9,0,0,0,52,0,41,40,32,10,0,0,0,130,0,3,3,0,0,0,0,0,3,0,4,3,3,0,0,0,0,13,0,49,47,34,10,0,0,0,139,0,0,0,0,0,0,0,0,0,3,28,20,21,9,0,0,0,78,7,100,95,77,33,4,3,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,8,3,5,0,3,0,0,0,0,22,0,4
RA59,0,27,13,11,3,8,0,0,62,0,8,3,0,3,3,0,0,16,22,91,39,12,32,15,3,0,225,8,27,23,28,29,24,0,0,151,49,179,137,137,146,89,15,3,748,10,10,5,3,3,0,0,0,28,3,15,4,13,6,9,0,0,51,63,196,147,151,158,96,17,3,829,6,4,5,0,3,5,0,0,26,89,230,214,251,137,79,15,3,1021,188,588,450,459,369,233,35,4,2331,3,26,11,9,4,0,0,0,54,0,6,5,4,17,0,0,0,32,35,136,50,30,25,18,3,0,302,7,46,13,24,45,22,3,0,155,30,52,25,32,54,17,0,0,217,5,4,4,3,7,4,0,0,37,9,14,5,3,17,9,0,0,63,42,76,40,44,78,31,3,0,317,0,3,0,3,4,0,3,0,16,89,157,107,110,82,56,13,3,613,184,440,223,218,263,136,25,7,1493,8,53
RA61,31,1002,1120,1127,971,703,243,78,5287,40,308,386,531,467,262,68,12,2073,839,3447,3221,2597,2463,1603,533,225,14921,330,1189,1644,1923,1895,1385,595,182,9143,2744,6078,5339,5851,5459,3681,1930,568,31651,491,392,232,146,128,81,30,13,1502,157,246,290,326,365,292,170,56,1911,3393,6718,5857,6325,5949,4047,2129,635,35058,66,125,107,130,130,145,119,39,865,1810,1740,1554,1810,1893,1815,1330,587,12542,6514,14527,13899,14444,13769,9958,5024,1758,79894,96,1451,1415,1184,954,512,102,22,5734,82,684,810,884,784,393,102,24,3760,1366,5034,4791,3773,3415,1870,661,241,21156,512,1722,2322,2732,2410,1639,806,266,12407,2231,4025,3323,3112,2291,847,255,93,16181,757,669,464,412,288,168,40,16,2828,312,457,596,695,761,486,236,119,3655,3309,5154,4377,4222,3340,1504,526,232,22667,58,127,120,161,200,249,165,62,1152,1653,1439,1418,1690,2065,2398,2018,1223,13889,7074,15615,15252,14647,13168,8571,4373,2068,80769,128,2456
RA62,5,86,145,166,286,273,80,7,1054,4,47,78,120,150,115,23,3,535,80,500,654,688,886,650,205,45,3709,68,298,577,821,890,722,205,45,3629,1350,2607,2718,3383,3507,2227,965,188,16951,245,169,116,83,81,39,10,3,736,64,93,164,184,217,198,89,14,1036,1658,2864,2995,3648,3806,2463,1069,207,18715,7,26,40,54,76,94,51,6,362,925,616,735,1093,1281,1353,818,254,7064,2744,4442,5226,6592,7374,5672,2451,568,35073,19,153,214,293,315,163,25,4,1173,22,114,186,276,287,153,26,7,1065,225,1157,1301,1255,1375,815,236,63,6420,139,597,932,1296,1328,900,354,74,5618,934,1616,1582,1627,1281,488,102,34,7664,353,331,237,237,187,78,21,9,1455,125,227,294,381,428,249,83,22,1812,1414,2176,2110,2246,1892,815,208,68,10929,10,41,44,64,80,93,68,25,412,831,594,717,1037,1286,1449,1027,404,7339,2660,4822,5498,6456,6556,4395,1935,642,32959,23,237
RA63,0,0,4,11,8,13,3,0,37,0,0,7,6,3,3,0,0,17,10,31,21,35,39,26,10,3,177,0,29,19,44,52,38,13,3,187,48,108,132,187,212,153,63,4,906,8,7,3,3,3,3,0,0,31,6,7,8,9,16,14,7,0,74,61,126,146,202,229,163,72,4,1003,0,0,5,11,4,3,0,0,28,42,50,49,77,83,91,39,18,442,108,238,253,374,412,346,143,33,1899,0,13,7,7,7,8,0,0,46,0,0,3,8,10,3,0,0,29,13,66,49,36,57,40,12,3,272,4,33,40,47,66,57,14,4,263,35,84,54,73,73,13,8,3,342,17,16,7,15,19,5,0,0,75,6,8,15,20,19,7,6,0,83,63,98,74,112,110,31,14,3,503,0,3,3,3,4,3,0,0,16,36,40,37,54,78,105,59,30,439,122,258,217,264,331,241,96,36,1564,0,16
RA64,0,0,3,0,4,12,0,0,25,0,0,0,0,3,0,0,0,7,5,7,9,10,14,15,3,0,63,6,7,9,9,33,13,6,0,78,16,56,44,55,79,52,24,8,325,0,0,0,3,5,0,0,0,11,3,3,3,7,3,0,3,0,19,20,54,47,66,85,55,23,8,353,0,0,3,0,3,3,0,0,13,20,10,10,17,29,21,14,0,129,44,86,85,106,164,114,50,9,666,0,11,3,3,3,5,0,0,26,0,9,6,3,6,0,0,0,24,3,33,24,14,32,17,8,0,135,5,9,16,16,25,17,12,0,96,9,27,10,21,31,6,0,0,114,3,3,5,3,0,0,0,0,12,3,4,4,6,6,6,0,0,30,19,34,20,28,36,12,3,0,155,0,0,0,0,3,3,4,0,11,20,18,10,19,25,20,19,12,128,39,104,71,85,129,79,40,13,570,0,8
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,3,4,3,3,7,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,7,0,0,0,19,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,17,6,5,3,4,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,12,0,0
RA69,3,6,0,0,0,3,0,0,12,0,3,0,0,0,0,0,0,3,0,17,5,4,7,6,0,0,36,0,3,4,3,3,4,0,0,18,18,14,15,13,15,10,3,0,91,3,4,3,0,0,0,0,0,10,0,3,0,0,0,3,0,0,7,16,19,21,17,14,14,3,0,103,0,0,0,0,0,0,0,0,0,21,35,31,25,10,8,3,0,128,48,80,59,47,35,30,8,0,308,0,7,5,7,7,0,0,0,17,0,3,3,0,0,0,0,0,5,3,15,10,0,7,3,0,0,38,0,5,11,7,9,5,0,0,38,4,12,6,4,5,0,0,0,31,0,0,0,0,0,0,0,0,8,0,0,0,3,3,0,0,0,11,11,11,4,6,9,0,0,0,40,0,0,0,0,3,0,0,0,3,9,9,7,17,11,8,4,0,61,20,47,35,38,46,18,7,0,208,3,11
RA72,20,574,610,428,355,179,26,4,2189,5,143,192,201,160,57,12,0,775,354,2098,1515,1016,725,346,86,23,6171,163,914,1071,1058,675,291,73,11,4250,1375,4256,3189,2908,1956,920,281,46,14931,215,144,122,67,30,15,5,0,602,86,162,179,146,125,87,22,8,826,1677,4563,3493,3123,2116,1022,306,56,16354,32,81,88,66,61,30,18,3,386,1451,2481,1913,1642,1197,668,231,72,9651,3702,10854,8879,7534,5278,2591,756,165,39769,32,720,687,496,364,128,25,3,2455,36,439,457,345,277,78,16,0,1652,533,3339,2340,1394,914,395,86,17,9019,290,1186,1190,1111,744,286,83,10,4896,941,1898,1396,1066,571,167,32,7,6073,240,215,133,119,84,27,0,0,831,104,224,231,248,173,87,27,5,1093,1290,2342,1756,1430,827,280,57,13,7994,32,85,72,57,48,31,21,4,346,1076,1637,1191,1064,918,544,245,101,6769,3293,9753,7696,5894,4092,1743,530,150,33137,55,1291
RA73,5,99,122,115,88,50,14,0,491,3,42,49,54,47,20,5,0,221,51,441,355,270,234,93,21,3,1453,32,256,257,273,221,78,21,3,1147,315,855,730,816,630,295,71,17,3723,60,60,34,38,18,8,0,0,212,19,50,54,49,44,21,6,0,251,395,962,815,893,688,319,81,16,4182,8,27,19,24,19,5,3,0,113,714,892,627,692,538,319,115,27,3922,1211,2725,2246,2321,1840,889,258,45,11539,10,183,179,155,135,38,10,0,702,3,131,124,146,91,21,3,0,528,114,803,626,457,333,113,36,9,2498,38,295,291,361,259,81,31,4,1372,235,450,325,337,230,62,12,3,1649,82,85,52,63,28,13,0,3,328,31,76,72,75,63,29,6,3,355,345,614,457,477,319,99,19,9,2334,12,18,25,22,15,10,7,0,113,512,703,536,611,489,257,91,44,3243,1043,2749,2238,2233,1640,620,193,67,10786,9,287
RA74,0,52,40,31,19,13,3,0,159,4,21,32,26,20,7,0,0,98,33,182,151,95,97,25,7,0,590,28,101,103,119,79,26,7,0,460,204,478,406,406,315,101,17,0,1927,58,103,74,70,32,6,0,0,350,42,78,73,63,28,8,3,0,293,301,660,550,534,379,118,23,0,2572,3,24,3,11,10,4,3,4,63,1042,860,669,491,324,146,42,11,3571,1415,1902,1544,1312,926,336,78,11,7526,0,74,61,43,53,13,0,0,249,4,45,60,47,44,12,0,0,205,51,332,205,167,158,32,7,0,963,35,123,132,153,123,29,7,0,596,131,256,199,206,133,35,4,0,959,89,119,84,68,41,11,0,0,421,26,73,70,50,28,9,0,0,258,244,449,357,326,203,54,6,0,1639,10,11,9,9,8,3,0,0,53,932,847,632,508,300,136,46,0,3393,1266,1876,1451,1251,896,278,61,3,7091,0,129
